Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
FCX;5.8822;9.4850;9.5600;9.3250;9.3250;2003-02-04;3724600
FCX;5.6310;9.0800;9.5000;9.0600;9.4650;2003-02-05;3065000
FCX;5.2217;8.4200;8.6350;8.3750;8.5000;2003-02-06;26925400
FCX;5.2527;8.4700;8.5450;8.4500;8.5000;2003-02-07;8015800
FCX;5.1845;8.3600;8.5250;8.3400;8.5000;2003-02-10;5711400
FCX;5.2124;8.4050;8.4950;8.3750;8.3750;2003-02-11;5584600
FCX;5.1039;8.2300;8.4350;8.2300;8.3750;2003-02-12;4612800
FCX;5.2155;8.4100;8.4150;8.2400;8.3750;2003-02-13;4999600
FCX;5.2403;8.4500;8.4950;8.3350;8.4500;2003-02-14;2818400
FCX;5.1597;8.3200;8.4500;8.2300;8.4500;2003-02-18;2782800
FCX;5.3086;8.5600;8.7250;8.3200;8.3200;2003-02-19;3654200
FCX;5.3551;8.6350;8.7500;8.6350;8.6750;2003-02-20;3347000
FCX;5.3458;8.6200;8.7500;8.5750;8.7250;2003-02-21;2870800
FCX;5.2403;8.4500;8.7350;8.4500;8.6500;2003-02-24;2433200
FCX;5.2186;8.4150;8.6750;8.2950;8.4250;2003-02-25;3536000
FCX;5.2683;8.4950;8.5250;8.2100;8.3900;2003-02-26;2938200
FCX;5.2931;8.5350;8.5650;8.3550;8.4900;2003-02-27;5732800
FCX;5.2776;8.5100;8.5850;8.4550;8.5300;2003-02-28;2119600
FCX;5.2621;8.4850;8.6000;8.4200;8.5150;2003-03-03;2075000
FCX;5.2558;8.4750;8.5750;8.4500;8.5350;2003-03-04;5239800
FCX;5.2869;8.5250;8.5500;8.4500;8.4800;2003-03-05;2059800
FCX;5.2496;8.4650;8.6250;8.4450;8.6250;2003-03-06;4011600
FCX;5.2807;8.5150;8.6250;8.4250;8.6150;2003-03-07;3037600
FCX;4.9644;8.0050;8.4900;8.0050;8.4900;2003-03-10;7101400
FCX;5.0171;8.0900;8.2850;8.0400;8.0550;2003-03-11;3371200
FCX;5.0388;8.1250;8.2200;8.0100;8.0250;2003-03-12;2424200
FCX;5.2124;8.4050;8.4600;8.0750;8.1550;2003-03-13;3563200
FCX;5.3024;8.5500;8.6300;8.3750;8.4050;2003-03-14;1809000
FCX;5.3489;8.6250;8.6900;8.5050;8.5900;2003-03-17;1728800
FCX;5.4791;8.8350;8.8350;8.5750;8.5750;2003-03-18;2017400
FCX;5.3706;8.6600;8.8450;8.4950;8.8350;2003-03-19;3242200
FCX;5.3086;8.5600;8.6900;8.5050;8.6500;2003-03-20;1743400
FCX;5.4233;8.7450;8.8000;8.4750;8.6250;2003-03-21;3455200
FCX;5.1845;8.3600;8.7700;8.3600;8.7500;2003-03-24;1677600
FCX;5.2124;8.4050;8.4600;8.3000;8.3000;2003-03-25;2133000
FCX;5.2651;8.4900;8.5700;8.3950;8.4500;2003-03-26;2411600
FCX;5.0915;8.2100;8.5000;8.2050;8.4250;2003-03-27;3391600
FCX;5.3768;8.6700;8.7350;8.1700;8.1750;2003-03-28;2131200
FCX;5.2869;8.5250;8.7450;8.4650;8.6800;2003-03-31;2377400
FCX;5.2838;8.5200;8.5400;8.3600;8.5250;2003-04-01;2168600
FCX;5.4295;8.7550;8.7650;8.4850;8.5200;2003-04-02;1985400
FCX;5.3799;8.6750;8.7950;8.6250;8.7550;2003-04-03;2349200
FCX;5.3985;8.7050;8.9050;8.6750;8.6750;2003-04-04;4094000
FCX;5.4884;8.8500;8.8900;8.6350;8.7650;2003-04-07;2413600
FCX;5.6093;9.0450;9.0900;8.7750;8.8500;2003-04-08;3492000
FCX;5.7210;9.2250;9.3000;9.0250;9.0450;2003-04-09;4172800
FCX;5.7613;9.2900;9.4100;9.2250;9.2900;2003-04-10;2963200
FCX;5.7613;9.2450;9.3250;9.1000;9.2450;2003-04-11;5277600
FCX;5.7021;9.1500;9.2600;9.1150;9.2500;2003-04-14;2211400
FCX;5.8111;9.3250;9.3900;9.0250;9.0350;2003-04-15;2696800
FCX;5.8205;9.3400;9.3750;9.2900;9.3500;2003-04-16;2014600
FCX;5.6616;9.0850;9.3500;9.0650;9.3400;2003-04-17;4275800
FCX;5.6958;9.1400;9.2750;9.0350;9.1000;2003-04-21;5276600
FCX;5.6647;9.0900;9.1350;9.0000;9.1350;2003-04-22;4216800
FCX;5.7457;9.2200;9.3050;9.0500;9.1750;2003-04-23;7201400
FCX;5.5151;8.8500;9.2200;8.8350;9.0000;2003-04-24;2950000
FCX;5.3998;8.6650;8.9350;8.6500;8.8250;2003-04-25;3533800
FCX;5.4216;8.7000;8.7500;8.6400;8.7350;2003-04-28;3587800
FCX;5.4403;8.7300;8.7500;8.6500;8.7000;2003-04-29;1829200
FCX;5.3936;8.6550;8.8250;8.6300;8.6500;2003-04-30;1949000
FCX;5.6273;9.0300;9.0800;8.7750;8.7750;2003-05-01;4282400
FCX;5.6678;9.0950;9.1100;8.9550;9.0300;2003-05-02;2262600
FCX;5.6647;9.0900;9.1350;9.0500;9.0900;2003-05-05;1643800
FCX;5.6709;9.1000;9.1350;8.9500;9.0750;2003-05-06;2375800
FCX;5.5899;8.9700;9.1650;8.9450;9.1500;2003-05-07;1743800
FCX;5.7021;9.1500;9.1750;8.9600;8.9750;2003-05-08;3147400
FCX;5.7706;9.2600;9.3000;9.1200;9.1750;2003-05-09;3247200
FCX;5.9171;9.4950;9.5000;9.3400;9.3850;2003-05-12;4394000
FCX;5.9981;9.6250;10.0000;9.5900;9.5900;2003-05-13;5590000
FCX;5.9295;9.5150;9.6250;9.3150;9.6000;2003-05-14;3557400
FCX;6.0199;9.6600;9.7050;9.5450;9.5450;2003-05-15;3009600
FCX;6.1695;9.9000;9.9450;9.7000;9.7250;2003-05-16;3463400
