Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
FDX;45.9957;52.03;52.98;51.51;52.98;2003-02-04;1183500
FDX;46.2786;52.35;53.20;51.53;51.94;2003-02-05;1088800
FDX;46.5703;52.68;52.98;52.10;52.10;2003-02-06;1048300
FDX;46.0753;52.12;53.15;51.83;53.10;2003-02-07;1029600
FDX;45.9073;51.93;52.11;51.02;51.80;2003-02-10;1032200
FDX;45.5625;51.54;52.35;51.34;52.06;2003-02-11;834100
FDX;44.9702;50.87;51.81;50.50;51.55;2003-02-12;1057900
FDX;44.5989;50.45;50.95;49.90;50.85;2003-02-13;1218300
FDX;45.7040;51.70;51.70;50.40;50.40;2003-02-14;1291500
FDX;46.1106;52.16;52.55;51.90;51.90;2003-02-18;997100
FDX;45.7040;51.70;52.20;51.53;52.20;2003-02-19;802500
FDX;45.0410;50.95;51.70;50.84;51.70;2003-02-20;1052900
FDX;45.3504;51.30;51.60;50.45;51.00;2003-02-21;1362400
FDX;43.7061;49.44;50.96;49.20;50.95;2003-02-24;1393800
FDX;44.0685;49.85;49.98;47.70;49.25;2003-02-25;2210900
FDX;44.3779;50.20;50.90;49.74;49.85;2003-02-26;1841900
FDX;44.5017;50.34;51.10;49.97;50.21;2003-02-27;1271600
FDX;45.4388;51.40;51.73;50.28;50.30;2003-02-28;1683000
FDX;46.2786;52.35;52.92;52.32;52.48;2003-03-03;2154000
FDX;45.7570;51.76;52.36;51.71;52.35;2003-03-04;1384700
FDX;45.4741;51.44;51.77;50.84;51.76;2003-03-05;1471200
FDX;45.1556;51.03;51.50;50.75;51.39;2003-03-06;1506600
FDX;44.9874;50.84;51.00;50.46;50.50;2003-03-07;1906900
FDX;43.8990;49.61;50.75;49.56;50.50;2003-03-10;1148100
FDX;43.9521;49.67;50.32;49.55;49.73;2003-03-11;1116400
FDX;43.3593;49.00;49.90;48.18;49.58;2003-03-12;2116000
FDX;44.2619;50.02;50.07;48.50;48.85;2003-03-13;3163800
FDX;44.0672;49.80;50.08;48.62;49.75;2003-03-14;1920100
FDX;45.4918;51.41;51.41;49.51;49.80;2003-03-17;2210500
FDX;45.7308;51.68;51.96;51.17;51.90;2003-03-18;1566100
FDX;48.8278;55.18;55.22;52.70;52.80;2003-03-19;3981600
FDX;50.2613;56.80;57.35;55.18;55.18;2003-03-20;4067500
FDX;50.6684;57.26;57.45;56.50;57.15;2003-03-21;2163300
FDX;49.0756;55.46;56.40;55.00;56.35;2003-03-24;2066300
FDX;49.4473;55.88;56.43;55.28;55.40;2003-03-25;1728000
FDX;49.7304;56.20;56.68;55.66;55.88;2003-03-26;1391400
FDX;50.1286;56.65;56.77;55.60;55.60;2003-03-27;1682700
FDX;49.9959;56.50;56.66;55.41;56.15;2003-03-28;1313900
FDX;48.7305;55.07;55.85;54.82;55.75;2003-03-31;1549800
FDX;48.8898;55.25;55.68;54.40;55.10;2003-04-01;1281500
FDX;50.3764;56.93;57.17;55.26;55.26;2003-04-02;2671500
FDX;49.6242;56.08;57.35;56.05;57.35;2003-04-03;2014200
FDX;49.4207;55.85;56.40;55.48;56.09;2003-04-04;1264300
FDX;49.6596;56.12;57.32;56.11;56.90;2003-04-07;1761700
FDX;49.2083;55.61;56.60;55.12;55.88;2003-04-08;1367800
FDX;49.5358;55.98;56.76;55.52;56.00;2003-04-09;2062300
FDX;49.7393;56.21;56.34;55.48;55.99;2003-04-10;1654000
FDX;50.8454;57.46;57.99;56.54;57.10;2003-04-11;2256400
FDX;51.5710;58.28;58.30;57.66;57.75;2003-04-14;1748200
FDX;52.6063;59.45;59.53;57.45;58.28;2003-04-15;2537700
FDX;51.4825;58.18;59.90;58.10;59.38;2003-04-16;2974100
FDX;52.1196;58.90;58.90;57.80;58.10;2003-04-17;1599000
FDX;50.9073;57.53;58.90;57.29;58.90;2003-04-21;2154500
FDX;51.8099;58.55;58.70;57.50;57.53;2003-04-22;2568800
FDX;51.8895;58.64;59.23;58.08;59.20;2003-04-23;1525100
FDX;52.4559;59.28;59.50;57.99;58.15;2003-04-24;2099100
FDX;52.0223;58.79;59.28;58.40;59.10;2003-04-25;1359600
FDX;53.0311;59.93;60.00;58.63;58.70;2003-04-28;1557600
FDX;52.7479;59.61;59.99;59.19;59.90;2003-04-29;1684200
FDX;52.9868;59.88;60.11;59.00;59.58;2003-04-30;2093200
FDX;52.4293;59.25;59.80;58.46;59.80;2003-05-01;1418200
FDX;53.7478;60.74;60.90;58.62;58.75;2003-05-02;2162200
FDX;54.6238;61.73;61.99;60.78;60.95;2003-05-05;2439700
FDX;54.5619;61.66;62.07;61.25;61.45;2003-05-06;2118200
FDX;54.1460;61.19;61.99;61.00;61.67;2003-05-07;1799700
FDX;53.7832;60.78;61.30;60.68;60.99;2003-05-08;1162800
FDX;54.9070;62.05;62.09;60.70;60.90;2003-05-09;1552100
FDX;56.0485;63.34;63.70;61.57;61.89;2003-05-12;1926300
FDX;55.5795;62.81;63.17;62.66;63.15;2003-05-13;1467600
FDX;54.6592;61.77;62.87;61.75;62.81;2003-05-14;1854600
FDX;54.9247;62.07;62.50;61.70;62.00;2003-05-15;2289900
FDX;55.3052;62.50;62.50;61.22;62.07;2003-05-16;1398400
FDX;53.7832;60.78;62.10;60.55;62.00;2003-05-19;1465800
FDX;53.9779;61.00;61.15;60.45;60.78;2003-05-20;1573700
FDX;53.0045;59.90;60.77;59.58;60.67;2003-05-21;1986500
FDX;53.2434;60.17;60.50;59.82;59.90;2003-05-22;1618900
FDX;54.1018;61.14;61.22;60.06;60.30;2003-05-23;998000
FDX;54.9424;62.09;62.26;60.66;61.00;2003-05-27;1355200
FDX;55.0574;62.22;62.81;61.93;62.30;2003-05-28;1249800
FDX;55.4202;62.63;62.97;62.00;62.10;2003-05-29;1779700
FDX;56.6148;63.98;64.35;62.63;62.63;2003-05-30;1810000
FDX;57.1723;64.61;65.25;63.81;63.99;2003-06-02;2497700
FDX;55.7388;62.99;63.95;62.77;63.00;2003-06-03;4223000
FDX;56.8360;64.23;64.40;62.00;62.00;2003-06-04;2599000
FDX;57.0749;64.50;64.50;63.17;63.70;2003-06-05;1591000
FDX;55.9335;63.21;65.35;62.81;64.93;2003-06-06;2140300
FDX;55.5706;62.80;63.45;62.36;63.00;2003-06-09;1092400
FDX;56.3854;63.67;64.01;63.20;63.46;2003-06-10;1444700
FDX;57.1116;64.49;64.50;63.34;63.80;2003-06-11;1033500
FDX;57.5367;64.97;64.99;64.20;64.61;2003-06-12;1991300
FDX;56.5537;63.86;64.95;63.67;64.90;2003-06-13;1236000
FDX;57.6872;65.14;65.14;63.78;63.86;2003-06-16;1680200
FDX;57.1204;64.50;65.35;64.20;65.15;2003-06-17;1450900
FDX;57.1204;64.50;64.99;63.88;64.51;2003-06-18;983700
FDX;56.2526;63.52;64.95;63.45;64.70;2003-06-19;1115200
FDX;55.8009;63.01;64.23;62.50;63.73;2003-06-20;1876200
FDX;54.8976;61.99;63.42;61.99;63.20;2003-06-23;1752900
FDX;53.5515;60.47;61.05;60.10;61.01;2003-06-24;3916900
FDX;52.8696;59.70;60.50;59.01;60.47;2003-06-25;2406200
FDX;55.2784;62.42;62.69;59.20;59.20;2003-06-26;2923900
FDX;55.3847;62.54;63.09;62.16;62.43;2003-06-27;2557500
FDX;54.9330;62.03;62.85;61.31;62.65;2003-06-30;2203400
FDX;54.5434;61.59;61.82;60.64;61.60;2003-07-01;2038700
FDX;55.0570;62.17;62.19;61.26;61.26;2003-07-02;1437000
FDX;54.4814;61.52;62.18;61.51;62.18;2003-07-03;720300
FDX;55.7655;62.97;63.00;61.63;61.65;2003-07-07;1933500
FDX;56.9699;64.33;64.50;62.40;62.40;2003-07-08;1829100
FDX;56.9964;64.36;64.50;63.51;64.25;2003-07-09;1517700
FDX;56.5359;63.84;64.49;63.53;64.28;2003-07-10;1461200
FDX;56.4474;63.74;63.79;63.07;63.72;2003-07-11;1325600
FDX;56.9433;64.30;64.91;64.04;64.35;2003-07-14;1190600
FDX;56.9610;64.32;64.75;63.88;64.50;2003-07-15;1069700
FDX;56.7662;64.10;64.49;63.39;64.32;2003-07-16;1447400
FDX;56.7839;64.12;64.15;63.63;64.08;2003-07-17;1140900
FDX;57.8466;65.32;65.50;63.76;64.12;2003-07-18;1812300
FDX;58.4488;66.00;66.01;65.02;65.32;2003-07-21;1776900
FDX;57.5544;64.99;65.90;64.62;65.90;2003-07-22;2423200
FDX;57.5278;64.96;65.03;64.16;64.96;2003-07-23;869000
FDX;57.1647;64.55;65.50;64.40;65.20;2003-07-24;1210900
FDX;57.7846;65.25;65.31;63.76;64.61;2003-07-25;1641400
FDX;57.7049;65.16;65.35;64.20;65.05;2003-07-28;1654300
FDX;57.4127;64.83;65.45;64.49;65.10;2003-07-29;1523300
FDX;56.5271;63.83;64.84;63.31;64.84;2003-07-30;2059000
FDX;57.0230;64.39;65.14;63.75;64.06;2003-07-31;1821700
FDX;57.2621;64.66;65.00;63.84;63.84;2003-08-01;1466300
FDX;57.2975;64.70;64.88;64.01;64.50;2003-08-04;1277800
FDX;56.6865;64.01;64.93;63.95;64.68;2003-08-05;1502700
FDX;56.8990;64.25;64.80;63.69;63.77;2003-08-06;1475800
FDX;57.0053;64.37;64.64;63.82;64.16;2003-08-07;947500
FDX;57.7404;65.20;65.40;64.40;64.60;2003-08-08;1716300
FDX;58.4577;66.01;66.12;65.28;65.40;2003-08-11;1388600
FDX;59.2281;66.88;66.98;65.99;66.25;2003-08-12;1228200
FDX;59.2193;66.87;67.12;66.55;66.98;2003-08-13;1164300
FDX;59.3344;67.00;67.48;66.65;67.09;2003-08-14;885700
