Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
FE;14.0695;31.01;31.30;30.75;31.30;2003-02-04;2598400
FE;13.9662;30.41;31.02;30.26;31.02;2003-02-05;1300800
FE;13.9800;30.44;30.58;30.15;30.42;2003-02-06;629900
FE;13.4702;29.33;30.48;29.25;30.48;2003-02-07;1320300
FE;13.5942;29.60;29.84;29.31;29.54;2003-02-10;1025300
FE;13.1349;28.60;29.60;28.50;29.60;2003-02-11;1002300
FE;12.6986;27.65;28.61;27.50;28.61;2003-02-12;1967200
FE;13.4059;29.19;29.30;27.04;27.50;2003-02-13;1900500
FE;13.4289;29.24;29.73;28.80;29.45;2003-02-14;1217200
FE;13.5942;29.60;29.72;29.25;29.37;2003-02-18;1086900
FE;13.5942;29.60;29.65;29.34;29.55;2003-02-19;1348400
FE;13.8651;30.19;30.36;29.82;29.88;2003-02-20;1186600
FE;13.9386;30.35;31.05;30.21;30.80;2003-02-21;1524100
FE;13.5896;29.59;30.31;29.45;30.10;2003-02-24;1549500
FE;13.5069;29.41;29.90;29.05;29.25;2003-02-25;1322200
FE;13.2038;28.75;29.43;28.71;29.41;2003-02-26;1127700
FE;13.4656;29.32;29.48;29.01;29.05;2003-02-27;711500
FE;13.5483;29.50;29.78;29.25;29.55;2003-02-28;980000
FE;13.5253;29.45;29.97;29.45;29.75;2003-03-03;614700
FE;13.3967;29.17;29.70;29.07;29.65;2003-03-04;560100
FE;13.7136;29.86;29.86;29.07;29.15;2003-03-05;979000
FE;13.7871;30.02;30.05;29.35;29.60;2003-03-06;992900
FE;13.5483;29.50;29.71;29.10;29.40;2003-03-07;1224000
FE;13.5023;29.40;29.55;29.10;29.40;2003-03-10;836200
FE;13.3416;29.05;29.81;28.97;29.45;2003-03-11;1321400
FE;13.4334;29.25;29.32;28.76;29.05;2003-03-12;1259200
FE;13.6355;29.69;29.75;29.19;29.65;2003-03-13;697400
FE;13.6401;29.70;29.90;29.41;29.75;2003-03-14;771900
FE;13.9157;30.30;30.58;29.78;29.78;2003-03-17;1252700
FE;14.2234;30.97;31.11;30.28;30.44;2003-03-18;1432100
FE;14.2601;31.05;31.19;30.73;31.06;2003-03-19;761800
FE;14.2142;30.95;31.18;30.71;31.05;2003-03-20;974600
FE;14.5862;31.76;31.76;31.00;31.00;2003-03-21;1537100
FE;14.1499;30.81;31.76;30.75;31.76;2003-03-24;846900
FE;14.3841;31.32;31.75;30.87;31.10;2003-03-25;744000
FE;14.2142;30.95;31.35;30.88;31.34;2003-03-26;917200
FE;14.3887;31.33;31.45;30.70;30.87;2003-03-27;585400
FE;14.4346;31.43;31.62;31.20;31.27;2003-03-28;671800
FE;14.4668;31.50;31.89;31.36;31.43;2003-03-31;1057200
FE;14.6964;32.00;32.00;31.50;31.50;2003-04-01;1452700
FE;14.5908;31.77;32.55;31.77;32.55;2003-04-02;1435600
FE;14.6505;31.90;32.16;31.60;32.01;2003-04-03;768300
FE;14.6918;31.99;32.08;31.55;31.90;2003-04-04;1233600
FE;14.4163;31.39;32.50;31.29;32.50;2003-04-07;1775100
FE;14.3703;31.29;31.65;31.22;31.41;2003-04-08;806300
FE;14.3382;31.22;31.64;31.06;31.40;2003-04-09;676600
FE;14.2555;31.04;31.34;30.95;31.22;2003-04-10;1096100
FE;14.0810;30.66;31.17;30.57;31.15;2003-04-11;1076500
FE;14.5862;31.76;31.86;31.15;31.15;2003-04-14;1213400
FE;14.8250;32.28;32.44;31.94;32.17;2003-04-15;1321500
FE;14.8112;32.25;32.50;32.10;32.29;2003-04-16;1210100
FE;14.7653;32.15;32.47;32.03;32.10;2003-04-17;894500
FE;14.7883;32.20;32.50;31.80;32.16;2003-04-21;673200
FE;14.9766;32.61;32.77;31.96;32.20;2003-04-22;767200
FE;15.0409;32.75;32.98;32.49;32.61;2003-04-23;705000
FE;15.4129;33.56;33.83;32.80;32.80;2003-04-24;1009100
FE;15.2659;33.24;33.60;33.09;33.58;2003-04-25;828700
FE;15.4772;33.70;33.97;33.27;33.28;2003-04-28;784900
FE;15.5231;33.80;34.16;33.68;33.78;2003-04-29;802300
FE;15.4909;33.73;33.97;33.37;33.83;2003-04-30;1349700
FE;15.5139;33.78;34.13;33.50;33.73;2003-05-01;1397700
FE;15.4680;33.68;33.95;33.41;33.81;2003-05-02;2563400
FE;15.4796;33.33;33.56;32.75;33.56;2003-05-05;1101100
FE;15.4146;33.19;33.32;32.95;33.30;2003-05-06;858600
FE;15.3449;33.04;33.19;32.77;33.19;2003-05-07;1004800
FE;15.3542;33.06;33.06;32.80;32.94;2003-05-08;947300
FE;15.4006;33.16;33.16;32.80;33.13;2003-05-09;1319600
FE;15.3728;33.10;33.35;32.86;33.24;2003-05-12;1010600
FE;15.4099;33.18;33.38;32.35;33.10;2003-05-13;595000
FE;15.3124;32.97;33.39;32.80;33.23;2003-05-14;788200
FE;15.4889;33.35;33.37;32.98;32.98;2003-05-15;1083300
FE;15.8140;34.05;34.25;33.55;33.55;2003-05-16;1031600
FE;15.6979;33.80;34.09;33.58;33.85;2003-05-19;696500
FE;15.8976;34.23;34.24;33.93;33.95;2003-05-20;753800
FE;15.9487;34.34;34.97;34.16;34.97;2003-05-21;1589900
FE;16.1530;34.78;34.90;34.24;34.34;2003-05-22;954400
FE;16.6964;35.95;36.29;35.00;35.00;2003-05-23;3062000
FE;17.0215;36.65;36.74;35.76;36.00;2003-05-27;1903300
FE;17.0215;36.65;37.06;36.45;36.75;2003-05-28;1096900
FE;16.8357;36.25;37.32;35.93;36.70;2003-05-29;1229500
FE;17.0958;36.81;36.96;36.32;36.32;2003-05-30;1409100
FE;17.2769;37.20;37.34;36.98;37.18;2003-06-02;1164500
FE;17.2166;37.07;37.26;36.86;37.25;2003-06-03;1035400
FE;17.3002;37.25;37.47;36.91;37.00;2003-06-04;1183000
FE;17.1841;37.00;37.45;36.91;37.30;2003-06-05;1439200
FE;16.9565;36.51;37.49;36.25;37.13;2003-06-06;1659700
FE;17.0494;36.71;36.85;36.42;36.55;2003-06-09;1098400
FE;17.1887;37.01;37.64;36.70;36.75;2003-06-10;1445600
FE;17.4999;37.68;37.68;37.25;37.30;2003-06-11;707200
FE;17.3884;37.44;37.85;37.27;37.68;2003-06-12;1209800
FE;17.3002;37.25;37.70;37.18;37.65;2003-06-13;1079100
FE;17.7553;38.23;38.23;37.45;37.55;2003-06-16;609000
FE;17.4813;37.64;38.25;37.50;38.23;2003-06-17;801000
FE;17.4859;37.65;37.87;37.50;37.87;2003-06-18;829000
FE;17.7414;38.20;38.61;37.80;38.00;2003-06-19;1049400
FE;17.6485;38.00;38.36;37.97;38.23;2003-06-20;1105800
FE;17.6485;38.00;38.13;37.83;38.00;2003-06-23;972800
FE;17.6857;38.08;38.30;37.57;37.95;2003-06-24;963000
FE;17.5556;37.80;38.40;37.80;38.08;2003-06-25;749600
FE;17.8528;38.44;38.47;37.52;37.73;2003-06-26;978500
FE;17.3698;37.40;38.41;37.36;38.38;2003-06-27;967000
FE;17.8575;38.45;38.90;38.38;38.40;2003-06-30;1917300
FE;17.8528;38.44;38.75;37.96;38.45;2003-07-01;1309700
FE;17.8807;38.50;38.59;38.17;38.39;2003-07-02;991300
FE;17.8343;38.40;38.60;38.33;38.45;2003-07-03;750600
FE;17.5835;37.86;38.50;37.85;38.40;2003-07-07;1334700
FE;17.2955;37.24;37.72;37.23;37.70;2003-07-08;1679000
FE;16.9565;36.51;37.23;36.49;37.08;2003-07-09;1162600
FE;16.6593;35.87;36.17;35.55;36.12;2003-07-10;950200
FE;16.7800;36.13;36.32;35.88;36.10;2003-07-11;712200
FE;16.8125;36.20;36.70;36.05;36.25;2003-07-14;983300
FE;16.4828;35.49;36.34;35.48;36.27;2003-07-15;891700
FE;16.2087;34.90;35.62;34.74;35.60;2003-07-16;1263700
FE;16.1716;34.82;35.00;34.67;34.90;2003-07-17;1331300
FE;16.2598;35.01;35.19;34.80;35.05;2003-07-18;909700
FE;15.9672;34.38;35.08;34.30;35.08;2003-07-21;638000
FE;16.0323;34.52;34.65;33.90;34.38;2003-07-22;1972400
FE;16.0462;34.55;34.89;34.48;34.60;2003-07-23;721900
FE;16.1484;34.77;34.92;34.20;34.55;2003-07-24;1069700
FE;15.9626;34.37;34.82;34.08;34.65;2003-07-25;1653500
FE;16.0230;34.50;34.73;34.35;34.45;2003-07-28;1344400
FE;15.9069;34.25;34.60;34.15;34.50;2003-07-29;1564700
FE;16.0462;34.55;34.81;34.40;34.40;2003-07-30;928700
FE;16.0183;34.49;34.85;34.33;34.70;2003-07-31;1136600
FE;15.9254;34.29;34.41;34.05;34.35;2003-08-01;696500
FE;15.9069;34.25;34.32;33.92;34.29;2003-08-04;3893700
FE;14.7118;31.33;34.16;30.75;34.00;2003-08-05;5477200
FE;14.9184;31.77;31.83;30.80;31.10;2003-08-06;3653500
FE;14.7259;31.36;31.90;31.09;31.90;2003-08-07;2722500
FE;14.6132;31.12;31.13;30.48;31.11;2003-08-08;3279100
FE;14.5803;31.05;31.33;30.90;31.09;2003-08-11;1163300
FE;14.6742;31.25;31.33;30.84;31.05;2003-08-12;1078700
FE;14.6273;31.15;31.40;30.89;31.24;2003-08-13;1042800
FE;14.5615;31.01;31.23;30.88;31.13;2003-08-14;1123000
FE;14.3737;30.61;30.95;30.30;30.50;2003-08-15;1335300
FE;13.0307;27.75;27.92;25.82;26.60;2003-08-18;16811100
