Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
FITB;31.2832;52.43;52.64;51.42;51.95;2003-02-04;3793800
FITB;31.0744;52.08;53.00;51.72;52.46;2003-02-05;2513800
FITB;31.4801;52.76;53.15;51.91;51.94;2003-02-06;2416500
FITB;31.3847;52.60;53.33;52.15;52.79;2003-02-07;2048800
FITB;31.5875;52.94;53.10;52.16;52.61;2003-02-10;1767300
FITB;31.3250;52.50;53.36;52.30;53.11;2003-02-11;1972500
FITB;31.2057;52.30;52.89;52.09;52.33;2003-02-12;1738200
FITB;31.3727;52.58;52.83;51.69;52.14;2003-02-13;1542500
FITB;31.8859;53.44;53.68;52.20;52.36;2003-02-14;1582400
FITB;32.0529;53.72;54.09;53.58;53.78;2003-02-18;1408900
FITB;31.9575;53.56;53.77;53.07;53.59;2003-02-19;1144700
FITB;31.8620;53.40;54.00;53.13;53.71;2003-02-20;1299200
FITB;32.5362;54.53;54.79;53.10;53.86;2003-02-21;2257700
FITB;32.0231;53.67;54.32;53.64;54.20;2003-02-24;1835900
FITB;31.9396;53.53;53.70;52.61;53.40;2003-02-25;1808400
FITB;31.3489;52.54;53.50;52.40;53.48;2003-02-26;1477700
FITB;31.8560;53.39;53.49;52.39;52.91;2003-02-27;3668500
FITB;31.6890;53.11;53.77;52.84;53.39;2003-02-28;3470500
FITB;31.5756;52.92;53.97;52.64;53.40;2003-03-03;1812000
FITB;31.5637;52.90;53.18;52.61;52.85;2003-03-04;1776700
FITB;31.3429;52.53;53.15;52.17;52.61;2003-03-05;3199200
FITB;30.4002;50.95;52.44;50.85;52.34;2003-03-06;2760800
FITB;31.0088;51.97;52.10;50.34;50.35;2003-03-07;3810100
FITB;30.2510;50.70;51.64;50.48;51.51;2003-03-10;1839300
FITB;30.2570;50.71;51.31;50.40;50.49;2003-03-11;2572300
FITB;29.0159;48.63;50.09;47.05;50.05;2003-03-12;7580200
FITB;29.7140;49.80;50.00;48.75;48.85;2003-03-13;3490200
FITB;29.9407;50.18;50.65;49.34;50.04;2003-03-14;2907300
FITB;30.7880;51.60;51.71;49.78;49.90;2003-03-17;3134400
FITB;30.9670;51.90;52.24;51.22;51.80;2003-03-18;2364200
FITB;31.8560;53.39;53.45;51.57;51.75;2003-03-19;3072800
FITB;31.6532;53.05;53.37;52.13;53.12;2003-03-20;3249600
FITB;32.4169;54.33;54.62;52.53;53.67;2003-03-21;2674200
FITB;30.9909;51.94;53.77;51.93;53.18;2003-03-24;2596300
FITB;31.3787;52.59;52.69;51.75;52.32;2003-03-25;2831500
FITB;30.9073;51.80;52.44;51.63;52.01;2003-03-26;1939600
FITB;31.8248;53.07;54.50;51.09;51.35;2003-03-27;6366500
FITB;30.8593;51.46;52.83;51.26;52.44;2003-03-28;3699400
FITB;30.1218;50.23;51.01;50.10;51.00;2003-03-31;3202000
FITB;29.9298;49.91;50.50;49.36;50.42;2003-04-01;3904800
FITB;30.1877;50.34;50.91;49.93;50.25;2003-04-02;2923000
FITB;29.4141;49.05;50.47;49.05;50.33;2003-04-03;2554000
FITB;29.7679;49.64;49.80;49.08;49.30;2003-04-04;2115700
FITB;29.6240;49.40;51.20;49.04;50.75;2003-04-07;2310900
FITB;29.3901;49.01;49.53;48.77;49.20;2003-04-08;2995000
FITB;28.6585;47.79;49.50;47.75;49.44;2003-04-09;3350400
FITB;29.1503;48.61;48.98;48.09;48.24;2003-04-10;2941200
FITB;29.1862;48.67;49.60;48.57;49.16;2003-04-11;2146500
FITB;29.9478;49.94;50.00;48.65;49.02;2003-04-14;2438600
FITB;29.9778;49.99;50.11;48.56;49.35;2003-04-15;4310600
FITB;29.2342;48.75;50.01;48.68;49.79;2003-04-16;2486900
FITB;29.6480;49.44;49.65;48.33;48.70;2003-04-17;2814900
FITB;29.5161;49.22;49.99;49.09;49.78;2003-04-21;1879400
FITB;29.5341;49.25;49.25;48.31;49.00;2003-04-22;2849700
FITB;29.2462;48.77;49.15;48.50;48.87;2003-04-23;2756300
FITB;28.6226;47.73;48.81;47.24;48.60;2003-04-24;2813000
FITB;29.1862;48.67;48.90;47.82;47.83;2003-04-25;3304300
FITB;29.8339;49.75;50.07;48.59;48.65;2003-04-28;2594200
FITB;29.7320;49.58;50.23;48.70;49.70;2003-04-29;3598300
FITB;29.5161;49.22;49.84;49.06;49.36;2003-04-30;2164100
FITB;29.2282;48.74;49.22;48.00;49.00;2003-05-01;2562700
FITB;30.3077;50.54;50.82;48.54;48.55;2003-05-02;2583600
FITB;30.0018;50.03;50.78;49.88;50.69;2003-05-05;2408500
FITB;30.9913;51.68;51.94;50.20;50.52;2003-05-06;3413000
FITB;30.6195;51.06;51.45;50.64;51.04;2003-05-07;2443900
FITB;30.4036;50.70;51.12;50.00;50.70;2003-05-08;2605100
FITB;30.5115;50.88;51.32;50.25;50.69;2003-05-09;1423200
FITB;30.7334;51.25;51.38;50.50;51.00;2003-05-12;2773300
FITB;30.8833;51.50;51.88;50.95;51.15;2003-05-13;1999200
FITB;30.9493;51.61;51.71;51.00;51.34;2003-05-14;2389200
FITB;31.0633;51.80;52.04;51.53;51.76;2003-05-15;2752300
FITB;31.4650;52.47;53.31;51.91;51.94;2003-05-16;3093700
FITB;31.1832;52.00;52.77;51.83;52.45;2003-05-19;1992900
FITB;31.2371;52.09;52.48;51.83;51.90;2003-05-20;2457500
FITB;31.3211;52.23;52.48;51.79;51.91;2003-05-21;1639100
FITB;30.8414;51.43;52.49;51.25;52.31;2003-05-22;2301700
FITB;31.2431;52.10;52.39;51.19;51.48;2003-05-23;2306400
FITB;32.2446;53.77;53.92;51.65;52.00;2003-05-27;2565900
FITB;33.1501;55.28;55.30;53.11;53.63;2003-05-28;4354700
FITB;33.5099;55.88;55.97;55.25;55.28;2003-05-29;5107300
FITB;34.4214;57.40;57.66;55.89;56.01;2003-05-30;3239500
FITB;34.4274;57.41;57.86;56.55;57.82;2003-06-02;3443100
FITB;34.6793;57.83;58.33;57.09;57.42;2003-06-03;2988700
FITB;35.3569;58.96;59.19;57.65;57.80;2003-06-04;2295800
FITB;35.4769;59.16;59.45;58.54;58.56;2003-06-05;2496700
FITB;34.8172;58.06;59.65;57.61;59.27;2003-06-06;5234300
FITB;34.8892;58.18;58.34;57.35;57.82;2003-06-09;3083700
FITB;35.0091;58.38;58.84;57.88;58.62;2003-06-10;2285600
FITB;35.6808;59.50;59.50;57.90;58.31;2003-06-11;2935300
FITB;35.5428;59.27;59.74;58.83;59.59;2003-06-12;2108700
FITB;35.1111;58.55;59.90;58.13;59.41;2003-06-13;1881900
FITB;35.9746;59.99;60.00;58.64;58.75;2003-06-16;1926500
FITB;36.0885;60.18;60.49;59.02;59.99;2003-06-17;2415600
FITB;36.0705;60.15;60.47;59.36;60.10;2003-06-18;2011200
FITB;35.4229;59.07;60.47;59.06;60.06;2003-06-19;2788400
FITB;35.7227;59.57;59.85;58.70;59.75;2003-06-20;2726300
FITB;35.3749;58.99;59.31;58.53;58.98;2003-06-23;2334400
FITB;35.2490;58.78;59.46;58.60;59.00;2003-06-24;1935500
FITB;34.8532;58.12;59.72;58.06;58.46;2003-06-25;2170800
FITB;35.1847;58.38;58.95;57.54;57.75;2003-06-26;1488800
FITB;34.9556;58.00;58.52;57.90;58.34;2003-06-27;1559300
FITB;34.6061;57.42;58.50;57.26;57.99;2003-06-30;1590600
FITB;34.8472;57.82;58.12;55.95;57.30;2003-07-01;2152000
FITB;34.7869;57.72;58.19;57.32;57.81;2003-07-02;1959700
FITB;34.6965;57.57;58.54;57.27;57.57;2003-07-03;1125600
FITB;35.3836;58.71;59.18;57.96;58.02;2003-07-07;1567100
FITB;35.0039;58.08;58.69;57.80;57.95;2003-07-08;1803700
FITB;34.3650;57.02;58.04;56.97;57.88;2003-07-09;2424900
FITB;34.2264;56.79;57.25;56.11;56.70;2003-07-10;2084700
FITB;34.0878;56.56;57.30;56.32;57.09;2003-07-11;1461500
FITB;34.7387;57.64;58.75;57.00;57.19;2003-07-14;2542500
FITB;34.9798;58.04;58.79;57.50;58.04;2003-07-15;2455700
FITB;33.8949;56.24;57.90;55.80;57.75;2003-07-16;2719500
FITB;33.3043;55.26;56.15;55.20;55.96;2003-07-17;2526700
FITB;33.6780;55.88;56.01;55.12;55.90;2003-07-18;1294900
FITB;32.9427;54.66;55.90;54.56;55.80;2003-07-21;1536100
FITB;33.5032;55.59;56.37;54.80;54.80;2003-07-22;1902700
FITB;33.6599;55.85;56.05;55.25;55.45;2003-07-23;1064000
FITB;33.1416;54.99;56.70;54.92;56.35;2003-07-24;2166800
FITB;34.0516;56.50;56.66;54.95;54.96;2003-07-25;1690500
FITB;33.6297;55.80;56.16;55.20;56.02;2003-07-28;1165000
FITB;33.2862;55.23;56.26;55.09;56.01;2003-07-29;1636500
FITB;33.2922;55.24;55.98;54.87;55.79;2003-07-30;1563500
FITB;33.1536;55.01;56.38;54.93;55.45;2003-07-31;1836700
FITB;32.6655;54.20;55.01;53.85;54.72;2003-08-01;1761300
FITB;32.5208;53.96;54.30;52.75;54.30;2003-08-04;2036300
FITB;31.8036;52.77;54.26;52.58;54.19;2003-08-05;2343100
FITB;31.9844;53.07;53.85;52.50;53.29;2003-08-06;1988300
FITB;32.4666;53.87;54.02;52.73;53.15;2003-08-07;1679600
FITB;32.6112;54.11;54.21;53.70;53.90;2003-08-08;1111100
FITB;31.9664;53.04;54.44;52.76;54.25;2003-08-11;1664900
FITB;32.7800;54.39;54.48;53.30;53.70;2003-08-12;1904800
FITB;33.1476;55.00;55.09;54.44;54.51;2003-08-13;2005200
FITB;33.7141;55.94;55.95;54.47;54.90;2003-08-14;1883200
FITB;33.7382;55.98;56.00;54.76;55.89;2003-08-15;779900
FITB;33.8467;56.16;56.56;56.00;56.04;2003-08-18;1258500
FITB;34.0396;56.48;56.55;55.94;56.33;2003-08-19;1240500
FITB;34.0998;56.58;57.13;56.17;56.51;2003-08-20;1265700
FITB;34.6965;57.57;58.14;56.43;56.51;2003-08-21;2563200
FITB;34.3771;57.04;57.97;56.49;57.25;2003-08-22;2972700
FITB;34.7990;57.74;57.79;56.75;56.90;2003-08-25;2291700
FITB;35.2570;58.50;58.50;57.29;57.73;2003-08-26;1991200
FITB;35.0340;58.13;58.27;57.86;58.25;2003-08-27;1357100
FITB;35.1726;58.36;58.45;57.60;57.67;2003-08-28;1103000
FITB;35.3173;58.60;58.77;57.87;58.07;2003-08-29;947600
FITB;35.6970;59.23;59.44;58.07;58.48;2003-09-02;1764000
FITB;35.4559;58.83;59.06;58.51;58.90;2003-09-03;1378100
FITB;35.3956;58.73;59.15;58.51;58.74;2003-09-04;1331400
FITB;35.2751;58.53;58.92;58.21;58.49;2003-09-05;1646300
FITB;35.2691;58.52;59.19;58.30;58.30;2003-09-08;1796000
FITB;35.4559;58.83;58.83;57.80;58.13;2003-09-09;2630400
FITB;35.1003;58.24;58.46;57.92;58.00;2003-09-10;4306900
FITB;35.3836;58.71;58.90;58.20;58.25;2003-09-11;2186200
FITB;35.4800;58.87;59.00;58.16;58.84;2003-09-12;1832900
FITB;35.1063;58.25;59.15;57.80;59.00;2003-09-15;2092400
FITB;35.1063;58.25;58.46;57.85;58.05;2003-09-16;2179600
FITB;34.6724;57.53;58.37;57.51;58.25;2003-09-17;2496100
FITB;35.0280;58.12;58.40;57.51;57.55;2003-09-18;2197100
FITB;35.1666;58.35;58.76;57.87;57.87;2003-09-19;2575500
FITB;34.8291;57.79;58.19;57.63;58.05;2003-09-22;1884300
FITB;34.7929;57.73;58.09;57.48;57.65;2003-09-23;1817700
FITB;34.0938;56.57;57.63;56.54;57.60;2003-09-24;2249100
FITB;34.1481;56.66;57.22;56.00;56.59;2003-09-25;2333000
FITB;34.2510;56.54;57.29;56.30;56.39;2003-09-26;1593300
FITB;34.3056;56.63;56.74;56.26;56.30;2003-09-29;1604800
FITB;33.6453;55.54;56.70;55.26;56.40;2003-09-30;2403400
FITB;34.8144;57.47;57.80;55.47;55.65;2003-10-01;2708600
FITB;34.7599;57.38;57.80;56.55;57.80;2003-10-02;1387100
FITB;35.3051;58.28;59.00;57.86;57.88;2003-10-03;2052800
FITB;35.5232;58.64;59.00;57.80;58.20;2003-10-06;1121000
FITB;35.8079;59.11;59.12;58.10;58.69;2003-10-07;1611900
FITB;35.4565;58.53;59.24;58.19;59.12;2003-10-08;1250300
FITB;35.8261;59.14;59.86;58.75;59.07;2003-10-09;1839500
FITB;35.8624;59.20;59.46;58.85;59.14;2003-10-10;1269600
FITB;36.3471;60.00;60.01;59.20;59.38;2003-10-13;1420600
FITB;35.2930;58.26;59.10;57.10;58.62;2003-10-14;6253900
FITB;34.5479;57.03;58.55;56.94;58.55;2003-10-15;3343700
FITB;34.4449;56.86;57.30;56.45;57.01;2003-10-16;2230800
FITB;33.9542;56.05;56.92;55.88;56.79;2003-10-17;2424700
FITB;33.9905;56.11;56.21;55.67;56.09;2003-10-20;1405400
FITB;33.9784;56.09;56.59;56.01;56.25;2003-10-21;1113100
FITB;33.8452;55.87;56.06;55.49;55.85;2003-10-22;1110400
FITB;34.1602;56.39;56.50;55.86;55.90;2003-10-23;994800
FITB;34.3601;56.72;56.76;55.90;56.29;2003-10-24;1203400
FITB;34.7296;57.33;57.60;56.72;56.97;2003-10-27;2153800
FITB;34.9295;57.66;57.86;56.83;57.18;2003-10-28;1737700
FITB;34.6388;57.18;57.73;57.00;57.59;2003-10-29;2200100
FITB;35.0931;57.93;57.99;57.19;57.72;2003-10-30;1319400
FITB;35.2385;58.17;58.56;57.76;58.17;2003-10-31;1570700
FITB;35.2930;58.26;58.50;57.76;57.85;2003-11-03;1178300
FITB;35.5716;58.72;58.99;57.59;57.95;2003-11-04;1795100
FITB;35.3899;58.42;58.75;58.33;58.68;2003-11-05;1840500
FITB;35.6686;58.88;59.01;57.96;58.48;2003-11-06;1500800
FITB;35.5353;58.66;59.17;58.51;58.70;2003-11-07;2015300
FITB;35.5171;58.63;59.13;58.40;58.60;2003-11-10;1153700
