Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
FLIR;5.1955;5.9425;5.9538;5.7825;5.7925;2003-02-04;1136800
FLIR;4.9693;5.6838;6.1000;5.5700;5.9538;2003-02-05;3424000
FLIR;5.0786;5.8088;6.0538;5.7312;5.7375;2003-02-06;4062400
FLIR;5.0775;5.8075;5.9237;5.8075;5.8587;2003-02-07;1541600
FLIR;5.1201;5.8562;5.9225;5.7175;5.8425;2003-02-10;1849600
FLIR;5.2021;5.9500;6.0212;5.8513;5.8800;2003-02-11;1943200
FLIR;5.1114;5.8463;6.0437;5.8350;5.9637;2003-02-12;1478400
FLIR;5.1584;5.9000;5.9875;5.8488;5.8888;2003-02-13;2374400
FLIR;5.0228;5.7450;5.9450;5.7000;5.9050;2003-02-14;2953600
FLIR;5.0250;5.7475;5.8488;5.7075;5.7937;2003-02-18;1859200
FLIR;4.9398;5.6500;5.8100;5.6312;5.7238;2003-02-19;1506400
FLIR;4.9332;5.6425;5.8050;5.4850;5.4975;2003-02-20;2076800
FLIR;4.9179;5.6250;5.6625;5.5738;5.6200;2003-02-21;1264800
FLIR;4.7310;5.4113;5.6537;5.3863;5.6075;2003-02-24;2326400
FLIR;4.6436;5.3113;5.3463;5.1250;5.3063;2003-02-25;3582400
FLIR;4.7813;5.4688;5.4950;5.2550;5.3100;2003-02-26;3063200
FLIR;4.8185;5.5113;5.5700;5.4250;5.4250;2003-02-27;1328800
FLIR;4.8316;5.5262;5.5738;5.4513;5.4513;2003-02-28;1582400
FLIR;4.7157;5.3938;5.6625;5.3038;5.5413;2003-03-03;2687200
FLIR;4.7529;5.4363;5.4913;5.3288;5.3888;2003-03-04;1745600
FLIR;4.6152;5.2787;5.4375;5.2438;5.4250;2003-03-05;2119200
FLIR;4.7365;5.4175;5.4425;5.2263;5.3000;2003-03-06;1483200
FLIR;4.7485;5.4313;5.4450;5.3500;5.3500;2003-03-07;1502400
FLIR;4.6535;5.3225;5.4375;5.2762;5.4200;2003-03-10;1305600
FLIR;4.5573;5.2125;5.3313;5.1863;5.2925;2003-03-11;2060000
FLIR;4.5791;5.2375;5.2838;5.1875;5.2362;2003-03-12;2818400
FLIR;4.7759;5.4625;5.4688;5.2450;5.3000;2003-03-13;1620000
FLIR;4.8086;5.5000;5.5000;5.4288;5.4688;2003-03-14;1471200
FLIR;5.1780;5.9225;5.9625;5.4788;5.4788;2003-03-17;4624800
FLIR;5.1092;5.8438;6.0500;5.7712;5.9563;2003-03-18;3415200
FLIR;5.1584;5.9000;5.9237;5.8313;5.8313;2003-03-19;1513600
FLIR;5.1518;5.8925;5.9350;5.8012;5.8775;2003-03-20;1589600
FLIR;5.1474;5.8875;6.0150;5.8162;5.9225;2003-03-21;1828800
FLIR;5.0349;5.7587;5.8975;5.7300;5.8612;2003-03-24;1012800
FLIR;5.1715;5.9150;5.9387;5.7425;5.7425;2003-03-25;1169600
FLIR;5.1212;5.8575;5.9313;5.8488;5.9313;2003-03-26;1304800
FLIR;5.1365;5.8750;5.9088;5.8412;5.8750;2003-03-27;1058400
FLIR;5.1136;5.8488;5.8812;5.7987;5.8625;2003-03-28;884000
FLIR;5.1813;5.9262;5.9812;5.8012;5.8187;2003-03-31;1625600
FLIR;5.2982;6.0600;6.1512;5.9250;5.9375;2003-04-01;2634400
FLIR;5.3846;6.1588;6.2463;6.0687;6.0825;2003-04-02;1727200
FLIR;5.3223;6.0875;6.2087;6.0712;6.1762;2003-04-03;1572800
FLIR;5.3398;6.1075;6.1188;6.0250;6.0650;2003-04-04;1266400
FLIR;5.2567;6.0125;6.2750;5.9600;6.1312;2003-04-07;2999200
FLIR;5.2414;5.9950;6.0325;5.9313;5.9887;2003-04-08;816800
FLIR;5.1966;5.9437;6.0625;5.8850;5.9775;2003-04-09;1092000
FLIR;5.1595;5.9012;5.9513;5.8362;5.9437;2003-04-10;2131200
FLIR;5.2578;6.0138;6.0237;5.8975;5.9237;2003-04-11;1437600
