Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
FOX;38.0811;39.20;39.3000;38.00;38.60;2019-03-13;306000
FOX;38.8194;39.96;40.6500;39.32;39.50;2019-03-14;279700
FOX;39.8492;41.02;41.0500;40.50;40.55;2019-03-15;164200
FOX;39.6937;40.86;41.7300;40.47;41.73;2019-03-18;581700
FOX;38.4211;39.55;41.4000;39.05;41.40;2019-03-19;2540200
FOX;36.5268;37.60;39.8510;37.46;39.85;2019-03-20;5147900
FOX;37.7702;38.88;38.9100;37.84;38.00;2019-03-21;8865500
FOX;36.3908;37.46;38.8400;36.55;38.76;2019-03-22;4902500
FOX;35.4096;36.45;37.8100;36.35;37.57;2019-03-25;4035100
FOX;35.6622;36.71;37.3500;36.46;36.46;2019-03-26;3350900
FOX;35.1667;36.20;37.1700;36.06;36.75;2019-03-27;2871300
FOX;34.6519;35.67;36.4700;35.55;36.14;2019-03-28;2220600
FOX;34.8559;35.88;36.1700;35.39;35.88;2019-03-29;2679200
FOX;35.1182;36.15;36.3400;35.94;36.17;2019-04-01;4338400
FOX;34.6810;35.70;36.4600;35.21;36.21;2019-04-02;1491200
FOX;34.4867;35.50;35.8900;35.30;35.78;2019-04-03;2831600
FOX;35.0016;36.03;36.0700;35.39;35.56;2019-04-04;2223200
FOX;35.9245;36.98;37.0900;35.94;35.99;2019-04-05;2116200
FOX;35.7982;36.85;36.9400;36.65;36.94;2019-04-08;1929000
FOX;35.8370;36.89;37.0700;36.59;36.81;2019-04-09;1793900
FOX;34.9044;35.93;37.0500;35.86;36.91;2019-04-10;843600
FOX;35.3707;36.41;36.5000;35.53;35.98;2019-04-11;978200
FOX;35.8953;36.95;37.0800;35.92;36.47;2019-04-12;3175200
FOX;35.9245;36.98;36.9900;36.47;36.91;2019-04-15;891200
FOX;36.1479;37.21;37.2800;36.93;37.11;2019-04-16;1869000
FOX;37.1194;38.21;38.2500;37.18;37.18;2019-04-17;2122100
FOX;36.8376;37.92;38.3700;37.92;38.34;2019-04-18;2315200
FOX;36.1770;37.24;37.8800;37.11;37.84;2019-04-22;1665000
FOX;36.5268;37.60;37.8200;37.07;37.22;2019-04-23;5455100
FOX;36.3811;37.45;37.7600;37.33;37.51;2019-04-24;1230800
FOX;36.5656;37.64;37.6800;37.04;37.48;2019-04-25;1422800
FOX;36.8279;37.91;37.9400;37.40;37.80;2019-04-26;2505700
