Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
FOXA;36.9243;38.00;38.00;38.00;38.00;2019-03-12;10000
FOXA;38.6248;39.75;39.90;38.70;39.00;2019-03-13;20477400
FOXA;39.4993;40.65;41.40;39.75;39.75;2019-03-14;6248600
FOXA;40.5196;41.70;41.87;41.24;41.38;2019-03-15;7107300
FOXA;40.5196;41.70;41.95;41.05;41.95;2019-03-18;4020900
FOXA;39.1981;40.34;41.70;39.84;41.55;2019-03-19;10118500
FOXA;37.5267;38.62;40.81;38.24;40.49;2019-03-20;15683200
FOXA;38.8871;40.02;40.07;38.75;39.00;2019-03-21;12751700
FOXA;37.6239;38.72;39.99;37.69;39.93;2019-03-22;10898000
FOXA;36.3801;37.44;38.96;37.39;38.89;2019-03-25;9338900
FOXA;36.4773;37.54;38.28;37.51;37.65;2019-03-26;6287100
FOXA;35.8749;36.92;37.91;36.76;37.52;2019-03-27;5578100
FOXA;35.3696;36.40;37.15;36.34;36.85;2019-03-28;5326200
FOXA;35.6708;36.71;36.91;36.15;36.55;2019-03-29;5895300
FOXA;35.8068;36.85;37.15;36.71;36.91;2019-04-01;5311200
FOXA;35.2530;36.28;37.18;35.90;36.96;2019-04-02;6704600
FOXA;35.0586;36.08;36.56;35.90;36.37;2019-04-03;8393500
FOXA;35.7194;36.76;36.80;36.01;36.20;2019-04-04;4908400
FOXA;36.6134;37.68;37.85;36.69;36.79;2019-04-05;7344900
FOXA;36.4093;37.47;37.68;37.27;37.60;2019-04-08;3393300
FOXA;36.2538;37.31;37.65;37.17;37.42;2019-04-09;5725900
FOXA;35.4473;36.48;37.53;36.36;37.33;2019-04-10;4828400
FOXA;36.0401;37.09;37.16;35.99;36.57;2019-04-11;4791400
FOXA;36.4676;37.53;37.62;36.47;37.15;2019-04-12;6368500
FOXA;36.4676;37.53;37.57;36.99;37.46;2019-04-15;3927100
FOXA;36.6814;37.75;37.85;37.47;37.67;2019-04-16;5722000
FOXA;37.7405;38.84;38.85;37.76;37.87;2019-04-17;7603800
FOXA;37.3518;38.44;39.00;38.43;38.91;2019-04-18;4737400
FOXA;36.6328;37.70;38.44;37.62;38.36;2019-04-22;7675300
FOXA;37.0020;38.08;38.39;37.63;37.79;2019-04-23;6328800
FOXA;36.8854;37.96;38.31;37.81;37.95;2019-04-24;5323500
FOXA;37.0700;38.15;38.20;37.54;37.98;2019-04-25;5309700
FOXA;37.3907;38.48;38.53;37.90;38.08;2019-04-26;5297400
FOXA;38.0903;39.20;39.53;38.31;38.54;2019-04-29;6885200
FOXA;37.8863;38.99;39.33;38.47;39.19;2019-04-30;5044400
FOXA;38.2847;39.40;39.49;38.66;39.12;2019-05-01;5149800
FOXA;36.2247;37.28;39.47;37.08;39.23;2019-05-02;11495900
FOXA;36.4093;37.47;37.75;37.12;37.41;2019-05-03;4809800
FOXA;36.8466;37.92;37.99;36.96;37.17;2019-05-06;4801300
FOXA;36.2052;37.26;37.81;37.12;37.58;2019-05-07;6053300
FOXA;36.3607;37.42;37.70;36.86;37.34;2019-05-08;8635300
FOXA;37.4101;38.50;39.25;37.51;38.50;2019-05-09;15210200
FOXA;37.4393;38.53;38.75;37.44;38.64;2019-05-10;6742500
FOXA;36.8951;37.97;38.68;37.73;37.77;2019-05-13;5604000
FOXA;36.8174;37.89;38.52;37.87;38.05;2019-05-14;6198600
FOXA;36.6425;37.71;37.97;37.57;37.70;2019-05-15;2975400
FOXA;35.7000;36.74;38.08;36.70;37.91;2019-05-16;8704900
FOXA;36.4920;37.32;37.59;36.55;36.56;2019-05-17;5508000
FOXA;36.3160;37.14;37.64;37.00;37.18;2019-05-20;3670000
FOXA;36.8538;37.69;38.00;37.10;37.26;2019-05-21;4668600
FOXA;36.2964;37.12;37.76;37.06;37.66;2019-05-22;3431200
FOXA;36.0911;36.91;37.08;36.63;36.82;2019-05-23;4431900
FOXA;36.1009;36.92;37.21;36.85;37.05;2019-05-24;2879000
FOXA;35.8271;36.64;37.34;36.51;36.97;2019-05-28;4380400
FOXA;34.9959;35.79;36.65;35.79;36.50;2019-05-29;3691300
FOXA;34.4386;35.22;36.16;35.15;35.88;2019-05-30;4730400
FOXA;34.4484;35.23;35.27;34.70;34.97;2019-05-31;6706100
FOXA;33.4803;34.24;35.30;33.78;35.05;2019-06-03;7665000
FOXA;33.7150;34.48;35.25;34.15;34.52;2019-06-04;8058900
FOXA;33.5977;34.36;34.98;34.28;34.62;2019-06-05;6240600
FOXA;33.3630;34.12;34.66;33.98;34.66;2019-06-06;5288300
FOXA;33.2554;34.01;34.44;34.00;34.18;2019-06-07;4226800
FOXA;33.2750;34.03;34.40;33.90;34.05;2019-06-10;5620500
FOXA;33.4217;34.18;34.41;34.01;34.23;2019-06-11;3166900
FOXA;34.2724;35.05;35.10;34.16;34.20;2019-06-12;4426800
FOXA;34.5070;35.29;35.50;34.96;35.17;2019-06-13;4384800
FOXA;34.4581;35.24;35.50;34.93;35.24;2019-06-14;4362200
FOXA;35.3284;36.13;36.33;35.34;35.42;2019-06-17;7195400
FOXA;35.3871;36.19;37.05;36.08;36.45;2019-06-18;4938900
FOXA;35.1915;35.99;36.42;35.68;36.26;2019-06-19;4790000
FOXA;34.7906;35.58;36.48;35.56;36.38;2019-06-20;5916500
FOXA;35.3773;36.18;37.30;35.31;35.61;2019-06-21;11402200
FOXA;35.0057;35.80;36.07;35.61;36.01;2019-06-24;5280100
FOXA;34.5559;35.34;35.86;35.14;35.78;2019-06-25;7204300
FOXA;34.6830;35.47;36.10;35.33;35.79;2019-06-26;4297300
FOXA;35.1915;35.99;36.33;35.20;35.53;2019-06-27;5083900
FOXA;35.8271;36.64;36.76;35.81;35.98;2019-06-28;10930000
FOXA;35.1231;35.92;36.99;35.74;36.46;2019-07-01;6396600
FOXA;35.7782;36.59;36.62;35.92;36.01;2019-07-02;3599500
FOXA;35.5435;36.35;36.82;36.27;36.60;2019-07-03;3160300
FOXA;35.7880;36.60;36.80;36.08;36.24;2019-07-05;1982000
FOXA;35.3284;36.13;36.68;36.08;36.53;2019-07-08;1644600
FOXA;35.2208;36.02;36.27;35.82;36.03;2019-07-09;2379600
FOXA;35.3382;36.14;36.43;36.08;36.19;2019-07-10;2400700
FOXA;35.4848;36.29;36.35;35.85;36.17;2019-07-11;2987000
FOXA;36.1400;36.96;37.04;36.10;36.46;2019-07-12;2755700
FOXA;36.1889;37.01;37.16;36.64;37.03;2019-07-15;2861600
FOXA;35.8760;36.69;37.11;36.63;36.93;2019-07-16;2721500
FOXA;35.3675;36.17;36.76;36.11;36.73;2019-07-17;5740500
FOXA;35.7391;36.55;36.72;35.96;36.17;2019-07-18;5286800
FOXA;35.6217;36.43;36.74;36.14;36.70;2019-07-19;4402000
FOXA;35.2991;36.10;36.61;36.06;36.51;2019-07-22;7865700
FOXA;35.4164;36.22;36.39;35.84;36.19;2019-07-23;5573600
FOXA;35.7880;36.60;36.86;36.13;36.13;2019-07-24;5980600
FOXA;36.3453;37.17;37.34;36.63;36.63;2019-07-25;3251600
FOXA;36.3844;37.21;37.80;37.08;37.29;2019-07-26;2669100
FOXA;36.6778;37.51;37.57;37.07;37.16;2019-07-29;2130600
FOXA;36.9809;37.82;37.98;37.32;37.35;2019-07-30;2971800
FOXA;36.4920;37.32;37.69;36.81;37.67;2019-07-31;5280600
FOXA;36.0715;36.89;37.49;36.73;37.25;2019-08-01;3280700
FOXA;35.8173;36.63;36.96;36.33;36.73;2019-08-02;2419000
FOXA;35.2502;36.05;36.56;35.77;36.47;2019-08-05;4517200
FOXA;35.6413;36.45;36.60;35.93;36.16;2019-08-06;3366700
FOXA;36.2182;37.04;37.15;35.80;35.89;2019-08-07;4657400
FOXA;34.3506;35.13;37.25;35.00;37.22;2019-08-08;9539900
FOXA;34.6146;35.40;35.65;34.98;35.11;2019-08-09;4234400
FOXA;34.1746;34.95;35.32;34.70;35.04;2019-08-12;4172900
FOXA;34.2821;35.06;35.59;34.80;34.84;2019-08-13;2940800
FOXA;32.9425;33.69;34.75;33.38;34.70;2019-08-14;7489800
FOXA;32.0234;32.75;34.09;32.73;33.88;2019-08-15;7037700
FOXA;32.2581;32.99;33.30;32.67;33.00;2019-08-16;3230900
FOXA;33.1185;33.87;34.03;33.29;33.32;2019-08-19;3915100
FOXA;32.8447;33.59;34.05;33.52;33.83;2019-08-20;2810700
FOXA;32.6687;33.41;33.73;33.01;33.64;2019-08-21;3050400
FOXA;32.3167;33.05;33.54;32.95;33.38;2019-08-22;3725400
FOXA;31.0456;31.75;33.09;31.63;32.93;2019-08-23;3866200
FOXA;31.3682;32.08;32.14;31.58;31.84;2019-08-26;3235600
FOXA;31.2216;31.93;32.38;31.92;32.22;2019-08-27;3449400
FOXA;31.0847;31.79;32.28;31.62;32.05;2019-08-28;3567200
FOXA;32.0136;32.74;33.13;31.88;32.00;2019-08-29;3687100
FOXA;32.4341;33.17;33.72;32.79;33.72;2019-08-30;2924600
FOXA;32.2667;32.77;33.11;32.54;32.66;2019-09-03;2090800
FOXA;33.0445;33.56;33.61;32.90;32.99;2019-09-04;2280900
FOXA;33.7239;34.25;34.41;33.56;33.64;2019-09-05;3946900
FOXA;33.7043;34.23;34.74;34.06;34.32;2019-09-06;2514600
FOXA;33.7732;34.30;34.34;33.39;33.39;2019-09-09;2659800
FOXA;33.7732;34.30;34.72;33.85;33.85;2019-09-10;3198100
FOXA;33.4778;34.00;34.43;33.80;34.28;2019-09-11;3287100
FOXA;33.2710;33.79;34.19;33.67;34.19;2019-09-12;4290500
FOXA;33.3104;33.83;34.21;33.51;33.96;2019-09-13;4606100
FOXA;33.0839;33.60;33.83;33.47;33.68;2019-09-16;2175600
FOXA;32.3553;32.86;33.59;32.79;33.59;2019-09-17;6701300
