Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
GOOGL;50.2202;50.2202;52.0821;48.0280;50.0500;2004-08-19;44659096
GOOGL;54.2092;54.2092;54.5946;50.3003;50.5556;2004-08-20;22834343
GOOGL;54.7548;54.7548;56.7968;54.5796;55.4304;2004-08-23;18256126
GOOGL;52.4875;52.4875;55.8559;51.8368;55.6757;2004-08-24;15247337
GOOGL;53.0531;53.0531;54.0541;51.9920;52.5325;2004-08-25;9188602
GOOGL;54.0090;54.0090;54.0290;52.3824;52.5275;2004-08-26;7094898
GOOGL;53.1281;53.1281;54.3644;52.8979;54.1041;2004-08-27;6211782
GOOGL;51.0561;51.0561;52.7978;51.0561;52.6927;2004-08-30;5196798
GOOGL;51.2362;51.2362;51.9069;51.1311;51.2012;2004-08-31;4917877
GOOGL;50.1752;50.1752;51.5365;49.8849;51.4014;2004-09-01;9138253
GOOGL;50.8058;50.8058;51.2362;49.5195;49.6446;2004-09-02;15118666
GOOGL;50.0551;50.0551;50.9209;49.7097;50.5255;2004-09-03;5152442
GOOGL;50.8408;50.8408;51.0511;49.8549;50.5556;2004-09-07;5847547
GOOGL;51.2012;51.2012;51.5666;50.3003;50.4204;2004-09-08;4985609
GOOGL;51.2062;51.2062;51.4064;50.5506;51.3163;2004-09-09;4061734
GOOGL;52.7177;52.7177;53.3333;50.7007;50.8508;2004-09-10;8698892
GOOGL;53.8038;53.8038;54.2593;53.2833;53.3684;2004-09-13;7844148
GOOGL;55.8008;55.8008;56.0561;53.4484;53.7788;2004-09-14;10828960
GOOGL;56.0561;56.0561;57.1722;55.1552;55.3353;2004-09-15;10713076
GOOGL;57.0420;57.0420;57.9580;55.8809;56.2262;2004-09-16;9266324
GOOGL;58.8038;58.8038;58.8038;56.8318;57.2673;2004-09-17;9472518
GOOGL;59.7397;59.7397;60.8609;58.4434;58.5335;2004-09-20;10628761
GOOGL;58.9790;58.9790;60.2703;58.8138;59.9650;2004-09-21;7228764
GOOGL;59.2492;59.2492;59.8949;58.4635;58.7588;2004-09-22;7581211
GOOGL;60.4705;60.4705;61.3764;58.5686;59.4795;2004-09-23;8535656
GOOGL;59.9750;59.9750;62.1121;59.9399;60.5305;2004-09-24;9123467
GOOGL;59.1892;59.1892;60.5005;58.9590;59.8398;2004-09-27;7066127
GOOGL;63.4935;63.4935;63.7638;60.1652;60.7107;2004-09-28;16929054
GOOGL;65.6056;65.6056;67.5776;63.1782;63.4134;2004-09-29;30516453
GOOGL;64.8649;64.8649;66.2162;64.5646;65.0150;2004-09-30;13758028
GOOGL;66.3564;66.3564;67.1872;64.5145;65.4655;2004-10-01;15124860
GOOGL;67.5976;67.5976;68.5035;67.0821;67.6927;2004-10-04;13022764
GOOGL;69.2543;69.2543;69.3343;66.1862;67.3974;2004-10-05;14973212
GOOGL;68.6086;68.6086;69.2943;68.0681;68.8438;2004-10-06;13381405
GOOGL;69.4945;69.4945;70.0100;68.3433;68.5285;2004-10-07;14115071
GOOGL;68.9339;68.9339;69.9099;68.5786;69.4294;2004-10-08;11069519
GOOGL;67.6977;67.6977;69.4995;66.9920;68.5686;2004-10-11;10472117
GOOGL;68.7688;68.7688;68.8739;66.7668;67.2873;2004-10-12;11665523
GOOGL;70.5205;70.5205;71.8468;70.1101;71.7317;2004-10-13;19766214
GOOGL;71.0711;71.0711;71.2613;69.3493;70.5756;2004-10-14;10442147
GOOGL;72.1271;72.1271;72.8228;71.0460;72.5375;2004-10-15;13194792
GOOGL;74.6547;74.6547;74.6747;70.6757;71.6717;2004-10-18;14036350
GOOGL;74.0440;74.0440;76.2763;73.7487;75.3253;2004-10-19;18109872
GOOGL;70.3153;70.3153;74.5696;69.8699;74.0891;2004-10-20;22722655
GOOGL;74.7648;74.7648;75.1401;70.8809;72.2723;2004-10-21;29149821
GOOGL;86.3013;86.3013;90.1752;82.1221;85.3554;2004-10-22;73710016
GOOGL;93.7938;93.7938;97.3123;86.3614;88.2883;2004-10-25;65462872
GOOGL;90.9910;90.9910;96.4164;90.0901;93.2633;2004-10-26;44569586
GOOGL;93.0781;93.0781;94.8549;90.9760;91.4515;2004-10-27;26686287
GOOGL;96.7467;96.7467;97.2923;92.8929;93.4334;2004-10-28;29663906
GOOGL;95.4154;95.4154;100.0751;95.3954;99.5445;2004-10-29;42282675
GOOGL;98.1131;98.1131;98.9339;95.7307;96.8719;2004-11-01;24425350
GOOGL;97.5325;97.5325;99.7247;96.7668;99.4895;2004-11-02;22669907
GOOGL;95.9309;95.9309;100.9009;95.4705;99.1892;2004-11-03;27749623
GOOGL;92.4424;92.4424;95.2953;91.7668;94.3143;2004-11-04;28790381
GOOGL;84.7598;84.7598;91.2412;84.3594;91.0811;2004-11-05;39626534
GOOGL;86.3614;86.3614;87.8078;84.7848;85.5506;2004-11-08;22361216
GOOGL;84.4344;84.4344;87.6877;82.7177;87.1371;2004-11-09;22106272
GOOGL;84.0140;84.0140;86.3463;83.2482;85.4204;2004-11-10;21266712
GOOGL;91.6016;91.6016;91.9670;83.8689;84.6497;2004-11-11;29941029
GOOGL;91.0911;91.0911;94.9950;88.7888;92.7077;2004-11-12;33458708
GOOGL;92.5275;92.5275;94.2543;89.4645;90.3153;2004-11-15;23779197
GOOGL;86.3564;86.3564;89.8248;85.5005;88.8388;2004-11-16;41792965
GOOGL;86.3363;86.3363;88.8388;84.5846;84.5946;2004-11-17;36229534
GOOGL;83.8539;83.8539;87.2973;82.9479;85.2302;2004-11-18;33225941
GOOGL;84.7848;84.7848;85.0751;83.3433;84.6346;2004-11-19;17521061
GOOGL;82.6326;82.6326;84.8348;80.7357;82.3173;2004-11-22;24711664
GOOGL;83.8438;83.8438;85.5005;83.3333;84.0691;2004-11-23;24801773
GOOGL;87.4675;87.4675;88.6937;86.3413;87.4975;2004-11-24;30531438
GOOGL;89.7848;89.7848;90.1051;87.7477;87.9880;2004-11-26;12947240
GOOGL;90.6156;90.6156;91.5666;88.8438;90.2703;2004-11-29;21311867
GOOGL;91.0811;91.0811;91.5916;90.2152;90.4454;2004-11-30;15384600
GOOGL;90.0701;90.0701;91.3413;89.8649;91.0661;2004-12-01;15712472
GOOGL;89.7898;89.7898;90.8458;89.3644;90.0400;2004-12-02;12509278
GOOGL;90.2903;90.2903;90.6206;88.8889;90.0651;2004-12-03;11726662
GOOGL;88.2332;88.2332;90.4404;88.0981;89.6547;2004-12-06;12495492
GOOGL;85.8008;85.8008;88.1882;85.3604;88.0881;2004-12-07;13728058
GOOGL;85.0751;85.0751;86.9269;84.4494;85.2603;2004-12-08;15068516
GOOGL;86.8018;86.8018;86.8368;84.3193;85.2102;2004-12-09;15292692
GOOGL;85.9109;85.9109;87.5275;85.7307;86.8018;2004-12-10;8625766
GOOGL;85.3103;85.3103;86.6767;84.8098;86.1712;2004-12-13;9627563
GOOGL;89.4344;89.4344;89.4995;84.8849;85.5856;2004-12-14;22154623
GOOGL;89.9800;89.9800;90.4354;88.4184;89.0841;2004-12-15;22919058
GOOGL;88.3233;88.3233;90.3353;88.0631;88.5636;2004-12-16;17128454
GOOGL;90.1301;90.1301;90.3403;88.3634;88.4685;2004-12-17;14757628
GOOGL;92.6026;92.6026;94.3243;91.0260;91.0911;2004-12-20;19649331
GOOGL;91.9670;91.9670;94.0340;91.7918;93.2482;2004-12-21;11021567
GOOGL;93.2432;93.2432;93.5185;91.5966;92.0420;2004-12-22;7806186
GOOGL;94.0440;94.0440;94.3944;93.0931;93.8188;2004-12-23;7221971
GOOGL;96.0510;96.0510;96.7467;94.6446;94.6697;2004-12-27;12195992
GOOGL;96.4765;96.4765;96.8719;95.6006;96.1512;2004-12-28;8283308
GOOGL;96.5465;96.5465;96.8569;95.9860;95.9860;2004-12-29;5350844
GOOGL;98.8989;98.8989;99.2142;96.0210;96.5816;2004-12-30;11796791
GOOGL;96.4915;96.4915;100.0400;96.3764;99.7147;2004-12-31;15321663
GOOGL;101.4565;101.4565;101.9219;97.8278;98.7988;2005-01-03;31656712
GOOGL;97.3473;97.3473;101.5666;96.8368;100.8008;2005-01-04;27484288
GOOGL;96.8519;96.8519;98.5485;96.2112;96.8218;2005-01-05;16456727
GOOGL;94.3694;94.3694;98.0480;93.9540;97.6376;2005-01-06;20753426
GOOGL;97.0220;97.0220;97.2222;94.4845;95.4154;2005-01-07;19306474
GOOGL;97.6276;97.6276;99.1491;96.0110;97.3473;2005-01-10;15064121
GOOGL;96.8669;96.8669;98.9540;96.6867;97.9079;2005-01-11;13903483
GOOGL;97.7878;97.7878;98.0631;95.3453;97.2623;2005-01-12;16339244
GOOGL;97.7628;97.7628;98.7938;97.1221;97.7878;2005-01-13;13685101
GOOGL;100.0851;100.0851;100.1051;97.1622;98.0981;2005-01-14;19261319
GOOGL;102.0521;102.0521;102.6126;99.4294;100.5856;2005-01-18;26318855
