Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
GS;53.8950;67.52;69.26;67.04;69.26;2003-02-04;3723200
GS;53.8072;67.41;68.98;67.41;67.53;2003-02-05;3566500
GS;53.2005;66.65;67.90;66.52;67.42;2003-02-06;3651600
GS;52.4422;65.70;67.75;65.49;66.66;2003-02-07;3519900
GS;52.4741;65.74;66.25;64.68;65.70;2003-02-10;3764900
GS;51.9234;65.05;66.96;64.83;66.30;2003-02-11;3837700
GS;51.3247;64.30;66.05;64.04;65.06;2003-02-12;3376400
GS;51.8196;64.92;65.30;63.75;64.40;2003-02-13;3704700
GS;53.2404;66.70;66.70;64.30;65.00;2003-02-14;4641100
GS;54.2781;68.00;68.89;67.20;67.24;2003-02-18;3094400
GS;54.4617;68.23;68.40;67.37;68.01;2003-02-19;3237300
GS;54.0706;67.74;68.77;67.61;68.40;2003-02-20;2627300
GS;54.6772;68.50;68.80;66.92;67.74;2003-02-21;3929700
GS;52.8413;66.20;68.51;66.00;68.51;2003-02-24;3699700
GS;53.1526;66.59;66.83;64.85;66.20;2003-02-25;4219700
GS;53.0648;66.48;66.96;65.74;66.59;2003-02-26;3781300
GS;54.0307;67.69;68.00;66.31;66.70;2003-02-27;3784900
GS;55.4355;69.45;69.45;67.80;67.90;2003-02-28;4339200
GS;54.2941;68.02;70.55;67.74;69.45;2003-03-03;4351200
GS;52.4342;65.69;68.02;65.69;68.02;2003-03-04;5546500
GS;52.9211;66.30;67.10;65.57;65.80;2003-03-05;5803600
GS;52.3624;65.60;66.01;65.08;65.78;2003-03-06;4216700
GS;53.2245;66.68;66.98;64.16;64.16;2003-03-07;4778400
GS;51.3567;64.34;66.69;63.91;66.69;2003-03-10;4335200
GS;50.2471;62.95;65.19;62.92;64.34;2003-03-11;4190400
GS;50.1673;62.85;62.98;61.02;62.96;2003-03-12;8550000
GS;53.3043;66.78;66.89;63.30;63.30;2003-03-13;7046700
GS;53.1766;66.62;67.57;66.00;66.78;2003-03-14;4670000
GS;54.9965;68.90;69.34;65.91;66.62;2003-03-17;6144200
GS;55.5393;69.58;69.72;68.21;68.90;2003-03-18;5054000
GS;56.0900;70.27;70.98;68.79;69.80;2003-03-19;6370000
GS;55.9384;70.08;70.47;68.17;69.98;2003-03-20;6615800
GS;57.5507;72.10;72.10;69.82;70.36;2003-03-21;6861800
GS;55.8106;69.92;72.10;69.61;72.10;2003-03-24;5603800
GS;56.4253;70.69;71.29;69.80;70.10;2003-03-25;4289600
GS;56.7127;71.05;71.49;70.53;70.69;2003-03-26;3662500
GS;56.3375;70.58;71.03;69.87;70.75;2003-03-27;4050900
GS;55.9623;70.11;70.94;69.87;70.58;2003-03-28;2553300
GS;54.3420;68.08;69.50;68.00;68.01;2003-03-31;4591300
GS;55.5712;69.62;70.03;68.06;68.48;2003-04-01;4231600
GS;57.7902;72.40;72.87;71.05;71.50;2003-04-02;7036500
GS;57.7503;72.35;73.30;71.70;72.25;2003-04-03;4748300
GS;57.5188;72.06;72.93;71.85;72.35;2003-04-04;3704800
GS;57.7184;72.31;74.15;72.12;73.50;2003-04-07;4627000
GS;58.0297;72.70;73.00;71.39;72.31;2003-04-08;3343200
GS;57.3991;71.91;73.75;71.86;72.70;2003-04-09;4197600
GS;57.7503;72.35;72.59;71.60;71.92;2003-04-10;3458700
GS;57.8062;72.42;73.44;71.81;72.61;2003-04-11;2858600
GS;59.4585;74.49;74.50;72.32;72.42;2003-04-14;3678500
GS;61.0948;76.54;76.60;73.71;74.49;2003-04-15;6723400
GS;60.0252;75.20;77.20;74.86;76.55;2003-04-16;6181600
GS;60.7436;76.10;76.49;74.83;75.20;2003-04-17;4484200
GS;60.9431;76.35;76.82;75.90;76.10;2003-04-21;3176100
GS;62.5236;78.33;78.39;74.92;76.35;2003-04-22;5508800
GS;62.6034;78.43;78.90;77.44;78.33;2003-04-23;4008300
GS;61.7413;77.35;78.43;76.60;78.43;2003-04-24;3307100
GS;60.6541;75.87;77.37;75.50;77.23;2003-04-25;2820700
GS;61.1657;76.51;77.20;75.51;76.37;2003-04-28;3606000
GS;61.1178;76.45;78.00;75.26;76.51;2003-04-29;5327400
GS;60.6781;75.90;76.87;75.63;76.24;2003-04-30;3968900
GS;60.2224;75.33;75.90;74.50;75.90;2003-05-01;4106200
GS;61.2377;76.60;76.98;74.02;75.33;2003-05-02;4131500
GS;61.1497;76.49;77.18;75.95;76.60;2003-05-05;3548700
GS;61.7174;77.20;77.92;76.01;76.49;2003-05-06;3850100
GS;61.7174;77.20;77.88;76.25;76.42;2003-05-07;3728100
GS;59.2071;74.06;77.21;74.00;77.21;2003-05-08;7119900
GS;59.9586;75.00;75.03;74.02;74.06;2003-05-09;3849200
GS;60.3503;75.49;76.00;74.24;75.00;2003-05-12;3895100
GS;59.9186;74.95;75.91;74.55;74.55;2003-05-13;4053300
GS;59.9186;74.95;75.35;74.35;75.00;2003-05-14;3434300
GS;60.8380;76.10;76.20;74.65;74.65;2003-05-15;4318500
GS;61.3176;76.70;76.90;75.20;75.20;2003-05-16;4444000
GS;59.4389;74.35;76.70;74.35;76.70;2003-05-19;3981600
GS;59.5189;74.45;74.81;73.22;74.40;2003-05-20;4447500
GS;60.0385;75.10;75.24;73.70;74.40;2003-05-21;3241500
GS;60.7820;76.03;76.37;75.28;75.35;2003-05-22;3193500
GS;60.8779;76.15;76.52;75.85;76.03;2003-05-23;2052500
GS;62.7407;78.48;78.74;75.22;76.15;2003-05-27;4096000
GS;63.8758;79.90;79.90;78.45;78.48;2003-05-28;4746800
GS;63.6281;79.59;81.08;79.32;79.91;2003-05-29;5041500
GS;65.1550;81.50;81.67;79.83;79.85;2003-05-30;3850100
GS;66.7859;83.54;84.48;81.50;81.50;2003-06-02;7151600
GS;66.3541;83.00;83.91;82.71;83.50;2003-06-03;4236300
GS;68.1529;85.25;85.59;82.55;82.56;2003-06-04;4663300
GS;69.7918;87.30;87.49;84.55;85.25;2003-06-05;5971400
GS;70.9110;88.70;89.50;87.50;88.25;2003-06-06;9050400
GS;69.9836;87.54;88.70;87.10;88.30;2003-06-09;4954800
GS;70.9110;88.70;88.90;87.24;87.90;2003-06-10;4662700
GS;71.7424;89.74;89.89;88.27;88.70;2003-06-11;5230300
GS;72.2301;90.35;90.50;89.17;89.74;2003-06-12;4612900
GS;71.2867;89.17;90.70;88.81;90.35;2003-06-13;4594100
GS;73.1494;91.50;91.50;89.56;90.00;2003-06-16;4889800
GS;73.1494;91.50;91.98;90.70;91.50;2003-06-17;3906200
GS;71.0709;88.90;90.41;88.40;90.10;2003-06-18;5603300
GS;68.6886;85.92;89.25;85.45;88.90;2003-06-19;5506700
GS;68.9524;86.25;87.40;86.01;86.75;2003-06-20;3792200
GS;68.1769;85.28;86.25;84.60;86.25;2003-06-23;3513300
GS;69.2321;86.60;87.06;85.66;85.80;2003-06-24;3866900
GS;67.7772;84.78;86.40;84.62;85.87;2003-06-25;7199400
GS;67.2736;84.15;85.60;83.31;85.00;2003-06-26;6423200
GS;65.8585;82.38;84.60;82.05;84.16;2003-06-27;5158400
GS;66.9538;83.75;83.75;82.20;83.10;2003-06-30;5715700
GS;68.6326;85.85;85.85;82.36;83.75;2003-07-01;6162300
GS;68.2728;85.40;86.20;84.59;85.31;2003-07-02;5484800
GS;67.7132;84.70;85.22;83.27;83.27;2003-07-03;2837600
GS;70.1435;87.74;88.21;85.60;85.70;2003-07-07;4436600
GS;70.3994;88.06;88.40;87.10;87.75;2003-07-08;3994900
GS;70.5353;88.23;88.65;87.57;88.07;2003-07-09;4381900
GS;69.1922;86.55;88.23;86.00;88.23;2003-07-10;3643900
GS;69.8078;87.32;87.95;86.61;86.99;2003-07-11;3028300
GS;71.5026;89.44;90.35;87.33;87.33;2003-07-14;5519000
GS;70.3674;88.02;90.26;87.85;89.95;2003-07-15;5177400
GS;69.7598;87.26;88.75;86.77;88.75;2003-07-16;3544200
GS;69.1042;86.44;87.00;85.86;86.95;2003-07-17;3178300
GS;70.1035;87.69;87.70;85.77;86.44;2003-07-18;2949400
GS;68.5127;85.70;87.69;85.20;87.59;2003-07-21;2958400
GS;68.8804;86.16;86.81;85.21;85.95;2003-07-22;3244700
GS;68.8325;86.10;86.42;85.28;86.30;2003-07-23;2417900
GS;68.2728;85.40;87.10;85.40;86.87;2003-07-24;2893700
GS;69.2911;86.42;86.78;84.75;85.37;2003-07-25;3025400
GS;69.3552;86.50;87.30;86.28;86.46;2003-07-28;2211400
GS;69.6198;86.83;87.84;85.98;86.50;2003-07-29;3983000
GS;69.7160;86.95;87.35;86.11;87.05;2003-07-30;3306300
GS;69.8684;87.14;89.10;87.04;87.95;2003-07-31;4138500
GS;68.2327;85.10;87.05;84.94;86.95;2003-08-01;3897500
GS;67.8719;84.65;85.55;83.43;85.10;2003-08-04;4024700
GS;66.4688;82.90;85.48;82.90;84.85;2003-08-05;3488600
GS;67.3909;84.05;85.13;82.96;83.00;2003-08-06;4479100
GS;67.9521;84.75;84.78;83.55;84.06;2003-08-07;2808700
GS;68.8100;85.82;86.10;85.20;85.21;2003-08-08;2859900
GS;68.7619;85.76;85.99;84.68;85.81;2003-08-11;2574600
GS;70.3014;87.68;87.68;85.77;85.77;2003-08-12;3216100
GS;70.0769;87.40;88.00;86.88;87.90;2003-08-13;3118200
GS;70.5178;87.95;88.05;86.45;87.16;2003-08-14;2885400
GS;70.3655;87.76;88.24;87.07;87.96;2003-08-15;991200
GS;70.7744;88.27;88.73;86.87;87.76;2003-08-18;2899000
GS;71.3838;89.03;89.10;87.90;88.32;2003-08-19;2410300
GS;70.3174;87.70;88.68;87.60;88.40;2003-08-20;2535400
GS;70.6381;88.10;88.58;87.39;88.25;2003-08-21;2170400
GS;69.7481;86.99;89.10;86.89;89.10;2003-08-22;2836200
GS;69.5397;86.73;87.00;86.02;87.00;2003-08-25;2005800
GS;69.3633;86.51;86.89;85.50;86.73;2003-08-26;2586700
GS;68.9303;85.97;86.51;85.75;86.51;2003-08-27;1458500
GS;69.6439;86.86;86.96;85.24;86.45;2003-08-28;1741700
GS;70.9508;88.49;88.60;86.75;86.90;2003-08-29;2374700
GS;72.5223;90.45;90.63;88.54;88.54;2003-09-02;3802000
GS;72.8190;90.82;91.49;90.04;90.70;2003-09-03;3810600
GS;73.1718;91.26;91.49;90.60;90.90;2003-09-04;3691500
GS;72.9313;90.96;92.22;90.34;91.26;2003-09-05;2693200
GS;73.2440;91.35;91.98;90.07;91.48;2003-09-08;4167700
GS;73.5967;91.79;92.11;90.85;91.20;2003-09-09;3078700
GS;71.7125;89.44;91.21;89.32;91.20;2003-09-10;4240700
GS;72.0332;89.84;90.46;88.81;89.44;2003-09-11;3226500
GS;72.7468;90.73;90.92;89.20;89.80;2003-09-12;2838900
GS;71.5201;89.20;90.74;89.20;89.93;2003-09-15;2756500
GS;72.9072;90.93;91.10;89.45;89.48;2003-09-16;3992000
GS;72.9633;91.00;91.99;90.40;90.70;2003-09-17;3188300
GS;74.7674;93.25;93.49;91.06;91.70;2003-09-18;5804300
GS;75.1522;93.73;93.74;92.80;93.25;2003-09-19;3771500
GS;74.2943;92.66;93.10;92.06;92.90;2003-09-22;3700400
GS;71.4078;89.06;91.35;88.99;90.80;2003-09-23;10655700
GS;68.8100;85.82;89.07;85.71;89.07;2003-09-24;9448500
GS;68.5695;85.52;86.46;85.23;85.82;2003-09-25;5768300
GS;67.9120;84.70;86.21;84.20;86.02;2003-09-26;4020600
GS;68.1526;85.00;85.99;84.57;85.15;2003-09-29;4695800
GS;67.2706;83.90;84.86;83.64;84.75;2003-09-30;5257900
GS;68.9543;86.00;86.13;83.90;83.90;2003-10-01;4332500
GS;68.9223;85.96;86.41;85.40;86.00;2003-10-02;2957500
GS;69.4835;86.66;88.11;86.24;86.24;2003-10-03;4120100
GS;69.5316;86.72;88.00;86.45;86.66;2003-10-06;3215900
GS;69.6278;86.84;87.32;85.84;86.72;2003-10-07;3785600
GS;69.1628;86.26;87.12;85.55;86.85;2003-10-08;2808000
GS;69.7561;87.00;88.45;86.81;87.68;2003-10-09;4164200
GS;69.7080;86.94;87.33;86.43;87.01;2003-10-10;2729900
GS;70.6943;88.17;88.68;87.62;87.70;2003-10-13;1987100
GS;71.0711;88.64;88.77;87.08;88.17;2003-10-14;3297900
GS;71.1593;88.75;89.63;88.55;89.45;2003-10-15;4037000
GS;70.5499;87.99;88.61;87.65;88.25;2003-10-16;4122900
