Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
HBAN;10.3541;18.74;18.85;18.65;18.82;2003-02-04;750300
HBAN;10.2823;18.61;19.10;18.61;18.80;2003-02-05;635700
HBAN;10.2713;18.59;18.80;18.45;18.71;2003-02-06;643900
HBAN;10.1718;18.41;18.84;18.36;18.61;2003-02-07;788300
HBAN;10.3265;18.69;18.70;18.25;18.34;2003-02-10;499600
HBAN;10.1939;18.45;18.81;18.41;18.63;2003-02-11;617200
HBAN;10.2215;18.50;18.64;18.46;18.61;2003-02-12;793900
HBAN;10.2657;18.58;19.06;18.38;18.48;2003-02-13;681100
HBAN;10.4702;18.95;18.96;18.40;18.60;2003-02-14;503300
HBAN;10.5420;19.08;19.19;18.80;18.89;2003-02-18;730400
HBAN;10.5144;19.03;19.15;18.96;19.10;2003-02-19;566100
HBAN;10.4647;18.94;19.17;18.92;19.15;2003-02-20;482800
HBAN;10.6083;19.20;19.34;18.85;19.14;2003-02-21;738500
HBAN;10.3431;18.72;19.20;18.71;19.19;2003-02-24;813900
HBAN;10.4426;18.90;18.95;18.07;18.31;2003-02-25;953800
HBAN;10.3652;18.76;18.99;18.64;18.97;2003-02-26;531900
HBAN;10.5310;19.06;19.21;18.77;18.83;2003-02-27;796100
HBAN;10.6083;19.20;19.42;19.08;19.13;2003-02-28;789300
HBAN;10.5586;19.11;19.55;19.11;19.23;2003-03-03;618600
HBAN;10.4978;19.00;19.19;19.00;19.16;2003-03-04;561900
HBAN;10.6194;19.22;19.26;18.94;18.98;2003-03-05;1039100
HBAN;10.4591;18.93;19.22;18.88;19.19;2003-03-06;849400
HBAN;10.4923;18.99;19.08;18.76;18.80;2003-03-07;1284200
HBAN;10.1276;18.33;18.95;18.30;18.95;2003-03-10;1081200
HBAN;10.0834;18.25;18.61;18.05;18.60;2003-03-11;1666600
HBAN;9.9398;17.99;18.34;17.78;18.33;2003-03-12;1871600
HBAN;10.1497;18.37;18.39;18.04;18.06;2003-03-13;1415200
HBAN;10.0558;18.20;18.40;18.10;18.39;2003-03-14;1913800
HBAN;10.3791;18.62;18.65;18.13;18.26;2003-03-17;1341200
HBAN;10.2843;18.45;18.74;18.31;18.69;2003-03-18;1456900
HBAN;10.3568;18.58;18.60;18.35;18.50;2003-03-19;1014700
HBAN;10.4014;18.66;18.79;18.31;18.49;2003-03-20;1145300
HBAN;10.6578;19.12;19.17;18.56;19.00;2003-03-21;1218600
HBAN;10.3902;18.64;18.90;18.62;18.88;2003-03-24;2283700
HBAN;10.5184;18.87;18.93;18.65;18.70;2003-03-25;989800
HBAN;10.4683;18.78;18.96;18.66;18.87;2003-03-26;709100
HBAN;10.4571;18.76;18.85;18.48;18.85;2003-03-27;997800
HBAN;10.4125;18.68;18.75;18.58;18.60;2003-03-28;912800
HBAN;10.3624;18.59;18.70;18.38;18.65;2003-03-31;1192100
HBAN;10.5630;18.95;18.97;18.41;18.66;2003-04-01;1460500
HBAN;10.6634;19.13;19.29;18.95;19.04;2003-04-02;1064100
HBAN;10.4739;18.79;19.25;18.78;19.12;2003-04-03;766900
HBAN;10.5575;18.94;19.00;18.80;18.85;2003-04-04;631700
HBAN;10.3512;18.57;19.13;18.57;18.88;2003-04-07;1148400
HBAN;10.3512;18.57;18.65;18.49;18.58;2003-04-08;716100
HBAN;10.1227;18.16;18.68;18.08;18.61;2003-04-09;979000
HBAN;10.3679;18.60;18.75;18.03;18.10;2003-04-10;1097900
HBAN;10.3735;18.61;18.87;18.45;18.59;2003-04-11;696000
HBAN;10.5240;18.88;18.90;18.55;18.70;2003-04-14;482500
HBAN;10.6578;19.12;19.21;18.73;18.85;2003-04-15;801300
HBAN;10.5798;18.98;19.30;18.83;18.85;2003-04-16;1415600
HBAN;10.6076;19.03;19.11;18.75;19.10;2003-04-17;969800
HBAN;10.6076;19.03;19.08;18.92;19.08;2003-04-21;897900
HBAN;10.8529;19.47;19.48;18.80;18.94;2003-04-22;884800
HBAN;11.0424;19.81;19.82;19.28;19.47;2003-04-23;1212800
HBAN;10.8919;19.54;19.70;19.34;19.60;2003-04-24;803200
HBAN;10.7972;19.37;19.55;19.27;19.52;2003-04-25;446300
HBAN;11.0090;19.75;19.75;19.30;19.30;2003-04-28;872400
HBAN;10.9532;19.65;19.84;19.40;19.75;2003-04-29;712000
HBAN;10.8027;19.38;19.60;19.24;19.50;2003-04-30;1563000
HBAN;10.8362;19.44;19.52;19.01;19.28;2003-05-01;582200
HBAN;10.9923;19.72;19.78;19.26;19.32;2003-05-02;575700
HBAN;10.9142;19.58;19.81;19.52;19.69;2003-05-05;674300
HBAN;11.0145;19.76;19.81;19.49;19.63;2003-05-06;576900
HBAN;10.9644;19.67;19.78;19.54;19.66;2003-05-07;430700
HBAN;10.8585;19.48;19.60;19.37;19.59;2003-05-08;560700
HBAN;10.9588;19.66;19.75;19.41;19.50;2003-05-09;584500
HBAN;10.9588;19.66;19.84;19.49;19.55;2003-05-12;445700
HBAN;11.0536;19.83;20.00;19.59;19.74;2003-05-13;668500
HBAN;11.0536;19.83;19.95;19.70;19.83;2003-05-14;543900
HBAN;11.1149;19.94;20.00;19.75;19.81;2003-05-15;737000
HBAN;11.0982;19.91;20.00;19.30;19.36;2003-05-16;1253100
HBAN;10.9477;19.64;19.85;19.51;19.80;2003-05-19;759100
HBAN;10.9532;19.65;19.79;19.51;19.69;2003-05-20;531300
HBAN;11.0591;19.84;19.97;19.54;19.54;2003-05-21;776400
HBAN;11.0814;19.88;19.98;19.73;19.84;2003-05-22;597500
HBAN;11.1149;19.94;19.98;19.78;19.88;2003-05-23;423500
HBAN;11.2765;20.23;20.28;19.79;19.79;2003-05-27;940000
HBAN;11.2487;20.18;20.30;20.10;20.16;2003-05-28;892800
HBAN;11.2487;20.18;20.30;20.01;20.07;2003-05-29;691100
HBAN;11.4215;20.49;20.52;20.13;20.21;2003-05-30;1102400
HBAN;11.6110;20.83;20.96;20.44;20.46;2003-06-02;1476900
HBAN;11.7057;21.00;21.00;20.67;20.80;2003-06-03;794200
HBAN;11.8339;21.23;21.28;20.87;20.89;2003-06-04;943200
HBAN;11.8674;21.29;21.29;21.02;21.17;2003-06-05;723500
HBAN;11.7894;21.15;21.54;20.98;21.27;2003-06-06;1640400
HBAN;11.6333;20.87;21.18;20.73;21.03;2003-06-09;530400
HBAN;11.5998;20.81;21.00;20.73;20.89;2003-06-10;796500
HBAN;11.6166;20.84;20.95;20.25;20.60;2003-06-11;1367500
HBAN;11.6840;20.80;20.93;20.58;20.68;2003-06-12;939600
HBAN;11.5042;20.48;20.84;20.40;20.63;2003-06-13;589400
HBAN;11.7514;20.92;20.95;20.40;20.54;2003-06-16;621000
HBAN;11.5716;20.60;20.83;20.47;20.74;2003-06-17;645900
HBAN;11.4312;20.35;20.59;20.30;20.59;2003-06-18;777500
HBAN;11.2458;20.02;20.38;19.83;20.38;2003-06-19;1561100
HBAN;11.4537;20.39;20.40;19.96;20.16;2003-06-20;2098600
HBAN;11.1222;19.80;20.38;19.73;20.26;2003-06-23;784700
HBAN;11.1616;19.87;20.02;19.70;19.85;2003-06-24;1065500
HBAN;11.1222;19.80;20.03;19.74;19.80;2003-06-25;771900
HBAN;11.1391;19.83;20.06;19.72;20.00;2003-06-26;559900
HBAN;10.9762;19.54;19.59;18.35;18.49;2003-06-27;2614400
HBAN;10.9593;19.51;19.89;19.32;19.39;2003-06-30;1423400
HBAN;11.2065;19.95;19.98;19.22;19.55;2003-07-01;1277100
HBAN;11.2346;20.00;20.04;19.78;19.80;2003-07-02;894000
HBAN;11.1953;19.93;20.00;19.70;19.99;2003-07-03;389900
HBAN;11.3806;20.26;20.26;19.89;19.96;2003-07-07;623900
HBAN;11.3301;20.17;20.21;19.95;20.16;2003-07-08;540300
HBAN;11.2514;20.03;20.17;19.93;20.11;2003-07-09;525100
HBAN;11.2458;20.02;20.07;19.79;19.99;2003-07-10;538500
HBAN;11.3245;20.16;20.28;19.96;19.96;2003-07-11;514500
HBAN;11.5435;20.55;20.67;20.17;20.18;2003-07-14;894500
HBAN;11.3750;20.25;20.65;20.17;20.64;2003-07-15;927100
HBAN;11.4312;20.35;20.52;20.20;20.30;2003-07-16;1206300
HBAN;11.3188;20.15;20.25;19.96;20.18;2003-07-17;1221100
HBAN;11.5379;20.54;20.76;20.11;20.40;2003-07-18;1196200
HBAN;11.4874;20.45;20.73;20.21;20.73;2003-07-21;845200
HBAN;11.5829;20.62;20.79;20.35;20.52;2003-07-22;815100
HBAN;11.5211;20.51;20.74;20.26;20.67;2003-07-23;733200
HBAN;11.4480;20.38;20.79;20.36;20.56;2003-07-24;511700
HBAN;11.7064;20.84;20.89;20.35;20.42;2003-07-25;816400
HBAN;11.5379;20.54;20.88;20.51;20.80;2003-07-28;664200
HBAN;11.5604;20.58;20.72;20.31;20.64;2003-07-29;586900
HBAN;11.5211;20.51;20.65;20.43;20.49;2003-07-30;663500
HBAN;11.5042;20.48;20.75;20.39;20.51;2003-07-31;596100
HBAN;11.3357;20.18;20.50;20.06;20.38;2003-08-01;666400
HBAN;11.3750;20.25;20.25;19.74;20.20;2003-08-04;752800
HBAN;11.1672;19.88;20.23;19.81;20.09;2003-08-05;754900
HBAN;11.2009;19.94;20.19;19.78;19.82;2003-08-06;654300
HBAN;11.2402;20.01;20.10;19.77;20.09;2003-08-07;642200
HBAN;11.2627;20.05;20.10;19.85;19.99;2003-08-08;570800
HBAN;11.2908;20.10;20.17;19.90;19.91;2003-08-11;687800
HBAN;11.3469;20.20;20.20;19.95;20.08;2003-08-12;479800
HBAN;11.1728;19.89;20.20;19.81;20.20;2003-08-13;551900
HBAN;11.2908;20.10;20.17;19.80;19.81;2003-08-14;535800
HBAN;11.2571;20.04;20.27;19.71;20.22;2003-08-15;250000
HBAN;11.3413;20.19;20.28;20.05;20.09;2003-08-18;423700
HBAN;11.2964;20.11;20.27;20.02;20.15;2003-08-19;382000
HBAN;11.4256;20.34;20.34;20.04;20.09;2003-08-20;354600
HBAN;11.3806;20.26;20.46;20.20;20.20;2003-08-21;394900
HBAN;11.2290;19.99;20.40;19.87;20.20;2003-08-22;558900
HBAN;11.2571;20.04;20.04;19.78;19.87;2003-08-25;283900
HBAN;11.1672;19.88;20.08;19.67;20.03;2003-08-26;529500
HBAN;11.0829;19.73;19.90;19.71;19.83;2003-08-27;421500
HBAN;11.1503;19.85;19.89;19.66;19.70;2003-08-28;302300
HBAN;11.2177;19.97;20.00;19.76;19.90;2003-08-29;297300
HBAN;11.3862;20.27;20.30;19.89;20.00;2003-09-02;708700
HBAN;11.3525;20.21;20.31;20.11;20.28;2003-09-03;431800
HBAN;11.3638;20.23;20.31;20.07;20.17;2003-09-04;363900
HBAN;11.4368;20.36;20.36;20.15;20.19;2003-09-05;658000
HBAN;11.4761;20.43;20.47;20.23;20.30;2003-09-08;573500
HBAN;11.3076;20.13;20.37;20.12;20.20;2003-09-09;640600
HBAN;11.1616;19.87;20.25;19.71;20.13;2003-09-10;689400
HBAN;11.2346;20.00;20.11;19.80;19.83;2003-09-11;688100
HBAN;11.4031;20.30;20.35;19.87;20.26;2003-09-12;1056200
HBAN;11.4031;20.30;20.39;20.13;20.17;2003-09-15;804700
HBAN;11.5154;20.50;20.54;19.95;20.36;2003-09-16;625600
HBAN;11.4163;20.15;20.48;20.14;20.40;2003-09-17;587400
HBAN;11.6316;20.53;20.60;20.15;20.20;2003-09-18;879500
HBAN;11.7166;20.68;20.71;20.41;20.42;2003-09-19;1232300
HBAN;11.4843;20.27;20.57;20.13;20.45;2003-09-22;931900
HBAN;11.4956;20.29;20.40;20.21;20.27;2003-09-23;566800
HBAN;11.3200;19.98;20.39;19.96;20.38;2003-09-24;685000
HBAN;11.3086;19.96;20.13;19.85;19.88;2003-09-25;580300
HBAN;11.3540;20.04;20.09;19.75;19.82;2003-09-26;693500
HBAN;11.3993;20.12;20.16;19.85;19.99;2003-09-29;567800
HBAN;11.2463;19.85;20.16;19.79;20.11;2003-09-30;787600
HBAN;11.6146;20.50;20.50;19.85;19.90;2003-10-01;1251900
HBAN;11.4956;20.29;20.55;20.19;20.45;2003-10-02;605500
HBAN;11.5579;20.40;20.58;20.30;20.48;2003-10-03;879100
HBAN;11.6826;20.62;20.66;20.35;20.41;2003-10-06;638100
HBAN;11.7109;20.67;20.74;20.31;20.45;2003-10-07;530900
HBAN;11.6826;20.62;20.74;20.52;20.62;2003-10-08;428100
HBAN;11.7222;20.69;20.90;20.62;20.67;2003-10-09;426700
HBAN;11.7336;20.71;20.80;20.48;20.62;2003-10-10;512200
HBAN;11.8412;20.90;20.90;20.60;20.60;2003-10-13;351200
HBAN;11.8809;20.97;20.99;20.75;20.90;2003-10-14;438900
HBAN;11.9035;21.01;21.11;20.57;21.07;2003-10-15;1020600
HBAN;11.8865;20.98;21.22;20.85;20.95;2003-10-16;939100
HBAN;11.8582;20.93;21.04;20.74;20.85;2003-10-17;703500
HBAN;11.7619;20.76;21.00;20.64;20.97;2003-10-20;514700
HBAN;11.8469;20.91;21.03;20.64;20.83;2003-10-21;699400
HBAN;11.8186;20.86;20.94;20.70;20.91;2003-10-22;539500
HBAN;11.7846;20.80;20.91;20.65;20.66;2003-10-23;400000
HBAN;11.8582;20.93;20.95;20.66;20.75;2003-10-24;514700
HBAN;12.0962;21.35;21.54;20.87;20.87;2003-10-27;1236300
HBAN;12.1925;21.52;21.52;21.28;21.35;2003-10-28;767700
HBAN;12.2095;21.55;21.76;21.36;21.75;2003-10-29;677200
HBAN;12.2378;21.60;21.73;21.36;21.65;2003-10-30;507300
HBAN;12.2378;21.60;21.75;21.50;21.73;2003-10-31;836900
HBAN;12.3511;21.80;21.86;21.51;21.58;2003-11-03;802100
HBAN;12.4248;21.93;22.00;21.59;21.73;2003-11-04;733200
HBAN;12.3568;21.81;21.98;21.63;21.83;2003-11-05;508600
HBAN;12.4871;22.04;22.05;21.66;21.89;2003-11-06;446300
HBAN;12.5438;22.14;22.29;22.01;22.10;2003-11-07;913300
HBAN;12.4588;21.99;22.30;21.87;22.30;2003-11-10;609200
HBAN;12.4474;21.97;22.07;21.86;21.91;2003-11-11;389400
HBAN;12.4418;21.96;22.04;21.78;22.02;2003-11-12;594700
HBAN;12.4474;21.97;22.11;21.76;21.94;2003-11-13;472800
HBAN;12.3171;21.74;22.00;21.70;21.91;2003-11-14;330000
HBAN;12.3228;21.75;21.83;21.45;21.83;2003-11-17;410600
HBAN;12.0792;21.32;21.75;21.29;21.69;2003-11-18;492700
HBAN;12.1472;21.44;21.56;21.24;21.27;2003-11-19;788600
HBAN;12.0112;21.20;21.37;21.12;21.35;2003-11-20;447500
HBAN;12.0622;21.29;21.49;21.04;21.17;2003-11-21;394200
HBAN;12.2208;21.57;21.67;21.38;21.40;2003-11-24;478800
HBAN;12.3455;21.79;21.83;21.45;21.45;2003-11-25;487100
HBAN;12.4474;21.97;21.97;21.64;21.68;2003-11-26;370100
HBAN;12.4588;21.99;21.99;21.81;21.95;2003-11-28;385400
HBAN;12.5721;22.19;22.30;21.69;21.83;2003-12-01;975700
HBAN;12.5438;22.14;22.21;22.00;22.05;2003-12-02;702600
HBAN;12.5608;22.17;22.24;21.94;22.08;2003-12-03;690500
HBAN;12.4588;21.99;22.25;21.90;22.20;2003-12-04;407300
HBAN;12.3171;21.74;22.04;21.62;22.01;2003-12-05;630800
HBAN;12.5041;22.07;22.09;21.70;21.70;2003-12-08;506400
HBAN;12.4305;21.94;22.10;21.76;22.05;2003-12-09;348700
HBAN;12.3795;21.85;22.01;21.70;21.94;2003-12-10;889600
HBAN;12.5494;22.15;22.15;21.84;21.99;2003-12-11;584000
HBAN;12.5211;22.10;22.19;21.90;22.11;2003-12-12;376600
HBAN;12.3795;21.85;22.24;21.84;22.15;2003-12-15;600400
HBAN;12.6231;22.28;22.30;21.88;21.92;2003-12-16;910400
HBAN;12.5688;22.01;22.08;21.74;21.97;2003-12-17;815900
HBAN;12.6202;22.10;22.17;21.83;21.92;2003-12-18;910500
HBAN;12.5860;22.04;22.29;21.96;22.20;2003-12-19;805400
HBAN;12.7002;22.24;22.24;22.05;22.10;2003-12-22;602100
HBAN;12.6602;22.17;22.26;22.08;22.24;2003-12-23;521300
HBAN;12.6431;22.14;22.21;21.86;22.11;2003-12-24;373200
HBAN;12.6145;22.09;22.16;21.94;22.00;2003-12-26;166300
HBAN;12.7972;22.41;22.41;22.06;22.24;2003-12-29;750700
HBAN;12.7858;22.39;22.55;22.18;22.21;2003-12-30;633000
HBAN;12.8486;22.50;22.50;22.21;22.33;2003-12-31;821600
HBAN;12.7287;22.29;22.58;22.10;22.58;2004-01-02;838200
HBAN;12.6259;22.11;22.39;21.89;22.30;2004-01-05;577800
HBAN;12.5917;22.05;22.22;21.77;22.18;2004-01-06;771300
HBAN;12.6488;22.15;22.15;21.85;22.15;2004-01-07;656500
HBAN;12.6145;22.09;22.25;21.86;22.02;2004-01-08;666800
HBAN;12.7344;22.30;22.30;21.93;21.93;2004-01-09;747300
HBAN;12.6431;22.14;22.32;21.95;22.14;2004-01-12;1291000
HBAN;12.4261;21.76;22.13;21.63;22.07;2004-01-13;798200
HBAN;12.4204;21.75;21.92;21.00;21.82;2004-01-14;821100
HBAN;12.8486;22.50;22.50;21.71;21.72;2004-01-15;940000
HBAN;12.9000;22.59;23.00;22.10;22.96;2004-01-16;983800
HBAN;12.8829;22.56;22.74;22.36;22.46;2004-01-20;573600
HBAN;12.9914;22.75;22.84;22.37;22.55;2004-01-21;630500
HBAN;12.9400;22.66;22.85;22.62;22.75;2004-01-22;514000
HBAN;12.9971;22.76;23.00;22.55;22.87;2004-01-23;699800
HBAN;13.1913;23.10;23.16;22.63;22.81;2004-01-26;1405000
HBAN;12.9058;22.60;23.10;22.47;23.01;2004-01-27;1094800
HBAN;12.6830;22.21;22.55;22.20;22.50;2004-01-28;929100
HBAN;12.5917;22.05;22.29;21.83;22.11;2004-01-29;1105800
HBAN;12.7516;22.33;22.50;21.91;21.95;2004-01-30;1385000
HBAN;12.7516;22.33;22.44;22.06;22.33;2004-02-02;673400
HBAN;12.7630;22.35;22.43;22.07;22.08;2004-02-03;754300
HBAN;12.7230;22.28;22.37;22.10;22.32;2004-02-04;626300
HBAN;12.6545;22.16;22.28;22.05;22.12;2004-02-05;609700
HBAN;12.8030;22.42;22.47;22.00;22.03;2004-02-06;1033900
HBAN;12.7972;22.41;22.42;22.22;22.37;2004-02-09;587900
HBAN;12.8544;22.51;22.54;22.32;22.47;2004-02-10;604600
HBAN;13.1856;23.09;23.10;22.34;22.52;2004-02-11;2334700
HBAN;13.1684;23.06;23.08;22.88;23.02;2004-02-12;729000
HBAN;13.1228;22.98;23.02;22.72;23.00;2004-02-13;530900
HBAN;13.0828;22.91;23.08;22.87;22.90;2004-02-17;821800
HBAN;13.0599;22.87;22.98;22.70;22.86;2004-02-18;585000
HBAN;12.9457;22.67;22.98;22.67;22.90;2004-02-19;650100
HBAN;12.9971;22.76;23.00;22.54;22.95;2004-02-20;495800
HBAN;13.0771;22.90;22.99;22.69;22.99;2004-02-23;773100
HBAN;12.9914;22.75;22.99;22.75;22.95;2004-02-24;578100
HBAN;13.0656;22.88;22.98;22.71;22.75;2004-02-25;709200
HBAN;13.0542;22.86;22.95;22.70;22.80;2004-02-26;453900
HBAN;13.2084;23.13;23.25;22.75;22.75;2004-02-27;1001200
HBAN;13.2826;23.26;23.30;23.06;23.16;2004-03-01;670600
HBAN;13.1684;23.06;23.28;22.97;23.20;2004-03-02;534600
HBAN;13.2712;23.24;23.27;22.98;23.07;2004-03-03;665400
HBAN;13.4197;23.50;23.50;23.14;23.27;2004-03-04;1046200
HBAN;13.4768;23.60;23.78;23.32;23.32;2004-03-05;1045300
HBAN;13.4311;23.52;23.71;23.40;23.49;2004-03-08;562400
HBAN;13.3797;23.43;23.62;23.33;23.52;2004-03-09;567200
HBAN;13.1113;22.96;23.50;22.85;23.48;2004-03-10;791300
HBAN;12.8201;22.45;22.97;22.41;22.86;2004-03-11;675900
HBAN;13.0542;22.86;22.91;22.40;22.45;2004-03-12;512800
HBAN;12.7344;22.30;22.82;22.22;22.76;2004-03-15;973600
HBAN;12.8544;22.51;22.57;22.28;22.39;2004-03-16;857800
HBAN;12.9321;22.47;22.65;22.35;22.65;2004-03-17;928500
HBAN;12.8803;22.38;22.65;22.18;22.59;2004-03-18;721200
HBAN;12.5982;21.89;22.39;21.75;21.84;2004-03-19;1473300
HBAN;12.4659;21.66;21.76;21.40;21.72;2004-03-22;791900
HBAN;12.4026;21.55;21.80;21.45;21.80;2004-03-23;705100
HBAN;12.3162;21.40;21.50;21.17;21.45;2004-03-24;661200
HBAN;12.4889;21.70;21.77;21.35;21.35;2004-03-25;481500
HBAN;12.4026;21.55;21.74;21.47;21.66;2004-03-26;818800
HBAN;12.5637;21.83;21.92;21.48;21.50;2004-03-29;747700
HBAN;12.5695;21.84;21.94;21.71;21.93;2004-03-30;679400
HBAN;12.6788;22.03;22.19;21.73;22.00;2004-03-31;770700
HBAN;12.7479;22.15;22.30;21.99;22.17;2004-04-01;1165500
HBAN;12.5752;21.85;22.31;21.76;22.19;2004-04-02;961400
HBAN;12.5752;21.85;21.93;21.65;21.78;2004-04-05;612600
HBAN;12.5637;21.83;21.93;21.60;21.84;2004-04-06;942300
HBAN;12.5637;21.83;21.93;21.34;21.34;2004-04-07;596300
HBAN;12.5349;21.78;21.92;21.70;21.92;2004-04-08;642500
HBAN;12.5752;21.85;21.99;21.78;21.90;2004-04-12;743300
HBAN;12.2875;21.35;21.90;21.30;21.80;2004-04-13;851800
HBAN;12.1493;21.11;21.39;20.89;21.28;2004-04-14;737800
HBAN;12.1206;21.06;21.67;20.89;21.44;2004-04-15;1307900
HBAN;12.3450;21.45;22.00;21.21;22.00;2004-04-16;1649100
HBAN;12.3968;21.54;21.72;21.20;21.25;2004-04-19;1065100
HBAN;12.2299;21.25;21.78;21.23;21.58;2004-04-20;708600
HBAN;12.4889;21.70;22.00;21.10;21.27;2004-04-21;1115500
HBAN;12.5580;21.82;21.99;21.47;21.47;2004-04-22;929000
HBAN;12.5234;21.76;21.84;21.53;21.82;2004-04-23;570300
HBAN;12.4716;21.67;21.87;21.61;21.85;2004-04-26;467900
HBAN;12.5062;21.73;21.92;21.60;21.65;2004-04-27;626400
HBAN;12.3565;21.47;21.90;21.41;21.84;2004-04-28;819100
HBAN;12.3738;21.50;21.78;21.28;21.28;2004-04-29;756300
HBAN;12.3162;21.40;21.76;21.35;21.76;2004-04-30;708000
HBAN;12.4659;21.66;21.80;21.35;21.37;2004-05-03;1125900
HBAN;12.5062;21.73;21.89;21.55;21.78;2004-05-04;861900
HBAN;12.6328;21.95;22.16;21.90;21.92;2004-05-05;766400
HBAN;12.6040;21.90;22.03;21.67;21.95;2004-05-06;1173200
HBAN;12.3738;21.50;21.98;21.40;21.61;2004-05-07;868700
HBAN;12.2414;21.27;21.42;21.00;21.35;2004-05-10;1179700
HBAN;12.2760;21.33;21.43;21.08;21.12;2004-05-11;833200
HBAN;12.5522;21.81;21.89;21.08;21.40;2004-05-12;1563800
HBAN;12.6673;22.01;22.31;21.65;21.70;2004-05-13;1312100
HBAN;12.7191;22.10;22.25;21.93;21.95;2004-05-14;856600
HBAN;12.5580;21.82;22.06;21.75;21.90;2004-05-17;743500
HBAN;12.7594;22.17;22.21;21.80;21.87;2004-05-18;584100
HBAN;12.7134;22.09;22.50;22.05;22.32;2004-05-19;886700
HBAN;12.8054;22.25;22.31;22.01;22.11;2004-05-20;535200
HBAN;12.8803;22.38;22.50;22.21;22.46;2004-05-21;690300
HBAN;12.8918;22.40;22.49;22.22;22.27;2004-05-24;641700
