Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
HBI;4.3123;5.2775;5.3350;4.8875;4.9500;2006-09-06;30584000
HBI;4.5146;5.5250;5.7100;5.1375;5.2800;2006-09-07;21539200
HBI;4.5064;5.5150;5.6800;5.4025;5.4775;2006-09-08;15618000
HBI;4.4410;5.4350;5.4925;5.3750;5.3775;2006-09-11;20751600
HBI;4.4798;5.4825;5.5125;5.3625;5.4225;2006-09-12;9154000
HBI;4.6065;5.6375;5.8000;5.5025;5.5025;2006-09-13;12278800
HBI;4.4553;5.4525;5.6250;5.4175;5.5625;2006-09-14;5515200
HBI;4.3450;5.3175;5.4600;5.3000;5.4275;2006-09-15;8064000
HBI;4.4247;5.4150;5.4375;5.3175;5.3750;2006-09-18;3601600
HBI;4.3716;5.3500;5.6250;5.3075;5.3875;2006-09-19;3788800
HBI;4.5350;5.5500;5.5650;5.3400;5.3450;2006-09-20;2536800
HBI;4.4431;5.4375;5.5000;5.4175;5.4250;2006-09-21;2767600
HBI;4.5227;5.5350;5.5550;5.4150;5.4425;2006-09-22;1448800
HBI;4.5493;5.5675;5.6275;5.4625;5.4800;2006-09-25;3204000
HBI;4.5697;5.5925;5.6250;5.5750;5.6000;2006-09-26;1690000
HBI;4.6167;5.6500;5.6725;5.4500;5.4650;2006-09-27;4552400
HBI;4.5861;5.6125;5.7325;5.5725;5.5875;2006-09-28;2999600
HBI;4.5983;5.6275;5.6600;5.5525;5.6375;2006-09-29;3173200
HBI;4.5942;5.6225;5.6525;5.5750;5.5950;2006-10-02;2194000
HBI;4.5983;5.6275;5.6825;5.5800;5.6450;2006-10-03;2680400
HBI;4.6371;5.6750;5.7725;5.5625;5.6000;2006-10-04;2998800
HBI;4.7291;5.7875;5.8175;5.6500;5.6500;2006-10-05;4523200
HBI;4.6821;5.7300;5.7850;5.6900;5.7550;2006-10-06;1599200
HBI;4.6943;5.7450;5.7825;5.6625;5.7000;2006-10-09;993600
HBI;4.6331;5.6700;5.7125;5.5975;5.6325;2006-10-10;3932000
HBI;4.6269;5.6625;5.6900;5.5875;5.6750;2006-10-11;3731200
HBI;4.6984;5.7500;5.8725;5.7200;5.8350;2006-10-12;6095200
HBI;4.7699;5.8375;5.8575;5.7700;5.7700;2006-10-13;4036400
HBI;4.6984;5.7500;5.8350;5.7500;5.8350;2006-10-16;1898400
HBI;4.6576;5.7000;5.7625;5.6975;5.7500;2006-10-17;2042800
HBI;4.6964;5.7475;5.7625;5.6825;5.7225;2006-10-18;2838800
HBI;4.6984;5.7500;5.7750;5.6875;5.7500;2006-10-19;1372800
HBI;4.7475;5.8100;5.8450;5.7525;5.7525;2006-10-20;722400
HBI;4.8108;5.8875;5.9200;5.8100;5.8100;2006-10-23;2190800
HBI;4.8639;5.9525;5.9525;5.7775;5.8250;2006-10-24;1939200
HBI;4.8618;5.9500;6.0375;5.9150;5.9250;2006-10-25;2170400
HBI;4.9579;6.0675;6.1250;5.9300;5.9475;2006-10-26;2729600
HBI;4.9946;6.1125;6.1250;6.0425;6.0625;2006-10-27;2366000
HBI;4.9538;6.0625;6.1500;5.9975;6.0625;2006-10-30;2126800
HBI;4.8210;5.9000;5.9775;5.7550;5.8750;2006-10-31;5304000
HBI;4.7025;5.7550;5.8575;5.7225;5.8425;2006-11-01;2341200
HBI;4.8108;5.8875;5.9050;5.6250;5.7500;2006-11-02;2562000
HBI;4.6923;5.7425;5.8750;5.7125;5.8250;2006-11-03;2596800
HBI;4.6576;5.7000;5.7500;5.6775;5.7000;2006-11-06;3257200
HBI;4.5616;5.5825;5.7300;5.5525;5.6675;2006-11-07;2862000
HBI;4.5207;5.5325;5.5900;5.4250;5.5000;2006-11-08;3322800
HBI;4.5227;5.5350;5.5575;5.4975;5.5200;2006-11-09;2870800
HBI;4.6024;5.6325;5.6375;5.5000;5.5875;2006-11-10;2338400
HBI;4.6085;5.6400;5.7100;5.6025;5.6325;2006-11-13;1491600
HBI;4.7965;5.8700;5.9025;5.6250;5.6250;2006-11-14;2555200
HBI;4.8578;5.9450;6.0050;5.8625;6.0000;2006-11-15;2912000
HBI;4.9109;6.0100;6.0375;5.9250;5.9625;2006-11-16;2921600
HBI;4.9027;6.0000;6.0150;5.9450;6.0150;2006-11-17;2610800
HBI;4.9599;6.0700;6.0925;5.9625;6.0000;2006-11-20;2311600
HBI;4.9333;6.0375;6.0850;5.9975;6.0400;2006-11-21;1254400
HBI;5.0008;6.1200;6.1625;6.0350;6.0600;2006-11-22;2896400
HBI;4.9946;6.1125;6.1125;6.0175;6.0875;2006-11-24;581200
HBI;4.9109;6.0100;6.0875;5.9450;6.0875;2006-11-27;1120800
HBI;4.9068;6.0050;6.0350;5.9250;5.9950;2006-11-28;2980800
HBI;4.9027;6.0000;6.0350;5.9650;5.9675;2006-11-29;1025200
HBI;4.9824;6.0975;6.1400;6.0025;6.0475;2006-11-30;5052000
HBI;5.0477;6.1775;6.1925;6.0375;6.1050;2006-12-01;2306000
HBI;4.8782;5.9700;6.0175;5.8950;6.0025;2006-12-04;4436000
HBI;4.9190;6.0200;6.0550;5.9750;5.9875;2006-12-05;955200
HBI;4.8884;5.9825;6.0450;5.9400;6.0425;2006-12-06;1823200
HBI;4.8721;5.9625;6.0650;5.9375;5.9825;2006-12-07;1774400
HBI;4.8435;5.9275;6.0250;5.8725;5.9500;2006-12-08;1918400
HBI;4.8966;5.9925;6.0000;5.8150;5.9125;2006-12-11;2202000
HBI;4.8639;5.9525;5.9975;5.5175;5.5175;2006-12-12;1162000
HBI;4.9129;6.0125;6.0225;5.9175;5.9375;2006-12-13;991200
HBI;4.8843;5.9775;6.0625;5.9475;6.0475;2006-12-14;3572800
HBI;4.8435;5.9275;6.0350;5.9175;5.9950;2006-12-15;3381600
HBI;4.8128;5.8900;5.9625;5.8325;5.9375;2006-12-18;1520400
HBI;4.7270;5.7850;5.8725;5.7250;5.8600;2006-12-19;2048800
HBI;4.7842;5.8550;5.8575;5.7850;5.7850;2006-12-20;1110000
HBI;4.6882;5.7375;5.8850;5.6875;5.8550;2006-12-21;1804000
HBI;4.7699;5.8375;5.8950;5.7175;5.7325;2006-12-22;889200
HBI;4.8210;5.9000;5.9250;5.8150;5.8250;2006-12-26;787600
HBI;4.8721;5.9625;6.0000;5.9150;5.9150;2006-12-27;782400
HBI;4.9047;6.0025;6.0050;5.9000;5.9625;2006-12-28;1501600
HBI;4.8251;5.9050;6.0150;5.8900;6.0100;2006-12-29;947200
HBI;4.9109;6.0100;6.0425;5.9225;5.9250;2007-01-03;3182400
HBI;4.9190;6.0200;6.0600;5.9500;5.9875;2007-01-04;1463600
HBI;4.9497;6.0575;6.0975;5.9550;6.0125;2007-01-05;1504800
HBI;5.0682;6.2025;6.2025;6.0375;6.0475;2007-01-08;1513600
HBI;5.0437;6.1725;6.2175;6.1150;6.1800;2007-01-09;916800
HBI;5.0457;6.1750;6.1875;6.0850;6.1400;2007-01-10;1479200
HBI;5.0906;6.2300;6.2300;6.1650;6.1875;2007-01-11;1178400
HBI;5.1519;6.3050;6.3350;6.2325;6.2400;2007-01-12;1158000
HBI;5.2500;6.4250;6.4375;6.2975;6.3125;2007-01-16;2068400
HBI;5.2275;6.3975;6.4150;6.3675;6.4025;2007-01-17;1318400
HBI;5.2357;6.4075;6.4425;6.3250;6.3800;2007-01-18;1574800
HBI;5.2030;6.3675;6.3975;6.3125;6.3875;2007-01-19;1012800
HBI;5.2030;6.3675;6.3800;6.2325;6.3150;2007-01-22;1385600
HBI;5.2173;6.3850;6.4075;6.3150;6.3375;2007-01-23;1312400
HBI;5.2990;6.4850;6.5000;6.3400;6.3750;2007-01-24;2431200
HBI;5.2745;6.4550;6.5150;6.4450;6.4925;2007-01-25;894000
HBI;5.2888;6.4725;6.5000;6.3950;6.4600;2007-01-26;1055600
HBI;5.2643;6.4425;6.4975;6.3650;6.4575;2007-01-29;1300000
HBI;5.2622;6.4400;6.4750;6.4125;6.4575;2007-01-30;992000
HBI;5.2255;6.3950;6.4375;6.3625;6.4350;2007-01-31;1929600
HBI;5.1397;6.2900;6.3450;6.1375;6.3000;2007-02-01;4252400
HBI;5.1724;6.3300;6.3925;6.2275;6.2275;2007-02-02;1593200
HBI;5.1274;6.2750;6.3850;6.2375;6.3125;2007-02-05;4002000
HBI;5.1070;6.2500;6.3225;6.2475;6.2775;2007-02-06;1961200
HBI;5.1274;6.2750;6.3625;6.2375;6.2625;2007-02-07;1640000
HBI;5.1254;6.2725;6.3125;6.2275;6.2575;2007-02-08;1783200
HBI;5.1478;6.3000;6.3450;6.2600;6.2650;2007-02-09;1010800
HBI;5.2990;6.4850;6.4875;6.3000;6.3050;2007-02-12;1383600
HBI;5.3766;6.5800;6.6250;6.4750;6.4975;2007-02-13;1582000
HBI;5.4420;6.6600;6.6625;6.5925;6.5925;2007-02-14;1328400
HBI;5.4645;6.6875;6.7150;6.6250;6.6775;2007-02-15;1344400
HBI;5.4706;6.6950;6.7325;6.6625;6.6675;2007-02-16;1002800
HBI;5.4543;6.6750;6.7500;6.6475;6.6750;2007-02-20;1356000
HBI;5.5401;6.7800;6.8025;6.6400;6.6450;2007-02-21;1059600
HBI;5.5217;6.7575;6.8125;6.7375;6.7900;2007-02-22;1265600
HBI;5.5298;6.7675;6.7975;6.7325;6.7450;2007-02-23;2868800
HBI;5.6013;6.8550;6.8675;6.7425;6.7500;2007-02-26;2458000
HBI;5.6177;6.8750;6.8750;6.7500;6.7800;2007-02-27;2372000
HBI;5.8444;7.1525;7.1875;6.8325;6.8675;2007-02-28;3478800
HBI;5.7934;7.0900;7.1475;6.9525;7.0875;2007-03-01;3306000
HBI;5.7198;7.0000;7.1550;6.9925;7.0250;2007-03-02;2272400
HBI;5.5482;6.7900;6.9500;6.7875;6.9375;2007-03-05;6603200
HBI;5.6708;6.9400;6.9575;6.8000;6.8000;2007-03-06;2562800
HBI;5.6688;6.9375;7.0000;6.9025;6.9600;2007-03-07;3404000
HBI;5.7443;7.0300;7.0550;6.9550;6.9750;2007-03-08;2199200
HBI;5.7913;7.0875;7.0950;7.0250;7.0650;2007-03-09;1268400
HBI;5.8117;7.1125;7.1800;7.0600;7.0625;2007-03-12;1151200
HBI;5.8444;7.1525;7.1725;7.0775;7.1000;2007-03-13;3396800
HBI;5.6831;6.9550;7.1850;6.9250;7.1325;2007-03-14;3284000
HBI;5.5380;6.7775;7.0000;6.7675;6.9400;2007-03-15;2937600
HBI;5.5176;6.7525;6.8025;6.6975;6.7650;2007-03-16;1773600
HBI;5.6320;6.8925;6.9475;6.7200;6.7200;2007-03-19;1265600
HBI;5.7178;6.9975;7.0575;6.8725;6.8725;2007-03-20;2666800
HBI;5.8056;7.1050;7.1050;6.9850;7.0200;2007-03-21;1007600
HBI;5.8649;7.1775;7.1975;6.8825;6.8825;2007-03-22;1940400
HBI;5.9547;7.2875;7.3525;7.1875;7.1925;2007-03-23;2222000
HBI;5.9200;7.2450;7.3275;7.2075;7.2775;2007-03-26;953200
