Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
HD;14.0702;21.11;21.39;20.80;21.15;2003-02-04;11141500
HD;14.2035;21.31;21.38;20.95;21.27;2003-02-05;11048800
HD;14.4168;21.63;22.04;21.27;21.27;2003-02-06;17750200
HD;14.2035;21.31;21.97;21.30;21.90;2003-02-07;11844100
HD;14.3835;21.58;21.70;21.01;21.45;2003-02-10;8863200
HD;14.1835;21.28;21.71;21.15;21.53;2003-02-11;10129700
HD;14.1302;21.20;21.48;21.15;21.23;2003-02-12;7826100
HD;13.7970;20.70;21.22;20.18;21.20;2003-02-13;12944200
HD;14.2302;21.35;21.35;20.47;20.62;2003-02-14;10711900
HD;14.5968;21.90;22.17;21.45;21.50;2003-02-18;12041300
HD;14.5568;21.84;22.12;21.58;21.80;2003-02-19;8619900
HD;14.4302;21.65;21.98;21.58;21.98;2003-02-20;7732900
HD;14.9367;22.41;22.49;21.68;21.75;2003-02-21;13246100
HD;14.7834;22.18;22.86;22.06;22.86;2003-02-24;15189600
HD;15.2233;22.84;23.00;21.62;22.40;2003-02-25;20170600
HD;15.2500;22.88;23.10;22.61;22.75;2003-02-26;13479300
HD;15.4033;23.11;23.20;22.60;23.00;2003-02-27;14378200
HD;15.6299;23.45;23.59;22.73;22.73;2003-02-28;11461300
HD;15.3900;23.09;23.77;23.00;23.49;2003-03-03;10208200
HD;14.7301;22.10;22.90;22.05;22.89;2003-03-04;11893200
HD;14.7634;22.15;22.49;21.76;22.00;2003-03-05;11008300
HD;14.7301;22.10;22.44;21.76;21.97;2003-03-06;8971100
HD;15.0100;22.52;22.59;21.51;21.57;2003-03-07;10939100
HD;14.6101;21.92;22.61;21.84;22.35;2003-03-10;7610700
HD;14.5366;21.75;22.23;21.75;21.99;2003-03-11;7190100
HD;14.8173;22.17;22.18;21.66;21.75;2003-03-12;10365400
HD;15.4723;23.15;23.20;22.27;22.50;2003-03-13;11208700
HD;15.3654;22.99;23.48;22.60;23.21;2003-03-14;9413500
HD;15.9736;23.90;23.98;22.59;22.92;2003-03-17;14499500
HD;16.0003;23.94;24.09;23.33;23.95;2003-03-18;11698400
HD;16.4080;24.55;24.70;23.80;23.88;2003-03-19;11782400
HD;16.6553;24.92;25.03;23.71;24.31;2003-03-20;12848600
HD;17.2300;25.78;25.80;25.09;25.50;2003-03-21;15717600
HD;16.2944;24.38;25.50;24.10;24.50;2003-03-24;12019100
HD;16.7823;25.11;25.21;24.32;24.35;2003-03-25;13468600
HD;16.9894;25.42;25.70;25.00;25.15;2003-03-26;11527200
HD;16.7488;25.06;25.29;24.70;25.02;2003-03-27;7644700
HD;16.4615;24.63;25.06;24.42;25.06;2003-03-28;7364200
HD;16.2810;24.36;24.81;23.83;24.00;2003-03-31;11630500
HD;16.5684;24.79;24.79;23.98;24.61;2003-04-01;10403600
HD;17.2969;25.88;26.13;25.10;25.10;2003-04-02;13033900
HD;17.3971;26.03;26.28;25.85;26.05;2003-04-03;11812400
HD;17.6645;26.43;26.58;26.02;26.05;2003-04-04;10454500
HD;17.5976;26.33;27.50;26.23;27.25;2003-04-07;13721300
HD;17.6645;26.43;26.70;25.98;26.50;2003-04-08;11268600
HD;17.2100;25.75;26.60;25.65;26.43;2003-04-09;12678400
HD;17.2902;25.87;26.20;25.48;26.00;2003-04-10;15850300
HD;17.3103;25.90;26.49;25.63;26.01;2003-04-11;10657800
HD;17.7447;26.55;26.64;25.75;25.85;2003-04-14;7930700
HD;18.1524;27.16;27.20;26.61;26.80;2003-04-15;12137100
HD;17.8115;26.65;27.40;26.59;27.22;2003-04-16;10259000
HD;18.2927;27.37;27.49;26.60;26.66;2003-04-17;9513700
HD;18.3596;27.47;27.60;27.10;27.37;2003-04-21;7764100
HD;18.4799;27.65;27.75;27.08;27.22;2003-04-22;9557200
HD;18.6336;27.88;28.00;27.26;27.55;2003-04-23;8650600
HD;18.4799;27.65;27.86;27.42;27.42;2003-04-24;7917700
HD;18.3596;27.47;27.83;27.40;27.65;2003-04-25;6889100
HD;18.6536;27.91;28.00;27.50;27.50;2003-04-28;6979700
HD;18.8809;28.25;28.76;28.12;28.20;2003-04-29;10936400
HD;18.8007;28.13;28.19;27.78;28.05;2003-04-30;11720600
HD;18.3796;27.50;28.10;27.35;28.10;2003-05-01;10986700
HD;19.0546;28.51;28.60;27.68;27.80;2003-05-02;10056600
HD;19.3287;28.92;29.31;28.09;28.51;2003-05-05;14546000
HD;19.7029;29.48;29.68;29.16;29.16;2003-05-06;13626200
HD;19.7765;29.59;29.90;29.17;29.50;2003-05-07;9649300
HD;19.5359;29.23;29.80;29.01;29.35;2003-05-08;7776400
HD;19.8567;29.71;29.74;29.15;29.45;2003-05-09;7550100
HD;20.1040;30.08;30.08;29.42;29.50;2003-05-12;11137400
HD;20.0171;29.95;30.25;29.55;29.55;2003-05-13;8392400
HD;19.7832;29.60;30.20;29.44;30.05;2003-05-14;8791100
HD;19.6294;29.37;29.90;28.65;29.86;2003-05-15;12929500
HD;19.5091;29.19;29.19;28.62;29.09;2003-05-16;11254400
HD;18.7606;28.07;29.10;27.85;28.25;2003-05-19;16506600
HD;20.4983;30.67;31.40;30.40;30.55;2003-05-20;39383700
HD;20.4649;30.62;30.85;30.05;30.25;2003-05-21;13235900
HD;20.6119;30.84;31.03;30.43;30.62;2003-05-22;10599200
HD;20.4114;30.54;30.82;30.50;30.76;2003-05-23;5588700
HD;21.0196;31.45;31.58;30.12;30.15;2003-05-27;10011600
HD;21.2268;31.76;32.22;31.50;31.59;2003-05-28;10287200
HD;21.7214;32.50;32.57;31.00;31.98;2003-05-29;10262200
HD;21.7147;32.49;32.50;32.05;32.30;2003-05-30;8428600
HD;21.8149;32.64;33.09;32.39;32.75;2003-06-02;9925600
HD;21.8483;32.69;32.88;32.15;32.63;2003-06-03;7732600
HD;21.7147;32.49;32.76;32.37;32.69;2003-06-04;7596500
HD;21.9352;32.82;32.88;32.10;32.45;2003-06-05;9686300
HD;21.9620;32.86;33.40;32.65;33.07;2003-06-06;9614400
HD;21.7548;32.55;33.00;32.25;32.86;2003-06-09;6521700
HD;21.8016;32.56;32.65;32.20;32.46;2003-06-10;6170200
HD;22.0226;32.89;32.90;32.32;32.46;2003-06-11;6152500
HD;22.0494;32.93;33.30;32.55;33.20;2003-06-12;6578100
HD;22.4712;33.56;33.66;32.89;33.15;2003-06-13;10376400
HD;23.0739;34.46;34.72;33.58;33.81;2003-06-16;9995700
HD;23.0605;34.44;34.70;34.33;34.40;2003-06-17;7510800
HD;22.3842;33.43;34.44;33.24;34.43;2003-06-18;12015900
HD;22.0427;32.92;33.85;32.87;33.50;2003-06-19;7886000
HD;21.7548;32.49;33.09;32.45;33.02;2003-06-20;13732900
HD;21.3731;31.92;32.69;31.58;32.36;2003-06-23;7418800
HD;21.5740;32.22;32.40;31.84;32.10;2003-06-24;9835400
HD;21.7280;32.45;33.16;32.31;32.35;2003-06-25;8650500
HD;21.7414;32.47;33.31;31.99;32.70;2003-06-26;7609800
HD;21.7414;32.47;32.97;32.44;32.85;2003-06-27;7092500
HD;22.1766;33.12;34.05;32.85;32.90;2003-06-30;10783600
HD;22.1632;33.10;33.22;32.19;33.12;2003-07-01;8807900
HD;22.3909;33.44;33.55;33.16;33.20;2003-07-02;7589800
HD;22.3641;33.40;33.56;32.85;33.35;2003-07-03;4153900
HD;22.6118;33.77;33.91;33.59;33.65;2003-07-07;6669400
HD;23.1341;34.55;34.70;33.65;33.75;2003-07-08;7614300
HD;22.4244;33.49;34.49;33.33;34.22;2003-07-09;13723000
HD;21.7146;32.43;33.49;32.00;33.49;2003-07-10;11537900
HD;22.2101;33.17;33.50;32.96;33.40;2003-07-11;10669200
HD;22.3507;33.38;34.00;33.25;33.70;2003-07-14;7455500
HD;22.2101;33.17;34.55;33.08;33.55;2003-07-15;10319000
HD;22.4311;33.50;33.63;32.59;33.15;2003-07-16;10460600
HD;22.1632;33.10;34.18;32.91;33.50;2003-07-17;7127000
HD;22.1498;33.08;33.51;32.66;33.50;2003-07-18;6285600
HD;21.5271;32.15;33.24;32.15;33.20;2003-07-21;7447300
HD;21.2660;31.76;32.32;31.40;32.32;2003-07-22;12416400
HD;21.5070;32.12;32.34;31.68;32.03;2003-07-23;8026100
