Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
HFC;1.4519;2.6613;2.6625;2.55;2.5812;2003-02-04;485600
HFC;1.4158;2.595;2.6550;2.5912;2.6550;2003-02-05;238400
HFC;1.4171;2.5975;2.6063;2.575;2.5950;2003-02-06;230400
HFC;1.4219;2.6063;2.6263;2.5925;2.5925;2003-02-07;146400
HFC;1.4117;2.5875;2.5950;2.5487;2.5875;2003-02-10;141600
HFC;1.3864;2.5412;2.5912;2.53125;2.5750;2003-02-11;119200
HFC;1.3810;2.53125;2.5400;2.5;2.5375;2003-02-12;132800
HFC;1.3639;2.5;2.5250;2.4875;2.5250;2003-02-13;163200
HFC;1.3776;2.525;2.5250;2.4938;2.5000;2003-02-14;47200
HFC;1.3864;2.5412;2.5563;2.5225;2.5363;2003-02-18;76800
HFC;1.3810;2.53125;2.5338;2.5;2.5338;2003-02-19;101600
HFC;1.3912;2.55;2.5500;2.5;2.5062;2003-02-20;138400
HFC;1.4389;2.6375;2.6500;2.5425;2.5500;2003-02-21;148800
HFC;1.4560;2.6688;2.6688;2.6125;2.6688;2003-02-24;249600
HFC;1.4662;2.6875;2.6875;2.625;2.6500;2003-02-25;136000
HFC;1.4860;2.7238;2.7325;2.675;2.6875;2003-02-26;271200
HFC;1.5276;2.8;2.8112;2.7125;2.7375;2003-02-27;227200
HFC;1.5174;2.78125;2.8100;2.75;2.8100;2003-02-28;128800
HFC;1.4969;2.7438;2.8000;2.7375;2.7875;2003-03-03;152000
HFC;1.4935;2.7375;2.7813;2.71875;2.7387;2003-03-04;133600
HFC;1.5017;2.7525;2.7625;2.7125;2.7500;2003-03-05;272800
HFC;1.5037;2.7562;2.7987;2.7375;2.7438;2003-03-06;434400
HFC;1.5187;2.7838;2.7938;2.6575;2.6813;2003-03-07;620000
HFC;1.5174;2.78125;2.8112;2.7625;2.7963;2003-03-10;402400
HFC;1.5453;2.8325;2.8438;2.78125;2.7813;2003-03-11;682400
HFC;1.5446;2.8312;2.8425;2.7875;2.8325;2003-03-12;386400
HFC;1.5213;2.775;2.8000;2.7687;2.8000;2003-03-13;426400
HFC;1.5145;2.7625;2.7875;2.7387;2.7863;2003-03-14;293600
HFC;1.5378;2.805;2.8425;2.7725;2.7775;2003-03-17;318400
HFC;1.4857;2.71;2.8100;2.6888;2.8100;2003-03-18;678400
HFC;1.4871;2.7125;2.7250;2.6875;2.7250;2003-03-19;345600
HFC;1.4905;2.71875;2.7250;2.6662;2.7225;2003-03-20;392800
HFC;1.4871;2.7125;2.7375;2.7;2.7125;2003-03-21;389600
HFC;1.4939;2.725;2.7250;2.6862;2.6975;2003-03-24;216000
HFC;1.5063;2.7475;2.7562;2.7313;2.7375;2003-03-25;284800
HFC;1.4994;2.735;2.7462;2.7313;2.7313;2003-03-26;536800
HFC;1.4980;2.7325;2.7413;2.71875;2.7250;2003-03-27;110400
HFC;1.5145;2.7625;2.7863;2.7313;2.7313;2003-03-28;241600
HFC;1.9627;3.58;3.6000;3.4;3.4000;2003-03-31;10604800
HFC;2.0182;3.6813;3.6900;3.5775;3.5775;2003-04-01;3217600
HFC;2.0545;3.7475;3.7475;3.6512;3.6813;2003-04-02;4540000
HFC;2.0339;3.71;3.7525;3.7;3.7375;2003-04-03;970400
HFC;2.0435;3.7275;3.7438;3.6813;3.7000;2003-04-04;1013600
HFC;2.0250;3.6937;3.7375;3.6625;3.7313;2003-04-07;764000
HFC;1.9606;3.5763;3.6937;3.565;3.6875;2003-04-08;884000
HFC;1.9702;3.59375;3.6000;3.5625;3.5625;2003-04-09;1024800
HFC;1.9812;3.6137;3.6312;3.58;3.6000;2003-04-10;707200
HFC;1.9668;3.5875;3.6300;3.5875;3.6250;2003-04-11;363200
HFC;1.9668;3.5875;3.5975;3.5538;3.5975;2003-04-14;189600
HFC;1.9558;3.5675;3.5738;3.5375;3.5400;2003-04-15;545600
HFC;1.9599;3.575;3.5938;3.5375;3.5675;2003-04-16;472000
HFC;1.9791;3.61;3.6100;3.55;3.5812;2003-04-17;488800
HFC;1.9668;3.5875;3.5975;3.55;3.5975;2003-04-21;360000
HFC;1.9483;3.5538;3.5812;3.5438;3.5750;2003-04-22;1100000
HFC;1.9565;3.5687;3.5712;3.545;3.5625;2003-04-23;751200
HFC;1.9599;3.575;3.5900;3.5387;3.5500;2003-04-24;776800
HFC;1.9558;3.5675;3.5750;3.5438;3.5687;2003-04-25;329600
HFC;1.9736;3.6;3.6125;3.5625;3.5675;2003-04-28;139200
HFC;1.9565;3.5687;3.6188;3.5687;3.5875;2003-04-29;453600
HFC;1.9524;3.5612;3.5687;3.55;3.5625;2003-04-30;1032800
HFC;1.9360;3.53125;3.5475;3.5;3.5475;2003-05-01;238400
HFC;1.9188;3.5;3.5213;3.4475;3.4688;2003-05-02;344000
HFC;1.9058;3.4762;3.5175;3.4725;3.5000;2003-05-05;200000
HFC;1.8818;3.4325;3.4688;3.4225;3.4688;2003-05-06;380800
HFC;1.9277;3.5162;3.5200;3.4225;3.4225;2003-05-07;344000
HFC;1.8743;3.4188;3.4875;3.4188;3.4850;2003-05-08;416800
HFC;1.8791;3.4275;3.4288;3.3812;3.4213;2003-05-09;439200
HFC;1.9133;3.49;3.5038;3.4125;3.4275;2003-05-12;194400
HFC;1.9462;3.55;3.5500;3.465;3.4725;2003-05-13;112800
HFC;1.9291;3.5187;3.5375;3.5;3.5375;2003-05-14;135200
HFC;1.9188;3.5;3.5313;3.4962;3.5313;2003-05-15;490400
HFC;1.9058;3.4762;3.5000;3.465;3.4875;2003-05-16;136800
HFC;1.9051;3.475;3.4925;3.4475;3.4637;2003-05-19;250400
HFC;1.9462;3.55;3.5625;3.4738;3.4750;2003-05-20;564000
HFC;1.9579;3.5712;3.5775;3.53125;3.5500;2003-05-21;344800
HFC;1.9647;3.5838;3.5975;3.5638;3.5700;2003-05-22;309600
HFC;1.9709;3.595;3.5950;3.5625;3.5750;2003-05-23;225600
HFC;1.9921;3.6337;3.6500;3.595;3.5950;2003-05-27;301600
HFC;1.9908;3.6312;3.6425;3.6188;3.6212;2003-05-28;125600
HFC;1.9873;3.625;3.6312;3.5438;3.6312;2003-05-29;464000
HFC;1.9956;3.64;3.6563;3.6063;3.6312;2003-05-30;265600
HFC;1.9819;3.615;3.6375;3.575;3.6225;2003-06-02;109600
HFC;1.9942;3.6375;3.6375;3.5875;3.6025;2003-06-03;216800
HFC;1.9771;3.6063;3.6550;3.575;3.6463;2003-06-04;620800
HFC;1.9736;3.6;3.6125;3.575;3.6125;2003-06-05;441600
HFC;1.9394;3.5375;3.5875;3.5162;3.5812;2003-06-06;296000
HFC;1.9517;3.56;3.5663;3.515;3.5250;2003-06-09;168800
HFC;1.9401;3.5387;3.5725;3.5175;3.5725;2003-06-10;410400
HFC;1.9668;3.5875;3.5875;3.535;3.5450;2003-06-11;81600
HFC;1.9531;3.5625;3.5938;3.5525;3.5938;2003-06-12;246400
HFC;1.9270;3.515;3.5750;3.4875;3.5750;2003-06-13;242400
HFC;1.9634;3.5812;3.5850;3.4375;3.5250;2003-06-16;1112000
HFC;1.9360;3.53125;3.5712;3.5275;3.5687;2003-06-17;212800
HFC;1.9394;3.5375;3.5500;3.5187;3.5325;2003-06-18;196800
HFC;1.9483;3.54;3.5438;3.5125;3.5187;2003-06-19;175200
