Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
HIG;26.9730;39.99;40.89;38.82;39.50;2003-02-04;2696700
HIG;27.1686;40.28;41.22;40.20;40.70;2003-02-05;1738100
HIG;26.1569;38.78;40.46;38.60;40.29;2003-02-06;1625600
HIG;26.0827;38.67;39.31;38.35;39.20;2003-02-07;1404000
HIG;26.3053;39.00;39.15;38.15;38.68;2003-02-10;1846900
HIG;25.6915;38.09;39.29;38.00;39.25;2003-02-11;1232300
HIG;25.3542;37.59;38.39;36.70;38.17;2003-02-12;1047700
HIG;24.8349;36.82;38.15;36.25;37.75;2003-02-13;2283100
HIG;24.9563;37.00;37.53;36.58;37.20;2003-02-14;2254700
HIG;25.2261;37.40;37.90;37.15;37.15;2003-02-18;1713200
HIG;25.0305;37.11;37.75;36.84;37.75;2003-02-19;1470700
HIG;25.2058;37.37;38.13;37.12;37.52;2003-02-20;1734600
HIG;25.1924;37.35;37.88;36.91;37.60;2003-02-21;1581000
HIG;24.6797;36.59;37.36;36.32;37.36;2003-02-24;1126800
HIG;24.9833;37.04;37.10;36.10;36.60;2003-02-25;1368200
HIG;24.4639;36.27;38.03;36.22;36.95;2003-02-26;1350800
HIG;25.0415;36.85;37.24;36.25;36.32;2003-02-27;1117300
HIG;24.5522;36.13;37.05;35.45;36.80;2003-02-28;2881200
HIG;24.5998;36.20;36.85;35.80;36.70;2003-03-03;1582600
HIG;24.3348;35.81;36.20;35.60;36.10;2003-03-04;1578900
HIG;24.3620;35.85;36.20;35.43;35.81;2003-03-05;2179900
HIG;23.6485;34.80;35.85;34.75;35.85;2003-03-06;2789300
HIG;23.7979;35.02;35.13;33.77;34.80;2003-03-07;2691100
HIG;22.6631;33.35;34.83;33.25;34.80;2003-03-10;2784000
HIG;22.4252;33.00;33.55;32.91;33.35;2003-03-11;3435700
HIG;21.9495;32.30;33.50;31.64;32.85;2003-03-12;4896000
HIG;23.3087;34.30;34.34;32.98;33.00;2003-03-13;2761800
HIG;23.7436;34.94;35.40;34.38;34.50;2003-03-14;2028600
HIG;25.1231;36.97;37.21;34.67;34.93;2003-03-17;3437700
HIG;25.1842;37.06;37.65;36.74;37.05;2003-03-18;2440100
HIG;25.4560;37.46;37.66;36.91;37.10;2003-03-19;2482600
HIG;25.4832;37.50;37.97;36.33;37.05;2003-03-20;1565500
HIG;26.1764;38.52;38.65;37.80;38.25;2003-03-21;1675200
HIG;24.8648;36.59;38.52;36.25;38.52;2003-03-24;1344600
HIG;25.1706;37.04;37.23;36.11;36.65;2003-03-25;1300600
HIG;24.5998;36.20;36.69;35.85;36.65;2003-03-26;2216600
HIG;24.5115;36.07;36.52;35.35;36.20;2003-03-27;1237600
HIG;24.2600;35.70;36.99;35.48;35.62;2003-03-28;1154900
HIG;23.9814;35.29;35.55;34.65;34.82;2003-03-31;1686800
HIG;24.5862;36.18;36.50;35.33;35.65;2003-04-01;1656300
HIG;25.3337;37.28;37.70;36.86;37.00;2003-04-02;1426100
HIG;25.4289;37.42;37.95;36.45;37.28;2003-04-03;1301900
HIG;25.6327;37.72;37.92;37.24;37.52;2003-04-04;1345600
HIG;26.1832;38.53;39.83;38.49;39.15;2003-04-07;2225100
HIG;26.0812;38.38;39.05;38.30;38.53;2003-04-08;1493700
HIG;25.8706;38.07;39.20;37.88;38.50;2003-04-09;1630100
HIG;25.7958;37.96;38.16;37.65;38.08;2003-04-10;967200
HIG;26.0133;38.28;39.17;37.97;37.97;2003-04-11;869900
HIG;26.8763;39.55;39.57;38.42;38.70;2003-04-14;1471500
HIG;27.3044;40.18;40.46;39.55;39.95;2003-04-15;1649900
