Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
HII;33.5413;37.49;37.60;34.00;35.72;2011-03-22;491400
HII;33.3266;37.25;37.80;36.95;37.07;2011-03-23;601200
HII;33.3266;37.25;37.50;37.15;37.50;2011-03-24;230400
HII;35.1159;39.25;39.25;37.25;37.50;2011-03-25;497400
HII;33.7739;37.75;39.00;37.75;39.00;2011-03-28;53100
HII;33.5503;37.50;37.95;37.47;37.76;2011-03-29;269300
HII;34.1765;38.20;38.49;36.58;37.95;2011-03-30;8573500
HII;37.1289;41.50;42.74;38.00;38.45;2011-03-31;2653000
HII;35.8227;40.04;42.44;39.84;40.99;2011-04-01;2222900
HII;35.9211;40.15;41.02;39.14;39.86;2011-04-04;1122700
HII;36.0106;40.25;40.33;38.73;39.53;2011-04-05;1373400
HII;35.5006;39.68;40.31;39.12;39.86;2011-04-06;2080100
HII;34.7133;38.80;39.25;37.51;38.25;2011-04-07;2134600
HII;34.4449;38.50;38.88;38.20;38.33;2011-04-08;1307200
HII;34.2839;38.32;38.58;38.28;38.50;2011-04-11;1563100
HII;34.0423;38.05;38.42;37.66;37.91;2011-04-12;1637500
HII;33.9976;38.00;38.37;37.28;37.71;2011-04-13;1649100
HII;34.6865;38.77;39.36;37.85;37.90;2011-04-14;1232400
HII;35.9122;40.14;40.75;38.81;38.89;2011-04-15;1502100
HII;35.8317;40.05;40.22;38.59;39.45;2011-04-18;793700
HII;35.5901;39.78;40.12;39.49;40.08;2011-04-19;802400
HII;35.8406;40.06;40.36;39.50;40.14;2011-04-20;358200
HII;35.1696;39.31;40.19;39.18;40.03;2011-04-21;799400
HII;34.9549;39.07;39.41;38.61;39.13;2011-04-25;298000
HII;35.1964;39.34;39.71;38.70;38.97;2011-04-26;696700
HII;35.7959;40.01;40.20;38.10;38.97;2011-04-27;772000
HII;35.7780;39.99;40.24;39.58;40.00;2011-04-28;692000
HII;35.7869;40.00;40.17;39.94;40.00;2011-04-29;556000
HII;36.6637;40.98;41.19;39.05;39.41;2011-05-02;542100
HII;36.2343;40.50;41.09;40.38;40.89;2011-05-03;539000
HII;35.7422;39.95;40.67;39.59;40.40;2011-05-04;591800
HII;35.6438;39.84;41.20;39.50;39.81;2011-05-05;635800
HII;35.3396;39.50;40.15;39.34;40.01;2011-05-06;413800
HII;35.4291;39.60;39.85;38.86;39.33;2011-05-09;368900
HII;35.9390;40.17;40.34;39.77;39.79;2011-05-10;709100
HII;34.6954;38.78;39.50;38.50;39.48;2011-05-11;1297900
HII;34.3465;38.39;38.90;38.27;38.80;2011-05-12;382000
HII;34.4091;38.46;38.61;37.97;38.31;2011-05-13;435000
HII;34.6149;38.69;38.89;38.20;38.20;2011-05-16;303700
HII;34.6954;38.78;38.88;38.41;38.41;2011-05-17;369700
