Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
HLT;42.2441;44.1180;44.9798;43.6050;43.7076;2013-12-12;12935478
HLT;43.4230;45.3492;45.9238;44.2206;45.1235;2013-12-13;1224854
HLT;42.2834;44.1590;52.8390;44.1590;47.3602;2013-12-16;4717690
HLT;42.8532;44.7541;45.1235;44.2822;44.3437;2013-12-17;2313840
HLT;42.8925;44.7952;45.5134;44.4463;44.7952;2013-12-18;2857846
HLT;43.7767;45.7186;45.9853;44.2206;44.6310;2013-12-19;1469103
HLT;43.0890;45.0004;46.2726;44.8567;46.1700;2013-12-20;994834
HLT;42.3620;44.2411;45.5339;44.2411;45.1645;2013-12-23;1220712
HLT;42.2638;44.1385;44.4668;43.3998;44.3232;2013-12-24;1234064
HLT;42.6371;44.5284;45.0619;44.2206;44.2411;2013-12-26;1309211
HLT;42.4406;44.3232;44.8157;44.2206;44.3232;2013-12-27;1090302
HLT;43.0104;44.9183;45.0824;44.3232;44.5694;2013-12-30;871832
HLT;43.7178;45.6570;46.1084;45.0414;45.1440;2013-12-31;1134308
HLT;42.9515;44.8567;45.8622;44.6720;45.6570;2014-01-02;1763791
HLT;43.2462;45.1645;45.3287;44.6310;44.7336;2014-01-03;461257
HLT;43.2266;45.1440;45.3902;44.6515;45.1235;2014-01-06;1172320
HLT;43.2266;45.1440;45.3492;44.9388;45.1440;2014-01-07;1992593
HLT;43.2855;45.2056;45.2056;44.7336;45.2056;2014-01-08;1154240
HLT;42.9711;44.8772;45.1850;44.5489;45.1440;2014-01-09;459600
HLT;42.6175;44.5079;44.8567;44.2616;44.6515;2014-01-10;812329
HLT;42.6764;44.5694;44.7952;44.2411;44.2411;2014-01-13;728216
HLT;43.4230;45.3492;45.3697;44.4053;44.5489;2014-01-14;1251608
HLT;43.0497;44.9593;45.4928;44.7952;45.2466;2014-01-15;915253
HLT;43.1480;45.0619;45.2056;44.5079;44.9388;2014-01-16;1130019
HLT;43.7178;45.6570;46.2931;44.7336;45.0619;2014-01-17;2702290
HLT;43.0694;44.9798;46.3547;44.8157;46.1905;2014-01-21;1280214
HLT;44.1304;46.0879;46.1495;44.9388;45.1235;2014-01-22;1428655
HLT;44.5234;46.4983;46.4983;45.3492;46.0264;2014-01-23;936062
HLT;44.1107;46.0674;46.1290;45.3287;45.8622;2014-01-24;891033
HLT;43.2069;45.1235;46.0674;44.9183;46.0674;2014-01-27;1099610
HLT;43.0301;44.9388;45.1440;44.6310;44.8157;2014-01-28;686209
HLT;42.5585;44.4463;44.8978;44.2411;44.7541;2014-01-29;437865
HLT;42.5585;44.4463;44.7746;44.3232;44.6515;2014-01-30;520273
HLT;42.5389;44.4258;44.5079;43.7897;44.1385;2014-01-31;428606
HLT;41.1635;42.9894;44.5284;42.7637;44.4258;2014-02-03;1115010
HLT;41.3207;43.1536;43.2562;42.7637;43.0920;2014-02-04;835770
HLT;40.8688;42.6816;43.0099;42.1686;42.7842;2014-02-05;694786
HLT;41.6547;43.5024;43.5024;42.7226;42.7637;2014-02-06;294103
HLT;42.5389;44.4258;44.8772;43.5434;43.6255;2014-02-07;513012
HLT;42.0673;43.9333;44.5079;43.7076;44.4668;2014-02-10;562427
HLT;42.6175;44.5079;44.6720;44.0359;44.5900;2014-02-11;642446
HLT;43.0104;44.9183;45.0414;44.3642;44.6105;2014-02-12;436647
HLT;43.1283;45.0414;45.1850;44.4258;44.6926;2014-02-13;551608
HLT;43.2266;45.1440;45.2466;44.8567;45.1440;2014-02-14;647856
HLT;42.7550;44.6515;45.1440;44.5900;45.1440;2014-02-18;616179
HLT;42.3031;44.1796;45.0414;44.1180;44.6515;2014-02-19;441033
HLT;42.2245;44.0975;44.4668;43.7281;44.1180;2014-02-20;602096
HLT;43.5213;45.4518;45.5339;44.0564;44.1180;2014-02-21;1166082
HLT;43.7374;45.6775;46.1700;45.2261;45.5749;2014-02-24;743177
HLT;43.9536;45.9032;46.3342;45.5749;45.6570;2014-02-25;823197
HLT;44.2876;46.2521;46.5394;45.7596;45.9853;2014-02-26;1072027
HLT;44.1893;46.1495;46.9087;44.7336;45.9853;2014-02-27;2187817
HLT;43.9339;45.8827;46.3342;45.3082;46.1700;2014-02-28;970565
HLT;44.1893;46.1495;46.1700;45.3697;45.5954;2014-03-03;676754
HLT;44.3269;46.2931;47.4012;46.0879;47.0113;2014-03-04;2307018
HLT;44.7395;46.7240;46.9703;46.0674;46.1084;2014-03-05;668713
HLT;44.1697;46.1290;46.9087;45.9648;46.7240;2014-03-06;682407
HLT;44.6216;46.6009;46.8472;45.9648;46.0674;2014-03-07;642349
HLT;43.9732;45.9238;46.8882;45.6160;46.7035;2014-03-10;922027
HLT;43.4427;45.3697;46.0879;45.1440;45.9443;2014-03-11;835429
HLT;43.9143;45.8622;45.9648;44.6720;45.2261;2014-03-12;788645
HLT;43.3248;45.2466;46.0264;45.0619;45.6160;2014-03-13;992690
HLT;43.2855;45.2056;45.6775;44.8772;45.0619;2014-03-14;609064
HLT;43.4623;45.3902;45.9443;45.3287;45.3697;2014-03-17;369250
HLT;44.3465;46.3136;46.3547;45.2671;45.3492;2014-03-18;677778
HLT;43.7374;45.6775;46.2316;45.4723;46.2110;2014-03-19;733382
HLT;43.5606;45.4928;46.0058;45.3697;45.6570;2014-03-20;652729
HLT;45.1718;47.1755;47.1755;45.4518;45.6980;2014-03-21;3026754
HLT;44.7199;46.7035;47.3807;46.0879;47.0729;2014-03-24;966033
HLT;44.1697;46.1290;46.9908;46.1290;46.7446;2014-03-25;781774
HLT;43.8946;45.8417;46.3136;45.7391;46.1700;2014-03-26;781969
HLT;43.6785;45.6160;46.2110;45.4928;45.7801;2014-03-27;670517
HLT;43.7178;45.6570;45.9238;45.0414;45.4928;2014-03-28;2073051
HLT;43.6981;45.6365;46.0264;45.1440;45.8417;2014-03-31;4896930
HLT;44.3072;46.2726;46.5804;45.5749;45.5954;2014-04-01;1052534
HLT;44.1500;46.1084;46.5599;46.0674;46.1700;2014-04-02;1061550
HLT;43.2659;45.1850;46.3342;45.1850;46.1700;2014-04-03;959357
HLT;42.4210;44.3027;45.2466;44.2411;45.2056;2014-04-04;2767300
HLT;41.9887;43.8512;44.3848;43.6255;44.3232;2014-04-07;694298
HLT;41.9691;43.8307;43.9128;43.3793;43.8102;2014-04-08;686160
HLT;42.2638;44.1385;44.4258;43.8718;43.9744;2014-04-09;864815
HLT;41.6154;43.4614;44.2616;43.1741;44.0564;2014-04-10;527973
HLT;41.7529;43.6050;43.8718;43.0099;43.2972;2014-04-11;760136
HLT;41.9494;43.8102;44.3437;43.3177;43.6871;2014-04-14;515400
HLT;42.0084;43.8718;44.1385;43.0920;44.1385;2014-04-15;484990
HLT;42.4406;44.3232;44.3642;43.5640;43.6460;2014-04-16;523977
HLT;42.7747;44.6720;44.8567;43.7076;44.2001;2014-04-17;805166
HLT;42.1655;44.0359;44.5694;43.8512;44.5694;2014-04-21;498148
HLT;42.2638;44.1385;44.5694;43.9744;44.0154;2014-04-22;511745
HLT;42.2245;44.0975;44.4258;43.8307;44.0770;2014-04-23;469883
HLT;42.2441;44.1180;44.4668;44.0359;44.2411;2014-04-24;302339
HLT;41.9101;43.7692;44.1590;43.5845;44.1180;2014-04-25;204922
HLT;41.9887;43.8512;43.9744;43.1946;43.7897;2014-04-28;625682
HLT;41.4386;43.2767;44.4874;43.0304;44.3642;2014-04-29;1292836
HLT;42.8925;44.7952;44.8362;43.3998;43.5229;2014-04-30;920906
HLT;43.3838;45.3082;45.4108;44.0154;44.7131;2014-05-01;700536
HLT;43.3248;45.2466;46.5188;45.2261;45.3082;2014-05-02;991033
HLT;43.5409;45.4723;45.5339;44.7746;45.0209;2014-05-05;410867
HLT;43.5409;45.4723;45.7186;44.9388;45.3492;2014-05-06;683187
HLT;44.5234;46.4983;47.1550;45.3697;46.7856;2014-05-07;1038060
HLT;44.4841;46.4573;46.9087;46.2931;46.7035;2014-05-08;1212865
HLT;45.3290;47.3396;48.8376;46.7446;48.6940;2014-05-09;3461111
HLT;45.1521;47.1550;48.3246;46.5188;48.1194;2014-05-12;1586745
HLT;45.1914;47.1960;47.6474;46.9703;47.4012;2014-05-13;1098538
HLT;44.3072;46.2726;47.3191;45.7391;47.1960;2014-05-14;1191764
HLT;43.0301;44.9388;46.3752;44.4463;46.3752;2014-05-15;1821394
HLT;42.9711;44.8772;45.2671;43.9949;45.1440;2014-05-16;1228850
HLT;43.0497;44.9593;45.1645;44.5694;44.9388;2014-05-19;970419
HLT;42.0673;43.9333;45.1235;43.8512;45.0004;2014-05-20;1359211
HLT;42.9318;44.8362;45.1440;44.0154;44.1180;2014-05-21;1872807
