Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
HSIC;7.6922;7.6922;7.9216;7.6922;7.9059;2003-02-04;1909950
HSIC;7.0941;7.0941;7.7451;6.9745;7.7255;2003-02-05;7462320
HSIC;7.6667;7.6667;7.6667;7.1059;7.1294;2003-02-06;8547600
HSIC;7.3255;7.3255;7.7196;7.2451;7.5686;2003-02-07;3656190
HSIC;7.4824;7.4824;7.5784;7.2765;7.3235;2003-02-10;2577540
HSIC;7.3000;7.3000;7.5255;7.2510;7.5059;2003-02-11;1972680
HSIC;7.0902;7.0902;7.3765;7.0451;7.2824;2003-02-12;3048780
HSIC;7.0216;7.0216;7.1588;6.9647;7.1000;2003-02-13;2104260
HSIC;6.8569;6.8569;7.1098;6.7000;7.1098;2003-02-14;7047690
HSIC;7.1569;7.1569;7.2706;6.8431;6.8627;2003-02-18;3045720
HSIC;7.1569;7.1569;7.2333;6.9569;7.1569;2003-02-19;3170670
HSIC;7.3608;7.3608;7.5039;7.1902;7.1902;2003-02-20;3450660
HSIC;7.5667;7.5667;7.6431;7.3529;7.3549;2003-02-21;3039600
HSIC;7.4020;7.4020;7.6471;7.3686;7.6471;2003-02-24;2045610
HSIC;7.6157;7.6157;7.6686;7.2588;7.4275;2003-02-25;2054280
HSIC;7.5020;7.5020;7.6431;7.4157;7.6078;2003-02-26;2219520
HSIC;7.6922;7.6922;7.7451;7.4608;7.5255;2003-02-27;2255220
HSIC;7.8431;7.8431;7.8549;7.6529;7.7529;2003-02-28;3150270
HSIC;7.9804;7.9804;8.0196;7.8529;7.9608;2003-03-03;5157630
HSIC;8.2333;8.2333;8.2353;7.9804;8.1078;2003-03-04;8189580
HSIC;8.3980;8.3980;8.4784;8.2255;8.2333;2003-03-05;5785440
HSIC;8.2294;8.2294;8.3608;8.0765;8.3529;2003-03-06;3458820
HSIC;8.2667;8.2667;8.2941;8.1235;8.2059;2003-03-07;2218500
HSIC;8.1157;8.1157;8.2647;8.0706;8.2647;2003-03-10;2181780
HSIC;8.2059;8.2059;8.2314;8.0824;8.1059;2003-03-11;2591820
HSIC;8.1667;8.1667;8.2843;8.0588;8.2059;2003-03-12;2103240
HSIC;8.3882;8.3882;8.4000;8.1784;8.2451;2003-03-13;3051840
HSIC;8.4588;8.4588;8.5118;8.3588;8.4157;2003-03-14;2816730
HSIC;8.5255;8.5255;8.6745;8.4098;8.4412;2003-03-17;3196680
HSIC;8.5118;8.5118;8.5922;8.4294;8.5216;2003-03-18;2522460
HSIC;8.4961;8.4961;8.6000;8.3882;8.5118;2003-03-19;2016540
HSIC;8.5157;8.5157;8.5784;8.2588;8.4824;2003-03-20;2209830
HSIC;8.6176;8.6176;8.6333;8.4941;8.5353;2003-03-21;1561620
HSIC;8.4353;8.4353;8.5784;8.3529;8.5784;2003-03-24;2520420
HSIC;8.7137;8.7137;8.8137;8.3667;8.4216;2003-03-25;1721250
HSIC;8.8157;8.8157;8.8647;8.6627;8.6745;2003-03-26;1712580
HSIC;8.8118;8.8118;8.9098;8.6196;8.7549;2003-03-27;1347930
HSIC;8.8922;8.8922;8.8961;8.7059;8.7686;2003-03-28;2203200
HSIC;8.8431;8.8431;8.8824;8.6314;8.8039;2003-03-31;1924740
HSIC;8.8451;8.8451;8.8980;8.7431;8.8980;2003-04-01;1999200
HSIC;9.0725;9.0725;9.1157;8.7353;8.8431;2003-04-02;4058070
HSIC;8.8549;8.8549;9.0941;8.7373;9.0686;2003-04-03;3743400
HSIC;8.4745;8.4745;8.8608;8.2569;8.8275;2003-04-04;10317810
HSIC;8.5235;8.5235;8.6569;8.4824;8.5098;2003-04-07;2484720
HSIC;8.4373;8.4373;8.5490;8.3412;8.5490;2003-04-08;1822230
HSIC;8.4804;8.4804;8.5804;8.4118;8.4118;2003-04-09;2029800
HSIC;8.6157;8.6157;8.6235;8.4588;8.4608;2003-04-10;1858950
HSIC;8.4373;8.4373;8.6765;8.3235;8.6686;2003-04-11;1445850
HSIC;8.4843;8.4843;8.4922;8.3471;8.4333;2003-04-14;2029800
HSIC;8.5098;8.5098;8.5275;8.3980;8.4765;2003-04-15;1641180
HSIC;8.3314;8.3314;8.5745;8.3098;8.5588;2003-04-16;2814690
HSIC;8.2255;8.2255;8.3922;8.1412;8.1412;2003-04-17;3507270
HSIC;8.2353;8.2353;8.3235;8.1765;8.2098;2003-04-21;2709630
HSIC;8.3549;8.3549;8.3922;8.1647;8.2353;2003-04-22;2722380
HSIC;8.3431;8.3431;8.4706;8.3118;8.4608;2003-04-23;2314890
HSIC;8.1863;8.1863;8.3333;8.1373;8.2922;2003-04-24;2400570
HSIC;8.2098;8.2098;8.2196;8.0176;8.1843;2003-04-25;1693710
HSIC;8.3922;8.3922;8.5706;8.1882;8.2235;2003-04-28;2026740
HSIC;8.3961;8.3961;8.5196;8.3549;8.3922;2003-04-29;1959420
HSIC;8.4549;8.4549;8.5196;8.3255;8.4118;2003-04-30;1654950
HSIC;8.8039;8.8039;8.8353;8.4373;8.4510;2003-05-01;4566540
HSIC;8.9863;8.9863;8.9922;8.8039;8.8235;2003-05-02;1790610
HSIC;8.8745;8.8745;8.9765;8.8098;8.9510;2003-05-05;2644350
HSIC;9.6922;9.6922;9.7176;9.0196;9.0196;2003-05-06;13062120
HSIC;9.6961;9.6961;9.8549;9.4843;9.6333;2003-05-07;6210270
HSIC;9.3627;9.3627;9.6765;9.3588;9.6686;2003-05-08;4036650
HSIC;9.5784;9.5784;9.6373;9.3451;9.3451;2003-05-09;1841610
HSIC;9.6824;9.6824;9.7059;9.5098;9.5627;2003-05-12;2767260
HSIC;9.6961;9.6961;9.8039;9.5784;9.6765;2003-05-13;2227170
HSIC;9.5882;9.5882;9.7196;9.4882;9.7118;2003-05-14;1197990
HSIC;9.7961;9.7961;9.8039;9.5745;9.5745;2003-05-15;2312850
HSIC;9.6882;9.6882;9.7961;9.6667;9.7667;2003-05-16;1837530
HSIC;9.3392;9.3392;9.7059;9.2667;9.6569;2003-05-19;1983900
HSIC;9.2059;9.2059;9.3176;9.1588;9.2922;2003-05-20;2209320
HSIC;9.2157;9.2157;9.2647;9.0549;9.2588;2003-05-21;2442390
HSIC;9.5784;9.5784;9.6471;9.3078;9.3529;2003-05-22;2715750
HSIC;9.5882;9.5882;9.6039;9.3804;9.5353;2003-05-23;1502460
HSIC;9.6510;9.6510;9.6941;9.5078;9.6000;2003-05-27;1770210
HSIC;9.5961;9.5961;9.7039;9.5529;9.6569;2003-05-28;1744200
HSIC;9.5804;9.5804;9.7039;9.5588;9.6078;2003-05-29;1300500
HSIC;9.6392;9.6392;9.7039;9.5588;9.5902;2003-05-30;1211760
HSIC;9.6039;9.6039;9.7020;9.5549;9.6451;2003-06-02;1748280
HSIC;9.7451;9.7451;9.7824;9.5196;9.5706;2003-06-03;1669740
HSIC;9.7804;9.7804;9.8686;9.7196;9.7745;2003-06-04;2594880
HSIC;9.9118;9.9118;9.9706;9.7490;9.8137;2003-06-05;1770210
HSIC;9.7510;9.7510;10.0765;9.7490;9.9216;2003-06-06;2289900
HSIC;9.6078;9.6078;9.7902;9.5647;9.7843;2003-06-09;1351500
HSIC;9.6059;9.6059;9.6706;9.5451;9.6373;2003-06-10;1425960
HSIC;9.9118;9.9118;9.9118;9.5392;9.6078;2003-06-11;1579470
HSIC;9.8137;9.8137;9.9706;9.7235;9.9118;2003-06-12;952170
HSIC;9.8549;9.8549;9.9725;9.7353;9.8431;2003-06-13;1758480
HSIC;10.2157;10.2157;10.2255;9.8510;9.8510;2003-06-16;1928820
HSIC;10.2667;10.2667;10.3216;10.1569;10.2431;2003-06-17;1239810
HSIC;10.3667;10.3667;10.4431;10.1980;10.3118;2003-06-18;2467890
HSIC;10.2157;10.2157;10.3608;10.1373;10.3490;2003-06-19;2456670
HSIC;10.3020;10.3020;10.4588;10.1941;10.2451;2003-06-20;3722490
HSIC;10.1686;10.1686;10.3961;10.1059;10.3216;2003-06-23;1568250
HSIC;10.1824;10.1824;10.2902;10.1137;10.1667;2003-06-24;1083750
HSIC;10.2078;10.2078;10.2843;10.1471;10.2039;2003-06-25;1197990
HSIC;10.5392;10.5392;10.6176;10.1216;10.1216;2003-06-26;2154750
HSIC;10.3549;10.3549;10.5412;10.1804;10.5392;2003-06-27;2033880
HSIC;10.2961;10.2961;10.4039;10.2588;10.3529;2003-06-30;2136390
HSIC;10.4000;10.4000;10.4588;10.0980;10.1255;2003-07-01;1748280
HSIC;10.3333;10.3333;10.4294;10.2412;10.3627;2003-07-02;1695240
HSIC;10.3902;10.3902;10.4588;10.2941;10.3294;2003-07-03;1466760
HSIC;10.6196;10.6196;10.6196;10.3431;10.3725;2003-07-07;1903320
HSIC;10.6196;10.6196;10.7392;10.5059;10.6118;2003-07-08;1533060
HSIC;10.6863;10.6863;10.7314;10.5020;10.6314;2003-07-09;1301010
HSIC;10.7725;10.7725;10.8471;10.6196;10.6980;2003-07-10;2748900
HSIC;10.8863;10.8863;10.8863;10.7020;10.7745;2003-07-11;650760
HSIC;11.0000;11.0000;11.2157;10.8647;10.9020;2003-07-14;1813050
HSIC;11.0765;11.0765;11.1412;11.0216;11.0392;2003-07-15;1093950
HSIC;11.0059;11.0059;11.1275;10.9765;11.0922;2003-07-16;1287240
HSIC;10.7667;10.7667;11.0353;10.6843;10.9804;2003-07-17;2414850
HSIC;10.8922;10.8922;10.9314;10.6941;10.8078;2003-07-18;1332120
HSIC;10.9569;10.9569;10.9569;10.7294;10.8824;2003-07-21;1344360
HSIC;10.9137;10.9137;11.0980;10.7863;10.9412;2003-07-22;1711560
HSIC;10.9353;10.9353;10.9804;10.6451;10.9196;2003-07-23;1417290
HSIC;10.8137;10.8137;11.0647;10.7667;10.9804;2003-07-24;1846200
HSIC;11.1275;11.1275;11.1569;10.7431;10.8000;2003-07-25;1247970
HSIC;11.2961;11.2961;11.3824;11.1020;11.1471;2003-07-28;1682490
HSIC;11.5078;11.5078;11.5255;11.1647;11.3039;2003-07-29;3286440
HSIC;11.5353;11.5353;11.5980;11.4314;11.5000;2003-07-30;1537650
HSIC;11.4588;11.4588;11.6647;11.2863;11.5922;2003-07-31;2317950
HSIC;11.2078;11.2078;11.4137;11.1451;11.3667;2003-08-01;2078760
HSIC;11.1275;11.1275;11.2353;11.0490;11.2118;2003-08-04;2824890
HSIC;11.6314;11.6314;11.7157;11.2078;11.2961;2003-08-05;5407530
HSIC;11.3353;11.3353;11.6137;11.3137;11.3255;2003-08-06;3502170
HSIC;11.3608;11.3608;11.3824;11.1235;11.3765;2003-08-07;2919240
HSIC;11.2882;11.2882;11.3824;11.2020;11.3725;2003-08-08;1884960
HSIC;11.2549;11.2549;11.3314;11.1118;11.2745;2003-08-11;1501950
HSIC;11.3039;11.3039;11.3333;11.1275;11.2941;2003-08-12;1480530
HSIC;11.3490;11.3490;11.3647;11.1275;11.2549;2003-08-13;1392300
HSIC;11.4059;11.4059;11.4686;11.1824;11.2686;2003-08-14;758880
HSIC;11.5882;11.5882;11.5941;11.0784;11.3765;2003-08-15;685440
HSIC;11.7471;11.7471;11.7647;11.5196;11.5980;2003-08-18;1200030
HSIC;11.7647;11.7647;11.8275;11.6529;11.7451;2003-08-19;1688610
HSIC;11.3608;11.3608;11.6176;11.1667;11.6157;2003-08-20;4866420
HSIC;11.4176;11.4176;11.5255;11.3725;11.3725;2003-08-21;1160760
HSIC;11.2059;11.2059;11.4314;11.0725;11.3922;2003-08-22;1209720
HSIC;11.1765;11.1765;11.2216;11.0275;11.1824;2003-08-25;832320
HSIC;11.2059;11.2059;11.2294;10.9216;11.1392;2003-08-26;1111290
HSIC;11.1745;11.1745;11.2118;10.9902;11.1627;2003-08-27;928710
HSIC;11.2255;11.2255;11.2608;11.0451;11.1922;2003-08-28;1028670
HSIC;11.3196;11.3196;11.3471;11.1882;11.2608;2003-08-29;575790
HSIC;11.5098;11.5098;11.5275;11.2333;11.3471;2003-09-02;1387710
HSIC;11.3510;11.3510;11.5510;11.3353;11.4863;2003-09-03;1545810
HSIC;11.1667;11.1667;11.3725;11.1569;11.3667;2003-09-04;2595390
HSIC;11.1745;11.1745;11.2588;11.0490;11.1608;2003-09-05;1237770
HSIC;11.3706;11.3706;11.3745;11.1667;11.1667;2003-09-08;1413720
HSIC;11.1137;11.1137;11.3608;11.1020;11.3412;2003-09-09;1459620
HSIC;11.0235;11.0235;11.2235;11.0196;11.1078;2003-09-10;1387200
HSIC;11.0294;11.0294;11.1216;10.9627;11.0235;2003-09-11;1410150
HSIC;11.0294;11.0294;11.0588;10.8176;11.0392;2003-09-12;1294380
HSIC;11.0980;11.0980;11.2157;11.0392;11.0392;2003-09-15;1458600
HSIC;11.2039;11.2039;11.2078;11.0784;11.1078;2003-09-16;1212270
HSIC;11.3333;11.3333;11.3863;11.2098;11.2098;2003-09-17;744600
HSIC;11.5294;11.5294;11.7157;11.4020;11.7157;2003-09-18;1765110
HSIC;11.4608;11.4608;11.6902;10.8667;11.6294;2003-09-19;2197080
HSIC;11.4196;11.4196;11.5549;11.2922;11.4412;2003-09-22;1294890
HSIC;11.4843;11.4843;11.5392;11.3176;11.4176;2003-09-23;686460
HSIC;11.3000;11.3000;11.4863;11.2020;11.4863;2003-09-24;2028780
HSIC;11.1941;11.1941;11.5059;11.1902;11.2843;2003-09-25;1764600
HSIC;10.9588;10.9588;11.1706;10.9294;11.1706;2003-09-26;1581000
HSIC;11.1059;11.1059;11.1078;10.8510;10.9902;2003-09-29;2608140
HSIC;11.1196;11.1196;11.1863;10.9510;11.0824;2003-09-30;1433100
HSIC;11.1745;11.1745;11.3235;11.0314;11.1196;2003-10-01;1470840
HSIC;11.0490;11.0490;11.2255;11.0294;11.1941;2003-10-02;1941570
HSIC;11.0824;11.0824;11.1765;10.9902;11.1137;2003-10-03;1638120
HSIC;11.1235;11.1235;11.1569;11.0608;11.0882;2003-10-06;1376490
HSIC;11.1412;11.1412;11.2098;10.9824;11.1333;2003-10-07;1688100
HSIC;11.0529;11.0529;11.2020;10.9451;11.1176;2003-10-08;2165970
HSIC;11.0902;11.0902;11.2373;10.9882;11.1118;2003-10-09;1812540
HSIC;11.1333;11.1333;11.1392;11.0392;11.0529;2003-10-10;2458710
HSIC;11.1078;11.1078;11.3137;11.0588;11.1529;2003-10-13;2244000
HSIC;11.0588;11.0588;11.1549;11.0373;11.1078;2003-10-14;1722270
HSIC;11.0392;11.0392;11.1059;10.9588;11.0863;2003-10-15;2222070
HSIC;11.4137;11.4137;11.4196;11.0294;11.0314;2003-10-16;2185350
HSIC;11.3118;11.3118;11.5235;11.2255;11.4667;2003-10-17;1730430
HSIC;11.5314;11.5314;11.5392;11.1863;11.2059;2003-10-20;2052240
HSIC;11.4980;11.4980;11.5353;11.3608;11.4725;2003-10-21;1404030
HSIC;11.3725;11.3725;11.5294;11.2863;11.5078;2003-10-22;1256130
HSIC;11.4608;11.4608;11.5255;11.3725;11.4314;2003-10-23;727260
HSIC;11.5235;11.5235;11.5392;11.3333;11.4431;2003-10-24;901170
HSIC;11.4647;11.4647;11.5667;11.3745;11.5451;2003-10-27;1081710
HSIC;11.8196;11.8196;11.8196;11.3941;11.4549;2003-10-28;1527450
HSIC;11.9667;11.9667;11.9882;11.7333;11.7392;2003-10-29;2123640
HSIC;12.2510;12.2510;12.4451;12.0137;12.0235;2003-10-30;2891700
HSIC;12.1667;12.1667;12.4706;12.1529;12.2922;2003-10-31;2195040
HSIC;12.5294;12.5294;12.6392;12.1784;12.1863;2003-11-03;3176790
HSIC;12.2353;12.2353;12.7196;12.1765;12.2020;2003-11-04;3472080
HSIC;12.3039;12.3039;12.4784;12.1843;12.2196;2003-11-05;1839060
HSIC;12.3176;12.3176;12.3647;12.1039;12.2843;2003-11-06;2290410
HSIC;12.4686;12.4686;12.5314;12.3275;12.3275;2003-11-07;2312340
HSIC;12.6078;12.6078;12.7098;12.4333;12.5118;2003-11-10;3089580
HSIC;12.7078;12.7078;12.7314;12.5686;12.6059;2003-11-11;1676880
HSIC;12.8804;12.8804;13.0882;12.6373;12.7373;2003-11-12;2345490
HSIC;13.0196;13.0196;13.3137;12.7745;12.8667;2003-11-13;1187280
HSIC;12.8098;12.8098;13.0784;12.7902;13.0176;2003-11-14;2037960
HSIC;12.8235;12.8235;12.8686;12.6569;12.8039;2003-11-17;2138940
HSIC;12.5725;12.5725;12.9412;12.5725;12.8863;2003-11-18;1481040
HSIC;12.7510;12.7510;12.8020;12.5529;12.6039;2003-11-19;1324980
HSIC;12.6373;12.6373;12.7961;12.5451;12.7235;2003-11-20;1515720
HSIC;12.8961;12.8961;12.9353;12.5706;12.6608;2003-11-21;2081310
HSIC;13.2353;13.2353;13.2549;12.8941;12.9039;2003-11-24;2062440
HSIC;13.1510;13.1510;13.2824;13.0941;13.2294;2003-11-25;1805910
HSIC;13.0980;13.0980;13.3588;12.9549;13.1804;2003-11-26;1075080
HSIC;13.2235;13.2235;13.2471;13.0882;13.0882;2003-11-28;452880
HSIC;13.4961;13.4961;13.7255;13.1863;13.2235;2003-12-01;2526540
HSIC;13.3922;13.3922;13.5725;13.3431;13.5333;2003-12-02;1726350
HSIC;13.2157;13.2157;13.6255;13.1961;13.4490;2003-12-03;2178720
HSIC;13.3784;13.3784;13.4706;13.1667;13.1765;2003-12-04;1769190
HSIC;13.1765;13.1765;13.3922;13.1353;13.3627;2003-12-05;1956870
HSIC;13.4824;13.4824;13.4824;13.1784;13.2137;2003-12-08;2053260
HSIC;13.0765;13.0765;13.4784;13.0314;13.4353;2003-12-09;2773380
HSIC;13.0569;13.0569;13.1157;12.9588;13.0824;2003-12-10;1583550
