Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ICE;7.1654;7.8500;8.8420;7.7120;7.80;2005-11-16;97759000
ICE;6.4351;7.0500;8.3500;6.8000;8.06;2005-11-17;34308500
ICE;6.3895;7.0000;7.3900;6.9120;7.24;2005-11-18;12810000
ICE;6.5538;7.1800;7.1920;6.9640;7.05;2005-11-21;6404000
ICE;6.3804;6.9900;7.0920;6.8600;7.09;2005-11-22;6533000
ICE;6.1978;6.7900;6.9900;6.3100;6.94;2005-11-23;12421000
ICE;6.2343;6.8300;6.8900;6.7300;6.75;2005-11-25;1316000
ICE;6.0792;6.6600;6.7800;6.5100;6.78;2005-11-28;3155000
ICE;5.8364;6.3940;6.6980;6.2540;6.66;2005-11-29;4477500
ICE;5.8966;6.4600;6.4820;6.3200;6.42;2005-11-30;3894500
ICE;6.3895;7.0000;7.0400;6.4300;6.46;2005-12-01;5688500
ICE;6.5903;7.2200;7.2600;6.9800;7.00;2005-12-02;5120000
ICE;6.7199;7.3620;7.4900;7.2360;7.24;2005-12-05;4592500
ICE;6.6779;7.3160;7.5220;7.2900;7.36;2005-12-06;3202500
ICE;6.4717;7.0900;7.3300;6.9000;7.33;2005-12-07;2473000
ICE;6.5721;7.2000;7.2560;7.1100;7.14;2005-12-08;1823500
ICE;6.6086;7.2400;7.2920;7.1560;7.20;2005-12-09;808000
ICE;6.6542;7.2900;7.3000;7.2100;7.29;2005-12-12;953500
ICE;6.4972;7.1180;7.2880;7.1020;7.29;2005-12-13;1843000
ICE;6.3895;7.0000;7.1400;6.9600;7.10;2005-12-14;1422000
ICE;6.2070;6.8000;6.9900;6.7300;6.99;2005-12-15;3273000
ICE;6.2416;6.8380;6.8980;6.7000;6.77;2005-12-16;8170500
ICE;6.2745;6.8740;6.8800;6.7720;6.80;2005-12-19;2242000
ICE;6.3786;6.9880;7.0820;6.8800;6.92;2005-12-20;2423500
ICE;6.3512;6.9580;7.0000;6.9100;6.98;2005-12-21;916500
ICE;6.3347;6.9400;6.9580;6.8600;6.96;2005-12-22;1171000
ICE;6.2526;6.8500;6.9380;6.8120;6.89;2005-12-23;985000
ICE;6.4351;7.0500;7.0900;6.9000;6.90;2005-12-27;1214000
ICE;6.4041;7.0160;7.0900;7.0060;7.05;2005-12-28;581000
