Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
IDXX;8.4950;8.4950;8.7450;8.2875;8.7075;2003-02-04;1028400
IDXX;8.4500;8.4500;8.5750;8.4200;8.4650;2003-02-05;1246800
IDXX;8.5675;8.5675;8.6125;8.4250;8.4450;2003-02-06;788000
IDXX;8.6900;8.6900;8.8125;8.5575;8.5575;2003-02-07;1188400
IDXX;8.8225;8.8225;8.8700;8.5675;8.6650;2003-02-10;978400
IDXX;8.9125;8.9125;8.9625;8.7875;8.7875;2003-02-11;1022800
IDXX;8.8125;8.8125;9.0825;8.7800;8.8900;2003-02-12;1297600
IDXX;8.9000;8.9000;8.9275;8.7250;8.7925;2003-02-13;1496000
IDXX;9.0025;9.0025;9.0375;8.8375;8.8750;2003-02-14;1025200
IDXX;9.2475;9.2475;9.2625;8.9250;8.9750;2003-02-18;1382400
IDXX;9.4250;9.4250;9.4850;9.1675;9.1675;2003-02-19;1108800
IDXX;9.1250;9.1250;9.4000;9.0525;9.3550;2003-02-20;1706400
IDXX;9.2200;9.2200;9.2950;9.0850;9.1250;2003-02-21;1248000
IDXX;8.9950;8.9950;9.2575;8.9525;9.1675;2003-02-24;1110000
IDXX;8.9950;8.9950;9.0500;8.7500;9.0000;2003-02-25;859200
IDXX;9.0825;9.0825;9.1625;8.8775;8.9275;2003-02-26;749200
IDXX;9.0850;9.0850;9.2300;9.0300;9.1150;2003-02-27;892000
IDXX;9.1150;9.1150;9.2250;9.0900;9.1400;2003-02-28;525200
IDXX;9.2000;9.2000;9.3000;9.1325;9.2525;2003-03-03;660000
IDXX;9.1950;9.1950;9.3425;9.1100;9.1250;2003-03-04;679200
IDXX;9.0700;9.0700;9.2500;9.0250;9.2350;2003-03-05;1068800
IDXX;8.9900;8.9900;9.1025;8.9425;9.1025;2003-03-06;1545600
IDXX;9.0025;9.0025;9.0025;8.8725;8.9475;2003-03-07;1500400
IDXX;9.0125;9.0125;9.0350;8.9375;8.9375;2003-03-10;796000
IDXX;8.9625;8.9625;9.0000;8.9275;9.0000;2003-03-11;959600
IDXX;8.8700;8.8700;8.9875;8.7925;8.9625;2003-03-12;1057200
IDXX;9.0000;9.0000;9.0000;8.8575;8.8575;2003-03-13;872400
IDXX;8.9550;8.9550;9.0125;8.9400;9.0125;2003-03-14;738000
IDXX;9.0625;9.0625;9.1425;8.8650;8.9400;2003-03-17;1220000
IDXX;9.0075;9.0075;9.0850;8.9250;9.0850;2003-03-18;720400
IDXX;9.1675;9.1675;9.1800;8.9375;9.0350;2003-03-19;829200
IDXX;8.9125;8.9125;9.1050;8.8875;9.0625;2003-03-20;762400
IDXX;8.9225;8.9225;9.0125;8.8500;8.9900;2003-03-21;1267200
IDXX;8.9625;8.9625;8.9875;8.7950;8.9000;2003-03-24;488400
IDXX;9.1175;9.1175;9.1325;8.8825;8.9375;2003-03-25;1027200
IDXX;8.9450;8.9450;9.2500;8.8900;9.1475;2003-03-26;563600
IDXX;9.0000;9.0000;9.1450;8.8975;8.9625;2003-03-27;465600
IDXX;8.9425;8.9425;9.0575;8.9100;8.9975;2003-03-28;964800
IDXX;8.7425;8.7425;8.8025;8.5875;8.8000;2003-03-31;2016400
IDXX;8.6375;8.6375;8.9250;8.5625;8.8025;2003-04-01;1707600
IDXX;8.3550;8.3550;8.7375;8.0325;8.6625;2003-04-02;2330400
IDXX;8.3850;8.3850;8.4675;8.3125;8.3525;2003-04-03;1602400
IDXX;8.4275;8.4275;8.5700;8.3750;8.4075;2003-04-04;692000
IDXX;8.6025;8.6025;8.8375;8.5250;8.5500;2003-04-07;1746000
IDXX;8.6375;8.6375;8.7250;8.5775;8.6075;2003-04-08;1256000
IDXX;8.5875;8.5875;8.8750;8.5825;8.6800;2003-04-09;1272400
IDXX;8.4450;8.4450;8.5875;8.4150;8.5875;2003-04-10;804000
IDXX;8.3400;8.3400;8.5375;8.3150;8.4450;2003-04-11;782800
IDXX;8.3600;8.3600;8.5475;8.0000;8.3125;2003-04-14;1662000
IDXX;8.3500;8.3500;8.4000;8.1650;8.3275;2003-04-15;2251600
IDXX;8.2900;8.2900;8.4225;8.1750;8.4175;2003-04-16;1497600
IDXX;8.5675;8.5675;8.6350;8.1825;8.3625;2003-04-17;2538000
IDXX;8.8125;8.8125;8.8400;8.0275;8.2500;2003-04-21;5253600
IDXX;9.0700;9.0700;9.3100;8.6775;8.7525;2003-04-22;2224000
IDXX;9.0325;9.0325;9.1500;8.7775;9.1075;2003-04-23;1118400
IDXX;9.0825;9.0825;9.0825;8.8425;9.0000;2003-04-24;1178000
IDXX;9.0475;9.0475;9.0850;8.9575;9.0850;2003-04-25;575600
IDXX;9.0450;9.0450;9.0800;8.9275;9.0250;2003-04-28;1098400
IDXX;9.3575;9.3575;9.3600;9.0000;9.0000;2003-04-29;1236400
IDXX;9.7500;9.7500;9.7575;9.3650;9.3850;2003-04-30;2957200
IDXX;9.3725;9.3725;9.7750;9.3600;9.7500;2003-05-01;2383600
IDXX;9.5675;9.5675;9.6625;9.3800;9.4250;2003-05-02;1564400
IDXX;9.5650;9.5650;9.7150;9.5475;9.6750;2003-05-05;654000
IDXX;9.7025;9.7025;9.7075;9.5675;9.6350;2003-05-06;772400
IDXX;9.2000;9.2000;9.5525;9.1100;9.5525;2003-05-07;2148400
IDXX;9.2250;9.2250;9.4950;9.1250;9.1950;2003-05-08;936000
IDXX;9.0800;9.0800;9.1625;8.8850;8.8875;2003-05-09;2106800
IDXX;8.8750;8.8750;9.0975;8.6075;9.0500;2003-05-12;3607600
IDXX;8.9650;8.9650;9.0875;8.7475;8.7500;2003-05-13;1086000
IDXX;9.0875;9.0875;9.1425;8.9550;9.0225;2003-05-14;966400
IDXX;9.0925;9.0925;9.2500;8.9975;9.0775;2003-05-15;748800
IDXX;8.9625;8.9625;9.1475;8.9375;9.0775;2003-05-16;650400
IDXX;8.7475;8.7475;9.0225;8.7475;8.8875;2003-05-19;966800
IDXX;8.7500;8.7500;8.8475;8.7025;8.8475;2003-05-20;774000
IDXX;8.7450;8.7450;8.7700;8.6900;8.7500;2003-05-21;659600
IDXX;8.7250;8.7250;8.7675;8.6850;8.7325;2003-05-22;1068800
IDXX;8.7000;8.7000;8.7925;8.7000;8.7500;2003-05-23;1160800
IDXX;8.5600;8.5600;8.6800;7.9675;7.9900;2003-05-27;4741200
IDXX;8.9425;8.9425;9.0000;8.6675;8.7025;2003-05-28;1422000
IDXX;8.9425;8.9425;9.0000;8.8375;8.9775;2003-05-29;897600
IDXX;8.9100;8.9100;9.0250;8.8675;8.9750;2003-05-30;1005600
IDXX;8.8775;8.8775;9.0425;8.8000;8.9725;2003-06-02;663200
IDXX;8.9375;8.9375;9.0275;8.8500;8.9350;2003-06-03;765200
IDXX;8.9425;8.9425;9.0075;8.8225;8.8675;2003-06-04;1086000
IDXX;9.1675;9.1675;9.2225;8.8875;8.9250;2003-06-05;1198000
IDXX;9.0350;9.0350;9.3325;9.0325;9.2450;2003-06-06;994800
IDXX;8.8250;8.8250;9.1000;8.7350;9.1000;2003-06-09;1026400
IDXX;8.9775;8.9775;9.0000;8.7875;8.8050;2003-06-10;824400
IDXX;9.0525;9.0525;9.0625;8.8750;8.9450;2003-06-11;866000
IDXX;9.0075;9.0075;9.1250;8.9725;9.1025;2003-06-12;706800
IDXX;9.0000;9.0000;9.1225;8.9450;9.0500;2003-06-13;630000
IDXX;9.2500;9.2500;9.2600;9.0000;9.0025;2003-06-16;1203200
IDXX;9.2000;9.2000;9.2750;9.0825;9.2575;2003-06-17;661200
IDXX;8.8725;8.8725;9.2500;8.7375;9.2500;2003-06-18;1382800
IDXX;8.7350;8.7350;8.9350;8.5950;8.7750;2003-06-19;1787600
IDXX;8.7725;8.7725;8.9500;8.7025;8.7275;2003-06-20;963600
IDXX;8.6850;8.6850;8.8575;8.6075;8.7500;2003-06-23;1228000
IDXX;8.5825;8.5825;8.8200;8.5800;8.6250;2003-06-24;1212800
IDXX;8.5900;8.5900;8.7825;8.4875;8.5750;2003-06-25;1530400
IDXX;8.7125;8.7125;8.7700;8.5450;8.6600;2003-06-26;831600
IDXX;8.5400;8.5400;8.8250;8.5050;8.6500;2003-06-27;1098000
IDXX;8.3325;8.3325;8.5725;8.2775;8.5250;2003-06-30;3805600
IDXX;8.7225;8.7225;8.7250;8.3500;8.3500;2003-07-01;2301200
IDXX;8.8475;8.8475;8.9025;8.6500;8.7200;2003-07-02;1356800
IDXX;8.7500;8.7500;8.9000;8.7200;8.8675;2003-07-03;506000
IDXX;8.9075;8.9075;8.9125;8.6875;8.7800;2003-07-07;956000
IDXX;9.2225;9.2225;9.2225;8.8250;8.9150;2003-07-08;1071200
