Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
IFF;22.0535;32.11;32.20;31.66;31.90;2003-02-04;254800
IFF;21.9848;32.01;32.71;31.93;32.31;2003-02-05;218100
IFF;22.2664;32.42;32.56;31.80;32.01;2003-02-06;300600
IFF;21.8612;31.83;32.73;31.67;32.50;2003-02-07;242700
IFF;22.0260;32.07;32.44;31.68;31.93;2003-02-10;174600
IFF;21.7719;31.70;32.63;31.46;32.45;2003-02-11;438700
IFF;21.8063;31.75;32.09;31.47;31.66;2003-02-12;428000
IFF;21.7032;31.60;31.82;31.24;31.75;2003-02-13;271500
IFF;21.8612;31.83;32.00;31.33;31.50;2003-02-14;237500
IFF;21.9642;31.98;32.31;31.74;31.83;2003-02-18;285900
IFF;21.8200;31.77;32.05;31.45;32.05;2003-02-19;190200
IFF;21.6002;31.45;32.02;31.28;32.02;2003-02-20;205100
IFF;21.9986;32.03;32.08;31.23;31.30;2003-02-21;325500
IFF;21.5178;31.33;31.95;31.30;31.95;2003-02-24;154900
IFF;21.6002;31.45;31.50;30.86;31.25;2003-02-25;297200
IFF;21.3117;31.03;31.60;30.99;31.60;2003-02-26;168800
IFF;21.5453;31.37;31.64;31.04;31.12;2003-02-27;168100
IFF;21.5384;31.36;31.67;31.20;31.60;2003-02-28;253300
IFF;21.4697;31.26;31.78;31.09;31.40;2003-03-03;230800
IFF;20.6112;30.01;31.37;29.91;31.20;2003-03-04;577300
IFF;20.7898;30.27;30.27;29.54;29.95;2003-03-05;527700
IFF;20.6730;30.10;30.30;29.74;30.18;2003-03-06;592400
IFF;20.8104;30.30;30.32;29.81;29.97;2003-03-07;341500
IFF;20.3708;29.66;30.33;29.65;30.25;2003-03-10;193000
IFF;20.5082;29.86;29.98;29.47;29.70;2003-03-11;398100
IFF;20.5082;29.86;29.90;29.39;29.86;2003-03-12;203300
IFF;20.7692;30.24;30.37;30.00;30.05;2003-03-13;441400
IFF;20.6112;30.01;30.72;30.00;30.30;2003-03-14;804600
IFF;21.1607;30.81;30.86;29.80;29.95;2003-03-17;731300
IFF;20.9752;30.54;31.10;30.36;30.95;2003-03-18;670100
IFF;21.1469;30.79;30.81;30.40;30.64;2003-03-19;327000
IFF;21.0851;30.70;30.88;30.36;30.79;2003-03-20;464500
IFF;21.6826;31.57;31.60;30.90;31.10;2003-03-21;320200
IFF;21.1651;30.67;31.31;30.42;31.26;2003-03-24;348200
IFF;21.2065;30.73;31.00;30.15;30.40;2003-03-25;456000
IFF;21.0271;30.47;30.84;30.28;30.73;2003-03-26;264500
IFF;21.2617;30.81;30.90;30.14;30.45;2003-03-27;384000
IFF;21.5446;31.22;31.25;30.68;30.81;2003-03-28;356300
IFF;21.4549;31.09;31.43;30.75;31.22;2003-03-31;373100
IFF;21.5377;31.21;31.74;30.82;31.20;2003-04-01;490800
IFF;21.8966;31.73;31.88;31.33;31.56;2003-04-02;235700
IFF;21.5791;31.27;31.65;31.20;31.61;2003-04-03;314700
IFF;21.7309;31.49;31.82;31.33;31.40;2003-04-04;355200
IFF;21.8069;31.60;32.34;31.54;31.76;2003-04-07;662000
IFF;21.7102;31.46;31.75;31.31;31.75;2003-04-08;404000
IFF;21.5653;31.25;31.84;31.11;31.53;2003-04-09;370900
IFF;21.7999;31.59;31.61;31.23;31.30;2003-04-10;343800
IFF;21.8137;31.61;32.00;31.36;31.65;2003-04-11;324900
IFF;22.1795;32.14;32.15;31.75;31.75;2003-04-14;226700
IFF;22.3244;32.35;32.40;31.83;32.14;2003-04-15;242500
IFF;22.0070;31.89;32.45;31.83;32.40;2003-04-16;365700
IFF;22.2002;32.17;32.23;31.90;31.95;2003-04-17;234400
IFF;22.1381;32.08;32.44;31.95;32.27;2003-04-21;176700
IFF;22.9317;33.23;33.23;31.86;31.91;2003-04-22;427300
IFF;22.8489;33.11;33.16;32.75;33.02;2003-04-23;307600
IFF;23.0559;33.41;33.60;33.09;33.11;2003-04-24;356600
IFF;22.7868;33.02;33.48;32.82;33.35;2003-04-25;401500
IFF;22.6143;32.77;33.10;32.00;32.15;2003-04-28;1080000
IFF;22.2209;32.20;32.76;32.09;32.72;2003-04-29;571500
IFF;21.9311;31.78;32.21;31.78;32.20;2003-04-30;765800
IFF;21.9449;31.80;32.00;31.39;31.95;2003-05-01;439700
IFF;22.2761;32.28;32.35;31.59;31.86;2003-05-02;529000
IFF;22.0829;32.00;32.30;31.92;32.28;2003-05-05;317500
IFF;21.8276;31.63;32.00;31.49;32.00;2003-05-06;607700
IFF;21.9587;31.82;31.87;31.44;31.55;2003-05-07;323400
IFF;21.7102;31.46;31.77;31.20;31.60;2003-05-08;223700
IFF;21.8897;31.72;31.72;31.30;31.50;2003-05-09;572700
IFF;22.1864;32.15;32.25;31.72;31.80;2003-05-12;424900
IFF;22.2071;32.18;32.29;31.94;32.21;2003-05-13;338400
IFF;22.3520;32.39;32.41;31.95;32.20;2003-05-14;397200
IFF;22.6695;32.85;32.88;32.37;32.50;2003-05-15;305700
IFF;22.5798;32.72;32.97;32.55;32.85;2003-05-16;350300
IFF;22.0691;31.98;32.56;31.97;32.50;2003-05-19;236500
IFF;21.6412;31.36;31.89;30.88;31.55;2003-05-20;943900
IFF;21.6619;31.39;31.66;30.95;31.20;2003-05-21;414600
IFF;21.8552;31.67;31.90;31.20;31.45;2003-05-22;222100
IFF;21.6550;31.38;31.68;31.24;31.55;2003-05-23;343400
IFF;21.8552;31.67;31.80;31.13;31.20;2003-05-27;325000
IFF;21.7999;31.59;31.80;31.40;31.75;2003-05-28;383100
IFF;21.7240;31.48;31.67;31.25;31.65;2003-05-29;944100
IFF;21.6619;31.39;31.72;31.29;31.65;2003-05-30;741800
IFF;21.3376;30.92;31.45;30.84;31.40;2003-06-02;948100
IFF;21.4273;31.05;31.35;30.76;31.34;2003-06-03;543700
IFF;21.4963;31.15;31.40;30.92;31.10;2003-06-04;527100
IFF;21.2203;30.75;31.15;30.37;31.14;2003-06-05;634200
IFF;21.3997;31.01;31.34;30.75;30.80;2003-06-06;736500
IFF;21.1996;30.72;31.10;30.60;31.00;2003-06-09;372900
IFF;21.4204;31.04;31.13;30.76;30.80;2003-06-10;446700
IFF;21.5653;31.25;31.28;30.88;31.00;2003-06-11;395300
IFF;22.0139;31.90;32.02;31.28;31.75;2003-06-12;619500
IFF;21.7723;31.55;32.09;31.51;32.00;2003-06-13;421900
IFF;22.5729;32.71;32.71;31.51;31.80;2003-06-16;566100
IFF;22.5867;32.73;32.92;32.44;32.80;2003-06-17;541200
IFF;22.6350;32.80;32.98;32.20;32.73;2003-06-18;764400
IFF;22.3520;32.39;32.71;32.19;32.70;2003-06-19;545100
IFF;22.5245;32.64;32.65;32.28;32.55;2003-06-20;439500
IFF;22.1588;32.11;32.70;31.87;32.64;2003-06-23;306600
IFF;22.4015;32.30;32.30;31.90;32.15;2003-06-24;411700
IFF;21.8190;31.46;32.26;31.37;32.25;2003-06-25;722700
IFF;21.9438;31.64;31.65;31.24;31.46;2003-06-26;717200
IFF;21.9091;31.59;31.89;31.41;31.65;2003-06-27;433500
IFF;22.1449;31.93;32.21;31.65;31.65;2003-06-30;552000
IFF;21.9854;31.70;31.92;31.41;31.90;2003-07-01;407100
IFF;22.0478;31.79;31.95;31.58;31.72;2003-07-02;430600
IFF;22.1935;32.00;32.06;31.72;31.79;2003-07-03;356100
IFF;22.2767;32.12;32.36;32.00;32.00;2003-07-07;508500
IFF;21.3404;30.77;32.12;30.50;32.12;2003-07-08;2304400
IFF;20.7717;29.95;30.60;29.90;30.50;2003-07-09;2104600
IFF;20.7301;29.89;30.04;29.73;29.98;2003-07-10;1146100
IFF;20.6261;29.74;30.08;29.74;29.95;2003-07-11;930000
IFF;20.8064;30.00;30.20;29.70;30.20;2003-07-14;695700
IFF;20.6677;29.80;30.15;29.75;30.10;2003-07-15;570900
IFF;20.5775;29.67;30.04;29.54;29.95;2003-07-16;546300
IFF;20.7370;29.90;30.07;29.59;29.67;2003-07-17;928800
IFF;20.8757;30.10;30.19;29.82;30.00;2003-07-18;385300
IFF;20.8480;30.06;30.37;29.79;30.20;2003-07-21;567200
IFF;21.0561;30.36;30.37;29.86;29.94;2003-07-22;402700
IFF;20.8896;30.12;30.36;30.00;30.35;2003-07-23;406700
IFF;20.7786;29.96;30.40;29.93;30.15;2003-07-24;598100
IFF;20.8411;30.05;30.23;29.81;30.20;2003-07-25;390900
IFF;21.0006;30.28;30.30;29.92;30.03;2003-07-28;518400
IFF;20.8619;30.08;30.25;30.00;30.13;2003-07-29;792300
IFF;20.9451;30.20;30.25;30.07;30.20;2003-07-30;819500
IFF;20.9104;30.15;30.45;30.10;30.45;2003-07-31;912600
IFF;20.8480;30.06;30.24;29.92;30.16;2003-08-01;445000
IFF;20.6330;29.75;30.01;29.63;29.96;2003-08-04;716600
IFF;20.6677;29.80;29.88;29.18;29.78;2003-08-05;1506000
IFF;20.9104;30.15;30.56;29.67;29.95;2003-08-06;794600
IFF;20.9936;30.27;30.38;30.01;30.12;2003-08-07;320500
IFF;20.9520;30.21;30.26;29.86;30.12;2003-08-08;403000
IFF;21.0075;30.29;30.34;30.10;30.11;2003-08-11;291700
IFF;21.1323;30.47;30.50;30.05;30.50;2003-08-12;649300
IFF;21.0283;30.32;30.63;30.25;30.37;2003-08-13;311800
IFF;21.0630;30.37;30.56;30.27;30.50;2003-08-14;339600
IFF;20.9798;30.25;30.45;30.22;30.45;2003-08-15;337900
IFF;20.9243;30.17;30.38;30.00;30.15;2003-08-18;807500
IFF;20.8549;30.07;30.18;29.96;30.15;2003-08-19;310600
IFF;20.8272;30.03;30.08;29.87;30.07;2003-08-20;420900
IFF;20.9174;30.16;30.19;29.97;30.03;2003-08-21;805400
IFF;20.9590;30.22;30.30;30.19;30.21;2003-08-22;764400
IFF;21.0006;30.28;30.30;30.08;30.19;2003-08-25;453600
IFF;21.1185;30.45;30.48;30.03;30.26;2003-08-26;774100
IFF;21.0977;30.42;30.61;30.35;30.35;2003-08-27;678300
IFF;21.6733;31.25;31.26;30.25;30.55;2003-08-28;1149000
IFF;21.8467;31.50;31.50;31.00;31.26;2003-08-29;576900
IFF;22.0409;31.78;31.83;31.49;31.50;2003-09-02;526000
IFF;22.2420;32.07;32.10;31.64;31.78;2003-09-03;442400
IFF;22.8315;32.92;32.92;31.99;32.00;2003-09-04;1081400
IFF;22.5749;32.55;32.90;32.50;32.63;2003-09-05;723300
IFF;22.9425;33.08;33.45;32.70;33.40;2003-09-08;555000
IFF;22.6789;32.70;33.12;32.66;33.12;2003-09-09;378100
IFF;22.6027;32.59;32.61;32.28;32.41;2003-09-10;500800
IFF;22.5888;32.57;32.80;32.46;32.80;2003-09-11;291100
IFF;22.6651;32.68;32.68;32.21;32.50;2003-09-12;237400
IFF;22.6443;32.65;32.78;32.31;32.58;2003-09-15;310800
IFF;22.8177;32.90;32.98;32.52;32.64;2003-09-16;318000
IFF;22.6443;32.65;32.85;32.60;32.85;2003-09-17;313100
IFF;22.9772;33.13;33.13;32.60;32.85;2003-09-18;340000
IFF;22.9841;33.14;33.20;32.92;33.13;2003-09-19;421000
IFF;22.9911;33.15;33.23;32.86;33.00;2003-09-22;318900
IFF;22.9562;32.94;33.02;32.70;32.92;2003-09-23;292100
IFF;22.5868;32.41;33.10;32.36;33.10;2003-09-24;291800
IFF;23.0050;33.01;33.22;32.69;32.80;2003-09-25;373300
IFF;22.9214;32.89;33.15;32.61;33.00;2003-09-26;307900
IFF;23.1235;33.18;33.18;32.76;32.85;2003-09-29;239000
IFF;23.0538;33.08;33.23;32.59;33.10;2003-09-30;325000
IFF;23.1723;33.25;33.25;32.85;33.20;2003-10-01;659000
IFF;23.2838;33.41;33.57;32.95;33.24;2003-10-02;325900
IFF;23.5625;33.81;34.31;33.65;33.70;2003-10-03;370100
IFF;24.1828;34.70;34.70;33.79;33.90;2003-10-06;449600
IFF;24.3709;34.97;35.00;34.50;34.90;2003-10-07;460700
IFF;24.1479;34.65;35.59;34.61;34.90;2003-10-08;261500
IFF;24.1131;34.60;34.98;34.45;34.85;2003-10-09;402400
IFF;24.1897;34.71;34.89;34.58;34.72;2003-10-10;161200
IFF;24.4267;35.05;35.05;34.71;34.71;2003-10-13;206400
IFF;24.1828;34.70;35.05;34.42;35.05;2003-10-14;296200
IFF;24.1758;34.69;34.81;34.50;34.80;2003-10-15;186200
IFF;24.7264;35.48;35.54;34.69;34.69;2003-10-16;339700
IFF;24.3012;34.87;35.75;34.67;35.75;2003-10-17;248100
IFF;24.7752;35.55;35.59;34.73;34.90;2003-10-20;439400
IFF;24.4615;35.10;35.64;35.05;35.44;2003-10-21;235400
IFF;24.1061;34.59;35.12;34.39;35.00;2003-10-22;472000
IFF;22.2663;31.95;34.59;31.40;34.59;2003-10-23;1921300
IFF;22.4405;32.20;32.41;31.40;31.93;2003-10-24;837100
IFF;22.3569;32.08;32.48;32.07;32.16;2003-10-27;534300
IFF;22.3987;32.14;32.35;31.77;32.25;2003-10-28;442700
IFF;22.6635;32.52;32.69;31.93;32.00;2003-10-29;705800
IFF;22.5520;32.36;32.70;32.02;32.70;2003-10-30;527600
IFF;23.0677;33.10;33.35;32.40;32.40;2003-10-31;389800
IFF;23.0956;33.14;33.45;32.90;32.90;2003-11-03;473200
IFF;22.6705;32.53;33.14;32.40;33.14;2003-11-04;461800
IFF;22.2384;31.91;32.43;31.75;32.38;2003-11-05;594300
IFF;22.5868;32.41;32.43;31.81;31.92;2003-11-06;665500
IFF;22.4684;32.24;32.58;32.17;32.35;2003-11-07;337400
IFF;22.0572;31.65;32.14;31.56;32.00;2003-11-10;264500
IFF;22.0154;31.59;31.71;31.50;31.70;2003-11-11;356000
IFF;22.3011;32.00;32.00;31.49;31.59;2003-11-12;244600
IFF;22.2802;31.97;31.97;31.41;31.85;2003-11-13;326300
IFF;22.1130;31.73;32.09;31.64;31.97;2003-11-14;391800
IFF;22.1826;31.83;31.95;31.44;31.65;2003-11-17;259600
IFF;21.9875;31.55;32.20;31.53;31.83;2003-11-18;270800
IFF;21.8969;31.42;31.70;31.32;31.70;2003-11-19;217900
IFF;21.7575;31.22;31.50;31.01;31.25;2003-11-20;386500
IFF;22.0502;31.64;31.66;31.23;31.35;2003-11-21;526400
IFF;22.2105;31.87;32.17;31.70;31.75;2003-11-24;198600
IFF;22.6565;32.51;32.58;31.80;32.00;2003-11-25;353400
IFF;22.6635;32.52;32.76;32.35;32.45;2003-11-26;264900
IFF;22.6287;32.47;32.69;32.38;32.52;2003-11-28;108700
IFF;23.1026;33.15;33.27;32.60;32.62;2003-12-01;308000
IFF;23.6949;34.00;34.20;32.96;33.30;2003-12-02;661800
IFF;23.4789;33.69;34.13;33.56;33.93;2003-12-03;280900
IFF;23.5277;33.76;33.93;33.55;33.57;2003-12-04;255700
IFF;23.3186;33.46;33.75;33.33;33.70;2003-12-05;308400
IFF;23.3465;33.50;33.51;33.19;33.50;2003-12-08;223300
IFF;23.4231;33.61;33.76;33.32;33.50;2003-12-09;229500
IFF;23.1165;33.17;33.61;33.08;33.61;2003-12-10;273200
IFF;23.4301;33.62;33.66;33.16;33.25;2003-12-11;195700
IFF;23.4231;33.61;33.75;33.40;33.75;2003-12-12;256800
IFF;23.3813;33.55;33.94;33.39;33.81;2003-12-15;230800
IFF;23.5695;33.82;33.82;33.07;33.55;2003-12-16;272300
IFF;23.6183;33.89;34.00;33.73;34.00;2003-12-17;299800
IFF;23.7577;34.09;34.13;33.74;33.79;2003-12-18;396000
IFF;23.7226;33.88;34.08;33.67;33.93;2003-12-19;282600
IFF;24.0307;34.32;34.32;34.00;34.08;2003-12-22;186300
IFF;23.9677;34.23;34.50;34.03;34.38;2003-12-23;166200
IFF;23.9467;34.20;34.33;33.90;33.98;2003-12-24;54000
IFF;23.9747;34.24;34.35;34.00;34.35;2003-12-26;56300
IFF;24.4789;34.96;34.98;34.37;34.40;2003-12-29;199600
IFF;24.4719;34.95;34.96;34.76;34.90;2003-12-30;201900
IFF;24.4508;34.92;35.19;34.82;34.95;2003-12-31;316500
IFF;24.0797;34.39;35.23;34.34;34.85;2004-01-02;300900
IFF;25.0250;35.74;35.79;34.39;34.39;2004-01-05;658000
IFF;24.8500;35.49;35.60;35.04;35.34;2004-01-06;424500
IFF;24.8990;35.56;35.61;34.81;35.25;2004-01-07;600700
IFF;24.9690;35.66;35.88;35.17;35.85;2004-01-08;264000
IFF;24.8710;35.52;35.75;35.16;35.50;2004-01-09;351600
IFF;24.6889;35.26;35.49;35.14;35.35;2004-01-12;316200
IFF;24.5979;35.13;35.42;35.00;35.28;2004-01-13;221500
IFF;24.3318;34.75;35.21;34.56;34.56;2004-01-14;575100
IFF;24.2198;34.59;34.90;34.57;34.85;2004-01-15;564300
IFF;24.4368;34.90;35.20;34.80;34.84;2004-01-16;280900
IFF;24.7309;35.32;35.70;34.92;35.10;2004-01-20;403800
IFF;24.5559;35.07;35.42;34.85;35.32;2004-01-21;387300
IFF;24.3528;34.78;35.23;34.67;35.00;2004-01-22;242900
IFF;24.2338;34.61;35.35;34.60;34.95;2004-01-23;211700
IFF;25.0530;35.78;35.88;34.80;34.80;2004-01-26;322900
IFF;24.9970;35.70;35.91;35.40;35.50;2004-01-27;223900
IFF;25.1651;35.94;37.20;35.70;35.95;2004-01-28;724600
IFF;25.5992;36.56;37.29;35.90;35.95;2004-01-29;463700
IFF;25.6692;36.66;37.07;36.40;36.60;2004-01-30;487900
IFF;25.7322;36.75;37.10;36.45;36.45;2004-02-02;379000
IFF;26.0823;37.25;37.27;36.40;36.75;2004-02-03;394600
IFF;26.3834;37.68;38.15;37.13;37.25;2004-02-04;578000
IFF;26.3484;37.63;37.90;37.30;37.75;2004-02-05;419800
IFF;26.5795;37.96;38.21;37.36;37.46;2004-02-06;328200
IFF;25.9353;37.04;37.78;36.98;37.78;2004-02-09;546200
IFF;26.2083;37.43;37.50;36.75;37.08;2004-02-10;477500
IFF;26.1243;37.31;37.50;36.85;37.50;2004-02-11;514400
IFF;26.1243;37.31;37.58;37.12;37.30;2004-02-12;307300
