Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
INTU;18.3086;20.1350;20.8200;20.0250;20.7550;2003-02-04;15430600
INTU;19.2134;21.1300;22.2000;20.4950;20.5900;2003-02-05;16337600
INTU;19.0133;20.9100;21.1000;20.6250;21.0850;2003-02-06;6202000
INTU;19.3498;21.2800;22.1500;21.1000;21.5000;2003-02-07;11554800
INTU;19.1998;21.1150;21.5050;20.7800;21.3600;2003-02-10;6179400
INTU;19.2134;21.1300;21.6650;20.8800;21.1250;2003-02-11;5546600
INTU;19.0906;20.9950;21.4150;20.7400;21.1000;2003-02-12;4860400
INTU;18.9452;20.8350;21.1250;20.6150;21.0650;2003-02-13;4610600
INTU;20.2000;22.2150;22.2300;20.8900;21.8250;2003-02-14;14523000
INTU;20.7228;22.7900;22.8650;22.1850;22.1950;2003-02-18;6717600
INTU;20.5410;22.5900;22.9900;22.2750;22.7500;2003-02-19;4427000
INTU;20.2045;22.2200;22.7250;22.1800;22.5700;2003-02-20;4187200
INTU;20.5546;22.6050;22.6800;21.8300;22.3950;2003-02-21;5513200
INTU;20.7683;22.8400;22.9900;22.6000;22.7700;2003-02-24;6435200
INTU;20.7547;22.8250;22.9650;22.1900;22.5500;2003-02-25;5599200
INTU;19.9545;21.9450;22.7450;21.7700;22.7300;2003-02-26;7720400
INTU;20.9138;23.0000;23.0150;22.2500;22.2550;2003-02-27;10761600
INTU;21.6048;23.7600;23.7750;22.8400;23.0600;2003-02-28;9130600
INTU;21.1820;23.2950;24.2250;23.1750;24.0750;2003-03-03;6632800
INTU;21.2502;23.3700;23.6600;23.1050;23.2950;2003-03-04;6672800
INTU;21.5048;23.6500;23.9450;23.2100;23.3800;2003-03-05;6359400
INTU;21.6412;23.8000;23.9550;22.9850;23.5500;2003-03-06;7337000
INTU;21.7049;23.8700;24.2000;23.2800;23.4200;2003-03-07;6589600
INTU;21.2411;23.3600;23.8550;23.0850;23.5700;2003-03-10;4401200
INTU;21.3502;23.4800;23.7500;23.1750;23.3250;2003-03-11;5926000
INTU;21.5094;23.6550;23.6900;23.0450;23.3550;2003-03-12;6014200
INTU;22.5505;24.8000;24.9150;23.4700;23.8650;2003-03-13;9525600
INTU;22.6869;24.9500;25.0000;24.5650;24.8900;2003-03-14;8934600
