Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
IPG;8.6983;11.74;12.62;11.70;12.62;2003-02-04;4332500
IPG;8.5205;11.50;12.10;11.49;11.78;2003-02-05;1797000
IPG;8.2019;11.07;11.63;11.04;11.45;2003-02-06;2333200
IPG;7.8092;10.54;10.97;10.50;10.96;2003-02-07;3127500
IPG;7.5944;10.25;10.71;10.19;10.48;2003-02-10;3496200
IPG;7.6610;10.34;10.85;10.21;10.25;2003-02-11;4044000
IPG;6.8386;9.23;9.85;9.11;9.70;2003-02-12;6629500
IPG;6.5571;8.85;9.10;8.60;8.91;2003-02-13;6478200
IPG;7.0165;9.47;9.47;8.79;8.82;2003-02-14;2265400
IPG;7.0387;9.50;9.60;9.39;9.50;2003-02-18;2053400
IPG;6.9275;9.35;9.49;9.20;9.40;2003-02-19;1151900
IPG;6.9646;9.40;9.60;9.28;9.50;2003-02-20;1365500
IPG;7.1572;9.66;9.70;9.39;9.50;2003-02-21;1814900
IPG;6.8386;9.23;9.60;9.20;9.34;2003-02-24;1742100
IPG;6.9127;9.33;9.35;8.83;9.10;2003-02-25;1242400
IPG;6.8460;9.24;9.32;9.10;9.25;2003-02-26;1477900
IPG;7.1869;9.70;9.75;9.13;9.25;2003-02-27;3192500
IPG;7.1498;9.65;9.96;9.59;9.72;2003-02-28;3248100
IPG;7.0535;9.52;9.95;9.52;9.85;2003-03-03;1997900
IPG;6.8609;9.26;9.60;9.24;9.57;2003-03-04;1287100
IPG;6.6682;9.00;9.38;8.91;9.24;2003-03-05;3066900
IPG;6.3644;8.59;9.00;8.42;9.00;2003-03-06;2615000
IPG;6.2607;8.45;8.75;7.20;7.20;2003-03-07;9601200
IPG;5.9347;8.01;8.09;7.60;7.95;2003-03-10;21786600
IPG;5.9347;8.01;8.14;7.81;7.96;2003-03-11;38942600
IPG;6.2459;8.43;8.48;7.89;7.89;2003-03-12;12408000
IPG;6.2681;8.46;8.68;8.37;8.60;2003-03-13;11316000
IPG;6.4385;8.69;8.70;8.35;8.52;2003-03-14;5659100
IPG;6.7423;9.10;9.10;8.51;8.62;2003-03-17;6158800
IPG;6.6460;8.97;9.30;8.90;9.30;2003-03-18;4836400
IPG;6.8535;9.25;9.25;8.85;8.90;2003-03-19;4029200
IPG;7.0609;9.53;9.63;9.04;9.20;2003-03-20;5512600
IPG;7.3573;9.93;10.01;9.54;9.75;2003-03-21;4256400
IPG;6.9868;9.43;9.82;9.38;9.75;2003-03-24;4871500
IPG;7.2387;9.77;9.95;9.45;9.65;2003-03-25;7903800
IPG;7.1869;9.70;9.84;9.44;9.78;2003-03-26;3411300
IPG;7.0387;9.50;9.68;9.42;9.50;2003-03-27;4643800
IPG;7.0535;9.52;9.93;9.41;9.51;2003-03-28;4311200
IPG;6.8905;9.30;9.54;9.26;9.37;2003-03-31;2851300
IPG;6.8905;9.30;9.46;9.19;9.35;2003-04-01;2822800
IPG;7.2313;9.76;9.84;9.53;9.55;2003-04-02;5339100
IPG;7.4980;10.12;10.34;9.72;9.76;2003-04-03;7770200
IPG;7.2980;9.85;10.15;9.82;10.12;2003-04-04;3622200
IPG;7.4091;10.00;10.40;9.99;10.30;2003-04-07;3972800
IPG;7.2535;9.79;10.05;9.78;10.00;2003-04-08;3321900
IPG;7.1128;9.60;9.96;9.59;9.86;2003-04-09;2477800
IPG;7.2758;9.82;9.85;9.59;9.73;2003-04-10;2405000
IPG;7.1869;9.70;10.10;9.59;9.90;2003-04-11;3993300
IPG;7.4017;9.99;10.15;9.69;9.69;2003-04-14;1691400
IPG;7.4684;10.08;10.35;9.85;9.99;2003-04-15;7206500
IPG;7.4980;10.12;10.56;10.07;10.27;2003-04-16;3991500
IPG;7.5203;10.15;10.26;10.02;10.03;2003-04-17;2972100
IPG;7.5870;10.24;10.28;10.00;10.23;2003-04-21;2341300
IPG;7.9796;10.77;10.77;10.00;10.08;2003-04-22;2528000
IPG;8.4094;11.35;11.40;10.59;10.66;2003-04-23;7583400
IPG;8.2093;11.08;11.25;10.91;11.10;2003-04-24;2565000
IPG;8.1501;11.00;11.08;10.80;11.01;2003-04-25;2742500
IPG;8.3723;11.30;11.37;10.85;10.85;2003-04-28;2853300
IPG;8.4909;11.46;11.49;11.13;11.30;2003-04-29;3153600
IPG;8.4464;11.40;11.62;11.22;11.39;2003-04-30;3115000
