Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
IT;8.32;8.32;8.55;8.17;8.55;2003-02-04;285500
IT;8.18;8.18;8.40;8.10;8.35;2003-02-05;267700
IT;8.04;8.04;8.27;7.98;8.27;2003-02-06;238500
IT;7.77;7.77;8.10;7.77;8.09;2003-02-07;741500
IT;7.50;7.50;7.78;7.49;7.77;2003-02-10;373900
IT;7.60;7.60;7.68;7.45;7.50;2003-02-11;607200
IT;7.50;7.50;7.60;7.46;7.60;2003-02-12;215800
IT;7.48;7.48;7.55;7.31;7.55;2003-02-13;191000
IT;7.48;7.48;7.51;7.40;7.50;2003-02-14;199800
IT;7.46;7.46;7.62;7.40;7.58;2003-02-18;612800
IT;7.44;7.44;7.54;7.44;7.50;2003-02-19;237900
IT;7.50;7.50;7.63;7.46;7.49;2003-02-20;243900
IT;7.59;7.59;7.60;7.45;7.53;2003-02-21;364700
IT;7.41;7.41;7.55;7.35;7.55;2003-02-24;177500
IT;7.50;7.50;7.50;7.15;7.36;2003-02-25;223000
IT;7.40;7.40;7.50;7.32;7.50;2003-02-26;356400
IT;7.40;7.40;7.48;7.33;7.40;2003-02-27;216900
IT;7.32;7.32;7.46;7.30;7.40;2003-02-28;674800
IT;7.40;7.40;7.47;7.34;7.38;2003-03-03;262500
IT;7.24;7.24;7.40;7.14;7.40;2003-03-04;86700
IT;7.35;7.35;7.39;7.15;7.25;2003-03-05;91600
IT;7.28;7.28;7.40;7.15;7.28;2003-03-06;140800
IT;7.16;7.16;7.40;7.06;7.20;2003-03-07;147500
IT;6.86;6.86;7.14;6.77;7.07;2003-03-10;118800
IT;6.90;6.90;7.00;6.76;6.96;2003-03-11;78400
IT;6.95;6.95;6.99;6.85;6.90;2003-03-12;155300
IT;7.03;7.03;7.04;6.97;6.99;2003-03-13;109900
IT;7.07;7.07;7.21;7.00;7.13;2003-03-14;101200
IT;7.19;7.19;7.30;7.00;7.02;2003-03-17;211000
IT;7.15;7.15;7.29;6.94;7.29;2003-03-18;190700
IT;7.19;7.19;7.20;7.01;7.19;2003-03-19;93900
IT;7.07;7.07;7.20;6.85;7.19;2003-03-20;266900
IT;7.37;7.37;7.39;7.07;7.07;2003-03-21;231900
IT;7.13;7.13;7.35;7.13;7.35;2003-03-24;150600
IT;7.24;7.24;7.35;7.18;7.20;2003-03-25;94300
IT;7.11;7.11;7.33;7.11;7.33;2003-03-26;169700
IT;7.27;7.27;7.28;7.12;7.20;2003-03-27;194900
IT;7.22;7.22;7.39;7.22;7.27;2003-03-28;151200
IT;6.95;6.95;7.37;6.95;7.12;2003-03-31;235800
IT;7.21;7.21;7.22;7.08;7.08;2003-04-01;275100
IT;7.40;7.40;7.43;7.27;7.31;2003-04-02;129400
IT;7.32;7.32;7.45;7.28;7.45;2003-04-03;81000
IT;7.24;7.24;7.40;7.24;7.25;2003-04-04;67300
IT;7.27;7.27;7.47;7.26;7.34;2003-04-07;209100
IT;7.30;7.30;7.37;7.14;7.37;2003-04-08;162100
IT;7.15;7.15;7.40;7.09;7.35;2003-04-09;213400
IT;7.23;7.23;7.31;7.11;7.15;2003-04-10;202700
IT;7.24;7.24;7.38;7.16;7.33;2003-04-11;170000
IT;7.54;7.54;7.56;7.20;7.24;2003-04-14;118500
IT;7.65;7.65;7.70;7.55;7.61;2003-04-15;157500
IT;7.53;7.53;7.75;7.53;7.75;2003-04-16;70900
IT;7.71;7.71;7.80;7.61;7.63;2003-04-17;70800
IT;7.80;7.80;7.93;7.61;7.61;2003-04-21;116200
IT;7.83;7.83;7.89;7.70;7.85;2003-04-22;94700
IT;8.00;8.00;8.00;7.63;7.83;2003-04-23;169300
IT;7.96;7.96;8.06;7.80;7.90;2003-04-24;55600
IT;7.68;7.68;7.93;7.65;7.93;2003-04-25;43200
IT;8.02;8.02;8.14;7.74;7.74;2003-04-28;100200
IT;7.95;7.95;8.05;7.90;7.98;2003-04-29;89100
IT;7.94;7.94;7.97;7.88;7.95;2003-04-30;124500
IT;7.85;7.85;7.99;7.68;7.90;2003-05-01;153100
IT;7.96;7.96;7.99;7.87;7.87;2003-05-02;75300
IT;7.70;7.70;7.99;7.70;7.91;2003-05-05;121200
IT;7.49;7.49;7.78;7.40;7.70;2003-05-06;281100
IT;7.40;7.40;7.63;7.38;7.59;2003-05-07;229000
IT;7.10;7.10;7.38;7.10;7.30;2003-05-08;127800
IT;7.46;7.46;7.46;7.17;7.20;2003-05-09;283400
IT;7.40;7.40;7.50;7.33;7.40;2003-05-12;100500
IT;7.50;7.50;7.51;7.30;7.32;2003-05-13;180400
IT;7.62;7.62;7.70;7.48;7.50;2003-05-14;185000
IT;7.75;7.75;7.90;7.61;7.65;2003-05-15;159300
IT;7.25;7.25;7.80;7.25;7.70;2003-05-16;331400
IT;6.93;6.93;7.33;6.45;7.33;2003-05-19;138300
IT;7.17;7.17;7.30;7.03;7.03;2003-05-20;216800
IT;7.31;7.31;7.34;7.12;7.25;2003-05-21;215200
IT;7.23;7.23;7.36;7.20;7.28;2003-05-22;109600
IT;7.11;7.11;7.27;7.05;7.20;2003-05-23;175800
IT;7.10;7.10;7.20;6.90;7.04;2003-05-27;1186100
IT;7.37;7.37;7.37;7.06;7.06;2003-05-28;1248700
IT;7.26;7.26;7.37;7.22;7.37;2003-05-29;262600
IT;7.44;7.44;7.45;7.26;7.35;2003-05-30;265000
IT;7.47;7.47;7.72;7.42;7.60;2003-06-02;204400
IT;7.56;7.56;7.56;7.38;7.45;2003-06-03;349700
IT;7.73;7.73;7.84;7.56;7.56;2003-06-04;252400
IT;7.76;7.76;7.84;7.65;7.71;2003-06-05;197300
IT;7.88;7.88;8.00;7.87;7.93;2003-06-06;312400
IT;7.71;7.71;7.84;7.69;7.70;2003-06-09;221900
IT;7.95;7.95;7.99;7.71;7.71;2003-06-10;188800
IT;7.94;7.94;7.95;7.75;7.95;2003-06-11;238400
IT;8.00;8.00;8.07;7.88;7.88;2003-06-12;139600
IT;7.94;7.94;8.05;7.94;8.04;2003-06-13;127400
IT;8.18;8.18;8.24;7.86;7.86;2003-06-16;269200
IT;8.17;8.17;8.23;7.96;8.20;2003-06-17;91500
IT;8.05;8.05;8.18;8.00;8.07;2003-06-18;146200
IT;8.00;8.00;8.32;8.00;8.10;2003-06-19;201900
IT;7.90;7.90;8.13;7.90;8.00;2003-06-20;146100
IT;7.65;7.65;8.01;7.51;7.96;2003-06-23;210600
IT;7.66;7.66;7.83;7.65;7.65;2003-06-24;103900
IT;7.66;7.66;7.85;7.65;7.70;2003-06-25;101000
IT;7.83;7.83;7.90;7.57;7.70;2003-06-26;83100
IT;7.65;7.65;7.90;7.65;7.73;2003-06-27;152200
IT;7.58;7.58;7.75;7.41;7.70;2003-06-30;265400
IT;8.01;8.01;8.09;7.50;7.73;2003-07-01;304000
IT;7.99;7.99;8.10;7.93;8.00;2003-07-02;224200
IT;7.96;7.96;8.01;7.83;8.00;2003-07-03;124100
IT;8.11;8.11;8.23;7.94;8.00;2003-07-07;212300
IT;8.25;8.25;8.30;7.95;8.06;2003-07-08;123200
IT;8.13;8.13;8.25;8.03;8.17;2003-07-09;262900
IT;8.00;8.00;8.14;7.90;8.08;2003-07-10;232000
IT;8.12;8.12;8.20;7.96;8.05;2003-07-11;98200
IT;8.35;8.35;8.52;8.19;8.22;2003-07-14;175400
IT;8.35;8.35;8.46;8.21;8.45;2003-07-15;96900
IT;8.62;8.62;8.63;8.44;8.60;2003-07-16;143900
IT;7.98;7.98;8.57;7.98;8.52;2003-07-17;271800
IT;8.34;8.34;8.34;8.04;8.04;2003-07-18;228000
IT;8.14;8.14;8.30;8.10;8.25;2003-07-21;240500
IT;8.32;8.32;8.35;8.05;8.20;2003-07-22;210800
IT;8.37;8.37;8.39;8.20;8.35;2003-07-23;65900
IT;8.11;8.11;8.43;8.11;8.37;2003-07-24;138200
IT;8.33;8.33;8.37;8.12;8.15;2003-07-25;118500
IT;8.55;8.55;8.60;8.25;8.25;2003-07-28;214800
IT;8.52;8.52;8.64;8.35;8.50;2003-07-29;357900
IT;8.55;8.55;8.72;8.50;8.57;2003-07-30;374600
IT;8.79;8.79;8.90;8.49;8.63;2003-07-31;346300
IT;9.86;9.86;9.95;8.86;8.86;2003-08-01;2136300
IT;9.85;9.85;9.87;9.50;9.76;2003-08-04;1089900
IT;9.69;9.69;9.80;9.60;9.80;2003-08-05;582400
IT;9.77;9.77;9.85;9.54;9.63;2003-08-06;449000
IT;9.79;9.79;9.85;9.65;9.72;2003-08-07;274100
IT;9.84;9.84;9.86;9.77;9.84;2003-08-08;128500
IT;9.63;9.63;9.84;9.60;9.78;2003-08-11;205400
IT;9.97;9.97;9.97;9.60;9.60;2003-08-12;169400
IT;9.98;9.98;10.00;9.85;9.98;2003-08-13;378000
IT;10.20;10.20;10.22;9.94;9.98;2003-08-14;474200
IT;10.03;10.03;10.25;10.03;10.13;2003-08-15;138200
IT;10.52;10.52;10.54;10.12;10.20;2003-08-18;335800
IT;10.50;10.50;10.50;10.30;10.42;2003-08-19;539400
IT;10.34;10.34;10.43;10.26;10.30;2003-08-20;525100
IT;10.29;10.29;10.40;10.05;10.05;2003-08-21;232700
IT;10.20;10.20;10.50;10.20;10.30;2003-08-22;385700
IT;10.26;10.26;10.33;10.11;10.20;2003-08-25;155000
IT;10.33;10.33;10.50;10.21;10.27;2003-08-26;346600
IT;10.49;10.49;10.49;10.25;10.25;2003-08-27;196200
IT;10.51;10.51;10.60;10.17;10.49;2003-08-28;208500
IT;10.48;10.48;10.75;10.41;10.41;2003-08-29;178000
IT;10.85;10.85;10.85;10.38;10.38;2003-09-02;347700
IT;11.30;11.30;11.39;10.74;10.74;2003-09-03;751500
IT;11.44;11.44;11.51;11.26;11.30;2003-09-04;218300
IT;11.45;11.45;11.75;11.27;11.34;2003-09-05;457700
IT;11.61;11.61;11.70;11.30;11.35;2003-09-08;245200
IT;11.42;11.42;11.57;11.30;11.51;2003-09-09;221000
IT;11.30;11.30;11.33;11.20;11.32;2003-09-10;271100
IT;11.41;11.41;11.50;11.24;11.30;2003-09-11;309300
IT;11.30;11.30;11.43;11.30;11.42;2003-09-12;225100
IT;11.26;11.26;11.34;11.25;11.27;2003-09-15;359600
IT;11.37;11.37;11.40;11.16;11.16;2003-09-16;178100
IT;11.36;11.36;11.45;11.22;11.27;2003-09-17;156100
IT;11.50;11.50;11.50;11.30;11.36;2003-09-18;194500
IT;12.38;12.38;12.60;11.60;11.60;2003-09-19;1445300
