Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
JNJ;32.1629;52.76;53.00;51.61;52.51;2003-02-04;7022900
JNJ;31.7606;52.10;53.20;52.07;52.76;2003-02-05;5935200
JNJ;31.7728;52.12;52.26;51.38;52.11;2003-02-06;6356600
JNJ;31.6021;51.84;52.08;51.33;51.70;2003-02-07;6270800
JNJ;31.7240;52.04;52.98;51.23;51.41;2003-02-10;8070200
JNJ;31.6996;52.00;53.62;51.78;52.49;2003-02-11;8016600
JNJ;30.4804;50.00;51.80;50.00;51.80;2003-02-12;15589100
JNJ;31.4078;51.31;51.85;49.10;49.99;2003-02-13;13309200
JNJ;31.6771;51.75;52.50;51.20;51.31;2003-02-14;8432700
JNJ;32.4790;53.06;53.95;52.60;53.00;2003-02-18;8027900
JNJ;32.1790;52.57;53.14;52.20;53.01;2003-02-19;4490800
JNJ;31.7812;51.92;53.33;51.60;53.10;2003-02-20;5525400
JNJ;32.7361;53.48;53.80;52.06;52.48;2003-02-21;6473200
JNJ;32.0933;52.43;53.49;52.41;53.49;2003-02-24;5483600
JNJ;32.2953;52.76;52.85;51.35;51.86;2003-02-25;6165200
JNJ;31.7199;51.82;53.38;51.82;52.76;2003-02-26;6069100
JNJ;32.3076;52.78;53.10;51.80;51.99;2003-02-27;5478300
JNJ;32.1056;52.45;53.04;52.11;52.53;2003-02-28;6438700
JNJ;32.0933;52.43;53.44;52.25;53.16;2003-03-03;5654400
JNJ;31.6404;51.69;52.95;51.68;52.44;2003-03-04;5474600
JNJ;32.3259;52.81;52.90;51.50;51.52;2003-03-05;6676900
JNJ;32.6259;53.30;53.74;52.30;52.60;2003-03-06;9287200
JNJ;33.8501;55.30;55.39;52.52;52.55;2003-03-07;13278900
JNJ;33.1339;54.13;55.20;53.95;54.55;2003-03-10;7114000
JNJ;33.3482;54.48;54.98;53.96;54.51;2003-03-11;7362500
JNJ;33.4706;54.68;54.80;54.09;54.50;2003-03-12;8918100
JNJ;33.9603;55.48;55.60;54.23;54.68;2003-03-13;9637200
JNJ;33.7828;55.19;55.88;54.80;55.66;2003-03-14;7588000
JNJ;34.5173;56.39;56.50;54.40;54.45;2003-03-17;8218600
JNJ;34.7561;56.78;56.91;56.08;56.39;2003-03-18;7218700
JNJ;35.0805;57.31;57.45;56.01;56.84;2003-03-19;6828100
JNJ;35.1294;57.39;57.50;56.50;57.17;2003-03-20;5865900
JNJ;35.9130;58.67;58.68;57.38;58.18;2003-03-21;8689200
JNJ;34.7377;56.75;57.98;56.65;57.10;2003-03-24;7233800
JNJ;34.9397;57.08;57.40;56.03;56.50;2003-03-25;7645200
JNJ;34.6826;56.66;57.11;56.49;57.09;2003-03-26;6640500
JNJ;34.8662;56.96;57.34;55.70;56.00;2003-03-27;5517600
JNJ;35.1233;57.38;57.60;56.00;56.00;2003-03-28;5706900
JNJ;35.4233;57.87;58.45;56.75;56.75;2003-03-31;9597600
JNJ;35.7599;58.42;58.60;57.68;57.87;2003-04-01;7793200
JNJ;35.7538;58.41;58.68;57.78;58.27;2003-04-02;8450400
JNJ;35.1723;57.46;58.39;57.24;57.92;2003-04-03;7423500
JNJ;35.4049;57.84;58.00;57.35;57.51;2003-04-04;6748300
JNJ;35.0927;57.33;59.08;57.20;57.84;2003-04-07;7225600
JNJ;35.1968;57.50;58.00;57.20;57.58;2003-04-08;5420100
JNJ;35.0499;57.26;58.10;57.02;57.02;2003-04-09;6111200
JNJ;35.0193;57.21;57.72;56.71;57.72;2003-04-10;6612800
JNJ;35.1233;57.38;58.14;57.33;57.72;2003-04-11;5898700
JNJ;35.3682;57.78;57.99;57.25;57.39;2003-04-14;4927300
JNJ;34.2663;55.98;57.20;55.50;56.50;2003-04-15;13151900
JNJ;33.2931;54.39;56.20;53.95;55.98;2003-04-16;14857600
JNJ;33.6726;55.01;55.44;54.50;54.50;2003-04-17;7654900
JNJ;33.8868;55.36;55.90;55.04;55.52;2003-04-21;5406400
JNJ;34.3337;56.09;56.40;54.72;54.75;2003-04-22;7359300
JNJ;34.7683;56.80;57.00;56.05;56.20;2003-04-23;6474800
JNJ;35.1968;57.50;57.87;56.38;57.41;2003-04-24;12304400
JNJ;34.4071;56.21;57.66;55.80;57.50;2003-04-25;8366100
JNJ;34.8968;57.01;57.33;56.20;56.30;2003-04-28;4361100
JNJ;34.8234;56.89;57.21;56.50;56.85;2003-04-29;5867500
JNJ;34.4990;56.36;56.84;56.17;56.34;2003-04-30;6948000
JNJ;34.4745;56.32;56.76;55.51;56.36;2003-05-01;6119400
JNJ;34.6703;56.64;56.75;55.55;55.95;2003-05-02;6287800
JNJ;34.5602;56.46;57.16;56.26;56.26;2003-05-05;5830100
JNJ;34.5969;56.52;57.00;56.40;56.71;2003-05-06;6477600
JNJ;34.8968;57.01;57.52;56.45;56.52;2003-05-07;7731600
JNJ;34.5479;56.44;57.01;56.05;57.01;2003-05-08;4605500
JNJ;34.4867;56.34;56.55;55.60;55.60;2003-05-09;5803500
JNJ;34.3765;56.16;56.23;55.55;56.09;2003-05-12;7878200
JNJ;33.9725;55.50;56.00;55.15;56.00;2003-05-13;7999900
JNJ;33.8807;55.35;55.90;55.01;55.87;2003-05-14;7506700
JNJ;33.9358;55.44;55.94;55.24;55.49;2003-05-15;5033400
JNJ;34.4522;56.04;56.25;55.21;55.21;2003-05-16;6511800
JNJ;33.5854;54.63;55.86;54.00;55.70;2003-05-19;13579600
JNJ;33.1919;53.99;55.15;53.33;54.82;2003-05-20;10068600
JNJ;32.8599;53.45;54.33;53.18;54.10;2003-05-21;9953700
JNJ;32.8169;53.38;53.94;53.22;53.45;2003-05-22;8354700
JNJ;32.6386;53.09;53.39;52.60;53.27;2003-05-23;7360400
JNJ;32.8415;53.42;53.60;52.55;52.70;2003-05-27;9297900
JNJ;32.9891;53.66;53.85;53.23;53.70;2003-05-28;7836300
JNJ;32.8231;53.39;54.14;53.22;53.91;2003-05-29;9358300
JNJ;33.4133;54.35;54.40;53.35;53.55;2003-05-30;8080800
JNJ;32.7185;53.22;54.65;53.13;54.35;2003-06-02;9658500
JNJ;33.1059;53.85;54.10;53.22;53.22;2003-06-03;7575600
JNJ;33.2350;54.06;54.44;53.40;53.98;2003-06-04;9262100
JNJ;31.9808;52.02;53.25;51.63;52.50;2003-06-05;21248300
JNJ;32.4296;52.75;53.42;52.30;53.25;2003-06-06;15792900
JNJ;32.4112;52.72;53.12;52.09;52.50;2003-06-09;8017600
JNJ;32.3620;52.64;52.85;51.90;52.78;2003-06-10;8865100
JNJ;32.5833;53.00;53.00;52.10;52.92;2003-06-11;10413800
JNJ;32.7493;53.27;54.17;53.10;53.25;2003-06-12;10491800
JNJ;32.3128;52.56;53.80;52.40;53.45;2003-06-13;7977500
