Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
JPM;13.9033;23.05;23.59;22.75;23.59;2003-02-04;8152200
JPM;13.8369;22.94;23.69;22.78;23.25;2003-02-05;8414600
JPM;13.4569;22.31;22.73;22.20;22.67;2003-02-06;8906400
JPM;13.2579;21.98;22.64;21.80;22.60;2003-02-07;9526700
JPM;13.3303;22.10;22.30;21.76;22.00;2003-02-10;9080900
JPM;13.2699;22.00;22.45;21.94;22.45;2003-02-11;12582400
JPM;12.9744;21.51;22.22;21.51;22.00;2003-02-12;9567700
JPM;12.8417;21.29;21.53;20.86;21.50;2003-02-13;10872500
JPM;13.1795;21.85;21.95;21.17;21.30;2003-02-14;8881000
JPM;13.5715;22.50;22.86;22.07;22.08;2003-02-18;9225300
JPM;13.5715;22.50;22.65;22.30;22.50;2003-02-19;8084700
JPM;13.6861;22.69;22.80;22.38;22.60;2003-02-20;7140000
JPM;13.8007;22.88;23.10;22.15;22.59;2003-02-21;8525100
JPM;13.4509;22.30;22.89;22.19;22.89;2003-02-24;7695700
JPM;13.6017;22.55;22.55;21.72;22.00;2003-02-25;10674500
JPM;13.4750;22.34;22.60;22.10;22.35;2003-02-26;6608100
JPM;13.6680;22.66;23.00;22.21;22.40;2003-02-27;8760600
JPM;13.6801;22.68;23.00;22.51;22.64;2003-02-28;7684900
JPM;13.7826;22.85;23.33;22.66;23.15;2003-03-03;8083200
JPM;13.5112;22.40;22.90;22.40;22.85;2003-03-04;7706700
JPM;13.7585;22.81;22.81;22.35;22.41;2003-03-05;7670600
JPM;13.2699;22.00;22.53;21.96;22.42;2003-03-06;10613600
JPM;13.4449;22.29;22.80;21.57;21.69;2003-03-07;9272100
JPM;12.9322;21.44;22.19;21.35;21.87;2003-03-10;8585100
JPM;12.5160;20.75;21.80;20.67;21.55;2003-03-11;12601900
JPM;12.5160;20.75;21.00;20.13;20.50;2003-03-12;16405900
JPM;13.1010;21.72;21.77;21.07;21.25;2003-03-13;12988100
JPM;12.8236;21.26;22.10;21.16;21.77;2003-03-14;13848700
JPM;13.6077;22.56;22.67;21.01;21.25;2003-03-17;15267800
JPM;13.7585;22.81;23.00;22.45;22.88;2003-03-18;9193900
JPM;14.0722;23.33;23.35;22.70;22.85;2003-03-19;11398700
JPM;14.1928;23.53;23.66;22.75;22.78;2003-03-20;10698200
JPM;14.8684;24.65;24.90;23.76;23.89;2003-03-21;18484800
JPM;14.2531;23.63;24.04;23.45;23.75;2003-03-24;10964200
JPM;14.5607;24.14;24.46;23.57;23.57;2003-03-25;9397300
JPM;14.5788;24.17;24.35;23.88;23.90;2003-03-26;6461300
JPM;14.5487;24.12;24.42;23.68;24.01;2003-03-27;7552700
JPM;14.7477;24.45;24.59;23.88;24.12;2003-03-28;7736700
JPM;14.3014;23.71;24.10;23.65;23.75;2003-03-31;9251900
JPM;14.6150;24.23;24.40;23.75;24.15;2003-04-01;9689000
JPM;15.3614;25.11;25.32;24.62;24.80;2003-04-02;13884500
JPM;15.2574;24.94;25.49;24.90;25.40;2003-04-03;10313700
JPM;15.6489;25.58;25.65;25.09;25.34;2003-04-04;10113600
JPM;15.6856;25.64;26.73;25.60;26.46;2003-04-07;12796300
JPM;15.8997;25.99;26.10;25.45;25.85;2003-04-08;8949700
JPM;15.7407;25.73;26.41;25.58;26.05;2003-04-09;10140100
JPM;15.7346;25.72;25.90;25.41;25.73;2003-04-10;7215900
JPM;15.6550;25.59;26.26;25.42;26.00;2003-04-11;8002200
JPM;16.2362;26.54;26.60;25.88;25.98;2003-04-14;10041200
JPM;16.4381;26.87;27.40;26.28;26.51;2003-04-15;13327300
JPM;16.2117;26.50;27.70;26.25;27.54;2003-04-16;18636300
JPM;16.7073;27.31;27.47;26.50;26.50;2003-04-17;11055000
JPM;16.7929;27.45;27.74;27.16;27.31;2003-04-21;8337900
JPM;17.5454;28.68;28.80;27.17;27.32;2003-04-22;13899900
JPM;18.0103;29.44;29.69;28.65;28.75;2003-04-23;15108200
JPM;17.4720;28.56;28.85;28.31;28.73;2003-04-24;12139800
JPM;17.1049;27.96;28.76;27.65;28.75;2003-04-25;11300700
JPM;17.6249;28.81;28.91;28.00;28.00;2003-04-28;9481100
JPM;17.8268;29.14;29.25;28.63;28.69;2003-04-29;12232300
