Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
K;19.1261;32.53;32.72;32.14;32.33;2003-02-04;1662200
K;19.0085;32.33;32.97;32.29;32.54;2003-02-05;953500
K;18.9556;32.24;32.61;31.85;32.00;2003-02-06;1064800
K;18.8732;32.10;32.50;31.88;32.35;2003-02-07;602500
K;18.8850;32.12;32.45;31.76;32.27;2003-02-10;750000
K;18.5205;31.50;32.40;31.46;32.20;2003-02-11;957100
K;18.4029;31.30;31.80;31.25;31.51;2003-02-12;786600
K;18.3500;31.21;31.55;30.82;31.20;2003-02-13;1195800
K;18.6087;31.65;31.80;31.16;31.40;2003-02-14;1085000
K;18.6616;31.74;32.27;31.60;31.90;2003-02-18;844000
K;18.3558;31.22;31.75;31.22;31.73;2003-02-19;824800
K;17.7091;30.12;30.55;29.90;30.08;2003-02-20;2725900
K;17.7973;30.27;30.37;29.99;30.12;2003-02-21;1537300
K;17.5562;29.86;30.34;29.78;30.28;2003-02-24;859700
K;17.6973;30.10;30.21;29.55;29.80;2003-02-25;868500
K;17.5033;29.77;30.25;29.75;30.11;2003-02-26;977100
K;17.6711;29.80;30.04;29.44;29.80;2003-02-27;985400
K;17.5347;29.57;30.10;29.50;29.77;2003-02-28;1040000
K;17.7957;30.01;30.16;29.62;30.00;2003-03-03;1385600
K;17.1967;29.00;30.05;28.92;30.03;2003-03-04;1101500
K;17.1967;29.00;29.00;28.49;28.96;2003-03-05;1454200
K;16.8528;28.42;29.00;28.28;29.00;2003-03-06;1400000
K;17.0366;28.73;28.90;28.00;28.07;2003-03-07;1552400
K;16.6156;28.02;28.72;27.85;28.72;2003-03-10;1544500
K;16.6275;28.04;28.52;28.04;28.10;2003-03-11;1123100
K;16.7223;28.20;28.88;27.92;28.04;2003-03-12;2905600
K;17.1908;28.99;29.17;28.36;28.55;2003-03-13;1392000
K;17.2975;29.17;29.45;28.84;29.15;2003-03-14;1149500
K;17.8905;30.17;30.25;29.11;29.31;2003-03-17;881100
K;17.7186;29.88;30.38;29.68;30.37;2003-03-18;993700
K;18.2582;30.79;30.79;29.99;29.99;2003-03-19;925500
K;17.9795;30.32;30.95;29.88;30.70;2003-03-20;1057400
K;18.3175;30.89;30.97;30.41;30.80;2003-03-21;1171200
K;17.7482;29.93;30.58;29.85;30.43;2003-03-24;870400
K;18.0981;30.52;30.64;29.87;29.90;2003-03-25;775200
K;17.8016;30.02;30.45;29.80;30.44;2003-03-26;690800
K;18.0032;30.36;30.56;29.61;29.70;2003-03-27;760400
K;17.7067;29.86;30.30;29.58;30.30;2003-03-28;1402500
K;18.1752;30.65;30.85;29.58;30.36;2003-03-31;1630700
K;18.0625;30.46;30.65;30.27;30.64;2003-04-01;967100
K;18.4479;31.11;31.29;30.62;30.84;2003-04-02;959400
K;18.2582;30.79;31.13;30.61;31.05;2003-04-03;715300
K;18.5310;31.25;31.28;30.72;30.92;2003-04-04;737300
K;18.5013;31.20;32.00;31.18;31.95;2003-04-07;1320700
K;18.6377;31.43;31.69;31.24;31.33;2003-04-08;577200
K;18.4657;31.14;31.89;30.97;31.55;2003-04-09;668000
K;18.6081;31.38;31.38;30.95;31.23;2003-04-10;773400
K;18.7326;31.59;31.91;31.42;31.83;2003-04-11;800600
K;18.8927;31.86;31.90;31.51;31.51;2003-04-14;669300
K;18.5725;31.32;31.86;31.15;31.86;2003-04-15;1439700
K;18.3056;30.87;31.30;30.62;31.30;2003-04-16;1026600
K;18.6081;31.38;31.46;30.82;30.82;2003-04-17;538700
K;18.4124;31.05;31.57;31.02;31.20;2003-04-21;454700
K;19.0350;32.10;32.14;30.92;30.95;2003-04-22;1049400
K;18.8215;31.74;32.12;31.42;31.95;2003-04-23;969800
K;18.9935;32.03;32.19;31.72;31.96;2003-04-24;848500
K;18.9342;31.93;32.32;31.54;32.30;2003-04-25;895300
K;19.3790;32.68;32.71;32.00;32.01;2003-04-28;1099700
K;19.5983;33.05;33.05;32.60;32.60;2003-04-29;1365300
K;19.4145;32.74;32.93;32.52;32.93;2003-04-30;1255700
K;19.5035;32.89;33.00;31.90;32.51;2003-05-01;746100
K;19.5924;33.04;33.04;32.55;32.64;2003-05-02;1054600
K;19.5924;33.04;33.32;32.80;32.97;2003-05-05;876300
K;19.5509;32.97;33.23;32.69;32.71;2003-05-06;1128600
K;19.7466;33.30;33.40;32.66;32.77;2003-05-07;948500
K;19.4916;32.87;33.21;32.68;33.15;2003-05-08;892500
K;19.8000;33.39;33.41;32.95;33.00;2003-05-09;895100
K;19.9008;33.56;33.66;33.18;33.39;2003-05-12;516500
K;19.9304;33.61;33.61;33.19;33.22;2003-05-13;635100
K;19.8415;33.46;33.66;33.26;33.61;2003-05-14;674300
K;20.0668;33.84;33.97;33.55;33.71;2003-05-15;1053100
K;19.7288;33.27;33.98;33.27;33.80;2003-05-16;926500
K;19.8948;33.55;33.63;33.28;33.37;2003-05-19;762000
K;19.9008;33.56;33.78;33.12;33.59;2003-05-20;1539900
K;19.9541;33.65;33.75;33.27;33.46;2003-05-21;851300
K;20.0550;33.82;34.00;33.45;33.59;2003-05-22;1019600
K;19.8948;33.55;33.71;33.25;33.48;2003-05-23;794900
K;20.1617;34.00;34.10;33.42;33.56;2003-05-27;1269100
K;20.2531;33.90;33.99;33.51;33.57;2003-05-28;1044500
K;20.4861;34.29;34.50;33.90;33.90;2003-05-29;1753600
K;21.0298;35.20;35.25;34.46;34.50;2003-05-30;3385600
K;20.8505;34.90;35.42;34.64;35.35;2003-06-02;1234200
K;21.0776;35.28;35.28;34.81;34.90;2003-06-03;768700
K;20.9700;35.10;35.47;35.00;35.21;2003-06-04;967300
K;21.1134;35.34;35.40;34.96;35.01;2003-06-05;765600
K;21.1254;35.36;35.49;35.12;35.40;2003-06-06;1214000
