Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
KIM;6.5896;15.7800;15.7850;15.5750;15.6500;2003-02-04;646800
KIM;6.6314;15.8800;15.9250;15.7400;15.7500;2003-02-05;617200
KIM;6.6335;15.8850;15.9500;15.8500;15.8800;2003-02-06;541600
KIM;6.5876;15.7750;15.9700;15.7750;15.8600;2003-02-07;422600
KIM;6.6523;15.9300;15.9300;15.7500;15.7600;2003-02-10;410000
KIM;6.6105;15.8300;15.9500;15.8100;15.9500;2003-02-11;379000
KIM;6.6022;15.8100;15.9150;15.7500;15.8000;2003-02-12;494200
KIM;6.5959;15.7950;15.8300;15.6300;15.8050;2003-02-13;404000
KIM;6.6857;16.0100;16.1050;15.8500;15.9450;2003-02-14;645200
KIM;6.8235;16.3400;16.3700;16.1500;16.1950;2003-02-18;1138600
KIM;6.8611;16.4300;16.4750;16.2850;16.3400;2003-02-19;501000
KIM;6.8987;16.5200;16.5750;16.4300;16.4300;2003-02-20;455600
KIM;6.9989;16.7600;16.8000;16.5500;16.5500;2003-02-21;995200
KIM;6.9550;16.6550;16.7550;16.5000;16.6500;2003-02-24;527000
KIM;7.0198;16.8100;16.8150;16.5450;16.6250;2003-02-25;416400
KIM;6.9947;16.7500;16.7800;16.6300;16.7500;2003-02-26;363200
KIM;7.0782;16.9500;16.9500;16.7250;16.7500;2003-02-27;450800
KIM;7.0365;16.8500;17.0000;16.8450;16.9400;2003-02-28;458800
KIM;7.0636;16.9150;16.9600;16.8250;16.9000;2003-03-03;339400
KIM;7.0574;16.9000;16.9500;16.8600;16.9150;2003-03-04;608400
KIM;7.0782;16.9500;16.9500;16.6500;16.6500;2003-03-05;1031400
KIM;7.1179;17.0450;17.0450;16.8250;16.8250;2003-03-06;1126800
KIM;7.1158;17.0400;17.0500;16.9100;17.0100;2003-03-07;531000
KIM;7.1012;17.0050;17.0950;16.9550;17.0450;2003-03-10;698800
KIM;7.1075;17.0200;17.0650;16.9500;17.0050;2003-03-11;469600
KIM;7.1200;17.0500;17.0500;16.9200;17.0000;2003-03-12;456200
KIM;7.1513;17.1250;17.1900;17.0450;17.0450;2003-03-13;529400
KIM;7.1785;17.1900;17.2500;17.1000;17.1500;2003-03-14;305200
KIM;7.3893;17.6950;17.6950;17.0500;17.1250;2003-03-17;620600
KIM;7.4102;17.7450;17.7600;17.5800;17.6950;2003-03-18;533400
KIM;7.4102;17.7450;17.7450;17.4500;17.7450;2003-03-19;1060600
KIM;7.3914;17.7000;17.7450;17.4950;17.6500;2003-03-20;730800
KIM;7.4958;17.9500;18.0000;17.7000;17.7750;2003-03-21;697600
KIM;7.3058;17.4950;17.9550;17.4600;17.9550;2003-03-24;750400
KIM;7.3580;17.6200;17.6750;17.4500;17.4500;2003-03-25;710000
KIM;7.4228;17.7750;17.8200;17.5400;17.6750;2003-03-26;447800
KIM;7.4332;17.8000;17.8400;17.6350;17.7500;2003-03-27;398800
KIM;7.4123;17.7500;17.8500;17.5750;17.8050;2003-03-28;731200
KIM;7.3330;17.5600;17.7100;17.5450;17.6700;2003-03-31;804400
KIM;7.4772;17.6300;17.6300;17.2350;17.2950;2003-04-01;671200
KIM;7.5450;17.7900;17.9850;17.6900;17.7000;2003-04-02;881800
KIM;7.4814;17.6400;17.8500;17.5800;17.8500;2003-04-03;341400
KIM;7.4029;17.4550;17.7500;17.4550;17.6650;2003-04-04;353200
KIM;7.5387;17.7750;17.7750;17.5900;17.6250;2003-04-07;334600
KIM;7.5387;17.7750;17.8000;17.6500;17.7750;2003-04-08;610400
KIM;7.6320;17.9950;17.9950;17.7250;17.7500;2003-04-09;583200
KIM;7.6786;18.1050;18.1500;17.9250;18.0000;2003-04-10;603800
KIM;7.6129;17.9500;18.1950;17.9350;18.0500;2003-04-11;337800
KIM;7.6553;18.0500;18.0500;17.6700;17.9550;2003-04-14;773800
KIM;7.6765;18.1000;18.1650;17.8750;18.0500;2003-04-15;384800
KIM;7.7380;18.2450;18.2450;18.0000;18.1950;2003-04-16;295800
KIM;7.7189;18.2000;18.2950;18.1200;18.2450;2003-04-17;314800
KIM;7.7274;18.2200;18.2500;18.0850;18.2350;2003-04-21;370400
KIM;7.8228;18.4450;18.5250;18.1750;18.2500;2003-04-22;621800
KIM;7.8504;18.5100;18.5300;18.3900;18.4750;2003-04-23;288000
KIM;7.8122;18.4200;18.4750;18.3000;18.3550;2003-04-24;780200
KIM;7.8059;18.4050;18.4300;18.3500;18.4250;2003-04-25;606200
KIM;7.8228;18.4450;18.4450;18.2800;18.3600;2003-04-28;970600
KIM;7.8016;18.3950;18.5800;18.3900;18.4900;2003-04-29;887400
KIM;7.6765;18.1000;18.4000;17.9800;18.4000;2003-04-30;1049200
KIM;7.6659;18.0750;18.2100;17.9250;18.1500;2003-05-01;680400
KIM;7.7380;18.2450;18.2650;18.1250;18.1250;2003-05-02;494400
KIM;7.8440;18.4950;18.5000;18.2650;18.3350;2003-05-05;588400
KIM;7.9310;18.7000;18.7450;18.4750;18.4950;2003-05-06;393600
KIM;7.8462;18.5000;18.6900;18.5000;18.6750;2003-05-07;384000
KIM;7.9479;18.7400;18.7450;18.4750;18.5200;2003-05-08;779200
KIM;7.9522;18.7500;18.7750;18.6600;18.7400;2003-05-09;385000
KIM;7.9628;18.7750;18.8300;18.6750;18.7500;2003-05-12;257200
KIM;7.9246;18.6850;18.7700;18.6000;18.7500;2003-05-13;433000
KIM;7.8886;18.6000;18.7500;18.4850;18.7350;2003-05-14;597600
KIM;7.8970;18.6200;18.6550;18.4600;18.5600;2003-05-15;426800
KIM;7.9352;18.7100;18.7100;18.4600;18.5750;2003-05-16;751400
KIM;7.9204;18.6750;18.7250;18.5600;18.7050;2003-05-19;462200
KIM;7.9628;18.7750;18.7950;18.6000;18.6600;2003-05-20;390400
KIM;8.0794;19.0500;19.0600;18.6750;18.7550;2003-05-21;736400
KIM;8.1642;19.2500;19.2550;18.9700;19.0500;2003-05-22;336600
KIM;8.2066;19.3500;19.3500;19.0750;19.1750;2003-05-23;521600
KIM;8.2575;19.4700;19.4700;19.1650;19.3000;2003-05-27;517000
KIM;8.0285;18.9300;19.4700;18.9250;19.4700;2003-05-28;520800
KIM;7.7613;18.3000;18.9500;18.0700;18.9050;2003-05-29;1777800
KIM;7.9310;18.7000;18.7200;18.3750;18.4000;2003-05-30;817800
KIM;8.0200;18.9100;19.0000;18.7950;18.8250;2003-06-02;589600
KIM;8.0858;19.0650;19.0650;18.8700;19.0000;2003-06-03;293400
KIM;8.0900;19.0750;19.2100;19.0250;19.0650;2003-06-04;369400
KIM;8.0688;19.0250;19.1200;18.9500;19.0100;2003-06-05;271200
KIM;8.1261;19.1600;19.1850;19.0600;19.0600;2003-06-06;386800
KIM;8.0964;19.0900;19.1650;19.0000;19.1600;2003-06-09;429000
KIM;8.2703;19.5000;19.5000;19.0000;19.0600;2003-06-10;733200
KIM;8.2957;19.5600;19.6650;19.3450;19.5000;2003-06-11;839600
KIM;8.1430;19.2000;19.7250;19.2000;19.6850;2003-06-12;504800
KIM;7.9734;18.8000;19.1650;18.8000;19.1250;2003-06-13;404600
KIM;8.1176;19.1400;19.2500;19.0600;19.2500;2003-06-16;647800
KIM;7.9628;18.7750;19.2500;18.7750;19.1400;2003-06-17;395800
KIM;7.8886;18.6000;18.7500;18.4500;18.7500;2003-06-18;533600
