Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
KR;5.7490;7.3400;7.4600;7.2500;7.4400;2003-02-04;6632200
KR;5.6668;7.2350;7.4100;7.1950;7.3500;2003-02-05;5609000
KR;5.6237;7.1800;7.3100;7.0950;7.1600;2003-02-06;4447000
KR;5.5219;7.0500;7.2750;6.9750;7.2500;2003-02-07;4621600
KR;5.5571;7.0950;7.1100;6.8900;7.0600;2003-02-10;5164200
KR;5.4984;7.0200;7.1900;7.0000;7.0950;2003-02-11;5613400
KR;5.3692;6.8550;7.0200;6.8250;7.0200;2003-02-12;4801200
KR;5.4083;6.9050;6.9300;6.7500;6.8750;2003-02-13;4731200
KR;5.5532;7.0900;7.0900;6.8000;6.8750;2003-02-14;3870800
KR;5.5141;7.0400;7.2000;7.0000;7.0450;2003-02-18;4528600
KR;5.4397;6.9450;7.0350;6.8850;6.9900;2003-02-19;3293600
KR;5.3613;6.8450;6.9850;6.8450;6.9200;2003-02-20;2448800
KR;5.3927;6.8850;6.9650;6.7900;6.9000;2003-02-21;3755200
KR;5.2752;6.7350;6.8900;6.6400;6.8900;2003-02-24;5572200
KR;5.3653;6.8500;6.8550;6.6250;6.6250;2003-02-25;3634000
KR;5.2673;6.7250;6.8500;6.6450;6.8400;2003-02-26;4099200
KR;5.3104;6.7800;6.8100;6.6650;6.7150;2003-02-27;4371000
KR;5.1773;6.6100;6.8000;6.5950;6.7550;2003-02-28;6109200
KR;5.1929;6.6300;6.7450;6.5850;6.6500;2003-03-03;3836400
KR;5.1146;6.5300;6.6350;6.5250;6.6350;2003-03-04;5328400
KR;5.1107;6.5250;6.5600;6.4900;6.5050;2003-03-05;7079400
KR;5.0872;6.4950;6.5350;6.4600;6.5250;2003-03-06;5828400
KR;5.0206;6.4100;6.4900;6.3500;6.3950;2003-03-07;7025000
KR;4.7504;6.0650;6.4250;6.0250;6.4100;2003-03-10;10338400
KR;4.9580;6.3300;6.5600;6.2500;6.4250;2003-03-11;12880600
KR;4.9305;6.2950;6.5000;6.2250;6.5000;2003-03-12;7816600
KR;4.9501;6.3200;6.3850;6.1700;6.3550;2003-03-13;10317400
KR;4.9501;6.3200;6.4550;6.2700;6.3350;2003-03-14;5492800
KR;5.2791;6.7400;6.7500;6.2700;6.3250;2003-03-17;6878600
KR;5.3104;6.7800;6.9500;6.6850;6.7500;2003-03-18;6350800
KR;5.5454;7.0800;7.1700;6.9250;6.9500;2003-03-19;9547800
KR;5.5493;7.0850;7.1650;6.9600;7.0800;2003-03-20;6562400
KR;5.6825;7.2550;7.2550;7.1150;7.2500;2003-03-21;7523000
KR;5.4827;7.0000;7.1900;6.8950;7.1900;2003-03-24;6341800
KR;5.5415;7.0750;7.1650;6.9350;6.9750;2003-03-25;5450600
KR;5.5767;7.1200;7.1650;7.0450;7.1500;2003-03-26;3417800
KR;5.3418;6.8200;7.0250;6.8000;7.0000;2003-03-27;6807200
KR;5.3222;6.7950;6.8800;6.7250;6.8200;2003-03-28;4363600
KR;5.1499;6.5750;6.7250;6.3250;6.6000;2003-03-31;6164200
KR;5.2791;6.7400;6.8000;6.5550;6.6000;2003-04-01;5512800
KR;5.3378;6.8150;6.8700;6.7400;6.7450;2003-04-02;5890200
KR;5.2517;6.7050;6.8350;6.6500;6.8100;2003-04-03;4712800
KR;5.3457;6.8250;6.8600;6.6600;6.7150;2003-04-04;4747400
KR;5.3731;6.8600;7.0400;6.8450;6.9900;2003-04-07;5855800
KR;5.3104;6.7800;6.9500;6.7800;6.8750;2003-04-08;3702800
KR;5.2673;6.7250;6.9500;6.7250;6.8400;2003-04-09;3188600
KR;5.3261;6.8000;6.8500;6.7200;6.7300;2003-04-10;3736400
KR;5.3653;6.8500;6.9750;6.8050;6.8950;2003-04-11;4327600
KR;5.5258;7.0550;7.0700;6.8250;6.8250;2003-04-14;5604000
KR;5.6002;7.1500;7.1650;6.9900;7.0150;2003-04-15;5698200
KR;5.3613;6.8450;6.9450;6.4100;6.4100;2003-04-16;12290600
KR;5.5062;7.0300;7.0750;6.8500;6.8750;2003-04-17;5681800
KR;5.4514;6.9600;7.0900;6.9250;7.0250;2003-04-21;4823800
KR;5.5297;7.0600;7.0750;6.8900;6.9000;2003-04-22;5604800
KR;5.5963;7.1450;7.1700;6.9850;7.0350;2003-04-23;5458200
KR;5.5806;7.1250;7.1700;7.0500;7.0500;2003-04-24;3960800
KR;5.5611;7.1000;7.1350;7.0650;7.0900;2003-04-25;3746000
KR;5.6629;7.2300;7.3050;7.1000;7.1000;2003-04-28;3935600
KR;5.6511;7.2150;7.3550;7.1900;7.2250;2003-04-29;5602600
KR;5.6002;7.1500;7.2450;7.1400;7.2000;2003-04-30;5887600
KR;5.8274;7.4400;7.4750;7.1050;7.1250;2003-05-01;7820400
KR;5.8195;7.4300;7.4450;7.1750;7.4400;2003-05-02;7822800
KR;5.6198;7.1750;7.4350;7.0950;7.4350;2003-05-05;7711200
KR;5.6316;7.1900;7.2300;7.1250;7.1250;2003-05-06;7358600
KR;5.6120;7.1650;7.1900;7.0350;7.1900;2003-05-07;4880000
KR;5.4906;7.0100;7.1650;6.9900;7.0500;2003-05-08;5799000
KR;5.6041;7.1550;7.1650;6.9750;7.0600;2003-05-09;4729200
KR;5.6864;7.2600;7.3000;7.0800;7.1250;2003-05-12;4122000
KR;5.7921;7.3950;7.4600;7.2000;7.2250;2003-05-13;5646000
KR;5.9723;7.6250;7.7000;7.4200;7.4450;2003-05-14;9173200
KR;6.0153;7.6800;7.7300;7.5700;7.6250;2003-05-15;9874200
KR;5.9488;7.5950;7.6850;7.5350;7.6850;2003-05-16;4133000
KR;5.9135;7.5500;7.5750;7.4800;7.5500;2003-05-19;8634000
KR;6.0310;7.7000;7.7600;7.5900;7.6250;2003-05-20;7199400
KR;5.8900;7.5200;7.7000;7.4650;7.7000;2003-05-21;6468200
KR;5.9135;7.5500;7.6250;7.4750;7.5100;2003-05-22;8274600
KR;6.0388;7.7100;7.7200;7.5200;7.6050;2003-05-23;5010200
KR;6.0428;7.7150;7.7250;7.5700;7.6350;2003-05-27;6861000
KR;6.0976;7.7850;7.7900;7.7000;7.7000;2003-05-28;6358600
KR;6.1407;7.8400;7.9000;7.7350;7.7900;2003-05-29;8593000
KR;6.2856;8.0250;8.0250;7.7950;7.8600;2003-05-30;8900600
KR;6.4422;8.2250;8.2400;8.0050;8.0500;2003-06-02;8582800
KR;6.5205;8.3250;8.3250;8.1000;8.1950;2003-06-03;7056800
