Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
KSU;11.2789;12.55;12.71;12.40;12.46;2003-02-04;558500
KSU;11.3957;12.68;12.89;12.54;12.60;2003-02-05;172200
KSU;11.1800;12.44;12.75;12.44;12.64;2003-02-06;130700
KSU;11.1171;12.37;12.66;12.30;12.40;2003-02-07;176300
KSU;11.1620;12.42;12.59;12.34;12.36;2003-02-10;127400
KSU;11.0542;12.30;12.56;12.24;12.50;2003-02-11;355700
KSU;10.7936;12.01;12.31;11.95;12.30;2003-02-12;332700
KSU;10.8475;12.07;12.11;11.96;12.05;2003-02-13;143500
KSU;10.8025;12.02;12.20;11.97;12.07;2003-02-14;285700
KSU;11.2070;12.47;12.52;12.00;12.02;2003-02-18;305300
KSU;10.9284;12.16;12.50;12.10;12.50;2003-02-19;228100
KSU;10.8115;12.03;12.20;11.95;12.20;2003-02-20;362100
KSU;10.6318;11.83;12.08;11.82;11.95;2003-02-21;387300
KSU;10.2184;11.37;11.85;11.21;11.85;2003-02-24;461700
KSU;10.6048;11.80;11.82;11.20;11.45;2003-02-25;256700
KSU;10.6677;11.87;11.96;11.60;11.81;2003-02-26;208500
KSU;10.7127;11.92;12.05;11.80;11.97;2003-02-27;249500
KSU;10.9194;12.15;12.21;11.97;12.00;2003-02-28;286300
KSU;10.6947;11.90;12.20;11.79;12.15;2003-03-03;255400
KSU;10.5419;11.73;11.91;11.73;11.80;2003-03-04;171100
KSU;10.3352;11.50;11.85;11.30;11.65;2003-03-05;247300
KSU;10.2633;11.42;11.49;11.36;11.47;2003-03-06;157100
KSU;10.2903;11.45;11.58;11.25;11.38;2003-03-07;124000
KSU;9.9308;11.05;11.40;10.88;11.40;2003-03-10;237200
KSU;9.8050;10.91;11.08;10.84;11.00;2003-03-11;301900
KSU;9.7061;10.80;11.00;10.65;10.90;2003-03-12;195800
KSU;9.9757;11.10;11.20;10.90;10.90;2003-03-13;266800
KSU;10.0386;11.17;11.35;11.05;11.13;2003-03-14;173300
KSU;10.2903;11.45;11.52;11.05;11.07;2003-03-17;256700
KSU;10.3352;11.50;11.75;11.32;11.40;2003-03-18;232500
KSU;10.5419;11.73;11.73;11.51;11.52;2003-03-19;104300
KSU;10.5509;11.74;11.80;11.52;11.63;2003-03-20;153000
KSU;10.8475;12.07;12.15;11.65;11.71;2003-03-21;605500
KSU;10.7666;11.98;12.05;11.83;12.00;2003-03-24;250300
KSU;10.8025;12.02;12.10;11.70;11.70;2003-03-25;284900
KSU;10.2993;11.46;11.95;11.40;11.95;2003-03-26;335100
KSU;10.4251;11.60;11.90;11.40;11.46;2003-03-27;495300
KSU;10.3262;11.49;11.60;11.40;11.60;2003-03-28;129000
KSU;10.0926;11.23;11.45;11.13;11.39;2003-03-31;215300
KSU;10.1285;11.27;11.38;11.02;11.20;2003-04-01;346900
KSU;10.0207;11.15;11.48;11.10;11.35;2003-04-02;418300
KSU;9.8858;11.00;11.19;10.95;11.15;2003-04-03;590500
KSU;9.8858;11.00;11.21;10.99;11.00;2003-04-04;231500
KSU;10.1105;11.25;11.47;11.17;11.25;2003-04-07;272400
KSU;9.9488;11.07;11.24;11.05;11.20;2003-04-08;117400
KSU;9.8769;10.99;11.25;10.96;11.07;2003-04-09;183000
KSU;9.7510;10.85;11.10;10.85;11.00;2003-04-10;203600
KSU;10.0117;11.14;11.20;10.95;10.95;2003-04-11;281100
KSU;10.1734;11.32;11.33;11.00;11.14;2003-04-14;159900
KSU;10.2453;11.40;11.42;11.20;11.32;2003-04-15;299500
KSU;9.9757;11.10;11.53;11.05;11.40;2003-04-16;281800
KSU;10.5779;11.77;11.77;11.30;11.30;2003-04-17;310500
KSU;9.9398;11.06;11.70;11.06;11.52;2003-04-21;534600
KSU;9.7870;10.89;11.04;10.70;11.00;2003-04-22;628100
KSU;10.1105;11.25;11.30;10.90;10.99;2003-04-23;296700
KSU;10.1285;11.27;11.40;11.21;11.24;2003-04-24;263100
KSU;10.0746;11.21;11.35;11.20;11.27;2003-04-25;518900
KSU;10.2633;11.42;11.42;11.05;11.15;2003-04-28;288300
KSU;10.7396;11.95;12.05;11.73;11.85;2003-04-29;719800
KSU;9.9488;11.07;11.96;10.86;11.96;2003-04-30;5536100
KSU;9.8858;11.00;11.15;10.95;11.10;2003-05-01;2220300
KSU;9.8858;11.00;11.04;10.96;10.96;2003-05-02;1498300
KSU;9.7960;10.90;11.05;10.90;11.05;2003-05-05;1590300
KSU;9.7780;10.88;10.99;10.79;10.90;2003-05-06;829700
KSU;9.7331;10.83;10.97;10.80;10.88;2003-05-07;814700
KSU;10.0566;11.19;11.22;10.89;10.90;2003-05-08;2121400
KSU;10.5599;11.75;11.75;11.22;11.27;2003-05-09;1756800
KSU;10.6318;11.83;12.00;11.60;11.70;2003-05-12;1511300
KSU;10.6498;11.85;11.92;11.75;11.83;2003-05-13;651100
KSU;10.8385;12.06;12.07;11.74;11.90;2003-05-14;921600
KSU;10.7217;11.93;12.15;11.69;12.10;2003-05-15;1064800
KSU;10.3352;11.50;12.08;11.50;12.00;2003-05-16;847300
