Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
LEG;10.1514;20.00;20.17;19.77;20.15;2003-02-04;806800
LEG;10.1108;19.92;20.34;19.92;20.12;2003-02-05;1104000
LEG;10.1260;19.95;20.16;19.75;19.95;2003-02-06;819700
LEG;9.9331;19.57;20.12;19.57;19.99;2003-02-07;615400
LEG;9.9230;19.55;19.72;19.43;19.67;2003-02-10;1012100
LEG;9.9382;19.58;19.88;19.47;19.75;2003-02-11;746200
LEG;9.7098;19.13;19.70;19.13;19.52;2003-02-12;704700
LEG;9.7199;19.15;19.45;18.90;19.24;2003-02-13;700800
LEG;9.9433;19.59;19.59;19.10;19.25;2003-02-14;566200
LEG;10.1869;20.07;20.10;19.62;19.62;2003-02-18;512000
LEG;10.0752;19.85;19.98;19.68;19.87;2003-02-19;401100
LEG;9.9179;19.54;19.89;19.45;19.72;2003-02-20;504900
LEG;9.8773;19.46;19.69;19.25;19.67;2003-02-21;539000
LEG;9.6184;18.95;19.55;18.95;19.50;2003-02-24;561800
LEG;9.6438;19.00;19.06;18.80;18.90;2003-02-25;953500
LEG;9.4662;18.65;19.10;18.55;19.07;2003-02-26;647800
LEG;9.6438;19.00;19.09;18.69;18.78;2003-02-27;600100
LEG;9.6743;19.06;19.40;19.00;19.25;2003-02-28;635800
LEG;9.6743;19.06;19.27;18.90;19.14;2003-03-03;1035100
LEG;9.3139;18.35;19.00;18.35;18.97;2003-03-04;843200
LEG;9.4814;18.68;18.68;18.35;18.36;2003-03-05;535700
LEG;9.3849;18.49;18.88;18.38;18.75;2003-03-06;569800
LEG;9.3291;18.38;18.60;18.15;18.15;2003-03-07;801200
LEG;9.0652;17.86;18.40;17.82;18.38;2003-03-10;764900
LEG;8.9383;17.61;18.17;17.55;18.00;2003-03-11;729300
LEG;8.8974;17.40;17.56;17.16;17.44;2003-03-12;684900
LEG;9.2707;18.13;18.15;17.37;17.60;2003-03-13;868300
LEG;9.1786;17.95;18.40;17.40;18.14;2003-03-14;1016000
LEG;9.4087;18.40;18.41;17.50;17.75;2003-03-17;1218200
LEG;9.6030;18.78;18.96;18.45;18.84;2003-03-18;847900
LEG;9.7667;19.10;19.10;18.70;18.78;2003-03-19;599900
LEG;9.7206;19.01;19.24;18.75;19.10;2003-03-20;626200
LEG;10.1144;19.78;19.85;19.09;19.10;2003-03-21;687900
LEG;9.7718;19.11;19.79;18.90;19.79;2003-03-24;481600
LEG;9.9047;19.37;19.40;18.97;19.19;2003-03-25;430100
LEG;9.7360;19.04;19.33;18.94;19.32;2003-03-26;511800
LEG;9.7411;19.05;19.15;18.80;19.05;2003-03-27;384300
LEG;9.5979;18.77;18.94;18.70;18.85;2003-03-28;325800
LEG;9.3474;18.28;18.64;18.22;18.57;2003-03-31;774700
LEG;9.4292;18.44;18.53;18.25;18.53;2003-04-01;751000
LEG;9.8127;19.19;19.24;18.81;18.89;2003-04-02;450200
LEG;9.7820;19.13;19.33;19.01;19.33;2003-04-03;367200
LEG;9.8178;19.20;19.37;19.06;19.25;2003-04-04;326600
LEG;9.8945;19.35;19.78;19.30;19.70;2003-04-07;468300
LEG;9.8127;19.19;19.35;19.06;19.23;2003-04-08;412300
