Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
LH;25.97;25.97;26.25;25.58;26.19;2003-02-04;873400
LH;25.50;25.50;26.00;25.45;25.97;2003-02-05;772600
LH;25.00;25.00;25.40;24.80;25.40;2003-02-06;2128400
LH;24.99;24.99;25.47;24.91;25.24;2003-02-07;1148100
LH;25.00;25.00;25.24;24.51;25.08;2003-02-10;558500
LH;25.00;25.00;25.49;24.75;25.12;2003-02-11;879700
LH;24.81;24.81;25.04;24.77;25.00;2003-02-12;770100
LH;24.53;24.53;24.89;24.27;24.86;2003-02-13;836800
LH;24.00;24.00;24.54;22.21;24.54;2003-02-14;2955600
LH;24.46;24.46;25.22;23.99;24.01;2003-02-18;1463100
LH;26.78;26.78;27.25;25.25;25.50;2003-02-19;4449600
LH;27.00;27.00;27.13;26.61;26.80;2003-02-20;2108400
LH;28.01;28.01;28.19;27.00;27.10;2003-02-21;1862800
LH;27.91;27.91;28.47;27.75;28.06;2003-02-24;1394300
LH;27.74;27.74;27.92;26.95;27.92;2003-02-25;1722300
LH;27.81;27.81;28.04;27.55;27.70;2003-02-26;833500
LH;27.60;27.60;28.10;27.45;28.00;2003-02-27;803000
LH;27.77;27.77;28.05;27.50;27.70;2003-02-28;737900
LH;27.30;27.30;27.99;27.25;27.85;2003-03-03;1417000
LH;26.54;26.54;27.50;26.54;27.30;2003-03-04;1448000
LH;26.65;26.65;27.05;26.05;26.20;2003-03-05;813900
LH;27.16;27.16;27.36;26.45;26.45;2003-03-06;1082200
LH;27.29;27.29;27.48;26.77;27.00;2003-03-07;594900
LH;26.74;26.74;27.30;26.58;27.05;2003-03-10;1015100
LH;26.69;26.69;27.09;26.50;26.79;2003-03-11;605700
LH;26.71;26.71;26.87;26.43;26.62;2003-03-12;479400
LH;27.35;27.35;27.40;26.70;26.93;2003-03-13;680100
LH;27.12;27.12;27.67;26.86;27.41;2003-03-14;1214300
LH;28.20;28.20;28.24;27.05;27.05;2003-03-17;844700
LH;28.13;28.13;28.42;27.96;28.26;2003-03-18;576000
LH;27.39;27.39;28.45;27.38;28.23;2003-03-19;1745700
LH;27.70;27.70;27.79;27.07;27.40;2003-03-20;1030900
LH;28.80;28.80;28.82;27.87;27.95;2003-03-21;1263200
LH;28.18;28.18;28.43;27.76;28.20;2003-03-24;1458600
LH;29.00;29.00;29.14;28.02;28.11;2003-03-25;1067100
LH;29.10;29.10;29.34;28.60;29.10;2003-03-26;1064700
LH;29.09;29.09;29.45;28.50;28.80;2003-03-27;825900
LH;30.00;30.00;30.00;29.00;29.10;2003-03-28;866900
LH;29.65;29.65;30.04;29.58;29.85;2003-03-31;1074800
LH;29.46;29.46;29.99;29.10;29.85;2003-04-01;1000200
LH;29.53;29.53;29.80;29.34;29.65;2003-04-02;683100
LH;29.85;29.85;30.00;29.15;29.50;2003-04-03;559700
LH;29.14;29.14;29.51;28.75;29.50;2003-04-04;1524800
LH;29.10;29.10;30.10;29.01;29.50;2003-04-07;1100000
LH;28.70;28.70;29.20;28.57;29.20;2003-04-08;1414000
LH;28.64;28.64;28.87;28.40;28.70;2003-04-09;1483700
LH;28.60;28.60;28.75;28.40;28.64;2003-04-10;1168900
LH;28.55;28.55;28.72;28.48;28.50;2003-04-11;837700
LH;28.96;28.96;29.07;28.46;28.56;2003-04-14;1012800
LH;27.45;27.45;28.97;27.16;28.97;2003-04-15;4450100
LH;26.58;26.58;27.74;25.94;27.70;2003-04-16;4520600
LH;26.97;26.97;27.20;26.64;26.78;2003-04-17;1480100
LH;27.25;27.25;27.50;27.07;27.20;2003-04-21;982600
LH;26.66;26.66;27.26;26.40;27.25;2003-04-22;2727700
LH;27.67;27.67;27.67;26.70;26.85;2003-04-23;1408400
LH;27.35;27.35;27.65;27.14;27.45;2003-04-24;1430900
LH;27.29;27.29;27.70;27.13;27.38;2003-04-25;438000
LH;27.29;27.29;27.59;27.09;27.28;2003-04-28;1128100
LH;28.77;28.77;29.35;26.95;27.29;2003-04-29;3422600
LH;29.46;29.46;29.74;28.81;28.90;2003-04-30;1397800
LH;29.63;29.63;29.95;29.26;29.80;2003-05-01;1698100
LH;30.02;30.02;30.14;29.10;29.64;2003-05-02;2175800
LH;30.44;30.44;30.75;30.08;30.50;2003-05-05;955100
LH;30.70;30.70;30.96;30.63;30.64;2003-05-06;1343300
LH;30.34;30.34;30.79;30.27;30.55;2003-05-07;989700
LH;30.00;30.00;30.52;29.90;30.35;2003-05-08;853400
LH;30.10;30.10;30.30;29.95;30.05;2003-05-09;840100
LH;30.39;30.39;30.59;30.05;30.20;2003-05-12;763400
LH;30.36;30.36;30.52;29.97;30.00;2003-05-13;684800
LH;30.60;30.60;30.60;30.30;30.40;2003-05-14;725900
LH;30.87;30.87;31.00;30.51;30.73;2003-05-15;886200
LH;31.45;31.45;31.47;30.63;30.70;2003-05-16;1772100
LH;31.10;31.10;31.73;30.90;31.27;2003-05-19;923200
LH;31.30;31.30;31.40;30.82;31.04;2003-05-20;749500
LH;31.29;31.29;31.54;31.11;31.11;2003-05-21;526300
LH;31.31;31.31;31.70;31.11;31.45;2003-05-22;532500
LH;31.47;31.47;31.62;31.02;31.31;2003-05-23;797800
LH;31.50;31.50;31.64;31.27;31.45;2003-05-27;608800
LH;32.30;32.30;32.55;32.20;32.40;2003-05-28;1178900
LH;32.15;32.15;32.47;31.95;32.47;2003-05-29;1262800
LH;32.15;32.15;32.50;31.80;32.40;2003-05-30;2594300
LH;32.10;32.10;32.63;32.04;32.45;2003-06-02;1233500
LH;31.58;31.58;32.19;31.30;32.10;2003-06-03;624800
LH;30.85;30.85;31.50;30.62;31.50;2003-06-04;1788800
LH;30.72;30.72;30.94;30.45;30.84;2003-06-05;1324500
LH;28.38;28.38;30.72;27.53;30.72;2003-06-06;9776200
LH;28.75;28.75;29.23;28.50;28.50;2003-06-09;2776500
LH;29.16;29.16;29.28;28.65;29.20;2003-06-10;2046400
LH;29.31;29.31;29.49;29.21;29.30;2003-06-11;1912400
LH;28.80;28.80;29.83;28.78;29.35;2003-06-12;1901100
LH;28.30;28.30;28.95;28.15;28.80;2003-06-13;2021800
LH;29.20;29.20;29.47;28.40;28.40;2003-06-16;2053800
LH;30.10;30.10;30.18;29.25;29.35;2003-06-17;3186200
LH;30.10;30.10;30.60;29.81;30.00;2003-06-18;1396700
