Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
LHX;10.4195;14.5121;14.7908;14.4224;14.7861;2003-02-04;963802
LHX;10.3008;14.3468;14.5783;14.3232;14.4791;2003-02-05;619814
LHX;10.2160;14.2287;14.3610;14.1814;14.2901;2003-02-06;863463
LHX;10.2261;14.2429;14.3468;14.0728;14.2665;2003-02-07;572820
LHX;10.4466;14.5499;14.6775;14.1059;14.2287;2003-02-10;1027096
LHX;10.4127;14.5027;14.6869;14.4318;14.5499;2003-02-11;612616
LHX;10.1820;14.1814;14.5027;14.1106;14.5027;2003-02-12;537680
LHX;9.9548;13.8649;14.2051;13.7799;14.2051;2003-02-13;924217
LHX;10.1719;14.1673;14.1909;13.8697;13.9122;2003-02-14;1117697
LHX;10.3109;14.3610;14.4980;14.2854;14.3137;2003-02-18;643099
LHX;10.2058;14.2145;14.3610;14.1248;14.3610;2003-02-19;958298
LHX;10.3279;14.3846;14.4271;14.1200;14.1720;2003-02-20;954064
LHX;10.5280;14.6633;14.6633;14.1862;14.3137;2003-02-21;820068
LHX;10.3618;14.4318;14.7861;14.4082;14.7625;2003-02-24;671253
LHX;10.2533;14.2807;14.3610;14.1059;14.3610;2003-02-25;923158
LHX;10.1414;14.1248;14.3184;14.0114;14.2192;2003-02-26;678874
LHX;10.1617;14.1531;14.3326;14.1531;14.1956;2003-02-27;532176
LHX;10.1617;14.1531;14.2854;14.0775;14.1909;2003-02-28;872989
LHX;10.0871;14.0492;14.3562;13.9689;14.1626;2003-03-03;562659
LHX;10.4941;14.6161;14.6775;14.4129;14.5216;2003-03-04;2015876
LHX;10.4839;14.6019;14.7531;14.4318;14.6444;2003-03-05;915749
LHX;10.4432;14.5452;14.6633;14.4743;14.6019;2003-03-06;1050381
LHX;10.2664;14.2618;14.4885;14.2476;14.4791;2003-03-07;1067316
LHX;9.2462;12.8446;14.1673;12.7359;13.9169;2003-03-10;3475868
LHX;9.0422;12.5611;12.8965;12.4572;12.8115;2003-03-11;2289797
LHX;8.8415;12.2824;12.4714;11.9753;12.3107;2003-03-12;1943903
LHX;9.1340;12.6887;12.7737;12.4005;12.4005;2003-03-13;1617273
LHX;9.3550;12.9957;13.1516;12.8020;12.8493;2003-03-14;1226715
LHX;9.6917;13.4634;13.5201;12.9201;12.9485;2003-03-17;1179297
LHX;9.6713;13.4351;13.5579;13.2981;13.4634;2003-03-18;737511
LHX;9.6679;13.4303;13.5343;13.1280;13.4351;2003-03-19;690305
LHX;9.8039;13.6193;13.7988;13.2981;13.4303;2003-03-20;1177604
LHX;10.0896;14.0161;14.1200;13.7705;13.9830;2003-03-21;1351185
LHX;9.7325;13.5201;13.9830;13.4587;13.9830;2003-03-24;665538
LHX;9.5557;13.2744;13.6004;13.1752;13.5484;2003-03-25;1302921
LHX;9.4570;13.1374;13.2272;13.0619;13.2272;2003-03-26;1069856
LHX;9.5557;13.2744;13.3500;12.9674;13.0193;2003-03-27;848010
LHX;9.5217;13.2272;13.3689;13.1091;13.2744;2003-03-28;674005
LHX;9.4434;13.1185;13.2650;12.9201;13.2272;2003-03-31;733065
LHX;9.4740;13.1611;13.2792;12.9816;13.1800;2003-04-01;654107
LHX;9.4672;13.1516;13.5343;13.0902;13.2508;2003-04-02;1040220
LHX;9.2768;12.8871;13.0997;12.8115;13.0855;2003-04-03;1508044
