Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
LMT;31.5407;51.27;51.68;49.50;50.15;2003-02-04;2667700
LMT;31.1100;50.57;51.99;50.50;51.98;2003-02-05;2251900
LMT;30.8517;50.15;51.05;49.83;50.66;2003-02-06;1516800
LMT;30.8209;50.10;50.50;49.86;50.40;2003-02-07;1319400
LMT;30.8455;50.14;50.48;49.59;50.25;2003-02-10;1411700
LMT;30.0212;48.80;50.45;48.57;50.44;2003-02-11;2706900
LMT;29.3752;47.75;48.98;46.77;48.85;2003-02-12;3845900
LMT;29.3814;47.76;47.99;46.85;47.88;2003-02-13;2545600
LMT;29.1599;47.40;48.34;46.80;47.91;2003-02-14;2798400
LMT;28.7908;46.80;47.70;45.58;47.40;2003-02-18;5418600
LMT;29.3321;47.68;47.70;46.42;46.89;2003-02-19;2165400
LMT;28.2125;45.86;47.45;45.70;47.26;2003-02-20;3720500
LMT;28.0341;45.57;45.75;44.85;45.30;2003-02-21;5238100
LMT;27.4066;44.55;45.25;44.34;45.00;2003-02-24;3543100
LMT;27.9357;45.41;45.73;44.60;44.60;2003-02-25;5547600
LMT;28.2371;45.90;46.06;45.07;45.80;2003-02-26;5106700
LMT;28.2494;45.81;46.25;45.10;45.99;2003-02-27;2429100
LMT;28.1939;45.72;46.14;45.30;45.55;2003-02-28;2651300
LMT;28.2310;45.78;46.62;45.70;46.39;2003-03-03;2123500
LMT;28.4160;46.08;46.45;44.91;45.79;2003-03-04;2535100
LMT;27.7993;45.08;45.90;42.56;44.21;2003-03-05;4945000
LMT;27.4848;44.57;45.20;44.09;45.09;2003-03-06;5266300
LMT;26.8619;43.56;44.57;43.00;44.57;2003-03-07;5048900
LMT;26.0973;42.32;43.60;42.20;43.57;2003-03-10;4096200
LMT;25.3634;41.13;42.68;41.06;42.50;2003-03-11;4050600
LMT;25.5916;41.50;42.10;40.64;41.31;2003-03-12;5141100
LMT;26.6461;43.21;43.26;41.87;42.35;2003-03-13;3707200
LMT;27.8671;45.19;45.99;44.16;44.32;2003-03-14;4111600
LMT;28.9524;46.95;47.24;45.51;45.80;2003-03-17;4840100
LMT;29.1806;47.32;48.00;47.00;47.10;2003-03-18;3544900
LMT;29.7849;48.30;48.97;47.65;48.00;2003-03-19;3375300
LMT;28.8908;46.85;48.74;46.64;48.63;2003-03-20;3690500
LMT;28.0028;45.41;47.07;43.56;46.85;2003-03-21;8377900
LMT;28.6194;46.41;46.81;45.41;45.41;2003-03-24;3100300
LMT;28.3419;45.96;46.44;45.02;46.22;2003-03-25;2809500
LMT;28.5208;46.25;47.05;45.75;46.30;2003-03-26;2480400
LMT;29.1374;47.25;47.47;45.91;46.15;2003-03-27;2968700
LMT;29.6863;48.14;48.25;47.03;47.30;2003-03-28;3308700
LMT;29.3224;47.55;47.99;47.00;47.75;2003-03-31;2786200
LMT;29.3841;47.65;48.18;47.40;47.45;2003-04-01;2806700
LMT;29.3903;47.66;47.94;46.50;47.66;2003-04-02;2942300
LMT;29.5259;47.88;48.12;47.45;47.80;2003-04-03;2334700
LMT;28.7366;46.60;47.93;46.05;47.88;2003-04-04;2849600
LMT;28.0891;45.55;46.46;45.31;46.46;2003-04-07;3782200
LMT;27.8054;45.09;45.48;44.98;45.12;2003-04-08;2423300
LMT;27.9658;45.35;46.21;44.77;45.09;2003-04-09;2037300
LMT;27.5958;44.75;45.36;44.30;45.36;2003-04-10;2576900
LMT;27.2011;44.11;44.73;43.70;44.63;2003-04-11;2279700
LMT;27.4416;44.50;44.65;43.32;43.80;2003-04-14;2917700
LMT;27.4354;44.49;44.63;43.65;44.63;2003-04-15;2111400
LMT;27.3491;44.35;44.96;44.10;44.74;2003-04-16;2825100
LMT;27.9719;45.36;45.55;44.35;44.35;2003-04-17;2073400
LMT;27.9041;45.25;45.95;45.00;45.40;2003-04-21;2150700
LMT;29.9391;48.55;48.68;46.00;46.00;2003-04-22;5867400
LMT;29.9823;48.62;49.07;48.04;48.55;2003-04-23;3729900
LMT;30.3091;49.15;49.65;48.24;48.61;2003-04-24;2303800
LMT;30.4694;49.41;49.91;49.30;49.70;2003-04-25;2553800
LMT;31.1293;50.48;50.69;49.02;49.50;2003-04-28;2676800
LMT;30.9874;50.25;51.66;49.55;50.70;2003-04-29;2858400
LMT;30.8641;50.05;50.61;49.42;50.24;2003-04-30;2505100
LMT;30.1549;48.90;49.95;48.61;49.50;2003-05-01;2236000
LMT;30.9689;50.22;50.32;48.91;48.91;2003-05-02;2273600
LMT;30.5249;49.50;50.19;48.90;50.09;2003-05-05;2187900
LMT;30.7161;49.81;50.14;49.14;49.51;2003-05-06;2152300
LMT;30.3153;49.16;50.00;48.95;49.40;2003-05-07;2367100
LMT;29.9391;48.55;49.43;48.38;49.08;2003-05-08;1633500
LMT;30.1179;48.84;48.84;48.29;48.51;2003-05-09;1738800
LMT;30.1673;48.92;49.09;48.54;48.75;2003-05-12;1640500
LMT;30.5496;49.54;50.00;48.75;49.00;2003-05-13;1574900
LMT;30.5681;49.57;49.73;49.13;49.54;2003-05-14;1018100
LMT;30.4633;49.40;49.77;49.10;49.49;2003-05-15;1674900
LMT;30.2166;49.00;49.39;48.61;49.00;2003-05-16;1774200
LMT;29.3965;47.67;48.85;47.60;48.85;2003-05-19;1564300
LMT;29.2114;47.37;48.04;46.75;47.94;2003-05-20;2063300
LMT;29.2114;47.37;47.37;46.70;47.30;2003-05-21;1763900
LMT;29.4211;47.71;48.00;47.06;47.25;2003-05-22;1489700
LMT;29.5568;47.93;48.17;47.12;47.75;2003-05-23;1648200
LMT;29.8528;48.41;48.81;47.45;47.85;2003-05-27;1605200
LMT;29.0449;47.10;48.25;46.79;48.20;2003-05-28;2510400
LMT;28.7853;46.56;47.24;46.12;47.10;2003-05-29;3288100
LMT;28.6987;46.42;47.70;45.93;46.52;2003-05-30;3504100
LMT;28.8904;46.73;47.49;46.34;46.62;2003-06-02;1869900
LMT;28.4391;46.00;46.83;45.93;46.60;2003-06-03;2265100
LMT;28.3154;45.80;46.17;45.30;46.00;2003-06-04;2878300
LMT;28.0990;45.45;46.81;45.00;45.20;2003-06-05;3219800
LMT;28.6925;46.41;47.18;45.81;45.85;2003-06-06;3619600
LMT;28.7482;46.50;47.25;46.15;46.42;2003-06-09;1947100
LMT;28.7482;46.50;47.12;45.59;46.50;2003-06-10;2515100
LMT;29.7312;48.09;48.15;46.56;46.69;2003-06-11;2379300
LMT;29.9352;48.42;48.80;47.88;48.17;2003-06-12;2444300
LMT;29.6137;47.90;48.99;47.60;48.80;2003-06-13;1316900
LMT;30.1269;48.73;48.95;47.85;47.90;2003-06-16;1195400
LMT;30.3371;49.07;49.25;48.50;48.95;2003-06-17;2542000
LMT;30.6957;49.65;49.89;48.87;49.08;2003-06-18;2677400
LMT;30.3927;49.16;49.94;49.01;49.88;2003-06-19;1825700
LMT;30.0650;48.63;49.25;48.60;49.16;2003-06-20;2950600
LMT;29.8054;48.21;48.99;47.44;48.85;2003-06-23;1966700
LMT;29.9599;48.46;49.03;47.83;47.83;2003-06-24;1742600
LMT;29.7497;48.12;49.24;47.95;49.10;2003-06-25;1201000
