Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
LUV;11.7649;12.83;12.91;12.41;12.62;2003-02-04;3320200
LUV;11.9575;13.04;13.20;12.76;12.83;2003-02-05;2420400
LUV;11.8658;12.94;13.06;12.76;12.94;2003-02-06;1867600
LUV;11.5815;12.63;13.10;12.58;13.00;2003-02-07;1840600
LUV;11.7741;12.84;12.84;12.47;12.57;2003-02-10;1439300
LUV;11.7741;12.84;13.06;12.69;12.94;2003-02-11;2205500
LUV;11.6549;12.71;12.85;12.27;12.70;2003-02-12;1466400
LUV;11.3523;12.38;12.61;12.05;12.52;2003-02-13;2482200
LUV;11.5632;12.61;12.70;12.20;12.37;2003-02-14;1793500
LUV;11.7283;12.79;12.79;12.50;12.61;2003-02-18;1679300
LUV;11.4532;12.49;12.73;12.42;12.69;2003-02-19;2225700
LUV;11.2331;12.25;12.48;12.16;12.45;2003-02-20;1461300
LUV;11.3064;12.33;12.39;12.09;12.30;2003-02-21;1637600
LUV;11.0405;12.04;12.29;11.99;12.29;2003-02-24;1860200
LUV;11.2331;12.25;12.28;11.72;12.00;2003-02-25;3009700
LUV;11.3064;12.33;12.33;11.97;12.26;2003-02-26;1982600
LUV;11.0497;12.05;12.42;12.00;12.36;2003-02-27;1830800
LUV;11.0680;12.07;12.23;12.01;12.10;2003-02-28;1409000
LUV;11.5173;12.56;12.60;12.16;12.16;2003-03-03;2413300
LUV;11.3109;12.33;12.58;12.24;12.45;2003-03-04;2437900
LUV;11.3752;12.40;12.60;12.24;12.30;2003-03-05;1826500
LUV;11.4485;12.48;12.57;12.27;12.40;2003-03-06;1851900
LUV;12.3934;13.51;13.56;12.37;12.48;2003-03-07;4876000
LUV;11.9347;13.01;13.41;12.93;13.41;2003-03-10;3758600
LUV;11.4761;12.51;12.98;12.41;12.91;2003-03-11;2355000
LUV;11.8247;12.89;12.89;12.45;12.50;2003-03-12;2552000
LUV;12.3751;13.49;13.49;13.05;13.30;2003-03-13;2292700
LUV;12.2742;13.38;13.80;13.35;13.48;2003-03-14;3116300
LUV;12.5218;13.65;13.87;13.06;13.28;2003-03-17;3274900
LUV;13.0080;14.18;14.20;13.75;13.75;2003-03-18;3566800
LUV;13.0906;14.27;14.33;13.80;14.18;2003-03-19;3723500
LUV;13.0631;14.24;14.35;13.86;14.27;2003-03-20;2474500
LUV;14.0171;15.28;15.33;14.35;14.49;2003-03-21;4311700
LUV;13.2007;14.39;14.65;14.25;14.65;2003-03-24;2770300
LUV;13.8703;15.12;15.20;14.30;14.30;2003-03-25;4112700
LUV;13.4025;14.61;15.15;14.52;15.00;2003-03-26;1943700
LUV;13.1456;14.33;14.74;14.22;14.61;2003-03-27;2634000
LUV;13.1181;14.30;14.40;14.09;14.33;2003-03-28;1666900
LUV;13.1732;14.36;14.62;13.77;14.05;2003-03-31;2302900
LUV;13.0080;14.18;14.57;14.09;14.37;2003-04-01;1978900
LUV;13.7786;15.02;15.06;14.25;14.25;2003-04-02;2619400
LUV;13.4667;14.68;15.00;14.52;15.00;2003-04-03;2381600
LUV;13.6961;14.93;15.07;14.71;14.71;2003-04-04;1550900
LUV;13.8979;15.15;15.53;15.10;15.30;2003-04-07;3255200
LUV;13.5951;14.82;15.19;14.79;15.16;2003-04-08;1630000
LUV;13.5860;14.81;15.19;14.75;14.90;2003-04-09;1628200
LUV;13.3383;14.54;14.81;14.40;14.71;2003-04-10;2765900
LUV;13.4851;14.70;14.89;14.51;14.64;2003-04-11;1389300
LUV;13.6961;14.93;14.97;14.63;14.70;2003-04-14;1305600
LUV;14.1180;15.39;15.47;14.85;14.99;2003-04-15;2459700
LUV;13.9896;15.25;15.57;15.09;15.43;2003-04-16;2211000
LUV;14.2373;15.52;15.52;15.19;15.20;2003-04-17;1713400
LUV;13.9070;15.16;16.06;15.09;15.51;2003-04-21;2360500
LUV;14.3749;15.67;15.68;14.92;15.16;2003-04-22;2179400
LUV;14.1272;15.40;15.52;15.19;15.26;2003-04-23;2768000
LUV;14.0446;15.31;15.46;15.16;15.45;2003-04-24;2798200
LUV;13.8612;15.11;15.40;15.10;15.28;2003-04-25;2435100
LUV;14.4024;15.70;15.80;15.21;15.25;2003-04-28;2177700
LUV;14.4758;15.78;15.95;15.50;15.60;2003-04-29;2599800
LUV;14.6409;15.96;16.11;15.81;15.89;2003-04-30;3580500
LUV;14.6317;15.95;16.04;15.65;15.91;2003-05-01;2024500
LUV;15.3656;16.75;16.84;15.97;15.97;2003-05-02;4773000
LUV;15.1546;16.52;16.90;16.44;16.80;2003-05-05;3000700
LUV;15.0170;16.37;16.69;16.25;16.50;2003-05-06;2811200
LUV;14.6409;15.96;16.40;15.96;16.37;2003-05-07;2535800
LUV;14.6226;15.94;16.26;15.70;15.79;2003-05-08;2331300
LUV;14.6501;15.97;16.01;15.72;15.93;2003-05-09;1409400
LUV;14.8152;16.15;16.24;15.82;15.91;2003-05-12;1440600
LUV;14.6134;15.93;16.15;15.89;16.15;2003-05-13;2046300
LUV;14.4758;15.78;16.05;15.68;15.99;2003-05-14;1917000
LUV;14.4575;15.76;15.90;15.66;15.79;2003-05-15;2059000
LUV;14.7235;16.05;16.05;15.65;15.76;2003-05-16;1869200
LUV;14.2006;15.48;15.84;15.38;15.80;2003-05-19;1984900
LUV;14.0813;15.35;15.52;15.14;15.43;2003-05-20;2101500
LUV;13.7603;15.00;15.30;14.96;15.09;2003-05-21;2937800
LUV;13.9346;15.19;15.25;15.00;15.03;2003-05-22;2697400
LUV;14.1272;15.40;15.45;15.10;15.24;2003-05-23;1221200
LUV;14.7694;16.10;16.10;15.29;15.30;2003-05-27;3292900
LUV;14.5767;15.89;16.07;15.79;15.91;2003-05-28;2204900
LUV;14.5492;15.86;16.10;15.80;15.89;2003-05-29;1996900
LUV;14.7418;16.07;16.23;15.82;15.85;2003-05-30;2545400
LUV;14.8382;16.17;16.35;16.05;16.20;2003-06-02;2304300
LUV;14.7556;16.08;16.18;16.01;16.09;2003-06-03;1684500
LUV;15.0034;16.35;16.38;16.01;16.02;2003-06-04;2739800
LUV;14.8657;16.20;16.25;16.08;16.10;2003-06-05;2373100
LUV;15.1685;16.53;16.61;16.36;16.45;2003-06-06;3663000
LUV;15.1502;16.51;16.61;16.36;16.40;2003-06-09;2719600
LUV;15.1502;16.51;16.68;16.40;16.40;2003-06-10;1897900
LUV;15.5172;16.91;16.95;16.41;16.51;2003-06-11;2155100
LUV;15.5906;16.99;17.00;16.76;16.86;2003-06-12;3065100
LUV;15.6182;17.02;17.22;16.91;17.03;2003-06-13;2573900
LUV;15.9118;17.34;17.34;17.09;17.10;2003-06-16;2279900
LUV;15.7375;17.15;17.32;17.09;17.25;2003-06-17;2658300
LUV;15.7283;17.14;17.23;17.02;17.10;2003-06-18;2838300
LUV;15.5172;16.91;17.20;16.78;17.08;2003-06-19;2140800
