Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
LYV;10.85;10.85;11.05;10.55;11.00;2005-12-21;5796900
LYV;10.60;10.60;11.12;10.59;10.60;2005-12-22;4152500
LYV;11.95;11.95;12.78;10.90;10.90;2005-12-23;8844700
LYV;12.50;12.50;12.79;12.13;12.20;2005-12-27;3324100
LYV;13.30;13.30;14.00;12.25;12.25;2005-12-28;3187700
LYV;13.21;13.21;13.83;13.21;13.80;2005-12-29;1092100
LYV;13.10;13.10;13.65;12.66;13.65;2005-12-30;1208400
LYV;13.50;13.50;13.50;12.81;12.90;2006-01-03;1875500
LYV;13.00;13.00;13.85;13.00;13.47;2006-01-04;2342000
LYV;13.00;13.00;13.31;12.95;13.30;2006-01-05;2880600
LYV;12.93;12.93;13.08;12.77;13.00;2006-01-06;1627700
LYV;13.75;13.75;13.75;12.82;12.83;2006-01-09;1133300
LYV;13.65;13.65;13.85;13.45;13.85;2006-01-10;1382200
LYV;14.32;14.32;14.60;13.48;13.60;2006-01-11;2884200
LYV;14.40;14.40;14.65;13.90;14.00;2006-01-12;2363900
LYV;14.77;14.77;14.77;14.37;14.40;2006-01-13;2023000
LYV;14.87;14.87;15.14;14.40;14.45;2006-01-17;1754300
LYV;14.49;14.49;14.65;14.31;14.40;2006-01-18;1714500
LYV;15.22;15.22;15.22;14.30;14.40;2006-01-19;4355100
LYV;16.56;16.56;16.75;15.30;15.40;2006-01-20;3528300
LYV;17.59;17.59;18.50;16.57;16.57;2006-01-23;3088500
LYV;17.59;17.59;17.80;17.30;17.39;2006-01-24;1375600
LYV;16.73;16.73;17.65;16.36;17.65;2006-01-25;1517700
LYV;16.57;16.57;17.45;16.45;16.80;2006-01-26;811900
LYV;17.05;17.05;17.40;16.57;16.57;2006-01-27;1063900
LYV;17.24;17.24;17.30;16.78;17.06;2006-01-30;941200
LYV;17.75;17.75;18.00;17.20;17.20;2006-01-31;1478000
LYV;17.51;17.51;17.85;17.26;17.76;2006-02-01;403700
LYV;17.40;17.40;17.58;17.25;17.50;2006-02-02;804400
LYV;17.65;17.65;17.74;17.25;17.28;2006-02-03;243700
LYV;17.64;17.64;17.75;17.49;17.70;2006-02-06;338300
LYV;17.76;17.76;18.15;17.54;17.75;2006-02-07;322000
LYV;17.87;17.87;17.87;17.51;17.76;2006-02-08;210600
LYV;18.95;18.95;19.00;17.90;17.92;2006-02-09;836800
LYV;19.07;19.07;19.30;18.98;19.00;2006-02-10;456100
LYV;19.40;19.40;19.56;19.00;19.00;2006-02-13;718000
LYV;19.02;19.02;19.40;18.92;19.40;2006-02-14;436300
LYV;19.07;19.07;19.12;18.97;19.00;2006-02-15;674500
LYV;18.50;18.50;19.08;18.45;19.08;2006-02-16;1359700
LYV;17.94;17.94;18.47;17.90;18.40;2006-02-17;257000
LYV;18.93;18.93;19.20;17.46;17.55;2006-02-21;861700
LYV;18.94;18.94;19.00;18.57;18.68;2006-02-22;117900
LYV;18.71;18.71;18.93;18.30;18.51;2006-02-23;131000
LYV;18.49;18.49;18.70;17.78;18.60;2006-02-24;670600
LYV;17.91;17.91;18.58;17.84;18.35;2006-02-27;270300
LYV;17.85;17.85;17.98;17.72;17.85;2006-02-28;174200
