Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MAA;10.3301;23.72;23.77;23.64;23.73;2003-02-04;36100
MAA;10.3867;23.85;23.91;23.70;23.75;2003-02-05;14800
MAA;10.3345;23.73;23.89;23.59;23.86;2003-02-06;17700
MAA;10.1951;23.41;23.70;23.41;23.69;2003-02-07;33700
MAA;10.2561;23.55;23.57;23.39;23.48;2003-02-10;61200
MAA;10.1472;23.30;23.60;23.25;23.58;2003-02-11;43300
MAA;10.1080;23.21;23.35;23.12;23.34;2003-02-12;31200
MAA;10.2343;23.50;23.50;23.16;23.21;2003-02-13;21800
MAA;10.2169;23.46;23.55;23.25;23.46;2003-02-14;62100
MAA;10.2735;23.59;23.60;23.45;23.50;2003-02-18;51000
MAA;10.2343;23.50;23.60;23.45;23.55;2003-02-19;26800
MAA;10.2212;23.47;23.59;23.47;23.55;2003-02-20;31500
MAA;10.2125;23.45;23.59;23.42;23.53;2003-02-21;37800
MAA;10.2125;23.45;23.58;23.39;23.57;2003-02-24;29500
MAA;10.2169;23.46;23.60;23.30;23.47;2003-02-25;44000
MAA;10.1820;23.38;23.58;23.33;23.47;2003-02-26;29000
MAA;10.2561;23.55;23.57;23.31;23.43;2003-02-27;23600
MAA;10.1515;23.31;23.60;23.31;23.58;2003-02-28;92700
MAA;10.2430;23.52;23.58;23.32;23.32;2003-03-03;24500
MAA;10.2125;23.45;23.55;23.39;23.55;2003-03-04;25400
MAA;10.2343;23.50;23.55;23.37;23.42;2003-03-05;25300
MAA;10.2473;23.53;23.60;23.49;23.54;2003-03-06;19800
MAA;10.2299;23.49;23.59;23.49;23.58;2003-03-07;75000
MAA;10.1733;23.36;23.51;23.31;23.48;2003-03-10;30000
MAA;10.1472;23.30;23.46;23.10;23.36;2003-03-11;38100
MAA;10.1994;23.42;23.42;23.20;23.34;2003-03-12;18600
MAA;10.2735;23.59;23.60;23.40;23.42;2003-03-13;14900
MAA;10.2909;23.63;23.63;23.40;23.50;2003-03-14;90700
MAA;10.4041;23.89;23.90;23.60;23.60;2003-03-17;40200
MAA;10.4085;23.90;24.00;23.79;23.85;2003-03-18;16100
MAA;10.3867;23.85;23.98;23.73;23.85;2003-03-19;35700
MAA;10.4172;23.92;24.00;23.68;23.70;2003-03-20;68200
MAA;10.4912;24.09;24.15;23.91;23.98;2003-03-21;64900
MAA;10.4085;23.90;24.10;23.80;24.10;2003-03-24;27600
MAA;10.4738;24.05;24.10;23.84;23.85;2003-03-25;24500
MAA;10.4085;23.90;24.06;23.90;24.05;2003-03-26;38400
MAA;10.4303;23.95;23.98;23.78;23.98;2003-03-27;25700
MAA;10.3867;23.85;24.03;23.83;23.98;2003-03-28;27600
MAA;10.3214;23.70;23.88;23.69;23.80;2003-03-31;22300
MAA;10.4520;24.00;24.00;23.67;23.70;2003-04-01;30300
MAA;10.4695;24.04;24.07;23.96;24.00;2003-04-02;45800
MAA;10.4433;23.98;24.04;23.86;24.04;2003-04-03;13500
MAA;10.4433;23.98;24.08;23.88;23.99;2003-04-04;27300
MAA;10.5522;24.23;24.23;23.98;24.00;2003-04-07;30200
MAA;10.5174;24.15;24.25;24.05;24.25;2003-04-08;15500
MAA;10.4956;24.10;24.24;23.89;24.19;2003-04-09;49600
MAA;10.4869;24.08;24.20;24.08;24.08;2003-04-10;32100
MAA;10.4651;24.03;24.18;23.96;24.10;2003-04-11;41700
MAA;10.6654;24.49;24.49;24.14;24.15;2003-04-14;37100
MAA;10.6741;24.51;24.59;24.43;24.49;2003-04-15;19900
MAA;10.8875;25.00;25.00;24.53;24.65;2003-04-16;109900
MAA;10.9964;25.25;25.49;24.97;25.00;2003-04-17;41400
MAA;11.0574;25.39;25.50;25.16;25.28;2003-04-21;36500
MAA;11.3092;25.37;25.40;24.56;24.78;2003-04-22;50000
MAA;11.4118;25.60;25.61;25.15;25.30;2003-04-23;57100
MAA;11.4118;25.60;25.63;25.30;25.50;2003-04-24;78800
MAA;11.4341;25.65;25.81;25.50;25.55;2003-04-25;43400
MAA;11.5856;25.99;25.99;25.69;25.70;2003-04-28;56000
MAA;11.4519;25.69;26.00;25.63;26.00;2003-04-29;42600
MAA;11.4563;25.70;25.95;25.43;25.44;2003-04-30;56500
MAA;11.5410;25.89;25.89;25.48;25.80;2003-05-01;45100
MAA;11.6124;26.05;26.38;25.94;25.95;2003-05-02;26400
MAA;11.7684;26.40;26.60;26.10;26.10;2003-05-05;52100
MAA;11.8308;26.54;26.63;26.30;26.30;2003-05-06;48400
MAA;11.7907;26.45;26.62;26.37;26.50;2003-05-07;45600
MAA;11.8353;26.55;26.79;26.38;26.40;2003-05-08;34100
MAA;11.9467;26.80;27.04;26.50;26.55;2003-05-09;34100
MAA;12.0359;27.00;27.03;26.84;26.85;2003-05-12;30200
MAA;12.0269;26.98;27.00;26.89;27.00;2003-05-13;30400
MAA;11.9913;26.90;27.06;26.80;27.00;2003-05-14;57300
MAA;12.0269;26.98;27.00;26.83;26.83;2003-05-15;49700
MAA;12.0225;26.97;27.00;26.85;27.00;2003-05-16;37500
MAA;11.9957;26.91;27.00;26.09;26.97;2003-05-19;43500
MAA;12.0804;27.10;27.10;26.91;26.91;2003-05-20;55200
MAA;12.0359;27.00;27.11;26.87;27.11;2003-05-21;28800
MAA;12.0314;26.99;27.10;26.90;26.95;2003-05-22;34800
MAA;12.0448;27.02;27.10;26.90;26.95;2003-05-23;32100
MAA;12.0671;27.07;27.19;26.85;27.15;2003-05-27;31500
MAA;11.9734;26.86;27.20;26.85;27.20;2003-05-28;76400
MAA;11.6569;26.15;26.99;25.90;26.90;2003-05-29;44100
MAA;11.7015;26.25;26.51;26.03;26.25;2003-05-30;52200
MAA;11.8130;26.50;26.50;26.00;26.05;2003-06-02;43900
MAA;11.7238;26.30;26.57;26.17;26.45;2003-06-03;17100
MAA;11.9734;26.86;27.03;26.23;26.30;2003-06-04;30200
MAA;11.9913;26.90;27.15;26.74;26.76;2003-06-05;19900
MAA;11.9467;26.80;27.00;26.80;26.90;2003-06-06;30400
MAA;11.8130;26.50;27.03;26.50;26.75;2003-06-09;40800
MAA;12.0715;27.08;27.08;26.50;26.50;2003-06-10;21900
MAA;12.0581;27.05;27.13;26.85;27.13;2003-06-11;140700
MAA;12.1651;27.29;27.29;26.96;27.05;2003-06-12;82600
MAA;12.0804;27.10;27.20;27.00;27.05;2003-06-13;31800
MAA;12.1473;27.25;27.42;27.10;27.14;2003-06-16;41200
MAA;12.1072;27.16;27.30;26.99;27.30;2003-06-17;48500
MAA;12.0938;27.13;27.19;27.00;27.10;2003-06-18;111100
MAA;12.0359;27.00;27.25;27.00;27.08;2003-06-19;23600
MAA;12.0225;26.97;27.20;26.90;27.00;2003-06-20;26900
MAA;11.8353;26.55;26.95;26.51;26.95;2003-06-23;24100
MAA;11.8353;26.55;26.74;26.50;26.65;2003-06-24;28100
MAA;11.8798;26.65;26.69;26.45;26.55;2003-06-25;56300
MAA;12.1696;27.30;27.45;26.66;26.70;2003-06-26;33700
MAA;12.0715;27.08;27.45;26.96;27.35;2003-06-27;28900
MAA;12.0403;27.01;27.20;26.95;27.05;2003-06-30;62000
MAA;12.1830;27.33;27.38;26.74;27.00;2003-07-01;40700
MAA;12.3880;27.79;27.85;27.21;27.28;2003-07-02;33600
MAA;12.3836;27.78;27.80;27.65;27.75;2003-07-03;25600
MAA;12.8382;28.80;28.80;27.85;27.85;2003-07-07;42200
MAA;12.7491;28.60;28.80;28.50;28.60;2003-07-08;75000
MAA;12.6956;28.48;28.71;28.25;28.60;2003-07-09;55300
MAA;12.7090;28.51;28.62;28.10;28.40;2003-07-10;43600
MAA;12.7134;28.52;28.75;28.25;28.55;2003-07-11;57400
MAA;12.8605;28.85;28.85;28.34;28.55;2003-07-14;96800
MAA;12.9497;29.05;29.07;28.60;28.80;2003-07-15;51100
MAA;12.8828;28.90;29.05;28.70;28.90;2003-07-16;95800
MAA;12.7847;28.68;28.95;28.60;28.80;2003-07-17;48900
MAA;12.9452;29.04;29.04;28.60;28.75;2003-07-18;39100
MAA;13.0388;29.25;29.34;29.04;29.04;2003-07-21;71400
MAA;12.8728;28.30;28.58;28.15;28.56;2003-07-22;32500
MAA;12.7364;28.00;28.45;27.87;28.45;2003-07-23;30400
MAA;12.8774;28.31;28.38;27.80;27.80;2003-07-24;26600
MAA;13.0047;28.59;28.60;28.20;28.20;2003-07-25;44100
MAA;13.0593;28.71;28.79;28.40;28.40;2003-07-28;16600
MAA;13.1002;28.80;28.80;28.44;28.59;2003-07-29;19000
MAA;13.1821;28.98;28.98;28.65;28.80;2003-07-30;21600
MAA;13.0093;28.60;29.25;28.57;29.03;2003-07-31;51300
MAA;13.2276;29.08;29.14;28.55;28.65;2003-08-01;49400
MAA;13.2549;29.14;29.71;29.00;29.70;2003-08-04;65100
MAA;12.9774;28.53;29.21;28.50;29.21;2003-08-05;41300
MAA;12.9410;28.45;28.57;28.19;28.28;2003-08-06;31900
MAA;12.9865;28.55;28.56;28.07;28.41;2003-08-07;27200
MAA;13.0911;28.78;28.89;28.41;28.55;2003-08-08;32700
MAA;13.2322;29.09;29.10;28.75;28.75;2003-08-11;29700
MAA;13.2867;29.21;29.30;29.01;29.12;2003-08-12;33000
MAA;13.2594;29.15;29.34;29.15;29.25;2003-08-13;31200
MAA;13.3140;29.27;29.34;29.00;29.05;2003-08-14;27800
MAA;13.1685;28.95;29.38;28.95;29.20;2003-08-15;24800
MAA;13.5324;29.75;29.82;29.00;29.00;2003-08-18;100100
MAA;13.6006;29.90;29.90;29.55;29.85;2003-08-19;61500
MAA;13.6006;29.90;29.94;29.50;29.80;2003-08-20;47400
MAA;13.6233;29.95;30.01;29.75;29.80;2003-08-21;160600
