Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MAR;11.8834;14.2722;14.4633;14.2536;14.4074;2003-02-04;1980444
MAR;11.8096;14.1837;14.5892;14.1697;14.3281;2003-02-05;2396227
MAR;11.6389;13.9786;14.1790;13.9786;14.0718;2003-02-06;3353088
MAR;11.3905;13.6803;14.1837;13.6663;13.9832;2003-02-07;3723174
MAR;11.8562;14.2396;14.2582;13.3307;13.6849;2003-02-10;7440555
MAR;11.7980;14.1697;14.2489;14.0345;14.2396;2003-02-11;3337641
MAR;11.6621;14.0065;14.1930;14.0065;14.1930;2003-02-12;3689276
MAR;11.4371;13.7362;14.0065;13.5171;13.9879;2003-02-13;3607535
MAR;11.7204;14.0765;14.0765;13.7129;13.7129;2003-02-14;2144569
MAR;11.9144;14.3095;14.3561;14.0765;14.0765;2003-02-18;2051886
MAR;11.8096;14.1837;14.3328;14.1417;14.3281;2003-02-19;1472407
MAR;11.7281;14.0858;14.3328;14.0858;14.2769;2003-02-20;2252484
MAR;11.9416;14.3421;14.3654;14.0392;14.0858;2003-02-21;3020976
MAR;11.6039;13.9366;14.2209;13.9273;14.2163;2003-02-24;1582252
MAR;11.7126;14.0671;14.0671;13.7502;13.7548;2003-02-25;2214724
MAR;11.4720;13.7781;14.0998;13.7502;14.0671;2003-02-26;1630739
MAR;11.5263;13.8434;13.8900;13.6616;13.7502;2003-02-27;3464650
MAR;11.7281;14.0858;14.2163;13.9599;13.9599;2003-02-28;1314718
MAR;11.6427;13.9832;14.3002;13.9692;14.2023;2003-03-03;1313859
MAR;11.3944;13.6849;13.9926;13.6849;13.9506;2003-03-04;1762039
MAR;11.6427;13.9832;14.0298;13.6709;13.7129;2003-03-05;2226310
MAR;11.4875;13.7968;13.9832;13.7642;13.9459;2003-03-06;1623016
MAR;11.7475;14.1091;14.2116;13.6103;13.6756;2003-03-07;3886012
MAR;11.4914;13.8014;14.0671;13.7175;14.0671;2003-03-10;1775341
MAR;11.2275;13.4845;13.8993;13.4705;13.8014;2003-03-11;2142209
MAR;11.1964;13.4472;13.4845;13.3074;13.4798;2003-03-12;2394082
MAR;11.8135;14.1883;14.1883;13.6663;13.7735;2003-03-13;2968198
MAR;11.8057;14.1790;14.3794;14.0625;14.2769;2003-03-14;3170083
MAR;12.4461;14.9481;14.9714;13.9366;14.0811;2003-03-17;2753441
MAR;12.3219;14.7989;15.0972;14.5892;15.0972;2003-03-18;2338086
MAR;12.4616;14.9667;15.0693;14.7756;14.7756;2003-03-19;2035796
MAR;12.7061;15.2604;15.4188;14.5798;14.8222;2003-03-20;2645741
MAR;13.5366;16.2578;16.2625;15.3769;15.5820;2003-03-21;5147738
MAR;12.3646;14.8502;15.9875;14.8082;15.6659;2003-03-24;6241262
MAR;12.7294;15.2883;15.3349;14.8782;15.0040;2003-03-25;2413176
MAR;12.7294;15.2883;15.3443;15.1019;15.2510;2003-03-26;2108311
MAR;12.6751;15.2231;15.3349;14.9993;15.1951;2003-03-27;1786926
MAR;12.6518;15.1951;15.2231;14.8595;15.2231;2003-03-28;2129551
MAR;12.3718;14.8269;15.0320;14.7756;14.9854;2003-03-31;2173318
MAR;12.1695;14.5845;14.8921;14.5565;14.8269;2003-04-01;2734561
MAR;12.7218;15.2464;15.3210;14.9621;15.0786;2003-04-02;2394940
MAR;12.7179;15.2417;15.3862;15.1671;15.3349;2003-04-03;1334885
MAR;12.7335;15.2604;15.4142;15.1858;15.2790;2003-04-04;1048899
MAR;12.9863;15.5633;16.1693;15.5494;15.7777;2003-04-07;1942255
MAR;13.0018;15.5820;15.6239;15.2883;15.5447;2003-04-08;1697891
MAR;12.7685;15.3023;15.8244;15.3023;15.5820;2003-04-09;1890550
MAR;12.8385;15.3862;15.3862;15.1904;15.2883;2003-04-10;2041374
MAR;12.9318;15.4981;15.6379;15.2697;15.4421;2003-04-11;1733505
MAR;13.3363;15.9828;15.9875;15.6146;15.6146;2003-04-14;1560369
MAR;13.4452;16.1133;16.1133;15.6938;15.9828;2003-04-15;2681784
MAR;13.2585;15.8896;16.2252;15.8663;16.1506;2003-04-16;3244315
MAR;13.5774;16.2718;16.2718;15.8477;15.8477;2003-04-17;1611645
MAR;13.7797;16.5142;16.6074;16.1786;16.2718;2003-04-21;2673202
MAR;14.0014;16.7799;16.7985;16.3697;16.4629;2003-04-22;3102073
MAR;13.9780;16.7519;16.7799;16.5468;16.7612;2003-04-23;2604334
MAR;13.8458;16.5934;16.6354;16.4862;16.5422;2003-04-24;3628346
MAR;13.5774;16.2718;16.5468;16.2718;16.5468;2003-04-25;2650031
MAR;13.8069;16.5468;16.7100;16.2439;16.2439;2003-04-28;3317474
MAR;13.9586;16.7286;16.8451;16.3417;16.5468;2003-04-29;3477094
MAR;13.9663;16.7379;16.8731;16.5515;16.7286;2003-04-30;4047348
MAR;13.8574;16.6074;16.7426;16.3883;16.7333;2003-05-01;1913935
MAR;14.1297;16.9337;16.9710;16.2672;16.3138;2003-05-02;2713107
MAR;14.3864;17.2413;17.2506;16.8778;17.0502;2003-05-05;1946975
MAR;14.7481;17.6748;17.8053;17.1807;17.2879;2003-05-06;3057877
MAR;14.6703;17.5816;17.7074;17.4511;17.6049;2003-05-07;2754943
MAR;14.3903;17.2460;17.4464;17.1481;17.4138;2003-05-08;1654124
MAR;14.5342;17.4184;17.4184;17.0362;17.2926;2003-05-09;2142852
MAR;14.8414;17.7867;17.9218;17.2320;17.3159;2003-05-12;2178037
MAR;14.7442;17.6701;17.7867;17.5023;17.7867;2003-05-13;1803446
MAR;14.4914;17.3672;17.7121;17.3485;17.6748;2003-05-14;2097584
MAR;14.5847;17.4790;17.5396;17.3858;17.4417;2003-05-15;2421114
MAR;14.5186;17.3998;17.5490;17.2460;17.4837;2003-05-16;2236608
MAR;14.2580;17.0875;17.4977;17.0828;17.4790;2003-05-19;3297092
MAR;14.2308;17.0549;17.3718;16.8731;17.1528;2003-05-20;2866290
MAR;14.1569;16.9663;17.1062;16.8498;17.0176;2003-05-21;1643397
MAR;14.2153;17.0362;17.1667;16.8498;16.9803;2003-05-22;1742087
MAR;14.2192;17.0409;17.0735;16.8964;17.0362;2003-05-23;963297
MAR;14.6742;17.5862;17.5862;16.9337;16.9663;2003-05-27;1523253
MAR;14.9620;17.9312;17.9312;17.4744;17.5629;2003-05-28;2682642
MAR;14.8725;17.8240;18.0524;17.7261;17.9172;2003-05-29;2414678
MAR;15.2070;18.2248;18.3413;17.8240;17.8240;2003-05-30;2361042
MAR;15.1876;18.2015;18.4113;18.1129;18.1782;2003-06-02;1453098
MAR;15.0515;18.0384;18.2388;17.9265;18.2388;2003-06-03;1883899
MAR;15.2148;18.2341;18.2714;18.0057;18.0384;2003-06-04;2424332
MAR;15.3315;18.3740;18.3879;18.0710;18.1782;2003-06-05;2672129
MAR;15.4793;18.5511;18.8494;18.4905;18.5744;2003-06-06;2913919
MAR;15.1565;18.1642;18.4812;18.0990;18.4252;2003-06-09;1337030
MAR;15.2809;18.3134;18.4252;18.1782;18.1782;2003-06-10;1032809
MAR;15.3237;18.3646;18.3926;18.1036;18.2062;2003-06-11;1824686
MAR;15.2887;18.3227;18.3320;18.0384;18.3320;2003-06-12;2220302
MAR;15.0865;18.0803;18.4066;17.9218;18.3833;2003-06-13;3170941
MAR;15.4209;18.4812;18.4812;18.1782;18.1782;2003-06-16;1381655
MAR;15.2537;18.2807;18.4812;18.1829;18.4812;2003-06-17;1615292
MAR;15.1565;18.1642;18.2295;17.9685;18.1083;2003-06-18;1899990
MAR;14.7831;17.7168;18.2481;17.7074;18.2015;2003-06-19;2864360
MAR;14.9231;17.8846;18.0570;17.7074;17.7540;2003-06-20;3223933
MAR;14.7887;17.6888;17.8752;17.6002;17.6841;2003-06-23;2028072
MAR;14.9056;17.8286;17.9079;17.6329;17.7587;2003-06-24;1872743
MAR;14.8159;17.7214;17.9871;17.6748;17.7540;2003-06-25;1502443
MAR;15.0342;17.9824;18.0151;17.7540;17.7913;2003-06-26;3345150
MAR;14.9484;17.8799;18.2015;17.8053;17.9824;2003-06-27;2079991
MAR;14.9718;17.9079;18.0850;17.8985;17.9218;2003-06-30;1836271
MAR;14.9874;17.9265;17.9265;17.5536;17.7121;2003-07-01;2089860
