Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MAS;10.7447;16.1160;16.4763;15.9051;16.4587;2003-02-04;1839236
MAS;10.7916;16.1863;16.5466;15.9666;16.0369;2003-02-05;1697099
MAS;10.5221;15.7821;16.1424;15.7294;16.0105;2003-02-06;1834456
MAS;10.4225;15.6327;15.9666;15.5536;15.9315;2003-02-07;2694670
MAS;10.5104;15.7645;15.9051;15.5888;15.7381;2003-02-10;1192055
MAS;10.4987;15.7469;16.0193;15.6239;15.7645;2003-02-11;1254873
MAS;10.3522;15.5272;15.8699;15.5009;15.6415;2003-02-12;1426483
MAS;10.1706;15.2548;16.0369;14.7627;15.3779;2003-02-13;4959973
MAS;10.5162;15.7733;15.8172;15.2021;15.2460;2003-02-14;3180027
MAS;10.7564;16.1336;16.3796;15.5975;15.6678;2003-02-18;1861882
MAS;10.7682;16.1511;16.1511;15.8172;16.0721;2003-02-19;1802933
MAS;10.5748;15.8612;16.1424;15.5975;16.0721;2003-02-20;2039979
MAS;10.7857;16.1775;16.3620;15.8699;16.2214;2003-02-21;1580454
MAS;10.7271;16.0896;16.3533;15.9666;16.3357;2003-02-24;1884187
MAS;10.7799;16.1687;16.2127;15.7294;15.9930;2003-02-25;2143537
MAS;10.5924;15.8875;16.2566;15.8875;16.0105;2003-02-26;1262270
MAS;10.8092;16.2127;16.3445;15.8436;15.9842;2003-02-27;1931983
MAS;10.7682;16.1511;16.4323;16.0545;16.2214;2003-02-28;2091303
MAS;10.6451;15.9666;16.3005;15.9051;16.1775;2003-03-03;1889308
MAS;10.2350;15.3515;15.9842;15.3339;15.9666;2003-03-04;2782751
MAS;10.5162;15.7733;15.8436;15.2285;15.2812;2003-03-05;3015700
MAS;10.2233;15.3339;15.7469;15.3339;15.6415;2003-03-06;2225700
MAS;10.3229;15.4833;15.7645;15.1933;15.2900;2003-03-07;2147065
MAS;10.1120;15.1670;15.5185;15.1582;15.4218;2003-03-10;1690385
MAS;9.8542;14.7803;15.3163;14.7715;15.1670;2003-03-11;2031330
MAS;9.8601;14.7891;14.8506;14.5782;14.6485;2003-03-12;2730517
MAS;10.4635;15.6942;15.6942;14.9473;15.1318;2003-03-13;1540738
MAS;10.5104;15.7645;15.9051;15.4833;15.6942;2003-03-14;1960546
MAS;10.9263;16.3884;16.4675;15.3515;15.6063;2003-03-17;2917377
MAS;11.0142;16.5202;16.5290;16.0984;16.3796;2003-03-18;2038499
MAS;10.9849;16.4763;16.5993;16.2742;16.5202;2003-03-19;1315983
MAS;10.8678;16.3005;16.4851;16.0018;16.4851;2003-03-20;1855054
MAS;11.3306;16.9947;17.0738;16.3005;16.6432;2003-03-21;2518735
MAS;10.7447;16.1160;16.6960;16.0281;16.6081;2003-03-24;1862109
MAS;10.8795;16.3181;16.4323;15.9930;16.1248;2003-03-25;2066722
MAS;10.9205;16.3796;16.4763;16.1248;16.4060;2003-03-26;1997645
MAS;10.8912;16.3357;16.4763;16.0545;16.1687;2003-03-27;1272739
MAS;11.0142;16.5202;16.6081;16.2127;16.3357;2003-03-28;1573171
MAS;10.9088;16.3620;16.6784;16.0633;16.0633;2003-03-31;2214434
MAS;11.1021;16.6520;16.7487;16.3445;16.3708;2003-04-01;2687046
MAS;11.5239;17.2847;17.3989;16.9332;16.9596;2003-04-02;2118956
MAS;11.5942;17.3902;17.4692;17.1880;17.3726;2003-04-03;1609132
MAS;11.5415;17.3111;17.5571;17.0914;17.4341;2003-04-04;2300353
MAS;11.6177;17.4253;17.7944;17.4165;17.5747;2003-04-07;2233439
MAS;11.6118;17.4165;17.5835;17.3111;17.5132;2003-04-08;968210
MAS;11.6531;17.3550;17.5659;17.2144;17.3023;2003-04-09;1468134
MAS;11.5882;17.2583;17.3989;17.1353;17.3111;2003-04-10;1459144
MAS;11.7534;17.5044;17.6098;17.3550;17.4780;2003-04-11;1259538
MAS;11.9127;17.7417;17.7504;17.4165;17.4165;2003-04-14;1245313
MAS;11.7475;17.4956;17.7065;17.3989;17.5220;2003-04-15;2487554
MAS;11.8183;17.6011;17.6714;17.3989;17.5308;2003-04-16;2435434
MAS;11.9776;17.8383;17.8383;17.4429;17.4605;2003-04-17;3331836
MAS;11.9186;17.7504;17.8735;17.5395;17.8383;2003-04-21;1757641
MAS;12.2313;18.2162;18.2513;17.5747;17.7504;2003-04-22;1914230
MAS;12.4496;18.5413;18.5765;18.0141;18.2425;2003-04-23;2184277
MAS;12.3021;18.3216;18.5325;18.2337;18.2777;2003-04-24;1697668
MAS;12.0956;18.0141;18.3919;17.9701;18.3216;2003-04-25;1698237
MAS;12.4614;18.5589;18.5677;18.0141;18.0141;2003-04-28;2282373
MAS;12.4732;18.5765;18.7610;18.4710;18.5677;2003-04-29;2298191
MAS;12.4319;18.5149;18.6907;18.2865;18.4974;2003-04-30;3248535
MAS;12.3316;18.3656;18.4974;17.9965;18.4974;2003-05-01;1949508
MAS;12.6267;18.8049;18.8049;18.2777;18.4095;2003-05-02;1407820
MAS;12.6798;18.8840;18.9455;18.4974;18.8049;2003-05-05;1324518
MAS;12.9866;19.3409;19.7452;18.5237;18.7610;2003-05-06;3447116
MAS;13.4645;20.0527;20.2724;19.4728;19.5079;2003-05-07;4661134
MAS;13.4409;20.0176;20.2109;19.8594;20.0527;2003-05-08;2645736
MAS;13.4527;20.0351;20.1142;19.8067;20.0176;2003-05-09;3323643
MAS;13.8657;20.6503;20.6503;19.9033;19.9912;2003-05-12;2671455
MAS;13.6887;20.3866;20.5272;20.1318;20.5185;2003-05-13;2170621
MAS;13.7005;20.4042;20.6503;20.3076;20.5624;2003-05-14;1838098
MAS;13.8657;20.6503;20.8084;20.3076;20.4306;2003-05-15;1712690
MAS;13.7536;20.4833;20.6063;20.0967;20.6063;2003-05-16;1547794
MAS;13.1813;19.6309;20.6503;19.6046;19.9033;2003-05-19;2438279
MAS;13.4291;20.0000;20.2812;19.8946;20.2548;2003-05-20;2978943
MAS;13.4763;20.0703;20.4921;19.9912;20.3515;2003-05-21;3591414
MAS;13.8067;20.5624;20.7293;20.1757;20.2109;2003-05-22;2223424
MAS;13.8775;20.6678;21.0808;20.6063;20.6503;2003-05-23;1738523
MAS;14.2433;21.2127;21.3533;20.5009;20.5888;2003-05-27;2047717
MAS;14.5029;21.5993;21.7487;21.3093;21.4148;2003-05-28;2452504
MAS;14.1489;21.0721;21.9684;20.9754;21.5729;2003-05-29;2868101
MAS;14.5147;21.6169;21.6960;21.1951;21.1951;2003-05-30;1718494
MAS;14.5206;21.6257;21.9596;21.4499;21.6520;2003-06-02;2196340
MAS;14.5147;21.6169;21.7047;21.3445;21.6344;2003-06-03;1589672
MAS;14.6859;21.8717;21.9596;21.3972;21.4851;2003-06-04;2279983
MAS;14.7803;22.0123;22.0123;21.5466;21.6081;2003-06-05;1902850
MAS;14.8216;22.0738;22.4341;21.9596;22.1880;2003-06-06;1789391
MAS;14.2728;21.2566;21.5378;21.1775;21.1775;2003-06-09;2792766
MAS;14.4557;21.5290;21.5290;21.1687;21.4235;2003-06-10;1484862
MAS;14.9042;22.1968;22.1968;21.4587;21.5817;2003-06-11;1599459
MAS;14.6446;21.8102;22.4780;21.3357;22.2671;2003-06-12;2737459
MAS;14.6977;21.8893;21.9508;21.5729;21.8278;2003-06-13;2513387
MAS;14.5442;21.6608;21.6872;21.3533;21.4851;2003-06-16;4061294
MAS;14.5206;21.6257;22.0123;21.4938;21.8629;2003-06-17;2942299
MAS;14.4026;21.4499;21.5202;21.2127;21.4411;2003-06-18;4068578
MAS;14.2197;21.1775;21.8453;21.0457;21.4499;2003-06-19;4420675
MAS;14.0840;20.9754;21.3269;20.8260;21.2302;2003-06-20;4729642
MAS;14.2669;21.2478;21.3093;20.7645;20.8699;2003-06-23;5026432
MAS;14.3023;21.3005;21.5290;21.1511;21.3005;2003-06-24;1843446
MAS;14.0958;20.9930;21.4235;20.9315;21.1951;2003-06-25;1798381
MAS;14.2374;21.2039;21.3005;20.8875;20.9930;2003-06-26;1542787
MAS;14.1607;21.0896;21.3005;21.0018;21.2654;2003-06-27;1662277
MAS;14.0722;20.9578;21.2654;20.9139;21.0896;2003-06-30;2866508
MAS;14.2492;21.2214;21.2654;20.7733;21.0193;2003-07-01;3138945
MAS;14.4616;21.5378;21.5378;21.1336;21.1336;2003-07-02;2474467
MAS;14.2787;21.2654;21.5466;21.1687;21.5378;2003-07-03;857711
MAS;14.1961;21.1424;21.5026;21.0193;21.3357;2003-07-07;2707871
MAS;14.1784;21.1160;21.3093;21.0369;21.1775;2003-07-08;2154348
MAS;14.2615;21.1160;21.2214;20.9139;21.1072;2003-07-09;2721755
MAS;14.0419;20.7909;21.0018;20.6239;20.8612;2003-07-10;1834570
MAS;14.0301;20.7733;20.9930;20.6151;20.7996;2003-07-11;1452429
MAS;14.0835;20.8524;21.2478;20.7996;20.9402;2003-07-14;1552004
MAS;13.9826;20.7030;21.1599;20.5975;21.1599;2003-07-15;2673390
MAS;14.1310;20.9227;21.0633;20.4833;20.7206;2003-07-16;1878041
MAS;14.0716;20.8348;21.0193;20.6591;20.9227;2003-07-17;1583868
MAS;14.2437;21.0896;21.0896;20.5185;20.9930;2003-07-18;2565166
MAS;13.8698;20.5360;21.0896;20.5185;21.0896;2003-07-21;3089442
MAS;13.9470;20.6503;20.7909;20.5009;20.6854;2003-07-22;2795838
MAS;14.0241;20.7645;20.7821;20.5624;20.7381;2003-07-23;2599989
MAS;14.0419;20.7909;21.2039;20.7293;20.8172;2003-07-24;2339842
MAS;14.1369;20.9315;20.9754;20.5888;20.8260;2003-07-25;2217848
MAS;14.4277;21.3620;21.7575;20.7381;20.9578;2003-07-28;4102376
MAS;14.2912;21.1599;21.3884;21.0808;21.3357;2003-07-29;2092213
MAS;14.3862;21.3005;21.3884;21.0896;21.2654;2003-07-30;1385629
MAS;14.4633;21.4148;21.8541;21.3005;21.4763;2003-07-31;1707683
MAS;14.1844;21.0018;21.4851;20.9842;21.4675;2003-08-01;1619146
MAS;14.0004;20.7293;20.8612;20.5185;20.8260;2003-08-04;2042938
MAS;13.7096;20.2988;20.7030;20.2197;20.6239;2003-08-05;2421664
MAS;14.0063;20.7381;21.2478;19.7276;19.7276;2003-08-06;4901594
MAS;14.2675;21.1248;21.1775;20.6591;20.8260;2003-08-07;2210337
MAS;14.5464;21.5378;21.5641;21.1424;21.2478;2003-08-08;1716104
MAS;14.5049;21.4763;21.6696;21.1336;21.6081;2003-08-11;928153
MAS;14.7957;21.9069;21.9156;21.2566;21.4763;2003-08-12;1149152
MAS;14.5998;21.6169;21.8805;21.4499;21.8805;2003-08-13;1177033
MAS;14.7007;21.7663;21.7663;21.3445;21.5729;2003-08-14;1745920
MAS;14.7304;21.8102;21.9420;21.5729;21.7926;2003-08-15;556141
MAS;14.9796;22.1793;22.1793;21.8278;21.9069;2003-08-18;1722704
MAS;15.0746;22.3199;22.3726;22.0211;22.1793;2003-08-19;1512630
MAS;15.2764;22.6186;22.7153;22.1353;22.3550;2003-08-20;2014032
MAS;15.1339;22.4077;22.8383;22.4077;22.6186;2003-08-21;2691711
MAS;14.8372;21.9684;22.5132;21.9508;22.5044;2003-08-22;2487440
MAS;14.8372;21.9684;22.1265;21.9069;21.9859;2003-08-25;1925155
MAS;14.8372;21.9684;22.0475;21.7047;21.8981;2003-08-26;2717089
MAS;14.7778;21.8805;22.0123;21.7750;22.0123;2003-08-27;1205142
MAS;14.7422;21.8278;21.9684;21.6872;21.8805;2003-08-28;2024957
MAS;14.7126;21.7838;21.8805;21.7487;21.8366;2003-08-29;2252671
MAS;14.8313;21.9596;22.0211;21.6784;21.9069;2003-09-02;2896210
MAS;15.0746;22.3199;22.3374;21.7926;22.0562;2003-09-03;2882895
MAS;15.2942;22.6450;22.6626;22.1529;22.4429;2003-09-04;3137238
MAS;14.9262;22.1002;22.6011;22.0562;22.4956;2003-09-05;2361805
MAS;14.9974;22.2056;22.3814;22.0475;22.1265;2003-09-08;1752520
MAS;14.9856;22.1880;22.3023;21.9684;22.2056;2003-09-09;1503184
MAS;14.7660;21.8629;22.2496;21.7750;22.1968;2003-09-10;1823531
MAS;14.6829;21.7399;22.0035;21.5466;21.9244;2003-09-11;3416276
MAS;14.5405;21.5290;21.7223;21.4323;21.7223;2003-09-12;3682113
MAS;14.4574;21.4060;21.5641;21.3620;21.4851;2003-09-15;1880659
MAS;14.5701;21.5729;21.6344;21.4411;21.4587;2003-09-16;4999689
MAS;14.7541;21.8453;21.9684;21.6169;21.9684;2003-09-17;4464146
MAS;14.9025;22.0650;22.1353;21.7663;21.9684;2003-09-18;3185376
MAS;14.8313;21.9596;22.1793;21.8717;22.0738;2003-09-19;3000565
MAS;14.5345;21.5202;21.7311;21.4411;21.6608;2003-09-22;2078443
MAS;14.5701;21.5729;21.7223;21.4763;21.6257;2003-09-23;2535919
MAS;14.4396;21.3796;21.6872;21.2566;21.5729;2003-09-24;1948370
MAS;14.2437;21.0896;21.4675;21.0896;21.4675;2003-09-25;2314806
MAS;14.1369;20.9315;21.1336;20.7909;21.1160;2003-09-26;2894275
MAS;14.5108;21.4851;21.4851;21.0896;21.0896;2003-09-29;3139742
MAS;14.5286;21.5114;21.6696;21.1687;21.3269;2003-09-30;2857063
MAS;14.9500;22.1353;22.1617;21.6257;21.7047;2003-10-01;2656433
MAS;14.9559;22.1441;22.1793;21.9684;22.1353;2003-10-02;1910588
MAS;14.9974;22.2056;22.4429;22.0123;22.1441;2003-10-03;2860704
MAS;14.9678;22.1617;22.2759;22.0123;22.1705;2003-10-06;1762648
MAS;15.1102;22.3726;22.3726;21.8805;21.9947;2003-10-07;1957132
MAS;15.1520;22.2935;22.4868;22.1178;22.4517;2003-10-08;2073550
MAS;15.2894;22.4956;22.6186;22.3023;22.4253;2003-10-09;2294663
MAS;15.4566;22.7417;22.8207;22.3550;22.3638;2003-10-10;2574156
MAS;15.6537;23.0316;23.1459;22.7504;22.8207;2003-10-13;2497455
MAS;15.6298;22.9965;23.1283;22.7680;23.0228;2003-10-14;2485051
MAS;15.6358;23.0053;23.2425;22.8910;23.1283;2003-10-15;2293980
MAS;15.7911;23.2337;23.3216;22.9965;23.0053;2003-10-16;2053635
MAS;15.6238;22.9877;23.2865;22.8822;23.2425;2003-10-17;2193040
MAS;15.7552;23.1810;23.1986;22.9438;22.9789;2003-10-20;1715876
MAS;15.7791;23.2162;23.2777;22.1002;23.2337;2003-10-21;2166866
MAS;15.7970;23.2425;23.2865;22.8910;23.0404;2003-10-22;3126996
MAS;15.9583;23.4798;23.4798;23.0756;23.1195;2003-10-23;2858087
MAS;15.9045;23.4007;23.4622;23.2865;23.4622;2003-10-24;2365561
MAS;16.1613;23.7786;23.7786;23.4183;23.4183;2003-10-27;3051888
MAS;16.5973;24.4200;24.4200;23.7698;23.7961;2003-10-28;4376748
MAS;16.5018;24.2794;24.3322;24.0158;24.1476;2003-10-29;3092401
MAS;16.4958;24.2707;24.4464;24.0334;24.3673;2003-10-30;2235601
MAS;16.4241;24.1652;24.4552;24.0246;24.2707;2003-10-31;2680787
MAS;16.5914;24.4112;24.4728;24.1652;24.1740;2003-11-03;2090620
MAS;16.1673;23.7873;24.0070;23.5765;23.9455;2003-11-04;4961452
MAS;16.1852;23.8137;24.0598;23.6380;23.7258;2003-11-05;2952769
MAS;16.1912;23.8225;23.9455;23.6116;23.8137;2003-11-06;1728622
MAS;16.0539;23.6204;23.9455;23.5940;23.8401;2003-11-07;1559060
MAS;15.9762;23.5062;23.7961;23.4534;23.6204;2003-11-10;1368104
MAS;16.0539;23.6204;23.8049;23.4183;23.4446;2003-11-11;1701082
