Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MCK;23.5520;27.18;27.89;27.00;27.84;2003-02-04;1519100
MCK;23.3700;26.97;27.38;26.90;27.30;2003-02-05;1066100
MCK;22.9974;26.54;26.95;26.48;26.67;2003-02-06;1143600
MCK;23.4393;27.05;27.06;26.52;26.74;2003-02-07;1656700
MCK;23.7426;27.40;27.50;26.84;27.20;2003-02-10;1064800
MCK;23.4393;27.05;27.75;26.83;27.55;2003-02-11;994000
MCK;22.9021;26.43;27.18;26.24;27.05;2003-02-12;1294200
MCK;21.8796;25.25;26.36;23.50;26.33;2003-02-13;4666200
MCK;22.5728;26.05;26.11;24.39;25.00;2003-02-14;4193400
MCK;23.5087;27.13;27.13;26.15;26.30;2003-02-18;1645400
MCK;23.4480;27.06;27.14;26.84;27.06;2003-02-19;1260100
MCK;23.3094;26.90;27.08;26.88;27.03;2003-02-20;1451900
MCK;23.8206;27.49;27.64;26.73;26.98;2003-02-21;1594500
MCK;23.1014;26.66;27.40;26.52;27.40;2003-02-24;932100
MCK;23.4133;27.02;27.12;26.04;26.69;2003-02-25;1015700
MCK;23.3527;26.95;27.50;26.86;27.03;2003-02-26;840800
MCK;23.7174;27.31;27.38;26.78;26.89;2003-02-27;708200
MCK;23.1356;26.64;27.55;26.20;27.31;2003-02-28;2174300
MCK;22.7708;26.22;27.08;26.03;26.50;2003-03-03;1333500
MCK;22.3366;25.72;26.25;25.72;26.25;2003-03-04;839400
MCK;22.5016;25.91;25.93;25.64;25.72;2003-03-05;960700
MCK;22.3627;25.75;25.91;25.43;25.91;2003-03-06;1599800
MCK;22.3192;25.70;25.83;25.45;25.66;2003-03-07;1206100
MCK;21.5376;24.80;25.66;24.74;25.60;2003-03-10;1383400
MCK;21.2337;24.45;24.95;24.10;24.90;2003-03-11;2322400
MCK;21.3466;24.58;24.60;24.26;24.33;2003-03-12;2019000
MCK;20.5823;23.70;24.65;23.01;24.57;2003-03-13;4589400
MCK;19.9657;22.99;23.80;22.75;23.80;2003-03-14;2415400
MCK;21.1381;24.34;24.36;23.06;23.26;2003-03-17;3651600
MCK;21.5376;24.80;24.99;24.39;24.59;2003-03-18;2830200
MCK;21.8068;25.11;25.22;24.60;24.95;2003-03-19;2046000
MCK;21.5116;24.77;25.11;24.20;25.11;2003-03-20;1879300
MCK;22.0674;25.41;25.55;24.97;25.20;2003-03-21;1857400
MCK;21.3813;24.62;24.83;24.40;24.65;2003-03-24;1190200
MCK;22.0326;25.37;25.48;24.55;24.58;2003-03-25;1045200
MCK;21.9805;25.31;25.66;25.15;25.40;2003-03-26;1215100
MCK;21.7287;25.02;25.22;24.80;25.21;2003-03-27;1149400
MCK;22.0153;25.35;25.52;24.80;24.80;2003-03-28;1375700
MCK;21.6505;24.93;25.30;24.81;25.30;2003-03-31;917800
MCK;21.9805;25.31;25.32;24.72;24.93;2003-04-01;1267600
MCK;22.0587;25.40;25.69;25.17;25.65;2003-04-02;1894400
MCK;22.1976;25.56;26.05;24.00;25.41;2003-04-03;3610900
MCK;21.9111;25.23;25.92;24.97;25.65;2003-04-04;1568300
MCK;21.6158;24.89;25.80;24.81;25.80;2003-04-07;1176600
MCK;21.4074;24.65;24.90;24.42;24.82;2003-04-08;1731700
MCK;20.9905;24.17;25.00;24.15;24.82;2003-04-09;1467700
MCK;21.1902;24.40;24.60;24.05;24.60;2003-04-10;1721000
MCK;21.2771;24.50;24.80;24.45;24.48;2003-04-11;1056800
MCK;21.6939;24.98;24.98;24.18;24.49;2003-04-14;1134300
MCK;21.6418;24.92;24.98;24.55;24.65;2003-04-15;1449100
MCK;21.3639;24.60;25.20;24.46;24.92;2003-04-16;1687700
MCK;20.8863;24.05;24.77;23.86;24.69;2003-04-17;1898600
MCK;20.5823;23.70;24.15;23.60;24.13;2003-04-21;1433400
MCK;21.1208;24.32;24.46;23.43;23.70;2003-04-22;1998800
MCK;20.4955;23.60;24.32;22.61;24.32;2003-04-23;2952300
MCK;20.8429;24.00;24.23;23.85;24.00;2003-04-24;3300400
MCK;20.7908;23.94;24.40;23.90;24.00;2003-04-25;1521200
MCK;21.1468;24.35;24.44;23.94;24.15;2003-04-28;1556000
MCK;21.5897;24.86;25.02;24.05;24.13;2003-04-29;2071600
MCK;24.0996;27.75;28.20;25.60;25.60;2003-04-30;8955100
MCK;24.3427;28.03;28.49;27.20;27.78;2003-05-01;2529800
MCK;25.2893;29.12;29.45;27.87;28.00;2003-05-02;2599000
MCK;25.2112;29.03;29.49;28.83;29.12;2003-05-05;1818600
MCK;25.2459;29.07;29.30;28.97;28.97;2003-05-06;2116400
