Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MDLZ;13.1532;31.65;32.00;31.51;32.00;2003-02-04;2197500
MDLZ;13.2030;31.77;32.15;31.55;31.62;2003-02-05;2658600
MDLZ;12.9911;31.26;31.62;31.05;31.52;2003-02-06;1402400
MDLZ;13.1116;31.55;31.74;31.20;31.31;2003-02-07;1522700
MDLZ;13.1199;31.57;31.62;31.25;31.60;2003-02-10;1436600
MDLZ;12.9537;31.17;31.73;31.08;31.64;2003-02-11;1653600
MDLZ;13.0576;31.42;31.91;31.25;31.39;2003-02-12;2077800
MDLZ;13.0285;31.35;31.87;30.67;31.52;2003-02-13;2630400
MDLZ;13.0285;31.35;31.68;31.10;31.10;2003-02-14;1858700
MDLZ;13.1033;31.53;31.69;31.24;31.38;2003-02-18;1161900
MDLZ;13.0825;31.48;31.81;31.18;31.50;2003-02-19;2422800
MDLZ;12.4674;30.00;31.49;29.81;31.49;2003-02-20;8131400
MDLZ;12.5132;30.11;30.37;29.91;29.95;2003-02-21;2125800
MDLZ;12.4384;29.93;30.07;29.90;30.00;2003-02-24;2356800
MDLZ;12.5298;30.15;30.19;29.00;29.50;2003-02-25;2103500
MDLZ;12.3552;29.73;30.39;29.72;30.10;2003-02-26;2136500
MDLZ;12.3511;29.72;29.87;29.44;29.65;2003-02-27;1722400
MDLZ;12.3054;29.61;29.76;29.53;29.72;2003-02-28;1718300
MDLZ;12.1765;29.30;29.96;29.30;29.66;2003-03-03;1245000
MDLZ;11.8441;28.50;29.42;28.35;29.30;2003-03-04;2500700
MDLZ;11.5781;27.86;28.50;27.70;28.50;2003-03-05;3322800
MDLZ;11.4119;27.46;27.86;26.85;27.86;2003-03-06;4666300
MDLZ;11.3454;27.30;27.74;27.19;27.45;2003-03-07;3984300
MDLZ;11.2165;26.99;27.78;26.92;27.20;2003-03-10;3526900
MDLZ;11.5116;27.70;27.81;27.13;27.30;2003-03-11;2842700
MDLZ;11.6161;27.80;28.04;27.43;27.94;2003-03-12;3020400
MDLZ;11.9086;28.50;28.55;28.06;28.10;2003-03-13;2831900
MDLZ;11.9921;28.70;29.05;28.30;28.55;2003-03-14;2917700
MDLZ;12.4100;29.70;29.95;28.04;28.15;2003-03-17;3496500
MDLZ;12.0882;28.93;31.80;28.64;31.25;2003-03-18;7229100
MDLZ;12.5312;29.99;30.01;29.42;29.75;2003-03-19;4278300
MDLZ;12.3264;29.50;29.98;29.40;29.98;2003-03-20;2659100
MDLZ;12.8696;30.80;30.95;29.94;30.00;2003-03-21;4073800
MDLZ;12.5562;30.05;30.49;29.68;30.02;2003-03-24;4800300
MDLZ;12.4350;29.76;30.30;29.60;30.07;2003-03-25;3790400
MDLZ;12.2888;29.41;29.99;29.39;29.97;2003-03-26;2227600
MDLZ;12.1760;29.14;29.47;28.97;29.30;2003-03-27;3138000
MDLZ;11.9503;28.60;29.35;28.10;29.35;2003-03-28;5042200
MDLZ;11.7832;28.20;28.60;26.35;28.39;2003-03-31;9449800
MDLZ;11.7749;28.18;28.58;27.85;27.85;2003-04-01;5770700
