Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MHK;52.34;52.34;53.51;52.16;53.50;2003-02-04;326400
MHK;51.88;51.88;53.22;51.88;52.59;2003-02-05;316800
MHK;50.70;50.70;52.24;50.60;51.90;2003-02-06;348000
MHK;49.41;49.41;51.25;48.79;49.55;2003-02-07;1683300
MHK;50.93;50.93;50.93;49.41;49.41;2003-02-10;657400
MHK;49.50;49.50;51.10;49.10;50.90;2003-02-11;469500
MHK;48.19;48.19;50.00;48.02;49.74;2003-02-12;572800
MHK;47.55;47.55;48.07;46.64;48.05;2003-02-13;685200
MHK;50.08;50.08;50.30;47.55;47.55;2003-02-14;991600
MHK;51.17;51.17;51.66;50.55;50.65;2003-02-18;649200
MHK;49.89;49.89;51.25;49.80;51.25;2003-02-19;620200
MHK;49.27;49.27;49.90;48.61;49.90;2003-02-20;564800
MHK;48.83;48.83;49.00;48.05;48.85;2003-02-21;842100
MHK;48.50;48.50;48.99;48.11;48.95;2003-02-24;776900
MHK;49.53;49.53;49.62;47.97;48.25;2003-02-25;563100
MHK;48.66;48.66;49.92;48.66;49.85;2003-02-26;316600
MHK;49.32;49.32;49.69;48.78;48.85;2003-02-27;399000
MHK;49.38;49.38;50.05;49.15;49.75;2003-02-28;265000
MHK;48.56;48.56;49.38;48.30;49.38;2003-03-03;587800
MHK;47.38;47.38;48.09;47.38;48.00;2003-03-04;721300
MHK;46.67;46.67;47.60;46.40;47.38;2003-03-05;633900
MHK;45.69;45.69;46.67;45.35;46.67;2003-03-06;821000
MHK;46.27;46.27;46.80;45.20;45.65;2003-03-07;458500
MHK;44.85;44.85;46.00;44.54;46.00;2003-03-10;560200
MHK;44.93;44.93;45.35;44.50;44.75;2003-03-11;665600
MHK;44.26;44.26;44.70;43.44;44.70;2003-03-12;1718000
MHK;47.00;47.00;47.00;44.96;45.20;2003-03-13;737800
MHK;47.13;47.13;47.50;46.70;47.20;2003-03-14;404500
MHK;45.04;45.04;46.54;41.00;42.96;2003-03-17;5170400
MHK;46.01;46.01;46.46;45.50;45.50;2003-03-18;846500
MHK;46.08;46.08;46.23;45.45;45.85;2003-03-19;355500
MHK;47.85;47.85;47.88;45.83;45.95;2003-03-20;547700
MHK;50.10;50.10;50.11;48.50;48.50;2003-03-21;815100
MHK;47.82;47.82;49.55;47.55;49.50;2003-03-24;820200
MHK;48.91;48.91;49.46;47.80;47.80;2003-03-25;476600
MHK;48.24;48.24;48.85;47.85;48.85;2003-03-26;250700
MHK;48.56;48.56;48.90;47.66;48.05;2003-03-27;323700
MHK;48.94;48.94;49.09;48.05;48.47;2003-03-28;430200
MHK;47.94;47.94;48.77;47.65;48.55;2003-03-31;350700
MHK;49.59;49.59;49.65;47.95;48.05;2003-04-01;693500
MHK;51.61;51.61;52.01;50.11;50.11;2003-04-02;558700
MHK;50.81;50.81;51.53;50.80;51.48;2003-04-03;352100
MHK;50.19;50.19;51.20;50.09;50.82;2003-04-04;246900
MHK;51.69;51.69;52.70;51.08;51.10;2003-04-07;646900
MHK;51.41;51.41;51.69;51.05;51.69;2003-04-08;254200
MHK;50.71;50.71;51.85;50.70;51.55;2003-04-09;328400
MHK;51.32;51.32;51.80;50.25;50.71;2003-04-10;265600
MHK;51.72;51.72;52.10;51.20;51.88;2003-04-11;252500
MHK;53.16;53.16;53.35;51.65;51.73;2003-04-14;294800
MHK;53.27;53.27;53.35;52.60;53.10;2003-04-15;325300
MHK;52.57;52.57;53.81;52.45;53.27;2003-04-16;216000
MHK;54.72;54.72;54.75;53.25;53.40;2003-04-17;680500
MHK;54.70;54.70;55.16;54.56;54.72;2003-04-21;408700
MHK;56.02;56.02;56.40;54.20;54.71;2003-04-22;614000
MHK;54.52;54.52;56.06;54.52;56.00;2003-04-23;704500
MHK;54.01;54.01;54.53;53.15;54.53;2003-04-24;690000
MHK;53.34;53.34;54.29;53.10;54.02;2003-04-25;348000
MHK;55.25;55.25;55.42;53.48;53.50;2003-04-28;287000
MHK;55.83;55.83;56.05;54.93;55.00;2003-04-29;224500
MHK;55.47;55.47;55.90;55.30;55.59;2003-04-30;340700
MHK;54.47;54.47;55.34;53.85;55.30;2003-05-01;292100
MHK;55.66;55.66;55.94;54.50;54.57;2003-05-02;286300
MHK;55.83;55.83;56.20;55.66;55.70;2003-05-05;278900
MHK;56.50;56.50;56.93;55.83;55.84;2003-05-06;291200
MHK;56.75;56.75;56.90;56.05;56.25;2003-05-07;270800
MHK;56.50;56.50;56.95;56.23;56.40;2003-05-08;269300
MHK;56.55;56.55;56.78;56.34;56.65;2003-05-09;257500
MHK;57.63;57.63;57.90;56.02;56.25;2003-05-12;353600
MHK;58.05;58.05;58.45;56.90;57.55;2003-05-13;366200
MHK;57.95;57.95;58.84;57.78;58.25;2003-05-14;655300
MHK;57.88;57.88;58.35;57.30;58.00;2003-05-15;723100
MHK;57.07;57.07;57.75;56.75;57.75;2003-05-16;355700
MHK;55.63;55.63;56.90;55.63;56.90;2003-05-19;395600
MHK;53.80;53.80;55.63;53.50;55.63;2003-05-20;1038400
MHK;53.40;53.40;54.00;53.14;53.90;2003-05-21;763500
MHK;54.00;54.00;54.11;53.15;53.45;2003-05-22;384800
MHK;53.86;53.86;54.10;53.65;54.01;2003-05-23;355200
MHK;55.00;55.00;55.10;53.80;53.90;2003-05-27;423500
MHK;56.49;56.49;56.98;54.90;55.00;2003-05-28;719300
MHK;56.21;56.21;58.01;56.03;57.10;2003-05-29;437800
MHK;57.71;57.71;57.89;56.25;56.25;2003-05-30;373900
MHK;59.10;59.10;60.90;57.90;57.90;2003-06-02;1072500
MHK;59.05;59.05;59.29;57.80;59.00;2003-06-03;442800
MHK;60.74;60.74;61.33;59.20;59.20;2003-06-04;677300
MHK;62.55;62.55;62.60;59.91;60.60;2003-06-05;735200
MHK;60.86;60.86;63.04;60.75;62.85;2003-06-06;557400
MHK;58.44;58.44;60.65;57.90;60.65;2003-06-09;800700
MHK;58.52;58.52;59.40;58.20;58.60;2003-06-10;543000
MHK;59.96;59.96;60.44;58.04;58.51;2003-06-11;929600
MHK;60.76;60.76;61.05;59.43;60.45;2003-06-12;416600
MHK;59.85;59.85;60.97;59.49;60.90;2003-06-13;327900
MHK;61.06;61.06;61.30;59.95;60.15;2003-06-16;454900
