Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MKTX;15.5353;17.49;17.61;12.75;12.75;2004-11-05;8150300
MKTX;16.6101;18.70;18.88;16.50;17.13;2004-11-08;1113400
MKTX;16.4946;18.57;19.60;17.32;18.74;2004-11-09;521600
MKTX;17.8980;20.15;21.24;18.02;18.35;2004-11-10;709500
MKTX;18.6530;21.00;24.41;20.37;20.70;2004-11-11;1757100
MKTX;19.0083;21.40;22.50;21.00;22.15;2004-11-12;580900
MKTX;19.1948;21.61;23.10;20.59;21.65;2004-11-15;638900
MKTX;19.7189;22.20;22.47;20.95;22.19;2004-11-16;457500
MKTX;19.5412;22.00;23.25;21.80;21.80;2004-11-17;442500
MKTX;18.5109;20.84;21.99;20.51;21.81;2004-11-18;273900
MKTX;19.0971;21.50;21.75;19.49;20.80;2004-11-19;597300
MKTX;19.7367;22.22;22.99;21.08;21.13;2004-11-22;290400
MKTX;18.8218;21.19;22.85;20.65;22.85;2004-11-23;436800
MKTX;18.6974;21.05;21.56;20.25;21.50;2004-11-24;182600
MKTX;18.6530;21.00;21.25;20.90;21.15;2004-11-26;61100
MKTX;17.9691;20.23;21.75;19.71;21.70;2004-11-29;317800
MKTX;17.4095;19.60;20.76;19.51;20.43;2004-11-30;282900
MKTX;17.8003;20.04;20.10;19.25;19.89;2004-12-01;317000
MKTX;19.2215;21.64;22.47;20.00;20.00;2004-12-02;486600
MKTX;19.0438;21.44;22.87;21.08;21.65;2004-12-03;222000
MKTX;18.2089;20.50;22.07;20.44;21.66;2004-12-06;147000
MKTX;17.2674;19.44;21.00;18.54;20.99;2004-12-07;414200
MKTX;17.2318;19.40;19.68;18.70;19.40;2004-12-08;82500
MKTX;17.7648;20.00;20.40;18.85;19.45;2004-12-09;142900
MKTX;18.1290;20.41;20.84;20.05;20.20;2004-12-10;209100
MKTX;17.2318;19.40;20.37;19.25;20.16;2004-12-13;66500
MKTX;16.2459;18.29;19.90;17.95;19.40;2004-12-14;319600
MKTX;15.2866;17.21;18.38;17.05;18.25;2004-12-15;511400
MKTX;14.2918;16.09;17.25;15.67;17.03;2004-12-16;339100
MKTX;14.1496;15.93;16.96;15.72;16.24;2004-12-17;485700
MKTX;14.3184;16.12;16.85;15.85;16.25;2004-12-20;134400
MKTX;15.0734;16.97;17.46;16.05;16.05;2004-12-21;123500
MKTX;15.0468;16.94;17.15;16.75;17.15;2004-12-22;50100
MKTX;15.2688;17.19;17.32;16.86;16.99;2004-12-23;106800
MKTX;15.0823;16.98;17.31;16.32;17.19;2004-12-27;58400
MKTX;15.0201;16.91;17.05;16.50;17.05;2004-12-28;48200
MKTX;14.8869;16.76;17.20;16.55;16.75;2004-12-29;86500
MKTX;15.2599;17.18;17.18;16.81;16.94;2004-12-30;27600
MKTX;15.1089;17.01;17.13;16.71;17.13;2004-12-31;47500
MKTX;14.1674;15.95;17.15;15.94;16.75;2005-01-03;87400
MKTX;13.8210;15.56;16.27;15.30;16.15;2005-01-04;178100
MKTX;13.8565;15.60;16.41;15.29;15.42;2005-01-05;121500
MKTX;13.5723;15.28;15.73;15.12;15.50;2005-01-06;44000
MKTX;13.7677;15.50;16.18;15.22;15.25;2005-01-07;55000
MKTX;13.7677;15.50;16.00;15.06;15.50;2005-01-10;39300
MKTX;14.1408;15.92;16.01;15.39;15.50;2005-01-11;128500
MKTX;14.1052;15.88;15.93;15.41;15.80;2005-01-12;45200
MKTX;13.3946;15.08;15.74;14.97;15.50;2005-01-13;54100
MKTX;13.5012;15.20;15.33;14.95;14.95;2005-01-14;35500
MKTX;13.3147;14.99;15.45;14.94;15.35;2005-01-18;64200
MKTX;13.2614;14.93;15.10;14.75;15.10;2005-01-19;19400
MKTX;13.0393;14.68;14.87;14.40;14.70;2005-01-20;70900
MKTX;12.9150;14.54;14.77;13.61;14.46;2005-01-21;111200
MKTX;12.5242;14.10;15.27;14.10;14.15;2005-01-24;32900
MKTX;12.7906;14.40;14.49;14.10;14.22;2005-01-25;78800
MKTX;12.7462;14.35;14.63;14.15;14.58;2005-01-26;33700
MKTX;12.6308;14.22;14.50;14.16;14.25;2005-01-27;19100
MKTX;12.6396;14.23;14.40;14.15;14.15;2005-01-28;29700
MKTX;12.4176;13.98;14.41;13.87;14.10;2005-01-31;71500
MKTX;12.3998;13.96;14.25;13.85;13.86;2005-02-01;87500
MKTX;12.2755;13.82;13.97;13.62;13.95;2005-02-02;34800
MKTX;10.7388;12.09;13.60;12.09;13.60;2005-02-03;256200
MKTX;10.2147;11.50;12.45;10.83;11.99;2005-02-04;778700
MKTX;10.1259;11.40;12.15;11.25;11.25;2005-02-07;227800
MKTX;10.0815;11.35;11.90;11.25;11.31;2005-02-08;216400
MKTX;10.6322;11.97;12.88;11.42;12.60;2005-02-09;451900
MKTX;11.1030;12.50;13.00;12.40;12.79;2005-02-10;221300
MKTX;11.0852;12.48;12.73;12.40;12.73;2005-02-11;89300
MKTX;10.8365;12.20;12.55;12.04;12.55;2005-02-14;83800
MKTX;11.5915;13.05;13.32;12.10;12.10;2005-02-15;213300
MKTX;12.1689;13.70;13.75;13.20;13.45;2005-02-16;101700
MKTX;11.4938;12.94;14.05;12.79;13.88;2005-02-17;149500
MKTX;11.6892;13.16;13.68;13.12;13.13;2005-02-18;57200
MKTX;11.5471;13.00;13.30;12.85;13.30;2005-02-22;95600
MKTX;11.3783;12.81;13.14;12.81;13.14;2005-02-23;25600
MKTX;11.2273;12.64;12.81;12.21;12.75;2005-02-24;72700
MKTX;11.0852;12.48;12.60;12.05;12.45;2005-02-25;59000
MKTX;10.4990;11.82;12.57;11.80;12.57;2005-02-28;84500
MKTX;10.6589;12.00;12.15;11.95;12.15;2005-03-01;78200
MKTX;10.6589;12.00;12.01;11.88;12.00;2005-03-02;44100
MKTX;10.1526;11.43;11.99;11.39;11.79;2005-03-03;96700
MKTX;10.1526;11.43;11.60;11.35;11.35;2005-03-04;33600
MKTX;10.1259;11.40;11.56;11.33;11.50;2005-03-07;22400
MKTX;9.8683;11.11;11.69;10.93;11.34;2005-03-08;65300
MKTX;9.8239;11.06;11.08;10.66;10.98;2005-03-09;79800
MKTX;9.9660;11.22;11.42;11.06;11.06;2005-03-10;70100
MKTX;9.8062;11.04;11.45;10.72;11.13;2005-03-11;41600
MKTX;9.9483;11.20;11.25;10.94;11.00;2005-03-14;113700
MKTX;9.7617;10.99;11.31;10.90;11.31;2005-03-15;64600
MKTX;9.7706;11.00;11.18;10.86;10.89;2005-03-16;178700
MKTX;9.7262;10.95;11.17;10.86;11.00;2005-03-17;43900
MKTX;9.7173;10.94;11.15;10.82;10.82;2005-03-18;49400
MKTX;9.5042;10.70;11.09;10.60;10.92;2005-03-21;56400
MKTX;9.6996;10.92;11.10;10.58;10.59;2005-03-22;29400
MKTX;9.3265;10.50;10.86;10.39;10.77;2005-03-23;38500
MKTX;9.2466;10.41;10.58;10.28;10.48;2005-03-24;70400
MKTX;9.1133;10.26;10.44;10.02;10.26;2005-03-28;81200
MKTX;8.7758;9.88;10.38;9.75;10.20;2005-03-29;47000
MKTX;8.5626;9.64;9.91;9.18;9.70;2005-03-30;176400
MKTX;9.9216;11.17;11.45;9.51;9.51;2005-03-31;438300
MKTX;11.4849;12.93;12.99;11.88;12.09;2005-04-01;344000
MKTX;11.3339;12.76;13.03;12.10;13.03;2005-04-04;93900
MKTX;10.7832;12.14;12.80;12.14;12.79;2005-04-05;110200
MKTX;10.6589;12.00;12.25;11.98;12.09;2005-04-06;90100
MKTX;10.6944;12.04;12.18;11.75;12.10;2005-04-07;81900
MKTX;10.6233;11.96;12.13;11.94;12.00;2005-04-08;153800
MKTX;10.8809;12.25;12.72;12.00;12.00;2005-04-11;70700
MKTX;11.1563;12.56;12.69;12.10;12.25;2005-04-12;99100
MKTX;11.5649;13.02;13.37;12.50;12.50;2005-04-13;162200
MKTX;12.0800;13.60;13.93;12.99;13.28;2005-04-14;171100
MKTX;12.0090;13.52;13.61;13.30;13.61;2005-04-15;131100
MKTX;12.2932;13.84;14.35;13.42;13.82;2005-04-18;217300
MKTX;12.3199;13.87;14.15;13.81;14.15;2005-04-19;152000
MKTX;11.7336;13.21;13.80;13.21;13.80;2005-04-20;117900
MKTX;12.0800;13.60;13.68;13.20;13.22;2005-04-21;155600
MKTX;11.3339;12.76;13.59;12.76;13.59;2005-04-22;963100
MKTX;11.0586;12.45;13.00;12.27;12.85;2005-04-25;192600
MKTX;10.7033;12.05;12.50;12.00;12.49;2005-04-26;237200
MKTX;10.7477;12.10;12.22;11.86;12.02;2005-04-27;157100
MKTX;10.7388;12.09;12.57;12.05;12.10;2005-04-28;130500
MKTX;10.8898;12.26;12.44;12.00;12.44;2005-04-29;159700
MKTX;10.8632;12.23;12.57;11.92;12.32;2005-05-02;137700
MKTX;11.0408;12.43;12.69;12.17;12.17;2005-05-03;198700
MKTX;10.0371;11.30;11.75;10.65;11.75;2005-05-04;977200
MKTX;9.7706;11.00;11.50;10.93;11.07;2005-05-05;586100
MKTX;9.9749;11.23;11.23;10.71;10.89;2005-05-06;555200
MKTX;9.8594;11.10;11.25;10.48;11.11;2005-05-09;619900
MKTX;9.7706;11.00;11.10;10.93;11.10;2005-05-10;311000
MKTX;9.5841;10.79;11.00;10.67;11.00;2005-05-11;274900
MKTX;9.3443;10.52;10.77;10.22;10.64;2005-05-12;212900
MKTX;9.0778;10.22;10.55;10.22;10.49;2005-05-13;65600
MKTX;9.1489;10.30;10.43;9.49;10.20;2005-05-16;398400
MKTX;9.3265;10.50;10.51;10.07;10.32;2005-05-17;174500
MKTX;9.0600;10.20;10.90;9.93;10.39;2005-05-18;211000
MKTX;8.9712;10.10;10.48;10.00;10.20;2005-05-19;101900
MKTX;8.7936;9.90;10.16;9.77;10.16;2005-05-20;130900
MKTX;9.5308;10.73;11.10;9.83;9.83;2005-05-23;249100
MKTX;9.6374;10.85;11.00;10.57;10.84;2005-05-24;126400
MKTX;9.2554;10.42;10.90;10.28;10.88;2005-05-25;237700
MKTX;9.2732;10.44;10.47;10.30;10.40;2005-05-26;154200
MKTX;9.1933;10.35;10.69;10.10;10.32;2005-05-27;148900
MKTX;8.8824;10.00;10.48;9.74;10.48;2005-05-31;194200
MKTX;8.7314;9.83;10.00;9.49;9.88;2005-06-01;329100
MKTX;8.9357;10.06;10.06;9.71;9.83;2005-06-02;135700
MKTX;9.1311;10.28;10.43;10.00;10.05;2005-06-03;117000
MKTX;9.1489;10.30;10.31;9.87;10.18;2005-06-06;129800
MKTX;9.0956;10.24;10.36;10.19;10.33;2005-06-07;129100
MKTX;8.8202;9.93;10.18;9.86;10.18;2005-06-08;45700
MKTX;8.9623;10.09;10.09;9.84;10.04;2005-06-09;115700
MKTX;9.0600;10.20;10.43;10.03;10.04;2005-06-10;189300
MKTX;9.4153;10.60;10.71;10.22;10.22;2005-06-13;244200
MKTX;10.1526;11.43;11.50;10.57;10.67;2005-06-14;413500
MKTX;9.9216;11.17;11.70;10.86;11.66;2005-06-15;108100
MKTX;10.2592;11.55;11.58;10.91;11.04;2005-06-16;142700
MKTX;10.0904;11.36;11.60;11.35;11.48;2005-06-17;198200
MKTX;10.0637;11.33;11.64;11.26;11.64;2005-06-20;52100
MKTX;10.1703;11.45;11.52;11.30;11.34;2005-06-21;181400
MKTX;10.3480;11.65;11.73;11.42;11.49;2005-06-22;385500
MKTX;10.2147;11.50;11.77;11.42;11.77;2005-06-23;1232600
MKTX;10.2858;11.58;11.67;10.51;11.50;2005-06-24;1340700
MKTX;10.2236;11.51;11.64;11.40;11.64;2005-06-27;280900
MKTX;10.2147;11.50;11.60;11.11;11.53;2005-06-28;244900
MKTX;10.0993;11.37;11.72;10.79;11.50;2005-06-29;496000
MKTX;10.0371;11.30;11.44;11.03;11.25;2005-06-30;273100
MKTX;9.7884;11.02;11.33;10.90;11.33;2005-07-01;161000
MKTX;9.6374;10.85;11.16;10.76;10.92;2005-07-05;118100
MKTX;9.6729;10.89;11.04;10.74;10.75;2005-07-06;238000
MKTX;9.3443;10.52;10.89;10.20;10.77;2005-07-07;345200
MKTX;9.3620;10.54;10.58;10.38;10.41;2005-07-08;460200
MKTX;10.0371;11.30;11.96;10.51;10.60;2005-07-11;494300
MKTX;9.8150;11.05;11.39;10.97;11.33;2005-07-12;123900
MKTX;9.6463;10.86;11.10;10.82;11.10;2005-07-13;64300
MKTX;9.6729;10.89;11.25;10.89;10.99;2005-07-14;181100
MKTX;9.6552;10.87;11.00;10.60;10.75;2005-07-15;178700
MKTX;9.7262;10.95;11.08;10.71;10.86;2005-07-18;123500
MKTX;9.7440;10.97;11.09;10.74;11.09;2005-07-19;126400
MKTX;10.1526;11.43;11.48;10.88;10.91;2005-07-20;143200
MKTX;9.8239;11.06;11.47;10.94;11.43;2005-07-21;93500
MKTX;10.1170;11.39;11.42;11.02;11.06;2005-07-22;67100
MKTX;9.7884;11.02;11.29;10.95;11.29;2005-07-25;55800
MKTX;9.6996;10.92;11.13;10.76;11.02;2005-07-26;116600
MKTX;9.7617;10.99;11.18;10.56;10.95;2005-07-27;101000
MKTX;9.6463;10.86;11.18;10.73;10.94;2005-07-28;80000
MKTX;9.7262;10.95;11.00;10.79;10.79;2005-07-29;61000
MKTX;9.5574;10.76;11.01;10.75;10.98;2005-08-01;127900
MKTX;9.5574;10.76;10.76;10.60;10.73;2005-08-02;121500
MKTX;9.6285;10.84;11.02;10.53;10.67;2005-08-03;97700
MKTX;9.3798;10.56;10.81;10.56;10.81;2005-08-04;64900
MKTX;9.3887;10.57;10.66;10.55;10.60;2005-08-05;78000
MKTX;9.0778;10.22;10.35;10.03;10.03;2005-08-08;148500
MKTX;9.6285;10.84;11.08;10.07;10.27;2005-08-09;168000
MKTX;9.1311;10.28;11.00;10.02;10.89;2005-08-10;168000
MKTX;8.8824;10.00;10.33;9.87;10.27;2005-08-11;129200
MKTX;8.9179;10.04;10.13;9.81;9.96;2005-08-12;67900
MKTX;9.2022;10.36;10.36;9.96;10.07;2005-08-15;85600
MKTX;8.8824;10.00;10.34;9.92;10.34;2005-08-16;129300
MKTX;8.8735;9.99;10.09;9.85;9.92;2005-08-17;42200
MKTX;8.8735;9.99;10.14;9.87;9.89;2005-08-18;47900
MKTX;8.9357;10.06;10.16;9.90;9.94;2005-08-19;67800
MKTX;8.9357;10.06;10.24;9.95;10.16;2005-08-22;74200
MKTX;8.9890;10.12;10.20;9.95;10.13;2005-08-23;122900
MKTX;9.3265;10.50;10.54;10.03;10.07;2005-08-24;129800
MKTX;9.7795;11.01;11.16;10.48;10.48;2005-08-25;183500
MKTX;9.7795;11.01;11.49;10.91;10.95;2005-08-26;96000
MKTX;10.1081;11.38;11.39;10.91;10.92;2005-08-29;64400
MKTX;9.8950;11.14;11.38;11.00;11.38;2005-08-30;57600
MKTX;9.9394;11.19;11.25;10.84;11.14;2005-08-31;141800
MKTX;9.8150;11.05;11.41;11.03;11.19;2005-09-01;95600
MKTX;9.8328;11.07;11.09;11.00;11.01;2005-09-02;22700
MKTX;10.0282;11.29;11.37;11.02;11.02;2005-09-06;55500
MKTX;9.9660;11.22;11.65;10.88;11.26;2005-09-07;67200
MKTX;10.0371;11.30;11.48;11.04;11.18;2005-09-08;58100
MKTX;10.0726;11.34;11.43;10.98;11.31;2005-09-09;63700
MKTX;10.8365;12.20;12.47;11.40;11.40;2005-09-12;133700
MKTX;10.4457;11.76;12.23;11.51;12.20;2005-09-13;124000
MKTX;9.9483;11.20;11.77;11.07;11.77;2005-09-14;115700
MKTX;9.9838;11.24;11.24;11.13;11.21;2005-09-15;48800
MKTX;10.4279;11.74;12.29;11.41;12.25;2005-09-16;250100
MKTX;10.7033;12.05;12.23;11.67;11.67;2005-09-19;171700
MKTX;10.8010;12.16;12.23;11.95;12.09;2005-09-20;148500
MKTX;10.8454;12.21;12.36;12.06;12.07;2005-09-21;128400
MKTX;11.3339;12.76;13.15;12.06;12.10;2005-09-22;215500
MKTX;11.6626;13.13;13.38;12.78;12.85;2005-09-23;188200
MKTX;11.8402;13.33;13.70;13.22;13.22;2005-09-26;157700
MKTX;11.9290;13.43;13.60;13.25;13.33;2005-09-27;274600
MKTX;12.5153;14.09;14.55;13.18;13.53;2005-09-28;189300
MKTX;12.4442;14.01;14.16;13.17;14.10;2005-09-29;115700
MKTX;12.0800;13.60;13.96;13.35;13.83;2005-09-30;202200
MKTX;11.6715;13.14;13.55;13.12;13.55;2005-10-03;126100
MKTX;11.3606;12.79;13.22;12.74;13.17;2005-10-04;150200
MKTX;11.0497;12.44;12.90;12.15;12.69;2005-10-05;187400
MKTX;11.0497;12.44;12.72;12.25;12.45;2005-10-06;106500
MKTX;11.0497;12.44;12.56;12.39;12.47;2005-10-07;104500
MKTX;10.9076;12.28;12.54;12.27;12.37;2005-10-10;46500
MKTX;11.2984;12.72;12.97;12.37;12.37;2005-10-11;116400
MKTX;10.9253;12.30;12.85;12.11;12.66;2005-10-12;81100
MKTX;10.8365;12.20;12.36;11.88;12.19;2005-10-13;91000
MKTX;10.6589;12.00;12.35;11.56;12.35;2005-10-14;85400
MKTX;10.4279;11.74;12.05;11.68;11.92;2005-10-17;113400
MKTX;10.2592;11.55;11.84;11.55;11.68;2005-10-18;38000
MKTX;11.0763;12.47;12.50;10.90;11.55;2005-10-19;141400
MKTX;10.7033;12.05;12.53;11.80;12.53;2005-10-20;54400
MKTX;10.8809;12.25;12.50;12.10;12.11;2005-10-21;76600
MKTX;11.1385;12.54;12.80;12.30;12.30;2005-10-24;190800
MKTX;11.0142;12.40;12.52;12.10;12.49;2005-10-25;45600
MKTX;10.9786;12.36;12.60;12.21;12.37;2005-10-26;204200
MKTX;10.6677;12.01;12.37;11.93;12.31;2005-10-27;102600
MKTX;10.9609;12.34;12.34;11.90;12.06;2005-10-28;108700
MKTX;10.9609;12.34;12.53;12.24;12.36;2005-10-31;128300
MKTX;10.6233;11.96;12.50;11.53;12.28;2005-11-01;204200
MKTX;10.7921;12.15;12.50;11.76;11.89;2005-11-02;109100
MKTX;11.2185;12.63;12.63;12.22;12.31;2005-11-03;98300
MKTX;10.7033;12.05;12.65;11.89;12.61;2005-11-04;156300
MKTX;11.0053;12.39;12.75;12.01;12.11;2005-11-07;100200
MKTX;10.6589;12.00;12.33;12.00;12.33;2005-11-08;69900
MKTX;10.6056;11.94;12.05;11.83;11.94;2005-11-09;136100
MKTX;10.6322;11.97;12.15;11.52;11.88;2005-11-10;134500
MKTX;10.7210;12.07;12.10;11.56;11.89;2005-11-11;95700
MKTX;10.6589;12.00;12.30;11.81;12.10;2005-11-14;107800
MKTX;10.3835;11.69;12.05;11.54;11.91;2005-11-15;38300
MKTX;9.8861;11.13;11.68;10.85;11.68;2005-11-16;139700
MKTX;9.9039;11.15;11.41;10.87;11.18;2005-11-17;85800
MKTX;10.5700;11.90;11.93;11.07;11.33;2005-11-18;103400
MKTX;10.6589;12.00;12.12;11.65;11.83;2005-11-21;70400
MKTX;10.7033;12.05;12.49;11.82;11.91;2005-11-22;72500
MKTX;10.8987;12.27;12.45;11.90;12.02;2005-11-23;120200
MKTX;11.0586;12.45;12.67;12.20;12.43;2005-11-25;48300
MKTX;10.9253;12.30;12.60;11.84;12.45;2005-11-28;169600
MKTX;10.8365;12.20;12.37;11.97;12.27;2005-11-29;131600
MKTX;10.8454;12.21;12.27;11.82;12.22;2005-11-30;120300
MKTX;10.3480;11.65;12.40;11.60;12.40;2005-12-01;218100
MKTX;10.4457;11.76;11.78;11.30;11.56;2005-12-02;84100
MKTX;10.3036;11.60;11.75;11.19;11.68;2005-12-05;80800
MKTX;10.1081;11.38;11.86;11.32;11.72;2005-12-06;107300
MKTX;10.0549;11.32;11.55;11.09;11.46;2005-12-07;140000
MKTX;10.1881;11.47;11.57;10.92;11.32;2005-12-08;116000
MKTX;10.3302;11.63;11.79;11.43;11.48;2005-12-09;86800
MKTX;10.1259;11.40;11.86;11.07;11.58;2005-12-12;371100
MKTX;9.8950;11.14;11.36;11.04;11.31;2005-12-13;509400
MKTX;9.9838;11.24;11.33;10.82;11.17;2005-12-14;83700
MKTX;9.8062;11.04;11.22;10.91;11.15;2005-12-15;50900
MKTX;9.8950;11.14;11.22;10.65;10.96;2005-12-16;235700
MKTX;9.6818;10.90;11.15;10.77;11.12;2005-12-19;245500
MKTX;9.6374;10.85;10.96;10.73;10.82;2005-12-20;113400
MKTX;9.4509;10.64;10.90;10.60;10.90;2005-12-21;65400
MKTX;9.8506;11.09;11.41;10.51;10.75;2005-12-22;111200
MKTX;9.7529;10.98;11.30;10.93;11.03;2005-12-23;84800
MKTX;9.5042;10.70;11.06;10.67;11.00;2005-12-27;140000
MKTX;9.6907;10.91;10.97;10.73;10.80;2005-12-28;52800
MKTX;9.6552;10.87;10.97;10.52;10.82;2005-12-29;194900
MKTX;10.1526;11.43;11.49;10.85;10.95;2005-12-30;187100
MKTX;9.9660;11.22;11.48;10.86;11.43;2006-01-03;119400
MKTX;10.0904;11.36;11.50;11.11;11.30;2006-01-04;111000
