Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MMC;26.5293;41.50;42.41;40.84;42.41;2003-02-04;2508900
MMC;26.3503;41.22;42.32;41.10;41.65;2003-02-05;1363100
MMC;25.9028;40.52;41.35;40.31;41.12;2003-02-06;1584000
MMC;26.1777;40.95;40.99;40.36;40.70;2003-02-07;1757900
MMC;26.0818;40.80;41.10;40.30;40.95;2003-02-10;1421000
MMC;25.5001;39.89;41.19;39.84;40.80;2003-02-11;2032200
MMC;25.4937;39.88;40.52;39.87;40.14;2003-02-12;1440500
MMC;25.3722;39.69;40.16;39.00;39.98;2003-02-13;1673800
MMC;26.3823;41.27;41.27;40.02;40.14;2003-02-14;1899800
MMC;26.6508;41.69;42.17;41.20;41.33;2003-02-18;1339400
MMC;26.6060;41.62;41.86;41.19;41.50;2003-02-19;1047100
MMC;26.4334;41.35;41.87;41.15;41.70;2003-02-20;823300
MMC;26.8937;42.07;42.35;41.19;41.70;2003-02-21;1299600
MMC;26.2928;41.13;41.79;40.93;41.70;2003-02-24;1565200
MMC;26.3951;41.29;41.35;40.01;40.52;2003-02-25;1519800
MMC;26.2225;41.02;41.40;40.79;41.18;2003-02-26;1526600
MMC;26.4654;41.40;41.73;40.97;41.19;2003-02-27;1835500
MMC;26.0179;40.70;41.65;40.70;41.49;2003-02-28;2153200
MMC;25.7558;40.29;41.09;40.05;40.90;2003-03-03;2183300
MMC;25.2188;39.45;40.42;39.35;40.29;2003-03-04;1809000
MMC;25.7558;40.29;40.30;39.15;39.22;2003-03-05;2083300
MMC;25.3467;39.65;40.77;39.65;40.10;2003-03-06;2355800
MMC;25.3211;39.61;39.61;38.78;39.15;2003-03-07;2377200
MMC;24.7713;38.75;39.22;38.27;38.92;2003-03-10;2267900
MMC;24.6243;38.52;39.45;38.38;38.60;2003-03-11;2238400
MMC;24.8928;38.94;38.94;38.30;38.35;2003-03-12;2982800
MMC;26.0243;40.71;40.71;39.22;39.48;2003-03-13;2489200
MMC;26.4334;41.35;41.72;40.60;40.98;2003-03-14;2092000
MMC;27.4243;42.90;42.98;40.85;40.85;2003-03-17;2063900
MMC;27.0407;42.30;43.19;41.90;42.81;2003-03-18;2316900
MMC;27.8909;43.63;43.63;42.35;42.50;2003-03-19;2086800
MMC;27.8398;43.55;43.85;42.31;43.00;2003-03-20;1616800
MMC;28.5685;44.69;44.90;43.74;44.41;2003-03-21;2739800
MMC;27.9421;43.71;44.00;43.25;43.85;2003-03-24;1927500
MMC;27.9101;43.66;43.97;42.85;43.50;2003-03-25;1411300
MMC;27.9165;43.67;44.25;43.23;43.55;2003-03-26;1742200
MMC;27.7247;43.37;43.71;42.46;43.07;2003-03-27;1937100
MMC;27.5393;43.08;43.44;42.65;43.11;2003-03-28;1072400
MMC;27.2517;42.63;43.29;42.21;42.69;2003-03-31;1449400
MMC;27.5585;43.11;43.27;42.27;42.55;2003-04-01;1692500
MMC;28.2745;44.23;44.54;43.65;43.65;2003-04-02;1188300
MMC;28.2361;44.17;44.75;44.13;44.60;2003-04-03;1198600
MMC;28.7028;44.90;45.28;44.70;44.95;2003-04-04;1579600
MMC;29.7063;46.18;47.40;46.15;46.90;2003-04-07;2817200
MMC;29.4683;45.81;46.05;45.41;45.87;2003-04-08;1342800
MMC;28.7221;44.65;46.14;44.65;45.02;2003-04-09;2090400
MMC;28.4584;44.24;44.70;43.66;44.66;2003-04-10;2198200
MMC;28.5806;44.43;44.95;44.26;44.70;2003-04-11;1078400
MMC;29.5069;45.87;45.87;44.48;44.48;2003-04-14;1154500
MMC;29.7192;46.20;46.60;45.65;45.72;2003-04-15;1045200
MMC;29.3782;45.67;46.58;45.49;46.31;2003-04-16;1527000
MMC;29.9443;46.55;46.55;45.55;45.67;2003-04-17;1168400
MMC;29.4940;45.85;46.58;45.65;46.55;2003-04-21;983100
MMC;29.8800;46.45;47.09;45.11;45.31;2003-04-22;2509000
MMC;30.6841;47.70;47.99;46.45;46.45;2003-04-23;2952900
MMC;29.9893;46.62;47.70;46.21;47.70;2003-04-24;1817200
MMC;29.5905;46.00;46.95;45.95;46.31;2003-04-25;1740900
MMC;30.2081;46.96;47.20;46.43;46.55;2003-04-28;1440900
MMC;30.3946;47.25;47.63;46.55;47.10;2003-04-29;1425500
MMC;30.6712;47.68;47.97;46.75;47.00;2003-04-30;2385600
MMC;30.9800;48.16;48.40;46.12;47.73;2003-05-01;2459300
MMC;31.0057;48.20;48.24;47.40;47.95;2003-05-02;1879500
MMC;30.8899;48.02;48.46;47.82;48.15;2003-05-05;1178100
MMC;31.3466;48.73;49.00;47.85;47.90;2003-05-06;1434500
MMC;31.0057;48.20;48.83;47.84;48.73;2003-05-07;1400400
MMC;30.4010;47.26;47.87;47.11;47.53;2003-05-08;1445300
MMC;30.8770;48.00;48.24;47.36;47.51;2003-05-09;1558300
MMC;31.1215;48.38;48.57;47.31;47.50;2003-05-12;1879100
MMC;31.1987;48.50;48.83;47.95;48.00;2003-05-13;1156300
MMC;31.3724;48.77;49.15;48.33;48.59;2003-05-14;2019800
MMC;31.8291;49.48;49.50;48.85;49.00;2003-05-15;1811200
MMC;31.8548;49.52;49.75;49.18;49.48;2003-05-16;1847500
MMC;31.2823;48.63;49.52;48.50;49.52;2003-05-19;1452300
MMC;31.0507;48.27;48.98;47.74;48.73;2003-05-20;1662000
MMC;31.1730;48.46;48.86;47.97;48.17;2003-05-21;1377600
MMC;31.6104;49.14;49.29;48.17;48.28;2003-05-22;1910000
MMC;31.6747;49.24;49.45;48.51;48.69;2003-05-23;1367600
MMC;32.0606;49.84;49.93;48.46;48.85;2003-05-27;1759700
MMC;31.5975;49.12;49.80;49.04;49.72;2003-05-28;1922300
MMC;31.5589;49.06;49.85;48.80;49.22;2003-05-29;1666400
MMC;32.2472;50.13;50.13;49.03;49.03;2003-05-30;2222000
MMC;32.5946;50.67;51.51;49.85;50.32;2003-06-02;1682100
MMC;32.6267;50.72;51.67;50.50;50.67;2003-06-03;1944600
MMC;33.0063;51.31;51.68;50.10;50.31;2003-06-04;1661400
MMC;33.0191;51.33;51.54;50.90;51.00;2003-06-05;1513000
MMC;33.6817;52.36;53.20;51.20;51.53;2003-06-06;2427900
MMC;32.9291;51.19;52.09;50.88;51.88;2003-06-09;1624800
MMC;33.6946;52.38;52.60;51.69;51.75;2003-06-10;1218600
MMC;33.9969;52.85;52.90;51.95;52.38;2003-06-11;1484800
MMC;34.5759;53.75;53.92;52.71;52.85;2003-06-12;2165000
MMC;34.5180;53.66;54.00;53.37;53.89;2003-06-13;1425500
MMC;35.2127;54.74;54.75;53.75;53.95;2003-06-16;1649900
MMC;34.7946;54.09;54.97;54.09;54.68;2003-06-17;1393000
MMC;34.7624;54.04;54.24;53.29;54.02;2003-06-18;1155900
MMC;33.6431;52.30;53.95;52.18;53.95;2003-06-19;1917000
MMC;33.6946;52.38;53.03;52.18;52.74;2003-06-20;2348900
MMC;33.1028;51.46;52.17;51.32;52.00;2003-06-23;1011400
MMC;33.2186;51.64;51.93;51.25;51.35;2003-06-24;1580600
MMC;32.8519;51.07;52.00;51.05;51.81;2003-06-25;1490200
MMC;33.2636;51.71;52.12;51.05;51.08;2003-06-26;1277700
MMC;33.2764;51.73;52.18;51.40;52.05;2003-06-27;1578000
MMC;32.8519;51.07;52.01;51.04;51.73;2003-06-30;2069700
MMC;32.8969;51.14;51.27;49.80;51.07;2003-07-01;2220800
MMC;33.9647;52.80;52.80;51.55;51.68;2003-07-02;1972900
MMC;33.7846;52.52;53.00;52.00;52.73;2003-07-03;890600
MMC;34.7164;53.65;53.98;52.50;52.63;2003-07-07;1369000
MMC;34.2570;52.94;53.43;52.47;53.10;2003-07-08;1579800
MMC;34.4188;53.19;53.27;52.55;52.65;2003-07-09;1299300
MMC;33.2281;51.35;52.33;50.68;52.31;2003-07-10;2646100
MMC;33.6617;52.02;52.17;51.07;51.50;2003-07-11;1731000
MMC;33.8882;52.37;53.00;52.33;52.50;2003-07-14;1145900
MMC;33.8041;52.24;52.84;52.03;52.75;2003-07-15;1851300
MMC;33.8946;52.38;52.80;51.91;52.50;2003-07-16;1575300
MMC;33.4481;51.69;52.25;51.50;52.25;2003-07-17;1441600
MMC;34.3023;53.01;53.01;52.00;52.19;2003-07-18;1900800
MMC;33.7523;52.16;52.98;51.91;52.51;2003-07-21;1717700
MMC;32.5746;50.34;52.25;50.22;52.16;2003-07-22;3757600
MMC;31.9728;49.41;50.26;49.05;49.97;2003-07-23;3904500
MMC;31.7916;49.13;50.23;49.05;49.85;2003-07-24;2786400
MMC;32.8593;50.78;50.84;49.39;49.62;2003-07-25;1723600
MMC;32.7234;50.57;51.23;50.03;50.38;2003-07-28;2338800
MMC;32.3157;49.94;50.44;49.33;50.25;2003-07-29;2097500
MMC;32.1475;49.68;50.28;49.28;50.00;2003-07-30;1647200
MMC;32.1087;49.62;50.84;49.49;50.25;2003-07-31;1928300
MMC;31.4486;48.60;49.31;48.55;49.10;2003-08-01;2077900
MMC;31.6428;48.90;49.06;47.69;48.60;2003-08-04;1551100
MMC;31.2675;48.32;49.10;48.18;48.85;2003-08-05;1641500
MMC;31.4875;48.66;49.05;48.02;48.07;2003-08-06;1980200
MMC;31.6751;48.95;49.15;48.40;48.43;2003-08-07;1939100
MMC;32.1669;49.71;49.85;49.19;49.35;2003-08-08;1388300
MMC;32.0893;49.59;49.95;49.35;49.65;2003-08-11;1126200
MMC;32.7687;50.64;50.90;49.88;49.98;2003-08-12;1914800
MMC;32.5875;50.36;51.15;50.12;50.89;2003-08-13;1254300
MMC;33.0146;51.02;51.05;50.12;50.36;2003-08-14;1382800
MMC;33.4417;51.68;51.80;50.66;51.01;2003-08-15;1179200
MMC;33.1246;51.19;51.80;51.19;51.66;2003-08-18;1012000
MMC;32.9822;50.97;51.70;50.60;51.70;2003-08-19;1790700
MMC;32.8269;50.73;51.05;50.53;50.90;2003-08-20;1364300
MMC;32.0051;49.46;51.19;49.46;50.80;2003-08-21;2754700
MMC;31.7140;49.01;49.56;48.96;49.50;2003-08-22;1765200
MMC;32.2252;49.80;49.80;48.96;49.01;2003-08-25;1602300
MMC;32.2640;49.86;50.07;49.09;49.52;2003-08-26;2061700
MMC;32.3610;50.01;50.12;49.55;49.81;2003-08-27;1437900
MMC;32.1281;49.65;50.13;49.51;50.00;2003-08-28;1878700
MMC;32.3546;50.00;50.00;48.98;49.50;2003-08-29;2254600
MMC;33.0664;51.10;51.35;49.54;49.54;2003-09-02;2486700
MMC;32.6458;50.45;51.25;50.20;51.25;2003-09-03;2490200
MMC;32.3546;50.00;50.53;49.97;50.45;2003-09-04;1783100
MMC;31.9663;49.40;49.72;49.20;49.40;2003-09-05;1455000
MMC;32.2640;49.86;50.15;49.32;49.60;2003-09-08;1276600
MMC;32.2187;49.79;50.27;49.73;49.75;2003-09-09;1024600
MMC;31.9857;49.43;50.20;49.33;49.79;2003-09-10;1090800
MMC;32.3222;49.95;50.01;49.52;49.90;2003-09-11;1923300
MMC;31.7787;49.11;49.80;48.65;49.60;2003-09-12;1977000
MMC;31.6686;48.94;49.15;48.66;48.90;2003-09-15;1029400
MMC;32.0957;49.60;49.66;48.94;48.94;2003-09-16;1154900
MMC;32.1669;49.71;49.93;49.42;49.80;2003-09-17;1126800
MMC;32.3546;50.00;50.37;49.75;49.87;2003-09-18;1847300
MMC;32.0957;49.60;50.05;49.49;50.00;2003-09-19;1529200
MMC;31.5975;48.83;49.19;48.60;49.00;2003-09-22;1397100
