Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MOS;7.6789;9.50;9.60;9.18;9.47;2003-02-04;345800
MOS;7.5253;9.31;9.62;9.23;9.50;2003-02-05;524400
MOS;7.3475;9.09;9.19;8.94;9.16;2003-02-06;573900
MOS;7.1939;8.90;9.10;8.90;9.09;2003-02-07;531700
MOS;7.1535;8.85;8.92;8.61;8.90;2003-02-10;746700
MOS;7.0807;8.76;9.03;8.74;8.86;2003-02-11;565400
MOS;6.7655;8.37;8.72;8.37;8.66;2003-02-12;606800
MOS;6.7493;8.35;8.47;8.20;8.47;2003-02-13;638900
MOS;6.6362;8.21;8.44;8.21;8.35;2003-02-14;704100
MOS;6.8867;8.52;8.57;8.36;8.36;2003-02-18;895600
MOS;6.7332;8.33;8.50;8.25;8.46;2003-02-19;517300
MOS;6.6766;8.26;8.40;8.12;8.27;2003-02-20;466200
MOS;6.7170;8.31;8.35;8.09;8.27;2003-02-21;386500
MOS;6.5068;8.05;8.36;8.05;8.34;2003-02-24;454400
MOS;6.8221;8.44;8.44;7.89;8.05;2003-02-25;830300
MOS;6.8706;8.50;8.77;8.20;8.48;2003-02-26;2954200
MOS;7.0646;8.74;8.88;8.50;8.50;2003-02-27;907000
MOS;7.1212;8.81;8.92;8.74;8.80;2003-02-28;956400
MOS;7.2747;9.00;9.10;8.83;9.00;2003-03-03;1325300
MOS;7.1373;8.83;9.15;8.83;9.00;2003-03-04;979400
MOS;7.0969;8.78;9.00;8.75;8.84;2003-03-05;600700
MOS;6.9272;8.57;8.84;8.53;8.78;2003-03-06;823100
MOS;7.0403;8.71;8.78;8.52;8.57;2003-03-07;655900
MOS;6.6928;8.28;8.75;8.25;8.72;2003-03-10;769200
MOS;6.6200;8.19;8.42;8.18;8.20;2003-03-11;493100
MOS;6.6119;8.16;8.36;8.03;8.12;2003-03-12;585900
MOS;7.0495;8.70;8.70;8.15;8.30;2003-03-13;515400
MOS;6.7091;8.28;8.63;8.28;8.60;2003-03-14;789400
MOS;7.0333;8.68;8.68;8.28;8.29;2003-03-17;441600
MOS;7.2358;8.93;8.93;8.55;8.67;2003-03-18;668300
MOS;7.7463;9.56;9.95;9.20;9.20;2003-03-19;1802900
MOS;7.7949;9.62;9.77;9.46;9.63;2003-03-20;1082500
MOS;8.2568;10.19;10.50;9.75;9.80;2003-03-21;1013200
MOS;7.7868;9.61;10.00;9.49;9.90;2003-03-24;879100
MOS;7.8273;9.66;9.80;9.50;9.50;2003-03-25;647400
MOS;7.9003;9.75;9.98;9.60;9.75;2003-03-26;346100
MOS;7.8273;9.66;9.78;9.41;9.58;2003-03-27;564100
MOS;7.8678;9.71;9.73;9.48;9.64;2003-03-28;477900
MOS;7.7949;9.62;9.72;9.25;9.53;2003-03-31;549500
MOS;7.6734;9.47;9.63;9.37;9.63;2003-04-01;479000
MOS;7.9084;9.76;9.99;9.61;9.62;2003-04-02;794000
MOS;7.7220;9.53;9.73;9.52;9.73;2003-04-03;574600
MOS;7.8030;9.63;9.84;9.50;9.60;2003-04-04;841500
MOS;7.9894;9.86;10.08;9.70;9.70;2003-04-07;355100
MOS;7.8597;9.70;9.90;9.55;9.78;2003-04-08;610100
MOS;7.7706;9.59;9.85;9.59;9.74;2003-04-09;364100
MOS;7.6167;9.40;9.69;9.35;9.53;2003-04-10;646800
MOS;7.5761;9.35;9.78;9.25;9.60;2003-04-11;578400
MOS;7.6977;9.50;9.61;9.35;9.36;2003-04-14;708400
MOS;7.7058;9.51;9.55;9.24;9.43;2003-04-15;942900
MOS;7.6896;9.49;9.67;9.29;9.67;2003-04-16;491000
MOS;7.4465;9.19;9.55;9.11;9.39;2003-04-17;1383000
MOS;7.5194;9.28;9.34;9.17;9.23;2003-04-21;316600
MOS;7.5923;9.37;9.50;9.12;9.20;2003-04-22;586400
MOS;7.4546;9.20;9.43;9.20;9.30;2003-04-23;522100
MOS;7.4060;9.14;9.35;9.02;9.10;2003-04-24;694600
MOS;7.3898;9.12;9.15;8.96;9.15;2003-04-25;609700
MOS;7.3493;9.07;9.21;9.06;9.10;2003-04-28;494600
MOS;7.3168;9.03;9.20;9.00;9.17;2003-04-29;578700
MOS;7.3412;9.06;9.16;8.95;9.00;2003-04-30;527100
MOS;7.4951;9.25;9.32;8.93;9.02;2003-05-01;710500
MOS;7.4789;9.23;9.23;9.00;9.10;2003-05-02;588700
MOS;7.6329;9.42;9.42;9.08;9.15;2003-05-05;720300
