Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MRK;26.7356;54.85;55.20;54.50;55.10;2003-02-04;5708400
MRK;26.6430;54.66;55.91;54.41;55.45;2003-02-05;5239100
MRK;26.5211;54.41;55.11;53.85;54.15;2003-02-06;5670000
MRK;26.1068;53.56;54.50;52.80;54.41;2003-02-07;5152800
MRK;26.5162;54.40;54.58;53.10;53.58;2003-02-10;5691600
MRK;26.3261;54.01;55.20;53.86;54.85;2003-02-11;4471300
MRK;26.0044;53.35;54.12;53.14;54.10;2003-02-12;4451100
MRK;25.6389;52.60;53.05;51.60;52.92;2003-02-13;4493900
MRK;26.2774;53.91;53.99;52.60;52.60;2003-02-14;5767200
MRK;26.7600;54.90;55.45;54.45;54.83;2003-02-18;4601200
MRK;26.4968;54.36;55.07;53.82;54.91;2003-02-19;3882900
MRK;26.0191;53.38;54.57;53.16;54.30;2003-02-20;4043500
MRK;26.2287;53.81;54.40;52.90;53.15;2003-02-21;5014200
MRK;25.5706;52.46;53.50;52.00;53.38;2003-02-24;5609000
MRK;25.7120;52.75;53.04;51.60;52.00;2003-02-25;5163700
MRK;25.3951;52.10;53.33;51.83;52.75;2003-02-26;4587400
MRK;25.7364;52.80;53.39;52.10;52.10;2003-02-27;4780900
MRK;25.7120;52.75;53.03;52.39;52.80;2003-02-28;5611800
MRK;25.5852;52.49;53.72;52.12;53.35;2003-03-03;4556400
MRK;25.1563;51.61;52.45;51.61;52.45;2003-03-04;4993500
MRK;25.4606;51.87;52.12;50.89;50.95;2003-03-05;6792800
MRK;25.4999;51.95;52.49;51.27;51.62;2003-03-06;5404100
MRK;25.7012;52.36;52.70;51.07;51.10;2003-03-07;5117000
MRK;25.1269;51.19;51.92;50.98;51.55;2003-03-10;4495000
MRK;24.9207;50.77;51.06;49.90;50.78;2003-03-11;5834800
MRK;25.1612;51.26;51.26;50.37;50.77;2003-03-12;5812400
MRK;25.0876;51.11;51.64;50.65;51.26;2003-03-13;7448000
MRK;24.9354;50.80;51.90;50.60;51.11;2003-03-14;5901200
MRK;25.6226;52.20;52.35;50.50;50.80;2003-03-17;6220600
MRK;26.0251;53.02;53.33;52.20;52.22;2003-03-18;6700000
MRK;26.7320;54.46;54.73;53.30;53.30;2003-03-19;5818600
MRK;26.9921;54.99;55.08;54.09;54.46;2003-03-20;6271700
MRK;27.7333;56.50;56.85;55.38;55.43;2003-03-21;7168600
MRK;26.8252;54.65;56.24;54.26;56.24;2003-03-24;5705100
MRK;27.2424;55.50;55.85;54.46;54.66;2003-03-25;6319700
MRK;26.7369;54.47;55.37;54.38;55.00;2003-03-26;6284000
MRK;27.0314;55.07;55.55;54.13;54.25;2003-03-27;4899100
MRK;27.1688;55.35;55.74;54.49;55.07;2003-03-28;4238200
MRK;26.8890;54.78;55.57;54.17;54.55;2003-03-31;5505100
MRK;27.2915;55.60;55.80;54.78;55.10;2003-04-01;5072900
MRK;27.8658;56.77;57.27;55.60;55.60;2003-04-02;5194200
MRK;27.5419;56.11;56.77;55.95;56.77;2003-04-03;7531300
MRK;28.0769;57.20;57.50;56.12;56.15;2003-04-04;5388400
MRK;27.8953;56.83;58.45;56.75;57.90;2003-04-07;5540000
MRK;27.8364;56.71;57.40;56.50;56.82;2003-04-08;4664200
MRK;27.3161;55.65;57.10;55.50;56.71;2003-04-09;5153700
MRK;27.3455;55.71;55.76;54.65;55.65;2003-04-10;5272700
MRK;27.2032;55.42;56.64;55.31;56.08;2003-04-11;4388100
MRK;27.8167;56.67;56.70;55.40;55.42;2003-04-14;3929200
MRK;27.9444;56.93;57.05;56.35;56.65;2003-04-15;4517300
