Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MRO;4.3659;6.5138;6.5138;6.2871;6.3706;2003-02-04;5817267
MRO;4.3999;6.5645;6.6182;6.4929;6.6062;2003-02-05;7501760
MRO;4.3899;6.5496;6.5883;6.4720;6.5675;2003-02-06;6182062
MRO;4.3499;6.4899;6.6122;6.4840;6.6122;2003-02-07;4365801
MRO;4.4199;6.5943;6.5973;6.4899;6.5555;2003-02-10;3938977
MRO;4.4499;6.6390;6.6927;6.5913;6.6361;2003-02-11;5541324
MRO;4.3359;6.4690;6.6420;6.4661;6.6420;2003-02-12;3698575
MRO;4.3139;6.4362;6.5168;6.3796;6.4810;2003-02-13;6691031
MRO;4.3321;6.3945;6.4661;6.3676;6.4034;2003-02-14;4574015
MRO;4.5301;6.6868;6.6897;6.4273;6.4273;2003-02-18;5111148
MRO;4.4614;6.5854;6.6689;6.5406;6.6659;2003-02-19;3935960
MRO;4.4574;6.5794;6.6599;6.5227;6.6212;2003-02-20;3857837
MRO;4.5342;6.6927;6.7255;6.5764;6.5913;2003-02-21;3588600
MRO;4.5564;6.7255;6.7762;6.6868;6.6927;2003-02-24;3033026
MRO;4.5503;6.7166;6.8389;6.6659;6.7166;2003-02-25;3530260
MRO;4.5786;6.7583;6.8359;6.6420;6.7166;2003-02-26;4230008
MRO;4.5827;6.7643;6.8597;6.7166;6.7733;2003-02-27;4301425
MRO;4.6655;6.8866;6.8985;6.7613;6.7613;2003-02-28;5196312
MRO;4.6534;6.8687;6.9880;6.8508;6.9164;2003-03-03;4985080
MRO;4.6271;6.8299;6.9105;6.8299;6.8717;2003-03-04;3791450
MRO;4.7241;6.9731;6.9791;6.8419;6.8597;2003-03-05;3847108
MRO;4.7120;6.9552;6.9761;6.8896;6.9552;2003-03-06;2941492
MRO;4.7383;6.9940;7.0029;6.8866;6.9552;2003-03-07;3730427
MRO;4.7302;6.9820;7.0834;6.9671;7.0536;2003-03-10;4049288
MRO;4.6776;6.9045;7.1162;6.9045;7.0178;2003-03-11;7336798
MRO;4.5423;6.7047;6.9045;6.6361;6.9045;2003-03-12;7335457
MRO;4.5463;6.7106;6.7852;6.6748;6.7703;2003-03-13;6798659
MRO;4.4958;6.6361;6.7434;6.6271;6.6569;2003-03-14;5617100
MRO;4.6251;6.8269;6.8299;6.6480;6.6659;2003-03-17;8427494
MRO;4.6716;6.8955;6.9194;6.7106;6.8269;2003-03-18;7793127
