Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MSCI;24.2298;26.10;28.45;22.06;23.00;2007-11-15;11770500
MSCI;23.1715;24.96;25.98;23.60;25.98;2007-11-16;1242900
MSCI;23.9048;25.75;25.75;24.53;24.71;2007-11-19;469500
MSCI;25.3624;27.32;29.21;25.26;25.42;2007-11-20;522200
MSCI;24.7404;26.65;27.13;25.94;27.00;2007-11-21;167500
MSCI;25.4366;27.40;28.33;26.82;27.30;2007-11-23;100700
MSCI;25.8080;27.80;29.49;27.53;27.99;2007-11-26;438300
MSCI;25.0467;26.98;28.75;26.28;28.23;2007-11-27;305800
MSCI;25.3438;27.30;27.62;26.68;27.12;2007-11-28;273600
MSCI;25.3438;27.30;27.99;26.60;26.61;2007-11-29;110600
MSCI;25.6687;27.65;28.70;27.10;27.60;2007-11-30;524000
MSCI;25.9658;27.97;28.20;27.40;27.70;2007-12-03;83600
MSCI;27.2469;29.35;29.75;27.24;27.71;2007-12-04;387400
MSCI;27.1819;29.28;32.68;28.89;32.68;2007-12-05;207200
MSCI;26.8384;28.91;29.42;28.44;29.00;2007-12-06;97700
MSCI;26.8106;28.88;29.10;28.50;29.06;2007-12-07;82500
MSCI;26.9220;29.00;29.95;28.59;28.59;2007-12-10;177900
MSCI;26.9220;29.00;29.40;28.25;28.99;2007-12-11;236200
MSCI;26.4392;28.48;29.36;28.30;29.36;2007-12-12;64700
MSCI;26.8663;28.94;29.00;27.93;27.93;2007-12-13;78000
MSCI;26.6620;28.72;28.94;28.33;28.83;2007-12-14;118200
MSCI;25.9750;27.98;29.06;27.67;27.94;2007-12-17;128600
MSCI;26.4578;28.50;28.80;28.00;28.00;2007-12-18;132400
MSCI;26.8755;28.95;29.35;28.56;28.56;2007-12-19;197600
MSCI;26.8198;28.89;29.01;28.89;28.95;2007-12-20;197800
MSCI;31.3038;33.72;34.33;29.40;29.50;2007-12-21;498600
MSCI;31.4894;33.92;34.40;32.55;33.60;2007-12-24;142000
MSCI;31.8886;34.35;36.00;33.80;33.92;2007-12-26;228300
MSCI;33.9310;36.55;37.19;33.80;34.35;2007-12-27;194600
MSCI;34.6458;37.32;38.27;36.00;36.45;2007-12-28;165900
MSCI;35.6484;38.40;38.40;36.00;37.45;2007-12-31;136200
MSCI;31.4244;33.85;37.95;33.12;37.82;2008-01-02;442900
MSCI;28.5837;30.79;33.85;30.56;33.85;2008-01-03;395900
MSCI;27.9896;30.15;31.00;28.11;28.74;2008-01-04;354100
MSCI;26.1236;28.14;29.75;27.75;29.75;2008-01-07;383000
MSCI;24.7218;26.63;28.15;26.01;28.00;2008-01-08;183900
MSCI;25.7708;27.76;29.75;24.74;27.30;2008-01-09;383400
MSCI;27.5161;29.64;31.40;26.80;29.30;2008-01-10;531500
MSCI;28.2495;30.43;32.77;29.21;29.42;2008-01-11;121900
MSCI;28.3145;30.50;30.50;29.75;30.10;2008-01-14;198300
MSCI;28.5094;30.71;30.93;29.72;30.50;2008-01-15;74200
MSCI;27.2005;29.30;30.76;28.50;30.76;2008-01-16;123700
MSCI;26.9127;28.99;29.45;28.65;29.45;2008-01-17;122400
MSCI;27.2190;29.32;29.75;29.00;29.71;2008-01-18;238900
MSCI;26.8291;28.90;29.20;27.33;28.15;2008-01-22;193000
MSCI;28.9272;31.16;32.47;28.38;28.98;2008-01-23;193100
MSCI;29.8648;32.17;33.00;30.24;30.78;2008-01-24;305000
MSCI;29.5028;31.78;32.58;31.13;32.40;2008-01-25;148700
MSCI;30.6910;33.06;34.00;30.03;31.30;2008-01-28;222500
MSCI;30.4311;32.78;33.46;32.35;32.67;2008-01-29;142600
MSCI;30.3568;32.70;33.00;31.00;32.77;2008-01-30;117300
MSCI;30.6075;32.97;33.00;32.10;32.50;2008-01-31;114800
MSCI;32.1207;34.60;35.97;32.40;32.97;2008-02-01;134600
MSCI;31.0809;33.48;34.90;33.00;34.60;2008-02-04;75300
MSCI;30.5147;32.87;33.48;31.98;33.48;2008-02-05;109100
MSCI;29.1221;31.37;32.72;31.09;32.70;2008-02-06;146000
MSCI;27.5811;29.71;32.00;29.52;31.40;2008-02-07;128000
MSCI;29.0850;31.33;31.33;30.14;30.15;2008-02-08;103400
MSCI;29.1778;31.43;31.95;31.00;31.35;2008-02-11;94600
MSCI;29.0572;31.30;31.94;30.43;31.25;2008-02-12;147800
MSCI;31.4059;33.83;33.87;31.20;31.20;2008-02-13;114200
MSCI;30.8953;33.28;33.80;32.15;33.59;2008-02-14;103100
MSCI;29.4656;31.74;33.32;30.33;33.28;2008-02-15;142700
MSCI;29.7998;32.10;32.44;30.36;31.70;2008-02-19;183500
MSCI;29.9019;32.21;34.34;30.94;31.84;2008-02-20;181300
MSCI;31.1923;33.60;33.99;31.60;32.30;2008-02-21;207100
MSCI;31.3130;33.73;34.15;32.48;33.50;2008-02-22;123500
MSCI;30.7189;33.09;34.17;32.85;33.75;2008-02-25;158500
MSCI;31.4894;33.92;35.36;32.62;33.34;2008-02-26;186100
MSCI;29.7070;32.00;34.29;31.32;33.75;2008-02-27;220300
MSCI;28.8622;31.09;32.55;29.18;32.55;2008-02-28;344100
MSCI;27.5997;29.73;32.36;29.33;32.36;2008-02-29;216900
MSCI;26.9869;29.07;30.35;28.29;29.50;2008-03-03;188100
MSCI;27.2562;29.36;29.87;27.19;27.82;2008-03-04;177400
MSCI;29.3821;31.65;32.10;29.72;29.92;2008-03-05;221400
MSCI;27.7203;29.86;31.84;29.56;31.64;2008-03-06;214800
MSCI;26.2350;28.26;30.21;26.47;29.76;2008-03-07;268800
MSCI;25.0746;27.01;28.39;26.84;28.39;2008-03-10;85800
MSCI;28.1195;30.29;30.34;27.25;27.49;2008-03-11;166300
MSCI;27.6925;29.83;31.00;29.60;30.06;2008-03-12;194800
MSCI;27.7946;29.94;30.36;28.76;29.60;2008-03-13;176700
MSCI;24.9353;26.86;29.94;26.25;29.94;2008-03-14;306100
MSCI;21.8811;23.57;26.54;23.29;26.33;2008-03-17;367900
MSCI;25.0653;27.00;27.54;23.73;25.78;2008-03-18;563900
MSCI;24.7775;26.69;27.75;25.90;26.62;2008-03-19;275700
MSCI;26.1886;28.21;28.21;25.90;26.44;2008-03-20;171400
MSCI;27.9153;30.07;30.91;28.22;28.36;2008-03-24;219600
MSCI;28.2124;30.39;30.90;28.62;29.74;2008-03-25;163400
MSCI;27.3026;29.41;30.79;29.40;30.49;2008-03-26;242400
MSCI;27.5718;29.70;30.85;29.33;29.70;2008-03-27;173700
MSCI;29.0107;31.25;31.50;29.38;29.60;2008-03-28;137600
MSCI;27.6182;29.75;30.91;28.07;30.91;2008-03-31;230600
MSCI;28.6765;30.89;31.51;29.66;29.82;2008-04-01;116300
MSCI;29.4935;31.77;32.25;29.68;31.00;2008-04-02;128100
MSCI;29.7348;32.03;32.94;30.70;31.60;2008-04-03;108400
MSCI;30.4311;32.78;33.64;31.67;31.81;2008-04-04;57700
MSCI;29.1593;31.41;32.82;31.15;32.82;2008-04-07;47000
MSCI;28.5837;30.79;31.99;30.17;31.28;2008-04-08;163300
MSCI;25.9750;27.98;29.38;24.65;28.95;2008-04-09;835100
MSCI;26.4485;28.49;30.14;27.57;30.14;2008-04-10;159500
MSCI;25.9286;27.93;28.99;27.13;28.00;2008-04-11;173800
MSCI;25.7337;27.72;28.29;27.41;27.80;2008-04-14;151000
MSCI;25.2231;27.17;28.13;26.76;27.91;2008-04-15;84500
MSCI;26.0400;28.05;28.43;26.50;27.41;2008-04-16;161000
MSCI;26.5042;28.55;28.77;27.44;28.02;2008-04-17;138900
MSCI;26.6713;28.73;29.42;28.10;28.83;2008-04-18;200000
MSCI;26.4485;28.49;28.96;28.01;28.80;2008-04-21;288800
MSCI;26.5506;28.60;28.62;27.61;28.26;2008-04-22;313800
MSCI;27.3490;29.46;29.90;27.91;28.52;2008-04-23;253800
MSCI;27.2747;29.38;29.45;28.85;29.43;2008-04-24;161600
MSCI;26.3371;28.37;29.37;28.29;29.00;2008-04-25;269800
MSCI;27.0427;29.13;29.30;27.76;28.00;2008-04-28;599200
MSCI;28.0081;30.17;31.00;29.35;29.49;2008-04-29;5734000
MSCI;28.7972;31.02;31.23;30.00;30.39;2008-04-30;775200
MSCI;30.2640;32.60;33.20;29.20;31.01;2008-05-01;876200
MSCI;29.4656;31.74;32.83;31.35;32.68;2008-05-02;358300
MSCI;29.3449;31.61;32.27;31.11;32.27;2008-05-05;393700
MSCI;29.6420;31.93;32.20;31.62;32.04;2008-05-06;292900
MSCI;29.8277;32.13;32.15;30.74;31.52;2008-05-07;770300
MSCI;29.7906;32.09;32.25;30.25;32.00;2008-05-08;163900
MSCI;29.8277;32.13;32.25;31.47;31.70;2008-05-09;177700
MSCI;30.1712;32.50;32.50;31.90;32.23;2008-05-12;200000
MSCI;30.0505;32.37;32.55;31.75;32.25;2008-05-13;211100
MSCI;30.1897;32.52;32.60;31.56;32.23;2008-05-14;224800
MSCI;31.2388;33.65;33.80;32.10;32.52;2008-05-15;246600
MSCI;30.6539;33.02;33.30;32.38;33.17;2008-05-16;231700
MSCI;30.8396;33.22;33.29;32.61;32.65;2008-05-19;244100
MSCI;30.6353;33.00;33.22;31.69;33.01;2008-05-20;479900
MSCI;29.8277;32.13;32.76;31.14;32.57;2008-05-21;329600
MSCI;30.6818;33.05;33.22;32.00;32.18;2008-05-22;345600
MSCI;32.0557;34.53;34.59;32.76;32.86;2008-05-23;489800
MSCI;33.3461;35.92;36.41;34.56;34.68;2008-05-27;645600
MSCI;34.6644;37.34;37.75;36.02;36.28;2008-05-28;1035900
MSCI;32.6963;35.22;36.95;34.97;36.95;2008-05-29;912600
