Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MSFT;15.0623;23.6600;23.9700;23.4400;23.9000;2003-02-04;81854800
MSFT;14.9477;23.4800;24.2650;23.3650;23.9150;2003-02-05;101072000
MSFT;15.0941;23.7100;23.8100;23.2800;23.4300;2003-02-06;83312000
MSFT;14.8267;23.2900;23.9750;23.2050;23.9400;2003-02-07;75208000
MSFT;15.0814;23.6900;23.7600;23.2700;23.4000;2003-02-10;74081400
MSFT;14.7822;23.2200;23.8350;23.0000;23.6500;2003-02-11;84292000
MSFT;14.7822;23.2200;23.5500;23.1300;23.2750;2003-02-12;71315200
MSFT;14.9572;23.4950;23.5600;23.0650;23.2050;2003-02-13;73558200
MSFT;15.3742;24.1500;24.2500;23.3850;23.6250;2003-02-14;90446400
MSFT;15.8899;24.9600;24.9900;24.4000;24.6200;2003-02-18;57415500
MSFT;15.6663;24.5300;24.8800;24.1700;24.8200;2003-02-19;46902700
MSFT;15.4173;24.1400;24.8700;24.1000;24.7700;2003-02-20;50897200
MSFT;15.7302;24.6300;24.8000;23.7000;24.2900;2003-02-21;56853200
MSFT;15.3726;24.0700;24.5000;23.8400;24.4400;2003-02-24;62403700
MSFT;15.4492;24.1900;24.2700;23.3800;23.5400;2003-02-25;68113000
MSFT;15.0788;23.6100;24.4700;23.5800;24.0700;2003-02-26;57096000
MSFT;15.0596;23.5800;24.2100;23.3000;23.9000;2003-02-27;75434300
MSFT;15.1363;23.7000;24.0700;23.5500;23.7400;2003-02-28;56585400
MSFT;15.0341;23.5400;24.1200;23.4000;24.0200;2003-03-03;50653500
MSFT;14.7339;23.0700;23.6600;23.0600;23.5800;2003-03-04;56605700
MSFT;14.9702;23.4400;23.5500;23.0500;23.0700;2003-03-05;55415900
MSFT;14.8616;23.2700;23.5000;23.1300;23.1700;2003-03-06;54607600
MSFT;15.0468;23.5600;23.7900;22.9000;22.9500;2003-03-07;66167600
MSFT;14.6573;22.9500;23.4600;22.8900;23.3100;2003-03-10;48413600
MSFT;14.5615;22.8000;23.2600;22.7600;23.0600;2003-03-11;53990700
MSFT;14.9383;23.3900;23.4400;22.5500;22.8100;2003-03-12;72379500
MSFT;15.7558;24.6700;24.7400;23.4400;23.7200;2003-03-13;80701300
MSFT;15.8771;24.8600;24.9600;24.2600;24.6800;2003-03-14;75451400
MSFT;16.5605;25.9300;25.9500;24.3300;24.5200;2003-03-17;100983800
MSFT;16.6307;26.0400;26.0400;25.5000;25.8900;2003-03-18;78108800
MSFT;16.8095;26.3200;26.4300;25.7400;25.9800;2003-03-19;73652100
MSFT;16.7648;26.2500;26.5200;25.6700;26.0200;2003-03-20;71798500
MSFT;16.9692;26.5700;26.8000;26.0300;26.7500;2003-03-21;85586800
MSFT;16.1517;25.2900;25.9300;25.1800;25.5500;2003-03-24;61105200
MSFT;16.2795;25.4900;25.7500;25.0300;25.6000;2003-03-25;63595100
MSFT;16.1262;25.2500;25.6200;25.2400;25.4600;2003-03-26;51673600
MSFT;15.9921;25.0400;25.2600;24.5900;24.9400;2003-03-27;60043300
MSFT;15.7558;24.6700;25.1000;24.6000;24.6700;2003-03-28;39584600
MSFT;15.4620;24.2100;24.7100;24.0100;24.2500;2003-03-31;71384000
MSFT;15.5514;24.3500;24.7000;24.2500;24.4600;2003-04-01;49803200
MSFT;16.4263;25.7200;26.0000;25.1000;25.1000;2003-04-02;68282500
MSFT;16.4327;25.7300;26.0900;25.6000;25.9900;2003-04-03;57394300
MSFT;16.0240;25.0900;25.8000;24.9300;25.7600;2003-04-04;55740600
MSFT;16.0751;25.1700;26.4300;25.1700;26.2300;2003-04-07;65627100
MSFT;16.3369;25.5800;25.8300;25.2000;25.3100;2003-04-08;54132100
MSFT;15.6919;24.5700;25.6700;24.5400;25.6100;2003-04-09;76875800
MSFT;15.7047;24.5900;24.7900;24.2800;24.7100;2003-04-10;51608900
MSFT;15.4556;24.2000;25.1800;23.9500;24.8900;2003-04-11;71565500
MSFT;15.8132;24.7600;24.8800;24.0000;24.2700;2003-04-14;51599600
MSFT;15.7111;24.6000;24.7900;24.1000;24.6800;2003-04-15;63399000
MSFT;15.9154;24.9200;25.7400;24.6000;25.6000;2003-04-16;86178700
MSFT;16.2858;25.5000;25.5400;24.7400;24.7700;2003-04-17;58356600
MSFT;16.1006;25.2100;25.6100;25.0800;25.6100;2003-04-21;41557800
MSFT;16.4519;25.7600;25.8000;25.0300;25.0600;2003-04-22;58844000
