Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MSI;21.8780;28.6187;29.0890;27.9312;28.8719;2003-02-04;2733056
MSI;21.6291;28.2931;28.6910;28.0398;28.2569;2003-02-05;3157679
MSI;21.3801;27.9674;28.5463;27.7865;28.2931;2003-02-06;2115594
MSI;21.3248;27.8951;28.7996;27.8951;28.5825;2003-02-07;2497818
MSI;22.2099;29.0528;29.1252;27.8951;27.8951;2003-02-10;2467277
MSI;22.5418;29.4870;29.8850;28.9805;29.0528;2003-02-11;3027000
MSI;22.1269;28.9443;29.7403;28.9443;29.0528;2003-02-12;3311878
MSI;22.0716;28.8719;29.2337;28.5825;28.9805;2003-02-13;3147231
MSI;23.2333;30.3915;30.3915;28.5825;29.4870;2003-02-14;2077010
MSI;22.8460;29.8850;30.5362;29.7403;30.3915;2003-02-18;2182039
MSI;22.9290;29.9935;30.0659;29.0167;29.4870;2003-02-19;2323552
MSI;22.7354;29.7403;30.0297;29.4146;29.8488;2003-02-20;1937459
MSI;22.8184;29.8488;30.3553;29.4870;30.3553;2003-02-21;2091631
MSI;22.4312;29.3423;30.1383;29.3423;29.3785;2003-02-24;2167722
MSI;22.5418;29.4870;29.9212;28.5101;28.5825;2003-02-25;2945906
MSI;22.5695;29.5232;29.9212;29.0167;29.0167;2003-02-26;2394503
MSI;22.9014;29.9574;29.9574;29.4870;29.5955;2003-02-27;1734338
MSI;23.2886;30.4639;31.0428;29.6679;29.7403;2003-02-28;2733056
MSI;23.2886;30.4639;31.0066;30.2830;30.7533;2003-03-03;2295277
MSI;22.5418;29.4870;30.6448;29.4508;30.5724;2003-03-04;2326151
MSI;22.8460;29.8850;30.0297;29.4870;29.4870;2003-03-05;2186793
MSI;22.2652;29.1252;29.6679;28.9805;29.5594;2003-03-06;2162305
MSI;22.1546;28.9805;29.1252;28.4016;28.7272;2003-03-07;3007349
MSI;21.8503;28.5825;29.1976;28.5101;28.9805;2003-03-10;2436072
MSI;22.0716;28.8719;29.0528;28.5825;28.7634;2003-03-11;2920285
MSI;22.3496;29.0890;29.0890;28.2569;28.2569;2003-03-12;3784179
MSI;22.2662;28.9805;29.6679;28.7996;29.4870;2003-03-13;4133926
MSI;22.7666;29.6317;30.3915;29.0528;29.2699;2003-03-14;2528304
MSI;23.7117;30.8619;30.9704;29.0528;29.2699;2003-03-17;3355327
MSI;24.1565;31.4407;31.4407;30.4639;30.7533;2003-03-18;2468769
MSI;22.9333;29.8488;31.4046;29.6317;30.8980;2003-03-19;4019914
MSI;22.9611;29.8850;30.2830;29.4870;29.8488;2003-03-20;2629575
MSI;23.6283;30.7533;30.7533;29.6679;30.7533;2003-03-21;3277302
MSI;23.0167;29.9574;30.7533;29.8126;30.0297;2003-03-24;2333060
MSI;23.9063;31.1151;31.2960;29.9212;30.3192;2003-03-25;2703897
MSI;23.6561;30.7895;31.1151;29.9212;31.1151;2003-03-26;3702145
MSI;23.4893;30.5724;30.5724;29.8488;30.2468;2003-03-27;2506248
MSI;23.0723;30.0297;30.3553;29.7764;29.7764;2003-03-28;2253819
MSI;22.9611;29.8850;30.2830;29.2337;29.5594;2003-03-31;2825316
MSI;23.2113;30.2106;30.5362;29.7041;29.8850;2003-04-01;2032373
MSI;23.9341;31.1513;31.3322;30.8257;30.8257;2003-04-02;3616463
MSI;23.4893;30.5724;31.2598;30.3915;30.4639;2003-04-03;2623660
MSI;23.6283;30.7533;30.8980;30.1744;30.2468;2003-04-04;2195389
MSI;23.7117;30.8619;31.7302;30.6448;31.5493;2003-04-07;3233742
MSI;23.1279;30.1021;30.8619;29.7041;30.8619;2003-04-08;3431391
MSI;22.0994;28.7634;29.8126;28.7272;29.7041;2003-04-09;4384089
MSI;22.2384;28.9443;29.2337;28.6910;28.9443;2003-04-10;2479991
MSI;22.2384;28.9443;29.7403;28.7996;29.6679;2003-04-11;2907626
MSI;22.1828;28.8719;28.8719;28.5101;28.5463;2003-04-14;2385243
MSI;22.0716;28.7272;29.1252;28.5101;28.7272;2003-04-15;3842193
MSI;21.7658;28.3292;29.7041;27.4247;29.6679;2003-04-16;12948014
MSI;21.9604;28.5825;28.8358;28.0398;28.3292;2003-04-17;5456715
MSI;21.8770;28.4740;28.7634;28.2931;28.6187;2003-04-21;3482966
MSI;22.4608;29.2337;29.3061;28.2931;28.4740;2003-04-22;4451723
MSI;23.2947;30.3192;30.7533;29.3061;29.4146;2003-04-23;4542020
MSI;22.6276;29.4508;29.9212;29.3061;29.7403;2003-04-24;3009753
MSI;21.9604;28.5825;29.5955;28.0760;29.4508;2003-04-25;5221588
MSI;22.2662;28.9805;29.1976;28.3654;28.4016;2003-04-28;2925039
MSI;22.3218;29.0528;29.8488;28.9081;29.3785;2003-04-29;2777556
MSI;21.9882;28.6187;28.9805;28.6187;28.6910;2003-04-30;5411359
MSI;22.0716;28.7272;28.9805;28.4740;28.6549;2003-05-01;2104566
MSI;22.3774;29.1252;29.1252;28.6187;28.6549;2003-05-02;3693881
MSI;22.5998;29.4146;29.8126;29.1614;29.4508;2003-05-05;3349661
MSI;22.6554;29.4870;29.7403;28.9443;28.9443;2003-05-06;4125911
MSI;22.2940;29.0167;29.5232;28.9805;29.0528;2003-05-07;3624506
MSI;22.2662;28.9805;29.1614;28.7634;28.9081;2003-05-08;2911385
MSI;22.1550;28.8358;29.2337;28.6187;29.1614;2003-05-09;3367820
MSI;22.4608;29.2337;29.2699;28.5463;28.7634;2003-05-12;3695014
MSI;22.3774;29.1252;29.2337;28.5825;29.2337;2003-05-13;7631955
MSI;24.7958;32.2729;32.3814;29.0167;29.0167;2003-05-14;16425175
MSI;25.2962;32.9241;33.5754;31.8387;32.7071;2003-05-15;9242635
MSI;24.7402;32.2005;33.0327;32.1282;32.9241;2003-05-16;3765384
MSI;23.7673;30.9342;32.0558;30.9342;31.7302;2003-05-19;3240071
MSI;23.5727;30.6810;31.6578;30.3915;31.3684;2003-05-20;4847987
MSI;23.0723;30.0297;31.0789;30.0297;30.8980;2003-05-21;4912691
MSI;23.4615;30.5362;30.7533;30.2468;30.3915;2003-05-22;4164716
MSI;23.6005;30.7171;31.2237;30.3915;30.7171;2003-05-23;3013291
MSI;24.3232;31.6578;31.6940;30.5001;30.5362;2003-05-27;3660963
MSI;23.9063;31.1151;32.2005;30.8980;31.8749;2003-05-28;3854852
MSI;24.1843;31.4769;31.6216;30.7895;31.1151;2003-05-29;3426858
