Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
MTB;48.3956;78.44;79.16;78.00;79.15;2003-02-04;227800
MTB;48.2846;78.26;79.40;77.80;78.69;2003-02-05;361000
MTB;48.1982;78.12;78.61;77.60;78.01;2003-02-06;384000
MTB;47.9082;77.65;78.60;77.65;78.37;2003-02-07;308600
MTB;47.5195;77.02;77.65;76.40;77.65;2003-02-10;383900
MTB;47.0136;76.20;77.25;75.70;77.10;2003-02-11;506300
MTB;46.9025;76.02;76.82;75.96;76.15;2003-02-12;221500
MTB;47.5874;77.13;77.25;75.85;76.02;2003-02-13;370300
MTB;48.0131;77.82;77.95;76.85;77.13;2003-02-14;383200
MTB;48.7288;78.98;79.00;78.00;78.00;2003-02-18;224300
MTB;49.0558;79.51;79.74;78.80;78.98;2003-02-19;460700
MTB;48.4820;78.58;79.65;78.53;79.51;2003-02-20;264700
MTB;48.8337;79.15;79.45;78.15;78.60;2003-02-21;322100
MTB;48.2167;78.15;79.05;77.62;79.05;2003-02-24;335800
MTB;48.9756;79.38;79.39;77.25;77.50;2003-02-25;568200
MTB;48.3524;78.37;79.13;78.10;79.13;2003-02-26;256900
MTB;49.1824;79.41;79.76;78.10;78.38;2003-02-27;296900
MTB;48.9408;79.02;80.00;78.90;79.48;2003-02-28;323200
MTB;49.1762;79.40;80.10;79.14;79.40;2003-03-03;539400
MTB;48.8107;78.81;79.50;78.75;79.05;2003-03-04;310300
MTB;48.8231;78.83;79.25;78.13;78.56;2003-03-05;278000
MTB;48.7488;78.71;79.15;78.32;78.84;2003-03-06;352500
MTB;49.1514;79.36;79.40;78.20;78.71;2003-03-07;207500
MTB;47.9065;77.35;79.11;77.29;79.11;2003-03-10;276900
MTB;47.3057;76.38;77.65;76.36;77.35;2003-03-11;312100
MTB;46.8784;75.69;76.34;74.71;76.28;2003-03-12;484700
MTB;48.1666;77.77;77.77;76.07;76.20;2003-03-13;349700
MTB;47.4730;76.65;78.02;76.48;78.02;2003-03-14;612700
MTB;48.4391;78.21;78.22;75.15;76.00;2003-03-17;645200
MTB;48.6373;78.53;78.70;77.54;78.40;2003-03-18;406000
MTB;49.1638;79.38;79.44;78.40;78.65;2003-03-19;281200
MTB;49.4115;79.78;79.89;78.25;79.39;2003-03-20;312300
MTB;50.2786;81.18;81.30;79.24;80.25;2003-03-21;305500
MTB;48.8851;78.93;80.20;78.78;80.20;2003-03-24;274500
MTB;49.2071;79.45;79.65;78.94;78.94;2003-03-25;281000
MTB;49.1080;79.29;79.96;79.15;79.46;2003-03-26;307300
MTB;49.2071;79.45;79.76;78.40;79.29;2003-03-27;327400
MTB;49.3558;79.69;80.05;79.00;79.25;2003-03-28;225500
MTB;48.6683;78.58;79.69;78.46;79.69;2003-03-31;229200
MTB;50.5821;81.67;81.80;79.00;79.00;2003-04-01;2753800
MTB;51.0899;82.49;82.93;82.05;82.10;2003-04-02;710500
MTB;50.7555;81.95;82.69;81.77;82.69;2003-04-03;514400
MTB;51.1890;82.65;83.00;81.55;81.95;2003-04-04;549200
MTB;50.6626;81.80;83.20;81.54;83.00;2003-04-07;698600
MTB;50.7988;82.02;82.08;81.40;81.55;2003-04-08;421900
