Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
NCLH;24.79;24.79;25.49;24.16;25.10;2013-01-18;17761800
NCLH;26.95;26.95;27.36;24.85;25.00;2013-01-22;2072000
NCLH;27.49;27.49;28.86;26.49;28.00;2013-01-23;1572200
NCLH;27.35;27.35;27.90;26.64;27.17;2013-01-24;508700
NCLH;27.35;27.35;27.90;26.28;27.50;2013-01-25;870700
NCLH;27.76;27.76;27.88;26.94;27.88;2013-01-28;172200
NCLH;27.11;27.11;27.96;27.00;27.90;2013-01-29;437400
NCLH;26.29;26.29;27.23;26.17;26.69;2013-01-30;816400
NCLH;26.37;26.37;26.92;25.75;26.02;2013-01-31;970400
NCLH;27.65;27.65;27.80;26.18;26.47;2013-02-01;1099300
NCLH;28.41;28.41;29.08;27.60;27.71;2013-02-04;952100
NCLH;28.54;28.54;28.96;27.97;28.96;2013-02-05;447200
NCLH;27.98;27.98;28.74;27.80;28.10;2013-02-06;377200
NCLH;27.55;27.55;28.09;27.43;27.93;2013-02-07;276300
NCLH;27.91;27.91;28.31;27.32;27.60;2013-02-08;380200
NCLH;27.68;27.68;27.84;27.43;27.78;2013-02-11;576900
NCLH;28.32;28.32;29.50;28.24;28.91;2013-02-12;1876800
NCLH;28.92;28.92;29.54;28.29;28.81;2013-02-13;772500
NCLH;29.25;29.25;29.40;28.60;28.82;2013-02-14;431900
NCLH;30.27;30.27;30.41;29.48;29.48;2013-02-15;1418700
NCLH;31.19;31.19;31.33;30.45;30.47;2013-02-19;497800
NCLH;30.80;30.80;31.91;30.56;31.19;2013-02-20;612700
NCLH;30.47;30.47;31.00;29.76;30.54;2013-02-21;481400
NCLH;29.99;29.99;31.31;29.46;30.95;2013-02-22;571200
NCLH;30.78;30.78;31.41;30.18;31.34;2013-02-25;471700
NCLH;30.21;30.21;31.08;29.79;30.81;2013-02-26;418300
NCLH;30.26;30.26;30.70;29.83;30.56;2013-02-27;294400
NCLH;30.98;30.98;31.08;30.03;30.55;2013-02-28;234900
NCLH;30.99;30.99;31.68;30.26;30.50;2013-03-01;688200
NCLH;30.45;30.45;31.25;30.26;30.55;2013-03-04;274400
NCLH;30.03;30.03;30.74;29.85;30.12;2013-03-05;366000
NCLH;30.02;30.02;30.40;29.85;30.19;2013-03-06;153100
NCLH;30.29;30.29;30.42;29.85;29.85;2013-03-07;306800
NCLH;30.30;30.30;30.98;29.12;30.98;2013-03-08;679300
NCLH;30.66;30.66;30.69;29.99;30.50;2013-03-11;316000
NCLH;30.85;30.85;31.00;30.33;30.33;2013-03-12;770700
NCLH;30.78;30.78;31.00;30.48;30.93;2013-03-13;321600
NCLH;30.00;30.00;30.96;29.89;30.73;2013-03-14;785500
NCLH;29.82;29.82;30.09;29.55;29.60;2013-03-15;798700
NCLH;30.29;30.29;30.62;29.62;29.80;2013-03-18;389600
NCLH;30.26;30.26;30.69;29.78;30.29;2013-03-19;133500
NCLH;30.50;30.50;30.99;30.25;30.27;2013-03-20;162900
NCLH;30.03;30.03;30.75;29.93;30.39;2013-03-21;96900
NCLH;30.18;30.18;30.26;29.91;30.03;2013-03-22;112800
NCLH;29.48;29.48;30.16;29.31;30.14;2013-03-25;563200
NCLH;29.54;29.54;30.00;29.02;29.93;2013-03-26;410900
NCLH;30.15;30.15;30.33;29.26;29.41;2013-03-27;215400
NCLH;29.65;29.65;30.44;29.43;30.01;2013-03-28;2345700
NCLH;29.93;29.93;29.95;29.34;29.79;2013-04-01;640100
NCLH;29.92;29.92;30.54;29.18;29.98;2013-04-02;639000
NCLH;29.19;29.19;30.39;28.57;29.82;2013-04-03;1083700
NCLH;29.27;29.27;29.36;28.51;29.10;2013-04-04;442000
NCLH;29.30;29.30;29.39;28.59;29.02;2013-04-05;334700
NCLH;29.99;29.99;30.16;29.12;29.41;2013-04-08;246200
NCLH;30.34;30.34;30.37;29.45;30.15;2013-04-09;250200
NCLH;30.53;30.53;30.95;29.80;30.46;2013-04-10;265800
NCLH;30.64;30.64;30.87;30.06;30.33;2013-04-11;112700
NCLH;30.50;30.50;30.85;29.76;30.51;2013-04-12;115100
NCLH;30.07;30.07;30.52;29.94;30.41;2013-04-15;144300
NCLH;30.00;30.00;30.48;29.00;30.18;2013-04-16;452000
NCLH;29.55;29.55;29.95;29.21;29.95;2013-04-17;224300
NCLH;29.34;29.34;29.85;29.33;29.65;2013-04-18;175900
NCLH;29.43;29.43;29.52;28.86;29.52;2013-04-19;118400
NCLH;29.38;29.38;29.71;29.01;29.42;2013-04-22;210800
NCLH;29.34;29.34;29.79;29.15;29.51;2013-04-23;137100
NCLH;28.90;28.90;29.40;28.75;29.40;2013-04-24;197100
NCLH;30.06;30.06;30.37;29.10;29.59;2013-04-25;1192700
NCLH;30.39;30.39;30.45;29.58;30.45;2013-04-26;209200
NCLH;30.36;30.36;30.52;30.16;30.50;2013-04-29;381700
NCLH;31.01;31.01;31.07;29.51;30.33;2013-04-30;429700
NCLH;31.09;31.09;31.37;30.46;31.36;2013-05-01;408700
NCLH;31.36;31.36;31.80;30.60;31.15;2013-05-02;214900
NCLH;31.53;31.53;32.00;31.30;31.39;2013-05-03;150700
NCLH;31.82;31.82;32.31;30.48;31.66;2013-05-06;866000
NCLH;31.66;31.66;32.93;31.01;31.90;2013-05-07;833200
NCLH;31.90;31.90;32.07;31.38;31.82;2013-05-08;325300
NCLH;31.71;31.71;32.08;31.01;31.54;2013-05-09;252300
NCLH;31.01;31.01;31.84;30.86;31.68;2013-05-10;274200
NCLH;30.46;30.46;31.06;29.91;31.06;2013-05-13;289000
NCLH;30.76;30.76;30.79;30.21;30.60;2013-05-14;491700
NCLH;31.36;31.36;31.45;30.55;30.63;2013-05-15;274600
NCLH;31.42;31.42;31.73;31.31;31.40;2013-05-16;339400
NCLH;31.56;31.56;31.84;31.10;31.19;2013-05-17;841300
NCLH;32.03;32.03;32.44;31.35;31.61;2013-05-20;286400
NCLH;32.00;32.00;32.34;31.69;31.80;2013-05-21;254500
NCLH;31.80;31.80;32.40;30.96;31.84;2013-05-22;354900
NCLH;31.96;31.96;32.07;31.20;31.51;2013-05-23;205800
NCLH;32.15;32.15;32.19;31.81;31.81;2013-05-24;168200
NCLH;31.75;31.75;32.44;31.42;32.23;2013-05-28;690400
NCLH;31.57;31.57;31.83;31.35;31.60;2013-05-29;321600
NCLH;30.82;30.82;31.89;30.54;31.32;2013-05-30;296100
NCLH;30.75;30.75;31.40;30.49;30.77;2013-05-31;211800
NCLH;31.35;31.35;31.55;30.79;30.85;2013-06-03;659800
NCLH;31.41;31.41;31.80;31.26;31.26;2013-06-04;358100
NCLH;30.85;30.85;31.57;30.63;31.42;2013-06-05;529700
NCLH;30.79;30.79;30.97;30.14;30.80;2013-06-06;367700
NCLH;31.24;31.24;31.64;30.51;30.98;2013-06-07;425600
NCLH;31.17;31.17;32.08;30.91;31.47;2013-06-10;587100
NCLH;31.65;31.65;31.84;30.49;31.07;2013-06-11;229300
NCLH;31.11;31.11;31.87;30.86;31.70;2013-06-12;218600
NCLH;31.08;31.08;31.50;30.51;30.94;2013-06-13;414900
NCLH;31.28;31.28;31.76;30.04;31.00;2013-06-14;344100
NCLH;31.19;31.19;31.66;30.75;31.16;2013-06-17;194500
NCLH;31.55;31.55;31.62;30.84;30.87;2013-06-18;359300
NCLH;31.30;31.30;32.00;31.20;31.44;2013-06-19;197400
NCLH;31.28;31.28;31.67;30.79;31.09;2013-06-20;295500
NCLH;29.72;29.72;31.25;29.66;31.25;2013-06-21;1503900
NCLH;28.27;28.27;30.85;28.25;30.84;2013-06-24;620400
NCLH;28.76;28.76;29.27;28.00;28.00;2013-06-25;322800
NCLH;29.43;29.43;29.68;28.84;28.84;2013-06-26;166800
NCLH;30.03;30.03;30.40;29.35;29.70;2013-06-27;451300
NCLH;30.31;30.31;30.80;29.79;29.80;2013-06-28;731600
NCLH;30.95;30.95;31.00;30.10;30.34;2013-07-01;337800
NCLH;30.48;30.48;31.15;30.20;30.67;2013-07-02;411600
NCLH;30.59;30.59;30.72;29.26;30.45;2013-07-03;538500
NCLH;31.65;31.65;31.68;30.65;30.65;2013-07-05;144700
NCLH;31.79;31.79;32.27;30.98;31.75;2013-07-08;286600
NCLH;31.76;31.76;32.00;31.38;31.84;2013-07-09;178000
NCLH;31.50;31.50;31.68;31.15;31.68;2013-07-10;107100
NCLH;31.43;31.43;31.66;31.41;31.66;2013-07-11;270300
NCLH;31.53;31.53;31.60;31.08;31.22;2013-07-12;116400
NCLH;31.38;31.38;31.67;31.33;31.56;2013-07-15;88700
NCLH;31.40;31.40;31.63;31.28;31.46;2013-07-16;129800
NCLH;31.35;31.35;31.74;31.02;31.61;2013-07-17;253000
NCLH;31.37;31.37;31.49;30.97;31.49;2013-07-18;332400
