Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
NEE;4.0516;7.2075;7.2863;7.1700;7.2775;2003-02-04;6668800
NEE;4.0052;7.1250;7.25;7.1188;7.2087;2003-02-05;7239200
NEE;4.0080;7.1300;7.2125;7.1112;7.125;2003-02-06;5140800
NEE;3.9736;7.0687;7.15625;7.0637;7.1337;2003-02-07;5850400
NEE;3.9785;7.0775;7.1462;7.0300;7.075;2003-02-10;5762400
NEE;3.8724;6.8888;7.0887;6.8762;7.0775;2003-02-11;9431200
NEE;3.8085;6.7750;6.8987;6.7575;6.875;2003-02-12;13257600
NEE;3.8731;6.8900;6.9375;6.6937;6.7762;2003-02-13;10083200
NEE;4.0249;7.1600;7.1825;6.9812;7.03125;2003-02-14;12849600
NEE;4.0488;7.2025;7.235;7.1575;7.2063;2003-02-18;6047200
NEE;4.0158;7.1438;7.2562;7.1125;7.2025;2003-02-19;7888800
NEE;4.0109;7.1350;7.2112;7.0825;7.175;2003-02-20;8212800
NEE;4.0263;7.1625;7.2625;7.1250;7.1813;2003-02-21;7160800
NEE;4.0151;7.1425;7.2225;7.1400;7.175;2003-02-24;6963200
NEE;4.0973;7.2888;7.2888;7.1425;7.1425;2003-02-25;7946400
NEE;4.0128;7.0650;7.235;7.0550;7.2312;2003-02-26;12022400
NEE;3.9922;7.0287;7.1687;7.0075;7.0963;2003-02-27;8115200
NEE;3.9766;7.0012;7.075;7.0000;7.06;2003-02-28;5109600
NEE;4.0355;7.1050;7.1438;7.0237;7.0237;2003-03-03;6524800
NEE;4.0298;7.0950;7.1625;7.0850;7.095;2003-03-04;5244800
NEE;4.0660;7.1588;7.1788;7.0975;7.1137;2003-03-05;6007200
NEE;4.1136;7.2425;7.2638;7.1125;7.15625;2003-03-06;10964000
NEE;4.0916;7.2038;7.29;7.1400;7.2438;2003-03-07;8530400
NEE;4.0447;7.1213;7.1613;7.1000;7.1;2003-03-10;6629600
NEE;4.0668;7.1600;7.2213;7.1250;7.15;2003-03-11;7284000
NEE;4.0831;7.1887;7.1975;7.0938;7.15625;2003-03-12;6378400
NEE;4.0866;7.1950;7.2112;7.1062;7.2;2003-03-13;6871200
NEE;4.0739;7.1725;7.2425;7.1600;7.225;2003-03-14;5476000
NEE;4.1008;7.2200;7.2325;7.1638;7.1788;2003-03-17;7652800
NEE;4.1399;7.2888;7.3513;7.2413;7.2625;2003-03-18;7498400
NEE;4.1477;7.3025;7.325;7.2425;7.3;2003-03-19;4927200
NEE;4.1683;7.3387;7.3713;7.2787;7.3088;2003-03-20;4260000
NEE;4.2379;7.4612;7.4612;7.3263;7.3812;2003-03-21;6764000
NEE;4.1605;7.3250;7.4488;7.3212;7.4375;2003-03-24;5428800
NEE;4.1924;7.3812;7.4313;7.3350;7.375;2003-03-25;4714400
NEE;4.1832;7.3650;7.4437;7.3450;7.4363;2003-03-26;3772000
NEE;4.2080;7.4088;7.415;7.2975;7.3525;2003-03-27;2945600
NEE;4.1676;7.3375;7.375;7.3175;7.3625;2003-03-28;4852000
NEE;4.1839;7.3663;7.4275;7.2838;7.3375;2003-03-31;7465600
NEE;4.1924;7.3812;7.3888;7.3275;7.3562;2003-04-01;5904000
NEE;4.2024;7.3987;7.4637;7.3750;7.3938;2003-04-02;8410400
NEE;4.1157;7.2463;7.40625;7.2375;7.40625;2003-04-03;13254400
NEE;4.1633;7.3300;7.3313;7.2175;7.3;2003-04-04;13231200
NEE;4.1789;7.3575;7.4812;7.3500;7.3663;2003-04-07;9912000
NEE;4.1867;7.3713;7.4037;7.3463;7.3575;2003-04-08;5662400
NEE;4.1541;7.3137;7.4262;7.3125;7.4;2003-04-09;6945600
NEE;4.2080;7.4088;7.4262;7.3250;7.3313;2003-04-10;5944800
NEE;4.2045;7.4025;7.46875;7.3762;7.45;2003-04-11;12327200
NEE;4.1825;7.3637;7.4212;7.3362;7.4012;2003-04-14;9216000
NEE;4.2464;7.4763;7.4925;7.3650;7.3688;2003-04-15;7528000
NEE;4.2485;7.4800;7.53125;7.4563;7.4812;2003-04-16;6258400
NEE;4.2414;7.4675;7.4837;7.4025;7.4125;2003-04-17;5122400
NEE;4.2180;7.4262;7.46875;7.3962;7.4675;2003-04-21;6708800
NEE;4.2080;7.4088;7.4437;7.3950;7.4262;2003-04-22;8589600
NEE;4.1924;7.3812;7.4138;7.3500;7.4125;2003-04-23;7586400
NEE;4.2812;7.5375;7.5538;7.3750;7.38;2003-04-24;14228800
NEE;4.2421;7.4688;7.5613;7.4550;7.5375;2003-04-25;7488000
NEE;4.3252;7.6150;7.6188;7.5400;7.5437;2003-04-28;7257600
NEE;4.3302;7.6238;7.6737;7.6125;7.65;2003-04-29;7440800
NEE;4.3216;7.6087;7.65625;7.5975;7.65625;2003-04-30;10102400
NEE;4.2677;7.5138;7.5963;7.4688;7.5813;2003-05-01;7408800
NEE;4.2904;7.5538;7.5687;7.4812;7.4875;2003-05-02;6950400
NEE;4.2868;7.5475;7.55;7.4262;7.5375;2003-05-05;14069600
