Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
NEM;23.2877;29.79;30.00;29.36;29.48;2003-02-04;7164600
NEM;22.4512;28.72;29.95;28.23;29.70;2003-02-05;10121700
NEM;22.3574;28.60;29.25;28.15;28.73;2003-02-06;5061900
NEM;22.2167;28.42;29.22;28.16;28.75;2003-02-07;4228900
NEM;21.6069;27.64;28.72;27.55;28.50;2003-02-10;4064700
NEM;22.2792;28.50;28.63;27.52;27.55;2003-02-11;4176200
NEM;21.1848;27.10;28.34;27.10;27.92;2003-02-12;6507100
NEM;22.2323;28.44;28.44;27.30;27.30;2003-02-13;5531200
NEM;21.2943;27.24;28.07;26.90;28.05;2003-02-14;6727300
NEM;21.2473;27.18;27.35;26.51;26.80;2003-02-18;6351800
NEM;21.5757;27.60;27.94;27.36;27.43;2003-02-19;3744600
NEM;22.1073;28.28;28.49;27.85;27.85;2003-02-20;5216800
NEM;21.5053;27.51;28.43;27.12;28.34;2003-02-21;5987200
NEM;21.5835;27.61;28.20;27.40;27.52;2003-02-24;4884300
NEM;21.2005;27.12;27.95;26.97;27.75;2003-02-25;4898300
NEM;21.4975;27.50;27.68;27.00;27.00;2003-02-26;3748300
NEM;20.9894;26.85;27.34;26.67;27.21;2003-02-27;4635200
NEM;21.3646;27.33;27.50;26.85;26.90;2003-02-28;3804900
NEM;21.0045;26.83;27.07;26.65;26.87;2003-03-03;3373100
NEM;21.3333;27.25;27.38;27.06;27.07;2003-03-04;2707500
NEM;21.1767;27.05;27.50;26.93;27.30;2003-03-05;3270900
NEM;21.2237;27.11;27.39;26.68;27.05;2003-03-06;3474600
NEM;20.3234;25.96;27.49;25.51;27.49;2003-03-07;6075300
NEM;19.6971;25.16;26.19;25.11;26.06;2003-03-10;5909700
NEM;19.3761;24.75;25.47;24.66;24.96;2003-03-11;4440400
NEM;19.4153;24.80;25.12;24.40;24.65;2003-03-12;5064800
NEM;19.3057;24.66;25.08;24.08;24.25;2003-03-13;6579800
NEM;19.6423;25.09;25.45;24.76;24.80;2003-03-14;4264100
NEM;19.6580;25.11;25.97;25.08;25.51;2003-03-17;5028500
NEM;20.3391;25.98;26.05;25.25;25.25;2003-03-18;3731500
NEM;20.0024;25.55;26.25;25.22;25.99;2003-03-19;3869300
NEM;19.5640;24.99;25.73;24.86;25.49;2003-03-20;3097600
NEM;19.0786;24.37;25.24;24.23;25.09;2003-03-21;7160500
NEM;19.2117;24.54;25.11;24.54;24.91;2003-03-24;4765300
NEM;19.5718;25.00;25.20;24.66;24.66;2003-03-25;3338600
NEM;19.6266;25.07;25.21;24.79;25.00;2003-03-26;2792400
NEM;19.2274;24.56;25.24;24.48;25.24;2003-03-27;4599300
NEM;20.8166;26.59;26.67;24.90;25.14;2003-03-28;5834400
NEM;20.4721;26.15;26.99;25.94;26.99;2003-03-31;5765600
NEM;20.2608;25.88;26.16;25.58;26.15;2003-04-01;3238200
NEM;19.7362;25.21;25.50;24.95;25.50;2003-04-02;4862500
NEM;19.7597;25.24;25.40;24.98;25.21;2003-04-03;3140400
NEM;20.0259;25.58;25.77;24.95;25.05;2003-04-04;3462000
NEM;19.7284;25.20;25.26;24.80;25.00;2003-04-07;4892400
NEM;19.6893;25.15;25.49;25.06;25.20;2003-04-08;3768800
NEM;20.2529;25.87;26.10;24.96;25.11;2003-04-09;5605900
NEM;20.1590;25.75;26.05;25.54;25.98;2003-04-10;3308400
NEM;20.3077;25.94;26.08;25.41;25.60;2003-04-11;2874700
NEM;20.2999;25.93;25.93;25.64;25.65;2003-04-14;2713400
NEM;20.6522;26.38;26.52;25.20;26.10;2003-04-15;3975200
NEM;21.0201;26.85;26.97;26.17;26.20;2003-04-16;4107100
NEM;21.0906;26.94;27.44;26.75;27.00;2003-04-17;4153000
NEM;21.5603;27.54;27.65;26.85;26.95;2003-04-21;3810700
NEM;21.7169;27.74;27.80;27.38;27.54;2003-04-22;4422500
NEM;21.6465;27.65;27.91;27.55;27.65;2003-04-23;4503900
NEM;21.0123;26.84;27.97;26.81;27.75;2003-04-24;3936000
NEM;20.9653;26.78;27.29;26.60;26.76;2003-04-25;3335500
NEM;20.7853;26.55;26.95;26.44;26.78;2003-04-28;3616300
NEM;20.6209;26.34;26.54;25.95;26.54;2003-04-29;3591700
NEM;21.1532;27.02;27.30;26.56;26.56;2003-04-30;6573400
NEM;21.6073;27.60;28.10;27.20;27.25;2003-05-01;4771200
NEM;21.6308;27.63;27.82;27.18;27.61;2003-05-02;2558100
NEM;21.9439;28.03;28.21;27.68;27.68;2003-05-05;2421700
NEM;22.2728;28.45;28.48;27.74;28.16;2003-05-06;3407400
NEM;22.0692;28.19;28.90;28.10;28.60;2003-05-07;4752000
NEM;22.4998;28.74;28.85;28.30;28.73;2003-05-08;3926600
NEM;22.3745;28.58;28.75;28.33;28.74;2003-05-09;3482500
NEM;22.4685;28.70;29.04;28.48;28.65;2003-05-12;3621000
NEM;21.9283;28.01;28.76;27.91;28.47;2003-05-13;3695900
NEM;22.2806;28.46;28.57;28.11;28.15;2003-05-14;2941300
NEM;22.3589;28.56;28.68;28.35;28.58;2003-05-15;2748100
NEM;22.4763;28.71;28.88;28.47;28.87;2003-05-16;3162700
NEM;22.8208;29.15;29.55;28.83;28.85;2003-05-19;5678500
NEM;22.8756;29.22;29.30;28.92;29.24;2003-05-20;4112500
NEM;23.4862;30.00;30.00;28.80;29.10;2003-05-21;5212800
NEM;23.1652;29.59;30.00;29.43;30.00;2003-05-22;3745400
NEM;23.1652;29.59;29.87;29.41;29.59;2003-05-23;2584000
NEM;23.4001;29.89;30.80;29.56;30.00;2003-05-27;6016000
NEM;22.7816;29.10;29.41;28.76;29.26;2003-05-28;5646400
