Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
NI;3.4345;7.0530;7.0884;6.9784;7.0452;2003-02-04;3928462
NI;3.4058;6.9941;7.0766;6.9587;7.0688;2003-02-05;3779834
NI;3.4058;6.9941;7.0334;6.8959;6.9745;2003-02-06;2075448
NI;3.3771;6.9352;7.0334;6.8330;7.0334;2003-02-07;10383855
NI;3.3637;6.9077;7.0059;6.8251;6.9548;2003-02-10;2034728
NI;3.3427;6.8644;7.0098;6.8566;6.9548;2003-02-11;2425131
NI;3.2642;6.7033;6.8802;6.5619;6.8762;2003-02-12;3208991
NI;3.3082;6.7937;6.8959;6.5972;6.6405;2003-02-13;2742238
NI;3.3675;6.9155;6.9470;6.7898;6.8566;2003-02-14;2374740
NI;3.3905;6.9627;7.0295;6.9155;6.9234;2003-02-18;2255379
NI;3.3924;6.9666;7.0334;6.9037;6.9902;2003-02-19;2012841
NI;3.4001;6.9823;7.0530;6.9194;7.0452;2003-02-20;3153001
NI;3.4058;6.9941;7.1513;6.9823;7.0648;2003-02-21;2876868
NI;3.3580;6.8959;7.1277;6.8919;7.0334;2003-02-24;2730785
NI;3.3408;6.8605;6.9430;6.7308;6.8919;2003-02-25;3804012
NI;3.2451;6.6640;6.8762;6.6483;6.8684;2003-02-26;3445421
NI;3.2355;6.6444;6.7583;6.6405;6.6876;2003-02-27;2657744
NI;3.2413;6.6562;6.7701;6.6444;6.7191;2003-02-28;1728055
NI;3.2527;6.6798;6.8330;6.6719;6.7348;2003-03-03;1276063
NI;3.2260;6.6248;6.6837;6.5540;6.6837;2003-03-04;2932095
NI;3.2451;6.6640;6.6640;6.4912;6.6248;2003-03-05;3004882
NI;3.2527;6.6798;6.6994;6.6012;6.6798;2003-03-06;3841678
NI;3.2355;6.6444;6.6876;6.5501;6.6483;2003-03-07;1898825
NI;3.1743;6.5187;6.6208;6.5029;6.5776;2003-03-10;2384920
NI;3.1494;6.4676;6.6130;6.4637;6.5462;2003-03-11;2416478
NI;3.2202;6.6130;6.6326;6.4401;6.4519;2003-03-12;3012771
NI;3.2164;6.6051;6.6719;6.5697;6.6365;2003-03-13;2358452
NI;3.2011;6.5737;6.7191;6.5344;6.6719;2003-03-14;2488501
NI;3.3656;6.9116;6.9194;6.5972;6.5972;2003-03-17;3798922
NI;3.4192;7.0216;7.0295;6.8959;6.9509;2003-03-18;3303919
NI;3.4058;6.9941;7.1277;6.9705;7.0727;2003-03-19;2204988
NI;3.4230;7.0295;7.0648;6.8762;6.9941;2003-03-20;2461524
NI;3.4709;7.1277;7.1866;6.9941;7.1513;2003-03-21;3521262
NI;3.4116;7.0059;7.1277;6.9312;7.0923;2003-03-24;2044144
NI;3.4977;7.1827;7.1866;6.9941;7.0295;2003-03-25;2353107
NI;3.5015;7.1906;7.2574;7.1120;7.1906;2003-03-26;2619314
NI;3.5474;7.2849;7.2888;7.1395;7.1591;2003-03-27;2222040
NI;3.5531;7.2967;7.2967;7.2181;7.2574;2003-03-28;1461339
NI;3.4823;7.1513;7.2770;7.1473;7.2652;2003-03-31;2069340
NI;3.5646;7.3202;7.3202;7.1395;7.2220;2003-04-01;1885845
NI;3.5302;7.2495;7.3281;7.2102;7.3202;2003-04-02;1810768
NI;3.5685;7.3281;7.3477;7.1473;7.2338;2003-04-03;1905696
NI;3.6278;7.4499;7.4853;7.3674;7.4106;2003-04-04;2522095
NI;3.6450;7.4853;7.6503;7.4853;7.6228;2003-04-07;2583430
NI;3.6335;7.4617;7.5403;7.3713;7.4853;2003-04-08;2281593
NI;3.5283;7.2456;7.3595;7.1709;7.1709;2003-04-09;4561658
NI;3.5589;7.3084;7.3477;7.2338;7.2456;2003-04-10;2480866
NI;3.5531;7.2967;7.4774;7.2574;7.4263;2003-04-11;1336634
NI;3.6239;7.4420;7.4420;7.3045;7.3399;2003-04-14;3412336
NI;3.6928;7.5835;7.5835;7.3870;7.4067;2003-04-15;2562052
NI;3.6603;7.5167;7.6228;7.4853;7.5796;2003-04-16;1944126
NI;3.6565;7.5088;7.5285;7.4538;7.4931;2003-04-17;954884
NI;3.6584;7.5128;7.5678;7.4892;7.5049;2003-04-21;1363102
NI;3.7387;7.6778;7.6935;7.4420;7.4735;2003-04-22;1747397
NI;3.7598;7.7210;7.8035;7.6385;7.7014;2003-04-23;2384665
NI;3.7751;7.7525;7.8035;7.7014;7.7564;2003-04-24;1952270
NI;3.7598;7.7210;7.7603;7.7014;7.7053;2003-04-25;5644301
NI;3.8045;7.6974;7.7485;7.6149;7.6267;2003-04-28;2985540
NI;3.7151;7.5167;7.7014;7.3792;7.7014;2003-04-29;3556383
NI;3.6705;7.4263;7.4381;7.2534;7.3281;2003-04-30;11826615
NI;3.7015;7.4892;7.5167;7.3438;7.4263;2003-05-01;4686872
NI;3.6976;7.4813;7.5049;7.4263;7.4892;2003-05-02;2992666
NI;3.7093;7.5049;7.5521;7.4420;7.5246;2003-05-05;2703299
NI;3.7812;7.6503;7.6582;7.5246;7.5442;2003-05-06;2544746
NI;3.7481;7.5835;7.6503;7.4695;7.6503;2003-05-07;2323331
NI;3.7112;7.5088;7.5599;7.4695;7.5442;2003-05-08;1525728
NI;3.7384;7.5639;7.5914;7.4853;7.5246;2003-05-09;1965249
NI;3.7307;7.5481;7.6228;7.4774;7.5128;2003-05-12;1868794
NI;3.6841;7.4538;7.6149;7.3635;7.5599;2003-05-13;3985725
NI;3.6083;7.3006;7.4538;7.1709;7.4538;2003-05-14;4689163
NI;3.5481;7.1788;7.3006;7.1120;7.3006;2003-05-15;9011591
NI;3.5831;7.2495;7.3320;7.2102;7.3320;2003-05-16;7250960
NI;3.5093;7.1002;7.2495;7.0806;7.2495;2003-05-19;4755587
NI;3.5151;7.1120;7.1906;7.1041;7.1513;2003-05-20;4890727
NI;3.4937;7.0688;7.1513;7.0491;7.1513;2003-05-21;3417426
NI;3.5403;7.1631;7.1670;7.0570;7.1316;2003-05-22;6036231
NI;3.8064;7.7014;7.7800;7.1906;7.2417;2003-05-23;7841909
NI;3.8705;7.8310;7.8507;7.6817;7.7014;2003-05-27;7115311
NI;3.8375;7.7642;7.8507;7.7485;7.8507;2003-05-28;4081417
NI;3.7792;7.6464;7.8625;7.5796;7.7682;2003-05-29;2735112
NI;3.8083;7.7053;7.8193;7.6189;7.7328;2003-05-30;3928717
NI;3.8685;7.8271;7.8821;7.6621;7.6935;2003-06-02;2613715
NI;3.9132;7.9175;7.9411;7.7996;7.8585;2003-06-03;2625931
NI;3.9559;8.0039;8.1257;7.9450;7.9725;2003-06-04;5577622
NI;3.9559;8.0039;8.0589;7.9489;7.9961;2003-06-05;2515733
NI;3.9365;7.9646;8.0943;7.9096;8.0314;2003-06-06;3323770
NI;3.9190;7.9293;7.9804;7.8507;7.9686;2003-06-09;1930383
NI;3.8996;7.8900;7.9528;7.8232;7.9371;2003-06-10;2054579
NI;3.9113;7.9136;7.9450;7.8546;7.8900;2003-06-11;3491231
NI;3.8860;7.8625;7.9214;7.7603;7.8978;2003-06-12;2551872
NI;3.8083;7.7053;7.8782;7.7014;7.8585;2003-06-13;2593101
NI;3.9210;7.9332;7.9332;7.6621;7.6621;2003-06-16;2570959
NI;3.9618;8.0157;8.0550;7.8350;7.9528;2003-06-17;5710217
NI;3.8996;7.8900;8.0079;7.8507;7.9882;2003-06-18;4149368
NI;3.8666;7.8232;7.9371;7.8232;7.8900;2003-06-19;3099301
NI;3.8161;7.7210;7.9057;7.7210;7.8978;2003-06-20;4185253
NI;3.7578;7.6031;7.7996;7.5914;7.7603;2003-06-23;4604669
NI;3.7423;7.5717;7.6582;7.5324;7.5835;2003-06-24;3222988
NI;3.7326;7.5521;7.6503;7.5403;7.6149;2003-06-25;2701772
NI;3.7384;7.5639;7.6031;7.5560;7.5914;2003-06-26;1924529
NI;3.6938;7.4735;7.5835;7.4460;7.5678;2003-06-27;1611240
NI;3.6899;7.4656;7.5049;7.3792;7.4460;2003-06-30;2974087
NI;3.7481;7.5835;7.6582;7.4185;7.4971;2003-07-01;3272870
NI;3.8064;7.7014;7.7171;7.5442;7.5835;2003-07-02;2135510
NI;3.8316;7.7525;8.1139;7.7407;7.9371;2003-07-03;9717574
NI;3.7617;7.6110;7.7996;7.5874;7.7603;2003-07-07;6550576
NI;3.7054;7.4971;7.6110;7.4067;7.6110;2003-07-08;5130466
NI;3.8647;7.8193;7.8782;7.5835;7.7210;2003-07-09;10552334
NI;3.8588;7.8075;7.8428;7.7250;7.7485;2003-07-10;6233469
NI;3.8783;7.8468;7.8743;7.7721;7.7721;2003-07-11;4662440
NI;3.8549;7.7996;7.8743;7.7682;7.8703;2003-07-14;2909190
NI;3.8239;7.7367;7.7917;7.6739;7.7328;2003-07-15;5166859
NI;3.7773;7.6424;7.7800;7.5835;7.7210;2003-07-16;3319698
NI;3.7520;7.5914;7.6424;7.5324;7.5914;2003-07-17;2579867
NI;3.7676;7.6228;7.6424;7.5639;7.5835;2003-07-18;4227245
NI;3.7326;7.5521;7.6228;7.5324;7.6031;2003-07-21;4193397
NI;3.7481;7.5835;7.6110;7.5049;7.5246;2003-07-22;5457498
NI;3.7345;7.5560;7.6306;7.5088;7.6306;2003-07-23;1992481
NI;3.7443;7.5756;7.6031;7.5088;7.5639;2003-07-24;3741150
NI;3.7637;7.6149;7.6189;7.5049;7.5835;2003-07-25;3352274
NI;3.7423;7.5717;7.6267;7.5363;7.6228;2003-07-28;9436097
NI;3.7265;7.4263;7.5010;7.3949;7.4853;2003-07-29;4326246
NI;3.8054;7.5835;7.6071;7.5167;7.5639;2003-07-30;3607538
NI;3.8054;7.5835;7.6621;7.5481;7.6306;2003-07-31;2830295
NI;3.7778;7.5285;7.5835;7.5049;7.5717;2003-08-01;2329184
NI;3.8054;7.5835;7.5953;7.4853;7.5285;2003-08-04;1995789
NI;3.6930;7.3595;7.5835;7.3595;7.5363;2003-08-05;3522789
NI;3.6910;7.3556;7.4617;7.3006;7.3635;2003-08-06;4869858
NI;3.7127;7.3988;7.4617;7.3242;7.3792;2003-08-07;2752163
NI;3.7601;7.4931;7.4971;7.3713;7.4460;2003-08-08;2553399
NI;3.7167;7.4067;7.5246;7.3831;7.4931;2003-08-11;1707186
NI;3.7601;7.4931;7.5088;7.3438;7.4067;2003-08-12;2389501
NI;3.7719;7.5167;7.5639;7.4735;7.5442;2003-08-13;3429388
NI;3.7995;7.5717;7.5953;7.5128;7.5403;2003-08-14;1377100
NI;3.8409;7.6542;7.6542;7.5128;7.5717;2003-08-15;1329508
NI;3.8034;7.5796;7.6935;7.5442;7.6935;2003-08-18;1645343
NI;3.7817;7.5363;7.6306;7.4931;7.6031;2003-08-19;1479663
NI;3.8232;7.6189;7.6503;7.5324;7.5639;2003-08-20;1956087
NI;3.8015;7.5756;7.6935;7.5521;7.6778;2003-08-21;1605895
NI;3.7581;7.4892;7.6228;7.4342;7.6149;2003-08-22;1648142
NI;3.7463;7.4656;7.5285;7.4224;7.5285;2003-08-25;1361830
NI;3.7561;7.4853;7.4931;7.3949;7.4656;2003-08-26;2702281
NI;3.7679;7.5088;7.5285;7.4656;7.4774;2003-08-27;1310930
NI;3.7995;7.5717;7.5835;7.4224;7.5088;2003-08-28;2015386
NI;3.8133;7.5992;7.6031;7.4853;7.5639;2003-08-29;1653232
NI;3.8606;7.6935;7.6974;7.5481;7.6031;2003-09-02;2011314
NI;3.8626;7.6974;7.7210;7.6582;7.6699;2003-09-03;1722456
NI;3.8370;7.6464;7.7367;7.6424;7.7014;2003-09-04;1946671
NI;3.8764;7.7250;7.7328;7.6228;7.6464;2003-09-05;2269377
NI;3.8823;7.7367;7.7800;7.7132;7.7760;2003-09-08;1331799
NI;3.8330;7.6385;7.7289;7.6346;7.6817;2003-09-09;2196590
NI;3.8429;7.6582;7.6621;7.5992;7.6228;2003-09-10;1267665
NI;3.8350;7.6424;7.7053;7.6346;7.6582;2003-09-11;1657050
NI;3.8468;7.6660;7.7014;7.6346;7.6582;2003-09-12;1970848
NI;3.7896;7.5521;7.6582;7.5246;7.6582;2003-09-15;2094535
NI;3.7975;7.5678;7.6306;7.5246;7.5639;2003-09-16;2018185
NI;3.8034;7.5796;7.6267;7.5049;7.5953;2003-09-17;2133474
NI;3.8764;7.7250;7.7525;7.6149;7.6228;2003-09-18;1432072
NI;3.9434;7.8585;7.8978;7.6817;7.6817;2003-09-19;2945583
NI;3.9217;7.8153;7.8585;7.7171;7.8193;2003-09-22;4614085
NI;3.9158;7.8035;7.8978;7.7721;7.8153;2003-09-23;2195063
NI;3.9119;7.7957;7.8546;7.7525;7.7996;2003-09-24;2131438
NI;3.9277;7.8271;7.8743;7.7800;7.7878;2003-09-25;2866943
NI;3.9336;7.8389;7.8861;7.7525;7.8389;2003-09-26;2518787
NI;3.9454;7.8625;7.8978;7.8114;7.8585;2003-09-29;1373537
NI;3.9395;7.8507;7.8782;7.7800;7.8625;2003-09-30;3305192
NI;4.0085;7.9882;7.9921;7.8625;7.8861;2003-10-01;2271667
NI;4.0223;8.0157;8.0314;7.9057;7.9411;2003-10-02;1402804
