Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
NKE;4.4322;5.4600;5.5225;5.3337;5.5225;2003-02-04;16016000
NKE;4.3926;5.4113;5.4788;5.3837;5.4600;2003-02-05;14406400
NKE;4.3815;5.3975;5.4650;5.375;5.4113;2003-02-06;11475200
NKE;4.3023;5.3000;5.4563;5.2975;5.4225;2003-02-07;9196000
NKE;4.3977;5.4175;5.4462;5.3187;5.3313;2003-02-10;9557600
NKE;4.4494;5.4812;5.5212;5.4262;5.4975;2003-02-11;10545600
NKE;4.4312;5.4587;5.5050;5.44;5.4812;2003-02-12;7054400
NKE;4.4626;5.4975;5.5062;5.3938;5.4600;2003-02-13;10347200
NKE;4.5803;5.6425;5.6425;5.46875;5.5000;2003-02-14;11272800
NKE;4.6230;5.6950;5.7137;5.625;5.6413;2003-02-18;9316800
NKE;4.6138;5.6838;5.7112;5.63;5.6950;2003-02-19;7652000
NKE;4.6351;5.7100;5.7325;5.665;5.7013;2003-02-20;6384000
NKE;4.7041;5.7950;5.8300;5.725;5.7350;2003-02-21;9549600
NKE;4.5935;5.6588;5.7962;5.6438;5.7962;2003-02-24;10600000
NKE;4.6077;5.6762;5.7312;5.5325;5.6062;2003-02-25;14719200
NKE;4.5732;5.6337;5.7125;5.5763;5.6750;2003-02-26;9232800
NKE;4.6909;5.7787;5.7787;5.6025;5.6425;2003-02-27;7959200
NKE;4.7051;5.7962;5.8725;5.74;5.7787;2003-02-28;10693600
NKE;4.7366;5.8350;5.9150;5.7937;5.8125;2003-03-03;12242400
NKE;4.6331;5.7075;5.8625;5.7075;5.8438;2003-03-04;10201600
NKE;4.7265;5.8225;5.8350;5.6887;5.7075;2003-03-05;9784000
NKE;4.7295;5.8263;5.9000;5.7638;5.7937;2003-03-06;10597600
NKE;4.9822;6.1375;6.1500;5.78125;5.8263;2003-03-07;22413600
NKE;4.7965;5.9088;6.1075;5.875;6.1062;2003-03-10;14977600
NKE;4.8249;5.9437;6.1025;5.91;5.9100;2003-03-11;13907200
NKE;4.8858;6.0188;6.0250;5.90625;5.9313;2003-03-12;12011200
NKE;4.9792;6.1250;6.2100;6.0188;6.1125;2003-03-13;19496800
NKE;5.0555;6.2188;6.2438;6.15;6.1563;2003-03-14;18746400
NKE;5.2404;6.4462;6.4688;6.2038;6.2188;2003-03-17;21066400
NKE;4.9782;6.1238;6.3650;6.0687;6.3625;2003-03-18;27957600
NKE;5.0890;6.2600;6.2913;6.1438;6.1550;2003-03-19;18655200
NKE;5.3705;6.6062;6.6238;6.2537;6.2800;2003-03-20;31173600
NKE;5.4162;6.6625;6.6750;6.5225;6.6250;2003-03-21;13041600
NKE;5.2953;6.5138;6.6625;6.4563;6.6400;2003-03-24;16826400
NKE;5.3745;6.6112;6.6262;6.4775;6.5437;2003-03-25;10043200
NKE;5.2902;6.5075;6.6500;6.5;6.6112;2003-03-26;12439200
NKE;5.3054;6.5262;6.6038;6.4187;6.4187;2003-03-27;9357600
NKE;5.3898;6.6300;6.6687;6.5;6.5225;2003-03-28;9163200
NKE;5.2252;6.4275;6.5125;6.425;6.5062;2003-03-31;14238400
NKE;5.1622;6.3500;6.4425;6.2825;6.4375;2003-04-01;15256800
NKE;5.3146;6.5375;6.5712;6.4513;6.4625;2003-04-02;13114400
NKE;5.3014;6.5212;6.5862;6.4788;6.5862;2003-04-03;8769600
NKE;5.2333;6.4375;6.5700;6.415;6.5375;2003-04-04;7757600
NKE;5.2252;6.4275;6.5925;6.41;6.5875;2003-04-07;12481600
NKE;5.2709;6.4837;6.5087;6.3625;6.4437;2003-04-08;10032000
NKE;5.2617;6.4725;6.6687;6.4375;6.5125;2003-04-09;16861600
NKE;5.3522;6.5837;6.5925;6.4575;6.4738;2003-04-10;9451200
NKE;5.3441;6.5738;6.6875;6.5325;6.6250;2003-04-11;8447200
NKE;5.4111;6.6563;6.6850;6.5062;6.5650;2003-04-14;7081600
NKE;5.4640;6.7213;6.8000;6.59375;6.6188;2003-04-15;12501600
NKE;5.3197;6.5437;6.7987;6.4963;6.7712;2003-04-16;11927200
NKE;5.3146;6.5375;6.5738;6.4637;6.5338;2003-04-17;9856800
NKE;5.2699;6.4825;6.5512;6.4125;6.5500;2003-04-21;7146400
NKE;5.4010;6.6438;6.6875;6.40625;6.4825;2003-04-22;8884000
NKE;5.4619;6.7188;6.7213;6.5763;6.6687;2003-04-23;6476000
NKE;5.3918;6.6325;6.6975;6.525;6.6813;2003-04-24;6590400
NKE;5.3065;6.5275;6.6588;6.5138;6.6250;2003-04-25;6627200
NKE;5.4843;6.7463;6.7737;6.5687;6.5687;2003-04-28;11524800
NKE;5.5148;6.7838;6.9575;6.7112;6.7475;2003-04-29;13624800
NKE;5.4396;6.6912;6.7850;6.64;6.7850;2003-04-30;14233600
NKE;5.3562;6.5887;6.7162;6.5662;6.7162;2003-05-01;12104000
NKE;5.4508;6.7050;6.7188;6.55;6.5912;2003-05-02;8370400
NKE;5.3603;6.5938;6.7562;6.5625;6.7250;2003-05-05;8249600
NKE;5.5107;6.7787;6.7787;6.585;6.6000;2003-05-06;10432000
NKE;5.4995;6.7650;6.8387;6.7387;6.7775;2003-05-07;9298400
NKE;5.4233;6.6712;6.7750;6.6;6.7000;2003-05-08;9800800
NKE;5.4924;6.7562;6.7562;6.6813;6.6838;2003-05-09;7916000
NKE;5.5351;6.8088;6.8088;6.6413;6.7312;2003-05-12;13471200
NKE;5.5635;6.8438;6.8750;6.7312;6.8075;2003-05-13;13801600
NKE;5.4823;6.7438;6.8538;6.7312;6.8500;2003-05-14;6886400
NKE;5.4751;6.7350;6.7813;6.6875;6.7750;2003-05-15;8127200
NKE;5.3715;6.6075;6.7875;6.5825;6.7663;2003-05-16;15063200
NKE;5.3115;6.5338;6.6087;6.4875;6.6075;2003-05-19;11633600
NKE;5.3390;6.5675;6.6275;6.5025;6.5462;2003-05-20;9195200
NKE;5.2689;6.4812;6.6500;6.4375;6.5250;2003-05-21;12604000
NKE;5.3085;6.5300;6.5600;6.47;6.5588;2003-05-22;15064800
NKE;5.2678;6.4800;6.5413;6.4563;6.5375;2003-05-23;8010400
NKE;5.4772;6.7375;6.7500;6.4812;6.4975;2003-05-27;12947200
NKE;5.5503;6.8275;6.8438;6.6937;6.7387;2003-05-28;10216000
NKE;5.5625;6.8425;6.8900;6.7925;6.7962;2003-05-29;13233600
NKE;5.6896;6.9988;7.0700;6.8738;6.8738;2003-05-30;13806400
NKE;5.6875;6.9963;7.0625;6.9788;7.0062;2003-06-02;17061600
NKE;5.5635;6.8438;6.9500;6.7937;6.9437;2003-06-03;14325600
NKE;5.6784;6.9850;7.0050;6.7875;6.8187;2003-06-04;9160800
NKE;5.6641;6.9675;7.0100;6.925;6.9775;2003-06-05;9901600
NKE;5.6347;6.9313;6.9975;6.8675;6.9938;2003-06-06;11166400
NKE;5.6174;6.9100;6.9950;6.8562;6.9313;2003-06-09;6854400
NKE;5.6814;6.9887;7.0163;6.90625;6.9187;2003-06-10;7096000
NKE;5.6265;6.9125;6.9812;6.875;6.9713;2003-06-11;16360000
NKE;5.6163;6.9000;6.9513;6.8637;6.9437;2003-06-12;10339200
NKE;5.5502;6.8187;6.9100;6.8113;6.8875;2003-06-13;12905600
NKE;5.5960;6.8750;6.9063;6.7987;6.8187;2003-06-16;13642400
NKE;5.6641;6.9587;6.9662;6.8475;6.8812;2003-06-17;9340800
NKE;5.7109;7.0163;7.0200;6.9187;6.9475;2003-06-18;8930400
NKE;5.7303;7.0400;7.1100;7;7.0163;2003-06-19;10700000
NKE;5.6997;7.0025;7.1150;6.9988;7.0500;2003-06-20;11696800
NKE;5.6336;6.9212;7.0413;6.8913;7.0125;2003-06-23;10892800
NKE;5.7618;7.0788;7.1025;6.9525;6.9525;2003-06-24;15525600
NKE;5.7893;7.1125;7.1438;7.0687;7.1100;2003-06-25;13966400
NKE;5.7923;7.1163;7.1875;7.1062;7.1225;2003-06-26;15184000
NKE;5.4006;6.6350;6.8000;6.575;6.7688;2003-06-27;52179200
NKE;5.4423;6.6863;6.7063;6.595;6.6375;2003-06-30;50000800
NKE;5.4820;6.7350;6.7450;6.59375;6.6863;2003-07-01;12168000
NKE;5.4789;6.7312;6.7500;6.6312;6.7312;2003-07-02;13672000
NKE;5.4444;6.6887;6.7463;6.6375;6.7250;2003-07-03;4918400
NKE;5.4820;6.7350;6.7625;6.695;6.6950;2003-07-07;11005600
NKE;5.4647;6.7137;6.7600;6.6838;6.7300;2003-07-08;9452000
NKE;5.3925;6.6250;6.7038;6.6238;6.6887;2003-07-09;16193600
NKE;5.4596;6.7075;6.7275;6.5538;6.6563;2003-07-10;18492800
NKE;5.4566;6.7038;6.7425;6.6725;6.7125;2003-07-11;6198400
NKE;5.4637;6.7125;6.8075;6.6325;6.7350;2003-07-14;7411200
NKE;5.4016;6.6363;6.7312;6.6062;6.7188;2003-07-15;7327200
NKE;5.3986;6.6325;6.6537;6.5388;6.6188;2003-07-16;7761600
NKE;5.3151;6.5300;6.6537;6.4625;6.6238;2003-07-17;9530400
NKE;5.2907;6.5000;6.6000;6.4625;6.5938;2003-07-18;10080800
NKE;5.1992;6.3875;6.4850;6.35;6.4812;2003-07-21;10958400
NKE;5.2348;6.4313;6.4450;6.2825;6.3875;2003-07-22;12536000
NKE;5.2877;6.4963;6.5250;6.3625;6.4000;2003-07-23;11722400
NKE;5.3416;6.5625;6.7175;6.5625;6.6225;2003-07-24;12827200
NKE;5.3599;6.5850;6.6125;6.5025;6.5575;2003-07-25;6476800
NKE;5.2887;6.4975;6.5825;6.4625;6.5687;2003-07-28;9124800
NKE;5.2694;6.4738;6.5163;6.4125;6.4938;2003-07-29;9430400
NKE;5.2154;6.4075;6.4812;6.405;6.4812;2003-07-30;5778400
NKE;5.2643;6.4675;6.5550;6.3913;6.4387;2003-07-31;11784000
NKE;5.1585;6.3375;6.4938;6.3275;6.4375;2003-08-01;8605600
NKE;5.1503;6.3275;6.4012;6.25;6.3125;2003-08-04;9734400
NKE;5.0659;6.2238;6.3375;6.2238;6.3375;2003-08-05;7953600
NKE;5.0567;6.2125;6.3162;6.2;6.2263;2003-08-06;11247200
NKE;5.1483;6.3250;6.3450;6.2537;6.2587;2003-08-07;9023200
NKE;5.3731;6.6013;6.6137;6.3263;6.3263;2003-08-08;17093600
NKE;5.3701;6.5975;6.6062;6.5375;6.5938;2003-08-11;9403200
NKE;5.4667;6.7162;6.7350;6.625;6.6250;2003-08-12;8604000
NKE;5.5329;6.7975;6.8375;6.7387;6.7463;2003-08-13;12436000
NKE;5.5756;6.8500;6.8750;6.7688;6.7975;2003-08-14;8427200
NKE;5.6214;6.9063;6.9100;6.8;6.8500;2003-08-15;4042400
NKE;5.6041;6.8850;6.9525;6.8625;6.9063;2003-08-18;8202400
NKE;5.5603;6.8313;6.9063;6.77;6.9063;2003-08-19;9080800
NKE;5.5278;6.7913;6.8238;6.7587;6.7587;2003-08-20;5768800
NKE;5.6153;6.8987;6.9625;6.7825;6.8063;2003-08-21;14783200
NKE;5.5654;6.8375;6.9500;6.8362;6.9500;2003-08-22;7308000
NKE;5.6214;6.9063;6.9163;6.8125;6.8675;2003-08-25;6108800
NKE;5.6387;6.9275;6.9437;6.8612;6.9063;2003-08-26;5816800
NKE;5.6641;6.9587;6.9900;6.87;6.8962;2003-08-27;4050400
NKE;5.7099;7.0150;7.0313;6.9513;6.9812;2003-08-28;5835200
NKE;5.7974;7.1225;7.1337;7.025;7.0275;2003-08-29;10634400
NKE;5.8483;7.1850;7.1875;7.0637;7.1325;2003-09-02;6198400
NKE;5.8239;7.1550;7.1875;7.1125;7.1863;2003-09-03;7941600
NKE;5.7791;7.1000;7.1900;7.0725;7.1625;2003-09-04;7106400
