Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
NOW;24.60;24.60;24.75;22.83;23.75;2012-06-29;10922400
NOW;24.77;24.77;25.20;24.10;24.75;2012-07-02;656700
NOW;25.31;25.31;25.32;24.60;24.85;2012-07-03;401100
NOW;25.96;25.96;26.26;25.14;25.50;2012-07-05;541000
NOW;25.84;25.84;26.12;25.10;25.75;2012-07-06;355100
NOW;25.27;25.27;26.30;25.18;25.96;2012-07-09;152400
NOW;25.05;25.05;25.69;25.05;25.22;2012-07-10;304000
NOW;23.74;23.74;25.35;23.49;25.02;2012-07-11;296500
NOW;24.08;24.08;24.47;22.62;23.30;2012-07-12;325500
NOW;24.18;24.18;24.92;23.98;24.69;2012-07-13;89100
NOW;24.38;24.38;24.56;23.80;24.08;2012-07-16;118100
NOW;24.27;24.27;24.48;23.93;24.48;2012-07-17;227500
NOW;24.23;24.23;24.69;24.00;24.43;2012-07-18;103800
NOW;24.00;24.00;24.67;23.90;24.67;2012-07-19;254500
NOW;25.23;25.23;25.23;23.90;24.04;2012-07-20;260900
NOW;24.35;24.35;25.01;23.91;25.01;2012-07-23;603400
NOW;24.84;24.84;25.96;24.60;24.83;2012-07-24;291500
NOW;24.93;24.93;25.47;24.84;25.06;2012-07-25;110800
NOW;24.42;24.42;25.35;24.00;24.93;2012-07-26;158000
NOW;25.33;25.33;25.44;24.32;24.48;2012-07-27;100100
NOW;25.39;25.39;25.45;25.05;25.25;2012-07-30;84300
NOW;27.00;27.00;27.56;25.41;25.44;2012-07-31;284000
NOW;27.71;27.71;27.98;26.76;27.32;2012-08-01;111900
NOW;29.08;29.08;29.30;27.00;27.50;2012-08-02;556900
NOW;28.67;28.67;31.43;28.58;29.43;2012-08-03;431000
NOW;28.02;28.02;29.16;27.23;29.00;2012-08-06;583800
NOW;28.00;28.00;28.75;27.79;28.30;2012-08-07;198000
NOW;27.57;27.57;27.91;27.01;27.91;2012-08-08;296700
NOW;29.51;29.51;30.02;27.30;27.48;2012-08-09;135500
NOW;31.65;31.65;32.00;29.37;29.37;2012-08-10;220000
NOW;32.43;32.43;32.55;31.72;32.03;2012-08-13;214900
NOW;32.28;32.28;33.96;32.20;32.65;2012-08-14;552400
NOW;29.68;29.68;32.11;29.47;32.11;2012-08-15;467800
NOW;29.75;29.75;30.57;29.60;30.06;2012-08-16;300500
NOW;29.60;29.60;30.04;29.44;30.00;2012-08-17;389300
NOW;29.89;29.89;29.95;29.55;29.55;2012-08-20;277700
NOW;30.26;30.26;30.61;29.95;30.19;2012-08-21;196700
NOW;29.85;29.85;30.52;29.83;30.27;2012-08-22;617800
NOW;29.03;29.03;30.67;28.81;29.93;2012-08-23;292200
NOW;29.70;29.70;29.94;28.79;28.79;2012-08-24;145600
NOW;29.27;29.27;31.31;29.13;29.70;2012-08-27;260000
NOW;29.32;29.32;29.70;29.05;29.27;2012-08-28;152500
NOW;29.49;29.49;29.79;29.25;29.39;2012-08-29;116600
NOW;29.78;29.78;31.00;29.03;29.24;2012-08-30;186500
NOW;31.10;31.10;31.50;29.92;30.24;2012-08-31;286000
NOW;33.67;33.67;33.84;31.11;31.11;2012-09-04;332800
NOW;34.19;34.19;34.33;33.01;33.66;2012-09-05;331700
NOW;36.06;36.06;36.08;34.11;34.20;2012-09-06;396200
NOW;36.55;36.55;37.31;35.62;36.50;2012-09-07;411000
NOW;34.39;34.39;37.00;34.24;37.00;2012-09-10;457300
NOW;33.01;33.01;35.17;32.84;34.80;2012-09-11;288500
NOW;35.05;35.05;35.44;33.26;33.54;2012-09-12;350500
NOW;37.51;37.51;38.32;34.71;35.13;2012-09-13;460400
NOW;39.06;39.06;39.33;37.72;37.88;2012-09-14;724100
NOW;38.19;38.19;39.77;38.03;39.00;2012-09-17;812300
NOW;36.80;36.80;38.65;36.38;38.65;2012-09-18;678000
NOW;38.65;38.65;38.73;36.84;36.88;2012-09-19;406300
NOW;38.00;38.00;38.63;37.18;38.50;2012-09-20;739400
NOW;39.63;39.63;39.83;38.10;38.48;2012-09-21;353400
NOW;40.37;40.37;40.70;38.58;39.90;2012-09-24;378700
NOW;39.99;39.99;41.77;39.61;40.90;2012-09-25;605400
NOW;38.08;38.08;39.85;36.77;39.85;2012-09-26;853900
NOW;40.04;40.04;40.33;38.40;38.40;2012-09-27;478800
NOW;38.68;38.68;39.99;36.16;39.99;2012-09-28;1582500
NOW;36.48;36.48;38.14;34.62;37.98;2012-10-01;903900
NOW;36.50;36.50;36.75;35.59;36.07;2012-10-02;586700
NOW;37.03;37.03;37.68;36.52;36.53;2012-10-03;283100
NOW;37.15;37.15;37.20;36.70;36.70;2012-10-04;145700
NOW;37.00;37.00;37.45;36.50;37.20;2012-10-05;449500
NOW;36.53;36.53;36.66;35.97;36.60;2012-10-08;251400
NOW;36.00;36.00;36.80;35.78;36.61;2012-10-09;505300
NOW;34.78;34.78;36.06;34.62;35.95;2012-10-10;446000
NOW;34.50;34.50;35.29;34.36;35.01;2012-10-11;267300
NOW;33.32;33.32;34.83;32.89;34.83;2012-10-12;597700
NOW;34.51;34.51;34.91;32.80;32.88;2012-10-15;754800
NOW;34.31;34.31;34.64;33.70;34.64;2012-10-16;503300
NOW;34.77;34.77;35.46;34.02;34.33;2012-10-17;684500
NOW;34.79;34.79;34.88;34.50;34.77;2012-10-18;261500
NOW;34.35;34.35;35.48;33.90;34.80;2012-10-19;534600
NOW;33.44;33.44;34.50;32.54;34.45;2012-10-22;721200
NOW;34.56;34.56;34.86;32.61;33.32;2012-10-23;440100
NOW;35.65;35.65;35.77;34.04;34.56;2012-10-24;604600
NOW;31.39;31.39;37.59;30.71;35.65;2012-10-25;1953900
NOW;31.89;31.89;32.98;31.39;31.68;2012-10-26;601700
NOW;30.65;30.65;32.74;30.12;32.11;2012-10-31;568900
NOW;31.04;31.04;31.64;29.55;31.33;2012-11-01;788600
NOW;32.14;32.14;32.73;30.61;31.23;2012-11-02;450200
NOW;32.28;32.28;32.58;31.16;32.15;2012-11-05;345100
NOW;32.95;32.95;33.53;32.18;32.41;2012-11-06;462300
NOW;31.25;31.25;32.73;31.00;32.53;2012-11-07;532700
NOW;30.90;30.90;31.59;30.68;30.87;2012-11-08;288000
NOW;30.07;30.07;31.55;29.71;30.91;2012-11-09;410200
NOW;29.66;29.66;30.99;29.52;30.00;2012-11-12;537300
NOW;29.48;29.48;30.49;28.38;30.49;2012-11-13;551000
NOW;28.71;28.71;30.60;28.15;30.39;2012-11-14;502900
NOW;31.79;31.79;31.98;28.28;28.34;2012-11-15;7050800
NOW;30.35;30.35;34.50;29.45;33.43;2012-11-16;1798600
NOW;31.06;31.06;31.44;28.82;30.52;2012-11-19;1238600
NOW;31.67;31.67;33.75;30.71;30.93;2012-11-20;981200
NOW;31.18;31.18;32.17;29.88;31.03;2012-11-21;1658500
NOW;30.77;30.77;31.20;30.51;31.18;2012-11-23;186700
NOW;30.50;30.50;30.86;28.61;28.61;2012-11-26;790800
NOW;30.30;30.30;30.80;29.20;30.53;2012-11-27;1097400
NOW;31.21;31.21;31.38;29.98;30.52;2012-11-28;446200
NOW;32.30;32.30;32.82;31.11;31.55;2012-11-29;715800
NOW;32.63;32.63;33.02;31.08;32.23;2012-11-30;2460400
NOW;32.04;32.04;32.65;31.16;31.38;2012-12-03;1012200
NOW;30.19;30.19;32.39;29.75;31.98;2012-12-04;1279000
NOW;29.41;29.41;30.49;28.52;30.49;2012-12-05;1314800
NOW;29.47;29.47;29.65;29.09;29.39;2012-12-06;651500
NOW;29.30;29.30;29.62;28.87;29.50;2012-12-07;373900
NOW;29.45;29.45;29.75;29.25;29.42;2012-12-10;191000
NOW;29.83;29.83;30.24;29.38;29.66;2012-12-11;471900
NOW;30.63;30.63;31.28;29.41;30.03;2012-12-12;834600
NOW;30.33;30.33;30.96;29.82;30.35;2012-12-13;410300
NOW;30.54;30.54;30.94;30.02;30.29;2012-12-14;374000
NOW;31.10;31.10;31.13;30.00;30.50;2012-12-17;382800
NOW;32.63;32.63;33.00;31.01;31.01;2012-12-18;834000
NOW;32.43;32.43;32.85;31.96;32.85;2012-12-19;439400
NOW;32.83;32.83;32.85;32.25;32.28;2012-12-20;343900
NOW;32.49;32.49;32.74;32.23;32.48;2012-12-21;622600
NOW;31.66;31.66;32.57;30.90;32.24;2012-12-24;675400
NOW;29.95;29.95;30.94;29.39;30.84;2012-12-26;3430400
NOW;29.52;29.52;29.99;29.25;29.49;2012-12-27;1234900
NOW;29.05;29.05;29.48;28.90;29.16;2012-12-28;1107000
NOW;30.03;30.03;30.25;28.90;28.94;2012-12-31;1247300
NOW;30.20;30.20;30.75;29.18;30.75;2013-01-02;1525500
NOW;29.69;29.69;30.40;29.41;30.10;2013-01-03;863100
NOW;29.02;29.02;29.84;28.96;29.80;2013-01-04;1034400
NOW;27.36;27.36;29.10;27.02;28.54;2013-01-07;2517000
NOW;26.20;26.20;27.61;25.61;27.36;2013-01-08;2826800
NOW;26.37;26.37;26.67;25.54;26.35;2013-01-09;1430400
NOW;26.46;26.46;26.62;26.15;26.45;2013-01-10;691200
NOW;27.46;27.46;27.50;26.46;26.60;2013-01-11;1133800
NOW;26.07;26.07;27.28;25.94;27.22;2013-01-14;1047100
NOW;27.22;27.22;27.48;25.59;26.04;2013-01-15;1239100
NOW;27.34;27.34;27.48;26.85;27.23;2013-01-16;798000
NOW;27.60;27.60;27.78;27.25;27.42;2013-01-17;953100
NOW;27.40;27.40;27.75;27.16;27.53;2013-01-18;392000
NOW;27.62;27.62;27.72;26.83;27.16;2013-01-22;905700
NOW;27.93;27.93;28.01;27.45;27.56;2013-01-23;601600
NOW;29.52;29.52;29.59;27.00;27.64;2013-01-24;1730100
NOW;31.10;31.10;31.50;29.39;29.54;2013-01-25;1529400
NOW;31.25;31.25;31.47;30.72;30.88;2013-01-28;944900
NOW;30.20;30.20;31.23;29.90;30.88;2013-01-29;1111000
NOW;28.97;28.97;30.50;28.57;30.07;2013-01-30;2502000
NOW;27.72;27.72;30.50;27.65;27.75;2013-01-31;3539400
NOW;28.07;28.07;28.84;25.71;26.33;2013-02-01;8243400
NOW;28.96;28.96;29.15;27.70;28.00;2013-02-04;1650300
NOW;29.78;29.78;29.92;28.61;28.90;2013-02-05;1909700
NOW;29.72;29.72;29.79;29.36;29.36;2013-02-06;757400
NOW;29.42;29.42;29.45;28.58;29.42;2013-02-07;1066000
NOW;29.83;29.83;29.83;29.24;29.35;2013-02-08;1021300
NOW;29.55;29.55;29.75;29.15;29.75;2013-02-11;721400
NOW;29.25;29.25;29.75;29.04;29.50;2013-02-12;679300
NOW;29.78;29.78;29.89;28.70;29.05;2013-02-13;2704200
NOW;32.88;32.88;33.21;30.40;30.63;2013-02-14;5687800
NOW;33.86;33.86;34.12;32.34;33.00;2013-02-15;3513300
NOW;33.46;33.46;34.33;32.86;33.66;2013-02-19;3227700
NOW;32.96;32.96;33.92;32.84;33.40;2013-02-20;1476000
NOW;31.54;31.54;32.90;31.14;32.13;2013-02-21;2572500
NOW;33.48;33.48;33.86;31.11;31.45;2013-02-22;2128800
NOW;32.17;32.17;33.75;32.00;33.48;2013-02-25;1357600
NOW;31.25;31.25;32.11;30.89;31.88;2013-02-26;2125500
NOW;32.20;32.20;33.63;31.26;31.59;2013-02-27;1950400
NOW;32.47;32.47;32.55;31.78;32.14;2013-02-28;937500
NOW;32.79;32.79;33.01;31.69;32.06;2013-03-01;1562300
NOW;33.68;33.68;33.78;32.48;32.49;2013-03-04;1298700
NOW;36.57;36.57;36.82;33.33;33.65;2013-03-05;3713600
NOW;36.95;36.95;37.47;35.72;36.41;2013-03-06;2400700
NOW;36.77;36.77;37.00;36.45;36.82;2013-03-07;572200
NOW;36.66;36.66;36.95;36.33;36.95;2013-03-08;610800
