Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
NRG;8.2790;9.6250;9.6250;9.5000;9.5000;2003-12-02;160000
NRG;8.3865;9.7500;9.7500;9.7500;9.7500;2003-12-03;300000
NRG;8.7091;10.1250;10.1250;10.1250;10.1250;2003-12-04;50000
NRG;8.7091;10.1250;10.1250;10.1250;10.1250;2003-12-05;0
NRG;9.3757;10.9000;10.9000;10.5000;10.5000;2003-12-08;954000
NRG;9.5176;11.0650;11.3750;10.9000;10.9000;2003-12-09;3014200
NRG;9.6767;11.2500;11.5000;11.1250;11.1250;2003-12-10;2994600
NRG;9.8488;11.4500;11.5000;11.3150;11.3750;2003-12-11;2203200
NRG;9.8703;11.4750;11.5250;11.4600;11.5000;2003-12-12;709000
NRG;9.6337;11.2000;11.4500;11.2000;11.4500;2003-12-15;1287000
NRG;9.4402;10.9750;11.1750;10.9000;11.1750;2003-12-16;885600
NRG;9.2252;10.7250;10.9500;10.7000;10.9500;2003-12-17;1150800
NRG;9.2682;10.7750;10.7750;10.7250;10.7250;2003-12-18;2425200
NRG;9.3757;10.9000;10.9000;10.7750;10.7750;2003-12-19;1421800
NRG;9.3112;10.8250;10.9000;10.8250;10.8250;2003-12-22;5200
NRG;9.3757;10.9000;10.9250;10.8500;10.8500;2003-12-23;133800
NRG;9.3972;10.9250;10.9250;10.9000;10.9000;2003-12-24;20200
NRG;9.3972;10.9250;10.9250;10.9250;10.9250;2003-12-26;1000
NRG;9.3757;10.9000;10.9000;10.9000;10.9000;2003-12-29;1200
NRG;9.4187;10.9500;10.9500;10.9250;10.9250;2003-12-30;31600
NRG;9.4187;10.9500;11.0000;10.9500;10.9500;2003-12-31;14200
NRG;9.6552;11.2250;11.2250;10.9750;11.0000;2004-01-02;557600
NRG;9.6337;11.2000;11.2500;11.1500;11.2250;2004-01-05;136000
NRG;9.6552;11.2250;11.2500;11.1950;11.2000;2004-01-06;160600
NRG;9.5692;11.1250;11.2000;11.0000;11.2000;2004-01-07;283400
NRG;9.5735;11.1300;11.1750;11.1000;11.1750;2004-01-08;385200
NRG;9.0961;10.5750;11.1500;10.5750;11.1500;2004-01-09;3456200
NRG;9.1176;10.6000;10.6250;10.6000;10.6250;2004-01-12;17800
NRG;9.0316;10.5000;10.6750;10.4800;10.6250;2004-01-13;1069600
NRG;9.0316;10.5000;10.5500;10.5000;10.5250;2004-01-14;208600
NRG;8.9671;10.4250;10.5000;10.3750;10.5000;2004-01-15;54200
NRG;8.9456;10.4000;10.4500;10.3750;10.3750;2004-01-16;493800
NRG;9.0316;10.5000;10.5250;10.4850;10.5000;2004-01-20;856600
NRG;9.0316;10.5000;10.5750;10.5000;10.5250;2004-01-21;969600
NRG;9.2467;10.7500;10.8000;10.5500;10.5500;2004-01-22;863600
NRG;9.1176;10.6000;10.7500;10.5500;10.7500;2004-01-23;748400
NRG;8.9671;10.4250;10.6000;10.4250;10.6000;2004-01-26;291600
NRG;8.9155;10.3650;10.4250;10.3500;10.4250;2004-01-27;994600
NRG;8.8166;10.2500;10.3750;10.2250;10.3750;2004-01-28;100000
NRG;8.6016;10.0000;10.2500;9.8750;10.2500;2004-01-29;1169000
NRG;8.6016;10.0000;10.1250;10.0000;10.0000;2004-01-30;341200
NRG;8.6661;10.0750;10.1750;10.0000;10.0000;2004-02-02;80800
NRG;8.7306;10.1500;10.1550;10.0000;10.0000;2004-02-03;1379200
NRG;8.7091;10.1250;10.1500;10.1250;10.1250;2004-02-04;575200
NRG;8.6231;10.0250;10.1350;10.0100;10.1350;2004-02-05;649000
NRG;8.6231;10.0250;10.0750;10.0000;10.0750;2004-02-06;486600
NRG;8.6016;10.0000;10.0250;10.0000;10.0250;2004-02-09;607400
NRG;8.6145;10.0150;10.0500;10.0000;10.0000;2004-02-10;544600
NRG;8.6016;10.0000;10.0400;10.0000;10.0400;2004-02-11;1015600
NRG;8.6016;10.0000;10.0250;10.0000;10.0100;2004-02-12;188600
NRG;8.6188;10.0200;10.0200;10.0000;10.0100;2004-02-13;927400
NRG;8.5155;9.9000;10.0200;9.9000;10.0150;2004-02-17;276200
NRG;8.3908;9.7550;9.9250;9.7500;9.8750;2004-02-18;442800
NRG;8.4037;9.7700;9.7750;9.7500;9.7650;2004-02-19;680800
NRG;8.4037;9.7700;9.7850;9.7500;9.7750;2004-02-20;210200
NRG;8.2790;9.6250;9.7600;9.5000;9.7500;2004-02-23;94800
NRG;7.9306;9.2200;9.8000;9.0500;9.6000;2004-02-24;2856800
NRG;8.2575;9.6000;9.6250;9.2000;9.2500;2004-02-25;2178200
NRG;8.2360;9.5750;9.6750;9.5500;9.6000;2004-02-26;1029200
NRG;8.3005;9.6500;9.6500;9.5500;9.5500;2004-02-27;1516600
NRG;8.6016;10.0000;10.1000;9.6000;9.6000;2004-03-01;1330400
NRG;8.5585;9.9500;10.0250;9.8750;10.0000;2004-03-02;303800
NRG;8.5887;9.9850;9.9950;9.9000;9.9500;2004-03-03;465600
NRG;8.5155;9.9000;9.9750;9.4250;9.9750;2004-03-04;385200
NRG;8.5370;9.9250;9.9500;9.8750;9.9000;2004-03-05;160800
NRG;8.3865;9.7500;9.9500;9.5350;9.9500;2004-03-08;99000
NRG;8.3865;9.7500;9.8750;9.7500;9.8000;2004-03-09;94800
NRG;8.3435;9.7000;9.8500;9.7000;9.8500;2004-03-10;129800
NRG;8.4940;9.8750;10.0500;9.8250;9.8250;2004-03-11;2046200
NRG;8.5801;9.9750;10.0000;9.8750;9.9500;2004-03-12;764400
NRG;8.5370;9.9250;9.9900;9.8750;9.9900;2004-03-15;35800
NRG;8.5585;9.9500;9.9750;9.9000;9.9500;2004-03-16;1954800
NRG;8.8166;10.2500;10.2750;9.9750;9.9750;2004-03-17;1440400
NRG;8.8596;10.3000;10.3250;10.2000;10.2250;2004-03-18;821600
NRG;8.8811;10.3250;10.3500;10.3000;10.3250;2004-03-19;66600
NRG;8.9241;10.3750;10.4000;10.3250;10.3250;2004-03-22;825400
NRG;9.0187;10.4850;10.5500;10.3750;10.3750;2004-03-23;3840000
NRG;9.1607;10.6500;10.6500;10.4500;10.4850;2004-03-24;1556200
NRG;9.1650;10.6550;11.0750;10.5000;11.0000;2004-03-25;1995400
NRG;9.1693;10.6600;10.7200;10.6500;10.6850;2004-03-26;902800
NRG;9.3972;10.9250;11.1000;10.6750;10.6750;2004-03-29;1548800
NRG;9.4574;10.9950;11.0000;10.8350;10.9500;2004-03-30;492800
NRG;9.5477;11.1000;11.1000;10.9000;10.9250;2004-03-31;1969800
NRG;9.5649;11.1200;11.1750;11.0750;11.1250;2004-04-01;852600
NRG;9.6767;11.2500;11.2500;11.1750;11.1800;2004-04-02;1118400
NRG;9.7456;11.3300;11.3300;11.1500;11.2800;2004-04-05;847600
NRG;9.7456;11.3300;11.4000;11.2800;11.3300;2004-04-06;683600
NRG;9.6337;11.2000;11.3300;11.1750;11.3300;2004-04-07;629200
NRG;9.5434;11.0950;11.2500;11.0750;11.2500;2004-04-08;387400
NRG;9.5219;11.0700;11.1600;10.9900;11.1300;2004-04-12;500000
NRG;9.4574;10.9950;11.1000;10.9250;11.0150;2004-04-13;921800
NRG;9.3327;10.8500;11.0000;10.7500;11.0000;2004-04-14;331000
