Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
NTRS;22.8698;33.42;34.10;33.10;34.01;2003-02-04;1187100
NTRS;22.6988;33.17;33.98;32.94;33.44;2003-02-05;1065300
NTRS;22.2745;32.55;33.17;32.40;33.16;2003-02-06;1364400
NTRS;22.0760;32.26;33.15;32.24;32.88;2003-02-07;1169900
NTRS;22.4524;32.81;32.87;32.16;32.27;2003-02-10;857600
NTRS;21.9118;32.02;33.17;31.70;32.86;2003-02-11;1447600
NTRS;21.5765;31.53;32.41;31.42;32.02;2003-02-12;1402500
NTRS;21.5765;31.53;31.95;31.00;31.50;2003-02-13;935900
NTRS;22.1513;32.37;32.39;31.14;31.45;2003-02-14;895200
NTRS;22.2061;32.45;33.11;32.12;32.50;2003-02-18;1067600
NTRS;21.8708;31.96;32.41;31.76;32.40;2003-02-19;1014800
NTRS;21.6860;31.69;32.11;31.50;32.09;2003-02-20;977400
NTRS;22.0281;32.19;32.40;31.34;31.85;2003-02-21;1070900
NTRS;21.4465;31.34;31.97;31.24;31.96;2003-02-24;1123400
NTRS;21.6860;31.69;31.71;30.75;31.20;2003-02-25;1940900
NTRS;21.2822;31.10;31.71;30.99;31.70;2003-02-26;1388200
NTRS;21.6586;31.65;31.86;30.97;31.37;2003-02-27;972200
NTRS;21.9118;32.02;32.35;31.76;32.05;2003-02-28;1062000
NTRS;21.6107;31.58;32.82;31.52;32.46;2003-03-03;2259200
NTRS;21.0222;30.72;31.80;30.70;31.75;2003-03-04;1339300
NTRS;20.8511;30.47;30.95;30.26;30.70;2003-03-05;2252300
NTRS;20.4520;29.72;30.40;29.62;30.25;2003-03-06;2832200
NTRS;20.5208;29.82;30.07;29.20;29.26;2003-03-07;2611500
NTRS;19.7157;28.65;29.79;28.53;29.79;2003-03-10;1227000
NTRS;19.4542;28.27;29.17;28.10;28.51;2003-03-11;1425400
NTRS;19.5780;28.45;28.53;27.64;28.21;2003-03-12;1969200
NTRS;20.7341;30.13;30.23;28.69;28.70;2003-03-13;2632000
NTRS;20.7479;30.15;30.54;29.80;30.00;2003-03-14;1894400
NTRS;21.7732;31.64;31.64;29.77;30.12;2003-03-17;2433600
NTRS;22.1586;32.20;32.32;31.39;31.75;2003-03-18;2375800
NTRS;22.4958;32.69;32.75;31.88;32.12;2003-03-19;1964400
NTRS;22.8193;33.16;33.25;31.97;32.69;2003-03-20;2481200
NTRS;21.8214;31.71;32.49;30.68;31.60;2003-03-21;3932100
NTRS;21.2227;30.84;31.19;30.66;31.15;2003-03-24;1735200
NTRS;21.6907;31.52;31.69;30.71;30.88;2003-03-25;1889300
NTRS;21.6356;31.44;31.72;31.01;31.46;2003-03-26;1939400
NTRS;21.4292;31.14;31.34;30.83;31.22;2003-03-27;905100
NTRS;21.3397;31.01;31.27;30.85;31.05;2003-03-28;571600
NTRS;20.9543;30.45;30.80;30.39;30.64;2003-03-31;1067200
NTRS;21.2158;30.83;31.18;30.22;30.41;2003-04-01;1582700
NTRS;21.8627;31.77;32.00;31.32;31.45;2003-04-02;815000
NTRS;21.5875;31.37;32.14;31.25;31.92;2003-04-03;1027800
NTRS;21.7595;31.62;31.80;31.30;31.44;2003-04-04;1065200
NTRS;22.7023;32.99;33.66;32.64;32.73;2003-04-07;2361700
NTRS;22.7023;32.99;33.17;32.55;32.95;2003-04-08;1633000
NTRS;22.0898;32.10;33.20;31.99;33.00;2003-04-09;1051600
NTRS;22.3238;32.44;32.56;32.00;32.15;2003-04-10;770800
NTRS;22.1586;32.20;32.88;32.10;32.50;2003-04-11;765000
NTRS;22.6610;32.93;32.96;32.03;32.27;2003-04-14;1519200
NTRS;23.3010;33.86;34.02;31.79;32.46;2003-04-15;3012300
NTRS;23.0670;33.52;34.38;33.40;34.12;2003-04-16;2073600
NTRS;23.2046;33.72;34.26;32.78;32.88;2003-04-17;1915700
NTRS;23.3491;33.93;34.04;33.57;33.89;2003-04-21;1381200
NTRS;24.1818;35.14;35.17;33.40;33.79;2003-04-22;1760600
NTRS;24.2506;35.24;35.51;34.77;35.04;2003-04-23;1694200
NTRS;23.9341;34.78;35.14;34.49;35.03;2003-04-24;1171900
NTRS;23.6175;34.32;34.90;34.26;34.29;2003-04-25;787000
NTRS;24.1543;35.10;35.35;34.30;34.34;2003-04-28;932200
NTRS;24.1267;35.06;35.34;34.65;35.28;2003-04-29;1060900
NTRS;24.1680;35.12;35.37;34.50;35.00;2003-04-30;1090500
NTRS;23.9685;34.83;35.17;34.19;35.08;2003-05-01;900700
NTRS;24.6773;35.86;35.99;34.59;35.05;2003-05-02;917400
