Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
NUE;5.6833;9.8625;10.0125;9.7250;10.0125;2003-02-04;3054000
NUE;5.1834;8.9950;10.0400;8.9925;10.0000;2003-02-05;10050000
NUE;5.4902;9.5275;9.6350;8.7575;8.9750;2003-02-06;14902000
NUE;5.7236;9.9325;10.0725;9.7625;9.8000;2003-02-07;8377600
NUE;5.7697;10.0125;10.0150;9.8150;9.9700;2003-02-10;7016800
NUE;5.7107;9.9100;10.1675;9.8525;10.0900;2003-02-11;2982000
NUE;5.7481;9.9750;10.1075;9.9125;9.9125;2003-02-12;3062800
NUE;5.6905;9.8750;9.9875;9.7750;9.9625;2003-02-13;2656400
NUE;5.6588;9.8200;9.9125;9.6400;9.8750;2003-02-14;2192800
NUE;5.8475;10.1475;10.2475;9.8875;9.8875;2003-02-18;2925600
NUE;5.8677;10.1825;10.3400;10.0300;10.1875;2003-02-19;3050000
NUE;5.8475;10.1475;10.2100;10.0125;10.1825;2003-02-20;2524800
NUE;6.0636;10.5225;10.5625;10.1125;10.1475;2003-02-21;3397200
NUE;6.0319;10.4675;10.6300;10.3750;10.5250;2003-02-24;3572800
NUE;5.9786;10.3750;10.4525;10.2125;10.4500;2003-02-25;2004400
NUE;5.9527;10.3300;10.4375;10.2225;10.3575;2003-02-26;2240000
NUE;5.9685;10.3575;10.4200;10.2475;10.3475;2003-02-27;1767600
NUE;5.9930;10.4000;10.4850;10.3475;10.3600;2003-02-28;1627200
NUE;5.9700;10.3600;10.6250;10.3425;10.5625;2003-03-03;2965600
NUE;5.9066;10.2500;10.4725;10.2500;10.3600;2003-03-04;3058000
NUE;5.9008;10.2400;10.2625;10.0525;10.2300;2003-03-05;2727600
NUE;5.5536;9.6375;10.1450;9.6125;10.1450;2003-03-06;7263200
NUE;5.7899;10.0475;10.0925;9.3975;9.6000;2003-03-07;7330400
NUE;5.6329;9.7750;10.0475;9.7275;10.0125;2003-03-10;3048400
NUE;5.5306;9.5975;9.9500;9.5450;9.7050;2003-03-11;3182000
NUE;5.3880;9.3500;9.6250;9.1250;9.5750;2003-03-12;6883600
NUE;5.5522;9.6350;9.6600;9.2825;9.3750;2003-03-13;4561200
NUE;5.5752;9.6750;9.9000;9.6250;9.6500;2003-03-14;3145200
NUE;5.7222;9.9300;10.0175;9.5500;9.6375;2003-03-17;4417200
NUE;5.8432;10.1400;10.3000;9.9750;9.9950;2003-03-18;3490000
NUE;5.7539;9.9850;10.1150;9.8925;10.1125;2003-03-19;3186400
NUE;5.7668;10.0075;10.0675;9.7250;9.9225;2003-03-20;3142000
NUE;6.0377;10.4775;10.5125;9.9825;10.0625;2003-03-21;4722400
NUE;5.8144;10.0900;10.3775;10.0450;10.3750;2003-03-24;4155600
NUE;5.7885;10.0450;10.2300;9.9300;10.0400;2003-03-25;2676800
NUE;5.6185;9.7500;10.0125;9.6375;10.0125;2003-03-26;3257200
NUE;5.5417;9.5675;9.6950;9.4650;9.6000;2003-03-27;3419600
NUE;5.6373;9.7325;9.7500;9.4875;9.5575;2003-03-28;3335200
NUE;5.5272;9.5425;9.6375;9.4500;9.6075;2003-03-31;4530000
NUE;5.5330;9.5525;9.6125;9.3800;9.5525;2003-04-01;4388800
NUE;5.6778;9.8025;9.9125;9.7725;9.7750;2003-04-02;2245200
NUE;5.6764;9.8000;9.9450;9.7125;9.9000;2003-04-03;2309200
NUE;5.7082;9.8550;9.9750;9.7700;9.8500;2003-04-04;2204800
NUE;5.8241;10.0550;10.3650;10.0350;10.1375;2003-04-07;2638800
NUE;5.7777;9.9750;10.1500;9.9050;10.0550;2003-04-08;4481200
NUE;5.6474;9.7500;10.0325;9.7475;9.9775;2003-04-09;5740400
NUE;5.6344;9.7275;9.7875;9.6225;9.7750;2003-04-10;3974800
NUE;5.5866;9.6450;9.8575;9.6125;9.8500;2003-04-11;3400800
NUE;5.7198;9.8750;9.9175;9.6750;9.6900;2003-04-14;2688400
NUE;5.8806;10.1525;10.2000;9.8525;9.9000;2003-04-15;4058800
NUE;5.8878;10.1650;10.3975;10.0850;10.2375;2003-04-16;3730000
NUE;6.0109;10.3775;10.4550;10.1875;10.1900;2003-04-17;2984800
NUE;6.0717;10.4825;10.6125;10.3875;10.4125;2003-04-21;3180000
NUE;6.1224;10.5700;10.6225;10.3625;10.4825;2003-04-22;3231600
NUE;5.9790;10.3225;10.5700;10.1250;10.5700;2003-04-23;5560800
NUE;5.8444;10.0900;10.3600;9.9375;10.3225;2003-04-24;5059200
NUE;5.7691;9.9600;10.1000;9.8075;10.0900;2003-04-25;3910400
NUE;5.9081;10.2000;10.2700;9.9600;9.9850;2003-04-28;2982000
NUE;5.8748;10.1425;10.3275;10.1050;10.1875;2003-04-29;2551200
NUE;5.9153;10.2125;10.2825;10.0350;10.1250;2003-04-30;3186800
NUE;5.9588;10.2875;10.3300;10.0125;10.1875;2003-05-01;2886400
NUE;6.0775;10.4925;10.5350;10.2250;10.2675;2003-05-02;3629200
NUE;6.1687;10.6500;10.7200;10.4925;10.5675;2003-05-05;3230800
