Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
NWL;16.2750;28.19;28.49;27.66;28.49;2003-02-04;1513100
NWL;16.3731;28.36;28.76;28.00;28.50;2003-02-05;1274800
NWL;16.3154;28.26;28.50;28.03;28.15;2003-02-06;1422700
NWL;16.1364;27.95;28.54;27.86;28.50;2003-02-07;1702100
NWL;16.2807;28.20;28.25;27.68;28.10;2003-02-10;1384900
NWL;16.1711;28.01;28.47;27.90;28.30;2003-02-11;1674900
NWL;16.3904;28.39;28.59;28.02;28.02;2003-02-12;2083300
NWL;16.3385;28.30;28.47;28.12;28.33;2003-02-13;1272600
NWL;17.0717;29.57;29.58;28.31;28.31;2003-02-14;2096300
NWL;17.1705;29.53;29.71;29.40;29.70;2003-02-18;1902700
NWL;16.6007;28.55;29.53;28.55;29.53;2003-02-19;1413000
NWL;16.9903;29.22;29.44;28.73;28.80;2003-02-20;2035700
NWL;17.0775;29.37;29.47;28.85;29.15;2003-02-21;1478300
NWL;16.8275;28.94;29.81;28.93;29.50;2003-02-24;1194800
NWL;16.8856;29.04;29.34;28.23;28.80;2003-02-25;1422100
NWL;16.5949;28.54;29.05;28.44;29.05;2003-02-26;1126200
NWL;16.7054;28.73;28.98;28.26;28.65;2003-02-27;960200
NWL;16.3972;28.20;28.94;28.09;28.74;2003-02-28;1550300
NWL;15.7285;27.05;28.45;26.73;28.45;2003-03-03;3798200
NWL;15.3855;26.46;27.10;26.44;27.05;2003-03-04;3142400
NWL;14.6819;25.25;26.65;25.19;26.63;2003-03-05;3764200
NWL;14.6993;25.28;25.55;24.85;25.22;2003-03-06;4311100
NWL;14.8563;25.55;26.17;25.00;25.28;2003-03-07;2817600
NWL;14.5889;25.09;25.45;24.74;25.45;2003-03-10;2246700
NWL;14.6296;25.16;25.40;24.91;25.17;2003-03-11;1436900
NWL;14.7459;25.36;25.40;25.05;25.08;2003-03-12;1892000
NWL;15.3041;26.32;26.35;25.59;26.00;2003-03-13;2789000
NWL;15.5076;26.67;26.94;26.45;26.65;2003-03-14;1950600
NWL;16.1007;27.69;27.78;26.60;26.67;2003-03-17;2303800
NWL;16.0658;27.63;28.15;27.56;27.69;2003-03-18;2438500
NWL;16.7577;28.82;28.99;27.70;27.80;2003-03-19;2746200
NWL;16.8275;28.94;29.00;28.19;28.50;2003-03-20;1630200
NWL;17.2694;29.70;29.87;29.11;29.25;2003-03-21;2068800
NWL;16.5600;28.48;29.51;28.18;29.50;2003-03-24;1193400
NWL;16.4728;28.33;28.59;28.01;28.28;2003-03-25;1514900
NWL;16.2809;28.00;28.26;27.77;28.25;2003-03-26;1848700
NWL;16.5542;28.47;28.55;27.41;27.85;2003-03-27;1459300
NWL;16.5135;28.40;28.58;28.06;28.20;2003-03-28;1256700
NWL;16.4844;28.35;28.75;27.61;28.15;2003-03-31;1466000
NWL;16.7054;28.73;28.81;27.96;28.26;2003-04-01;2103600
NWL;17.3857;29.90;30.06;29.23;29.45;2003-04-02;2030200
NWL;17.2287;29.63;29.98;29.61;29.82;2003-04-03;997700
NWL;17.3392;29.82;29.99;29.50;29.63;2003-04-04;1219800
NWL;17.4671;30.04;30.80;30.00;30.50;2003-04-07;1472800
NWL;17.4904;30.08;30.35;29.89;30.05;2003-04-08;1601700
NWL;17.2461;29.66;30.50;29.59;30.09;2003-04-09;1497500
NWL;17.4031;29.93;30.05;29.65;29.80;2003-04-10;1243700
NWL;17.5950;30.26;30.80;29.97;30.00;2003-04-11;1078100
NWL;17.7927;30.60;30.68;30.05;30.26;2003-04-14;763800
NWL;17.9381;30.85;30.96;30.38;30.58;2003-04-15;1265800
NWL;17.4322;29.98;31.06;29.96;30.91;2003-04-16;1559300
NWL;17.7462;30.52;30.57;29.95;30.05;2003-04-17;827400
NWL;17.6473;30.35;30.62;30.15;30.50;2003-04-21;1121600
NWL;18.1125;31.15;31.20;30.06;30.45;2003-04-22;1505200
NWL;18.1532;31.22;31.34;30.80;31.15;2003-04-23;1098200
NWL;17.9090;30.80;31.01;30.52;31.00;2003-04-24;1254700
NWL;17.9032;30.79;31.00;30.63;30.80;2003-04-25;1299700
NWL;18.0253;31.00;31.11;30.56;30.70;2003-04-28;1442700
NWL;17.4729;30.05;31.01;28.85;30.45;2003-04-29;6407500
NWL;17.7229;30.48;30.48;29.73;29.95;2003-04-30;2736500
NWL;17.0659;29.35;30.38;29.35;30.38;2003-05-01;2650000
NWL;17.1357;29.47;29.53;28.99;29.10;2003-05-02;1852800
NWL;17.1066;29.42;29.91;29.33;29.58;2003-05-05;1393100
NWL;16.9380;29.13;29.30;28.87;29.22;2003-05-06;2429900
NWL;17.0891;29.39;29.62;29.01;29.13;2003-05-07;1293200
NWL;17.0601;29.34;29.75;28.98;29.39;2003-05-08;1555000
NWL;16.7635;28.83;29.30;28.50;29.30;2003-05-09;3122800
NWL;16.6182;28.58;29.10;28.38;28.94;2003-05-12;3077400
NWL;16.3798;28.17;28.63;28.12;28.50;2003-05-13;2144100
NWL;16.3681;28.15;28.38;28.10;28.22;2003-05-14;2559500
NWL;16.4553;28.30;28.63;28.18;28.62;2003-05-15;2015900
NWL;16.4205;28.24;28.43;28.12;28.16;2003-05-16;1705400
NWL;16.1334;27.54;28.01;27.44;28.00;2003-05-19;1792200
NWL;16.3033;27.83;28.23;27.52;27.85;2003-05-20;2104700
NWL;16.2506;27.74;27.97;27.68;27.88;2003-05-21;1999500
NWL;16.3912;27.98;28.13;27.68;27.86;2003-05-22;1219200
NWL;16.2037;27.66;27.99;27.60;27.99;2003-05-23;1146400
NWL;16.7427;28.58;28.58;27.50;27.66;2003-05-27;2369700
NWL;16.4087;28.01;28.70;27.85;28.65;2003-05-28;6584900
NWL;16.2682;27.77;28.46;27.62;28.08;2003-05-29;2713300
NWL;16.6958;28.50;28.50;27.85;27.85;2003-05-30;4690100
NWL;16.6372;28.40;29.07;28.35;29.00;2003-06-02;3287200
NWL;16.3970;27.99;28.58;27.90;28.52;2003-06-03;2698900
NWL;16.6079;28.35;28.44;27.87;28.05;2003-06-04;2615600
NWL;16.6079;28.35;28.39;28.04;28.35;2003-06-05;2227500
NWL;16.3384;27.89;28.49;27.84;28.43;2003-06-06;2988800
NWL;16.3209;27.86;27.98;27.55;27.97;2003-06-09;1790400
NWL;16.3619;27.93;28.13;27.60;27.60;2003-06-10;2768900
NWL;16.3736;27.95;28.21;27.75;28.05;2003-06-11;1640000
NWL;16.8422;28.75;28.80;27.89;27.90;2003-06-12;7500000
NWL;16.6489;28.42;28.94;28.17;28.90;2003-06-13;2419900
NWL;16.9301;28.90;28.90;28.50;28.58;2003-06-16;2151300
NWL;16.9828;28.99;29.10;28.75;29.10;2003-06-17;3490000
NWL;17.0473;29.10;29.18;28.15;28.75;2003-06-18;4924200
NWL;17.1469;29.27;29.51;29.03;29.25;2003-06-19;3994600
NWL;17.0180;29.05;29.28;29.00;29.25;2003-06-20;4313500
NWL;16.8715;28.80;28.99;28.07;28.95;2003-06-23;2350700
NWL;16.8774;28.81;28.95;28.51;28.70;2003-06-24;2040300
NWL;16.6431;28.41;28.82;28.33;28.81;2003-06-25;1605200
