Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
NWS;14.2948;15.53;16.03;14.96;15.21;2013-06-19;7717000
NWS;14.2120;15.44;16.30;15.36;16.25;2013-06-20;1874600
NWS;14.5434;15.80;15.98;15.46;15.98;2013-06-21;635300
NWS;14.2856;15.52;15.79;15.19;15.79;2013-06-24;758300
NWS;14.4145;15.66;15.67;15.35;15.50;2013-06-25;564400
NWS;14.2396;15.47;15.55;15.31;15.54;2013-06-26;901000
NWS;14.1476;15.37;15.74;14.66;14.78;2013-06-27;3258000
NWS;14.1568;15.38;15.68;15.25;15.29;2013-06-28;1793700
NWS;13.6873;14.87;15.50;14.84;15.48;2013-07-01;4343500
NWS;13.7978;14.99;15.19;14.67;14.68;2013-07-02;8682500
NWS;13.7794;14.97;15.12;14.84;14.88;2013-07-03;2265100
NWS;14.3685;15.61;15.94;14.96;14.96;2013-07-05;3470900
NWS;14.7459;16.02;16.08;15.55;15.83;2013-07-08;4010700
NWS;14.4789;15.73;16.02;15.67;15.81;2013-07-09;3656200
NWS;14.2212;15.45;15.60;15.22;15.50;2013-07-10;3010500
NWS;14.0003;15.21;15.80;15.06;15.80;2013-07-11;3630300
NWS;13.7978;14.99;15.18;14.97;15.00;2013-07-12;3042300
NWS;13.6229;14.80;15.08;14.52;15.00;2013-07-15;5331400
NWS;14.1660;15.39;15.47;14.70;14.71;2013-07-16;2711100
NWS;14.7459;16.02;16.12;15.28;15.28;2013-07-17;3737700
NWS;14.3593;15.60;16.25;15.46;16.04;2013-07-18;2827900
NWS;14.8379;16.12;16.26;15.37;15.37;2013-07-19;3735400
NWS;14.6354;15.90;16.26;15.75;16.15;2013-07-22;2159200
NWS;14.5894;15.85;16.05;15.71;15.85;2013-07-23;2104900
NWS;14.6538;15.92;16.05;15.62;15.79;2013-07-24;2205100
NWS;14.5065;15.76;16.05;15.64;15.91;2013-07-25;2097300
NWS;14.8103;16.09;16.16;15.50;15.76;2013-07-26;937600
NWS;14.4605;15.71;16.07;15.61;15.98;2013-07-29;3495600
NWS;14.8563;16.14;16.18;15.67;15.73;2013-07-30;3438100
NWS;14.8103;16.09;16.37;16.04;16.09;2013-07-31;2392800
NWS;15.0864;16.39;16.42;16.09;16.11;2013-08-01;1951600
NWS;15.1877;16.50;16.64;16.25;16.29;2013-08-02;2042800
NWS;14.9207;16.21;16.48;16.08;16.41;2013-08-05;1127500
NWS;15.0864;16.39;16.45;16.03;16.13;2013-08-06;1335300
NWS;14.8747;16.16;16.30;16.04;16.24;2013-08-07;1239800
NWS;15.0772;16.38;16.51;16.15;16.32;2013-08-08;2109500
NWS;14.9484;16.24;16.41;16.22;16.41;2013-08-09;1370900
NWS;14.8287;16.11;16.30;15.97;16.10;2013-08-12;1917600
NWS;14.7735;16.05;16.23;16.00;16.23;2013-08-13;1643600
NWS;14.8931;16.18;16.21;15.87;16.00;2013-08-14;2029000
NWS;15.0220;16.32;16.39;15.94;16.06;2013-08-15;1351600
NWS;14.9023;16.19;16.45;16.16;16.26;2013-08-16;2144700
NWS;14.6262;15.89;16.22;15.88;16.21;2013-08-19;610700
NWS;14.6170;15.88;15.98;15.72;15.91;2013-08-20;993300
NWS;14.6722;15.94;16.00;15.70;15.83;2013-08-21;1948100
NWS;14.6170;15.88;16.03;15.82;15.99;2013-08-22;1611600
NWS;14.6538;15.92;16.02;15.77;15.84;2013-08-23;1676500
NWS;14.7827;16.06;16.13;15.94;15.94;2013-08-26;1095300
NWS;14.6722;15.94;16.20;15.93;15.98;2013-08-27;3848700
NWS;14.6998;15.97;16.02;15.89;15.97;2013-08-28;7235800
NWS;14.6906;15.96;16.09;15.83;15.98;2013-08-29;797500
NWS;14.5802;15.84;15.97;15.76;15.91;2013-08-30;1583300
NWS;14.7274;16.00;16.20;15.88;16.02;2013-09-03;584400
NWS;14.9207;16.21;16.28;15.90;15.90;2013-09-04;2037400
NWS;15.0864;16.39;16.44;16.07;16.20;2013-09-05;1912100
NWS;15.0404;16.34;16.49;16.23;16.43;2013-09-06;1655900
NWS;15.1785;16.49;16.50;16.30;16.33;2013-09-09;772900
NWS;15.3902;16.72;16.72;16.41;16.53;2013-09-10;846300
NWS;15.8320;17.20;17.20;16.68;16.71;2013-09-11;1531600
NWS;15.9241;17.30;17.46;17.11;17.19;2013-09-12;601600
NWS;15.7492;17.11;17.29;16.98;17.29;2013-09-13;411600
NWS;15.8044;17.17;17.38;17.00;17.37;2013-09-16;772100
NWS;15.8504;17.22;17.29;17.12;17.16;2013-09-17;548600
NWS;15.8780;17.25;17.34;17.07;17.20;2013-09-18;951800
NWS;15.7676;17.13;17.39;16.91;17.39;2013-09-19;884200
NWS;15.5651;16.91;17.23;16.72;17.10;2013-09-20;1416500
NWS;15.4546;16.79;16.85;16.61;16.82;2013-09-23;703900
NWS;15.9517;17.33;17.43;16.77;16.77;2013-09-24;1402900
NWS;15.7308;17.09;17.30;16.99;17.23;2013-09-25;1126100
NWS;15.3442;16.67;17.12;16.47;17.12;2013-09-26;2539000
NWS;15.2429;16.56;16.59;16.37;16.47;2013-09-27;823300
NWS;15.1232;16.43;16.52;16.29;16.52;2013-09-30;611800
NWS;14.9944;16.29;16.45;16.16;16.45;2013-10-01;521200
NWS;15.1785;16.49;16.57;16.02;16.17;2013-10-02;1292300
NWS;14.9760;16.27;16.59;16.21;16.50;2013-10-03;2186100
NWS;14.9760;16.27;16.40;16.20;16.24;2013-10-04;1114000
NWS;14.9760;16.27;16.36;16.11;16.15;2013-10-07;1107800
NWS;14.9392;16.23;16.35;16.17;16.21;2013-10-08;667400
NWS;15.0404;16.34;16.40;16.17;16.21;2013-10-09;4387600
NWS;15.3258;16.65;16.67;16.39;16.39;2013-10-10;1069200
NWS;15.5743;16.92;17.06;16.60;16.60;2013-10-11;2259400
NWS;15.7031;17.06;17.14;16.75;16.76;2013-10-14;754900
NWS;15.7952;17.16;17.18;16.94;17.04;2013-10-15;1436900
NWS;15.8872;17.26;17.29;17.08;17.20;2013-10-16;1241700
NWS;15.8872;17.26;17.27;17.10;17.19;2013-10-17;861300
NWS;15.9425;17.32;17.39;17.24;17.36;2013-10-18;2034100
NWS;15.9241;17.30;17.45;17.24;17.36;2013-10-21;563900
NWS;16.0621;17.45;17.53;17.28;17.36;2013-10-22;1578100
NWS;16.0989;17.49;17.64;17.29;17.45;2013-10-23;1532000
NWS;16.3106;17.72;17.80;17.50;17.58;2013-10-24;931700
NWS;16.1634;17.56;17.74;17.50;17.73;2013-10-25;1527000
NWS;16.2738;17.68;17.73;17.42;17.55;2013-10-28;1045000
NWS;16.4487;17.87;17.93;17.67;17.69;2013-10-29;889500
NWS;16.3383;17.75;18.00;17.72;17.95;2013-10-30;677500
NWS;16.5039;17.93;18.14;17.73;17.81;2013-10-31;1810300
NWS;16.6696;18.11;18.16;17.80;17.87;2013-11-01;1295300
NWS;16.6880;18.13;18.24;18.08;18.16;2013-11-04;404700
NWS;16.6604;18.10;18.26;17.88;18.13;2013-11-05;696300
NWS;16.3567;17.77;18.24;17.71;18.09;2013-11-06;619800
NWS;16.2094;17.61;18.12;17.58;17.75;2013-11-07;660600
NWS;16.5132;17.94;17.97;17.54;17.58;2013-11-08;518800
NWS;16.3659;17.78;17.98;17.68;17.86;2013-11-11;537400
NWS;16.0989;17.49;17.65;17.00;17.39;2013-11-12;1135600
