Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
NWSA;14.5105;15.80;16.25;15.20;15.28;2013-06-19;31981500
NWSA;14.0513;15.30;16.37;15.25;16.37;2013-06-20;9274200
NWSA;14.3452;15.62;15.80;15.40;15.70;2013-06-21;8323500
NWSA;14.2626;15.53;15.84;15.20;15.64;2013-06-24;4279700
NWSA;14.4371;15.72;15.74;15.35;15.55;2013-06-25;3577300
NWSA;14.1432;15.40;15.69;15.18;15.69;2013-06-26;14755100
NWSA;14.2350;15.50;15.87;14.85;15.34;2013-06-27;12121700
NWSA;14.0054;15.25;15.77;15.25;15.50;2013-06-28;16988100
NWSA;13.5830;14.79;15.59;14.75;14.79;2013-07-01;25839400
NWSA;13.7758;15.00;15.12;14.69;14.69;2013-07-02;30520100
NWSA;13.6564;14.87;15.09;14.73;14.95;2013-07-03;8542600
NWSA;14.3820;15.66;15.95;14.89;14.95;2013-07-05;12427000
NWSA;14.6575;15.96;16.04;15.50;15.63;2013-07-08;15345100
NWSA;14.4279;15.71;15.97;15.50;15.79;2013-07-09;9936400
NWSA;14.1340;15.39;15.57;15.15;15.50;2013-07-10;16327000
NWSA;13.8952;15.13;15.60;14.96;15.60;2013-07-11;17029600
NWSA;13.7115;14.93;15.12;14.90;15.07;2013-07-12;10426300
NWSA;13.4728;14.67;15.03;14.39;14.93;2013-07-15;20636400
NWSA;14.0330;15.28;15.34;14.57;14.57;2013-07-16;9328500
NWSA;14.5932;15.89;15.96;15.29;15.36;2013-07-17;13411100
NWSA;14.2075;15.47;16.10;15.33;15.94;2013-07-18;10825700
NWSA;14.6667;15.97;16.08;15.26;15.35;2013-07-19;11658700
NWSA;14.4463;15.73;16.13;15.61;16.09;2013-07-22;6141600
NWSA;14.3728;15.65;15.87;15.54;15.69;2013-07-23;9298400
NWSA;14.4279;15.71;15.89;15.42;15.65;2013-07-24;6205200
NWSA;14.2993;15.57;15.87;15.45;15.66;2013-07-25;7069700
NWSA;14.5932;15.89;15.97;15.31;15.54;2013-07-26;5884800
NWSA;14.2442;15.51;15.87;15.40;15.87;2013-07-29;9020200
NWSA;14.6483;15.95;15.96;15.46;15.60;2013-07-30;12798200
NWSA;14.6299;15.93;16.21;15.83;16.00;2013-07-31;7681500
NWSA;14.8871;16.21;16.28;15.94;15.94;2013-08-01;10303300
NWSA;15.0065;16.34;16.47;16.12;16.15;2013-08-02;8258600
NWSA;14.6942;16.00;16.33;15.89;16.33;2013-08-05;8754100
NWSA;14.8595;16.18;16.25;15.82;15.99;2013-08-06;6232000
NWSA;14.6483;15.95;16.15;15.85;16.15;2013-08-07;4755000
NWSA;14.8136;16.13;16.31;15.91;16.07;2013-08-08;7110400
NWSA;14.6759;15.98;16.16;15.96;16.09;2013-08-09;4293800
NWSA;14.6207;15.92;16.06;15.74;15.88;2013-08-12;4882400
