Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
O;6.5567;16.9400;16.9400;16.6450;16.7500;2003-02-04;125200
O;6.5238;16.8550;16.9950;16.7750;16.7750;2003-02-05;139600
O;6.5490;16.9200;16.9800;16.7400;16.8050;2003-02-06;142400
O;6.4464;16.6550;16.8750;16.6550;16.7600;2003-02-07;175800
O;6.5567;16.9400;16.9400;16.5300;16.5300;2003-02-10;157000
O;6.4658;16.7050;17.0250;16.6100;17.0250;2003-02-11;148800
O;6.4464;16.6550;16.8750;16.6550;16.7500;2003-02-12;133600
O;6.5412;16.9000;16.9000;16.6000;16.6000;2003-02-13;164800
O;6.5083;16.8150;17.0000;16.6750;17.0000;2003-02-14;236800
O;6.6032;17.0600;17.0750;16.8300;16.8750;2003-02-18;181400
O;6.6051;17.0650;17.2000;16.9000;17.2000;2003-02-19;133200
O;6.6187;17.1000;17.1650;16.9800;17.1500;2003-02-20;64000
O;6.7038;17.3200;17.3700;17.0250;17.2250;2003-02-21;150400
O;6.6032;17.0600;17.2750;17.0050;17.2750;2003-02-24;150600
O;6.7154;17.3500;17.3550;16.9150;17.1250;2003-02-25;214400
O;6.7173;17.3550;17.3850;17.2550;17.3000;2003-02-26;113800
O;6.7534;17.3500;17.4700;17.2000;17.2250;2003-02-27;242400
O;6.7456;17.3300;17.4900;17.2750;17.2750;2003-02-28;160400
O;6.7826;17.4250;17.4550;17.2700;17.4000;2003-03-03;131400
O;6.7534;17.3500;17.5250;17.2950;17.4000;2003-03-04;163000
O;6.8215;17.5250;17.5400;17.3250;17.3500;2003-03-05;119400
O;6.6950;17.2000;17.5600;17.1500;17.5600;2003-03-06;125200
O;6.7261;17.2800;17.4500;17.1250;17.1250;2003-03-07;209800
O;6.5646;16.8650;17.2750;16.8600;17.2750;2003-03-10;248800
O;6.5996;16.9550;17.1000;16.8850;16.9250;2003-03-11;175000
O;6.6502;17.0850;17.0850;16.8850;17.0000;2003-03-12;116600
O;6.7573;17.3600;17.3600;17.0500;17.1500;2003-03-13;133200
O;6.7631;17.3750;17.5100;17.2900;17.5100;2003-03-14;159000
