Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ORCL;10.0430;11.73;12.13;11.52;11.85;2003-02-04;47845200
ORCL;9.8632;11.52;12.04;11.50;11.88;2003-02-05;41316900
ORCL;9.8717;11.53;11.72;11.33;11.51;2003-02-06;39066500
ORCL;9.7091;11.34;11.90;11.26;11.74;2003-02-07;43943700
ORCL;10.0601;11.75;11.80;11.38;11.41;2003-02-10;33763500
ORCL;10.1971;11.91;12.14;11.72;11.84;2003-02-11;46126300
ORCL;9.8461;11.50;11.95;11.49;11.82;2003-02-12;39650300
ORCL;9.8803;11.54;11.69;11.35;11.56;2003-02-13;34557500
ORCL;10.0173;11.70;11.92;11.35;11.56;2003-02-14;41473100
ORCL;10.6337;12.42;12.44;11.79;11.90;2003-02-18;40391400
ORCL;10.5481;12.32;12.37;12.12;12.33;2003-02-19;34828800
ORCL;10.5396;12.31;12.47;12.23;12.39;2003-02-20;31167700
ORCL;10.6081;12.39;12.44;11.87;12.18;2003-02-21;44233400
ORCL;10.1200;11.82;12.45;11.81;12.19;2003-02-24;45766300
ORCL;10.2228;11.94;12.01;11.48;11.64;2003-02-25;47223800
ORCL;10.0344;11.72;12.10;11.67;11.91;2003-02-26;40775700
ORCL;10.1800;11.89;12.09;11.73;11.91;2003-02-27;36829700
ORCL;10.2399;11.96;12.14;11.83;11.89;2003-02-28;35480000
ORCL;10.0087;11.69;12.20;11.64;12.20;2003-03-03;34375200
ORCL;9.9574;11.63;11.86;11.55;11.74;2003-03-04;37421000
ORCL;9.5635;11.17;11.41;10.99;11.38;2003-03-05;64571400
ORCL;9.5550;11.16;11.35;11.02;11.18;2003-03-06;37140800
ORCL;9.4693;11.06;11.30;10.84;10.94;2003-03-07;44083500
ORCL;9.2125;10.76;11.00;10.67;10.82;2003-03-10;30568300
ORCL;9.1440;10.68;10.96;10.65;10.81;2003-03-11;36460600
ORCL;9.4180;11.00;11.06;10.64;10.65;2003-03-12;41539800
ORCL;10.1885;11.90;11.94;11.19;11.31;2003-03-13;57891600
ORCL;10.2228;11.94;12.05;11.65;11.89;2003-03-14;51565800
ORCL;10.5738;12.35;12.45;11.60;11.71;2003-03-17;56316800
ORCL;10.4882;12.25;12.45;12.06;12.37;2003-03-18;58587300
ORCL;9.6834;11.31;11.83;11.10;11.65;2003-03-19;123560800
ORCL;9.8461;11.50;11.60;11.11;11.43;2003-03-20;55821400
ORCL;9.7176;11.35;11.83;11.27;11.69;2003-03-21;65517600
ORCL;9.4436;11.03;11.30;10.99;11.14;2003-03-24;42180200
ORCL;9.6748;11.30;11.49;11.07;11.19;2003-03-25;41673400
ORCL;9.7947;11.44;11.58;11.25;11.34;2003-03-26;38346100
ORCL;9.7262;11.36;11.51;11.23;11.30;2003-03-27;29790500
ORCL;9.5036;11.10;11.39;11.10;11.25;2003-03-28;27751300
ORCL;9.2895;10.85;11.09;10.82;10.83;2003-03-31;44908800
ORCL;9.2125;10.76;10.91;10.65;10.88;2003-04-01;50467600
ORCL;9.8118;11.46;11.56;10.90;11.06;2003-04-02;48276800
ORCL;9.9488;11.62;11.86;11.54;11.82;2003-04-03;44264100
ORCL;9.7348;11.37;11.74;11.00;11.66;2003-04-04;34937000
ORCL;10.0259;11.71;12.51;11.68;11.90;2003-04-07;45510400
ORCL;9.8461;11.50;11.74;11.48;11.67;2003-04-08;34791300
ORCL;9.5635;11.17;11.64;11.16;11.62;2003-04-09;39120000
ORCL;9.7348;11.37;11.45;11.07;11.19;2003-04-10;31242200
ORCL;9.6663;11.29;11.69;11.20;11.52;2003-04-11;27457400
ORCL;9.9830;11.66;11.71;11.23;11.33;2003-04-14;28588700
